Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ALPA4,05/01/2021,41.65,02/07/2020,31/12/2020,39.81,12/01/2021,5,0.5206,0.0000,0.4794,-1
ALPA4,06/01/2021,41.67,03/07/2020,05/01/2021,39.66,13/01/2021,5,0.5200,0.0000,0.4800,-1
ALPA4,07/01/2021,39.4,04/07/2020,06/01/2021,39.94,14/01/2021,5,0.5280,0.0000,0.4720,1
ALPA4,08/01/2021,38.7,07/07/2020,07/01/2021,42,20/01/2021,8,0.5125,0.0000,0.4875,-1
ALPA4,09/01/2021,40.7,08/07/2020,08/01/2021,41.9,21/01/2021,8,0.5045,0.0000,0.4955,-1
ALPA4,12/01/2021,39.81,09/07/2020,09/01/2021,41.2,22/01/2021,8,0.5195,0.0000,0.4805,-1
ALPA4,13/01/2021,39.66,10/07/2020,12/01/2021,42,20/01/2021,5,0.5120,0.0000,0.4880,-1
ALPA4,14/01/2021,39.94,11/07/2020,13/01/2021,41.9,21/01/2021,5,0.5120,0.0000,0.4880,-1
ALPA4,15/01/2021,41.1,14/07/2020,14/01/2021,41.2,22/01/2021,5,0.5200,0.0000,0.4800,-1
ALPA4,16/01/2021,41.09,15/07/2020,15/01/2021,40.46,23/01/2021,5,0.5274,0.0000,0.4726,0
ALPA4,19/01/2021,42.22,16/07/2020,16/01/2021,38.84,30/01/2021,8,0.5125,0.0000,0.4875,-1
ALPA4,20/01/2021,42,17/07/2020,19/01/2021,40.15,28/01/2021,5,0.5274,0.0000,0.4726,0
ALPA4,21/01/2021,41.9,18/07/2020,20/01/2021,39.03,03/02/2021,8,0.5125,0.0000,0.4875,-1
ALPA4,22/01/2021,41.2,21/07/2020,21/01/2021,38.84,30/01/2021,5,0.5120,0.0000,0.4880,-1
ALPA4,23/01/2021,40.46,22/07/2020,22/01/2021,38.78,02/02/2021,5,0.5120,0.0000,0.4880,-1
ALPA4,27/01/2021,40.83,23/07/2020,23/01/2021,39.03,03/02/2021,5,0.5120,0.0000,0.4880,-1
ALPA4,28/01/2021,40.15,24/07/2020,27/01/2021,40.61,04/02/2021,5,0.5200,0.0000,0.4800,-1
ALPA4,29/01/2021,40.35,25/07/2020,28/01/2021,39.99,10/02/2021,8,0.5045,0.0000,0.4955,-1
ALPA4,30/01/2021,38.84,28/07/2020,29/01/2021,39.21,11/02/2021,8,0.5195,0.0000,0.4805,-1
ALPA4,02/02/2021,38.78,29/07/2020,30/01/2021,39.4,12/02/2021,8,0.5045,0.0000,0.4955,-1
ALPA4,03/02/2021,39.03,30/07/2020,02/02/2021,38.66,13/02/2021,8,0.4965,0.0000,0.5035,-1
ALPA4,04/02/2021,40.61,31/07/2020,03/02/2021,39.21,11/02/2021,5,0.5040,0.0000,0.4960,-1
ALPA4,05/02/2021,41,01/08/2020,04/02/2021,36.1,19/02/2021,8,0.5115,0.0000,0.4885,-1
ALPA4,06/02/2021,40.45,04/08/2020,05/02/2021,38.66,13/02/2021,5,0.5120,0.0000,0.4880,-1
ALPA4,09/02/2021,39.42,05/08/2020,06/02/2021,36.08,23/02/2021,8,0.4965,0.0000,0.5035,-1
ALPA4,10/02/2021,39.99,06/08/2020,09/02/2021,35,24/02/2021,8,0.4885,0.0000,0.5115,-1
