Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BRKM5,05/01/2021,23.35,02/07/2020,31/12/2020,25.1,12/01/2021,5,0.4398,0.0000,0.5602,0
BRKM5,06/01/2021,23.36,03/07/2020,05/01/2021,25.11,13/01/2021,5,0.4320,0.0000,0.5680,0
BRKM5,07/01/2021,24.27,04/07/2020,06/01/2021,25.1,14/01/2021,5,0.4400,0.0000,0.5600,0
BRKM5,08/01/2021,24.87,07/07/2020,07/01/2021,25.24,15/01/2021,5,0.4478,0.0000,0.5522,0
BRKM5,09/01/2021,24.69,08/07/2020,08/01/2021,25.1,14/01/2021,3,0.4480,0.0000,0.5520,0
BRKM5,12/01/2021,25.1,09/07/2020,09/01/2021,25.24,15/01/2021,3,0.4400,0.0000,0.5600,0
BRKM5,13/01/2021,25.11,10/07/2020,12/01/2021,25.2,16/01/2021,3,0.4480,0.0000,0.5520,0
BRKM5,14/01/2021,25.1,11/07/2020,13/01/2021,25.21,21/01/2021,5,0.4561,0.0000,0.5439,0
BRKM5,15/01/2021,25.24,14/07/2020,14/01/2021,24.83,22/01/2021,5,0.4399,0.0000,0.5601,1
BRKM5,16/01/2021,25.2,15/07/2020,15/01/2021,25.21,21/01/2021,3,0.4480,0.0000,0.5520,0
BRKM5,19/01/2021,24.83,16/07/2020,16/01/2021,23.65,27/01/2021,5,0.4322,0.0000,0.5678,1
BRKM5,20/01/2021,25.38,17/07/2020,19/01/2021,23.22,28/01/2021,5,0.4242,0.0000,0.5758,1
BRKM5,21/01/2021,25.21,18/07/2020,20/01/2021,23.83,29/01/2021,5,0.4320,0.0000,0.5680,1
BRKM5,22/01/2021,24.83,21/07/2020,21/01/2021,24.22,30/01/2021,5,0.4240,0.0000,0.5760,1
BRKM5,23/01/2021,24.01,22/07/2020,22/01/2021,25.56,02/02/2021,5,0.4240,0.0000,0.5760,0
BRKM5,27/01/2021,23.65,23/07/2020,23/01/2021,27.18,03/02/2021,5,0.4240,0.0000,0.5760,0
BRKM5,28/01/2021,23.22,24/07/2020,27/01/2021,28.87,04/02/2021,5,0.4163,0.0000,0.5837,0
BRKM5,29/01/2021,23.83,25/07/2020,28/01/2021,29.71,05/02/2021,5,0.4160,0.0000,0.5840,0
BRKM5,30/01/2021,24.22,28/07/2020,29/01/2021,29.16,06/02/2021,5,0.4318,0.0000,0.5682,0
BRKM5,02/02/2021,25.56,29/07/2020,30/01/2021,28.63,09/02/2021,5,0.4320,0.0000,0.5680,0
BRKM5,03/02/2021,27.18,30/07/2020,02/02/2021,28.99,10/02/2021,5,0.4401,0.0000,0.5599,0
BRKM5,04/02/2021,28.87,31/07/2020,03/02/2021,28.81,11/02/2021,5,0.4481,0.0000,0.5519,1
BRKM5,05/02/2021,29.71,01/08/2020,04/02/2021,29.33,12/02/2021,5,0.4480,0.0000,0.5520,1
BRKM5,06/02/2021,29.16,04/08/2020,05/02/2021,30.22,13/02/2021,5,0.4564,0.0000,0.5436,0
BRKM5,09/02/2021,28.63,05/08/2020,06/02/2021,30.52,18/02/2021,5,0.4396,0.0000,0.5604,0
BRKM5,10/02/2021,28.99,06/08/2020,09/02/2021,30.22,19/02/2021,5,0.4317,0.0000,0.5683,0
BRKM5,11/02/2021,28.81,07/08/2020,10/02/2021,30.65,20/02/2021,5,0.4484,0.0000,0.5516,0
BRKM5,12/02/2021,29.33,08/08/2020,11/02/2021,30.01,23/02/2021,5,0.4317,0.0000,0.5683,0
BRKM5,13/02/2021,30.22,11/08/2020,12/02/2021,30.09,24/02/2021,5,0.4484,0.0000,0.5516,1
BRKM5,18/02/2021,30.52,12/08/2020,13/02/2021,33.14,25/02/2021,5,0.4564,0.0000,0.5436,0
BRKM5,19/02/2021,30.22,13/08/2020,18/02/2021,31.71,26/02/2021,5,0.4644,0.0000,0.5356,0
BRKM5,20/02/2021,30.65,14/08/2020,19/02/2021,31.26,27/02/2021,5,0.4560,0.0000,0.5440,0
