Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CMIG4,05/01/2021,14.14,02/07/2020,31/12/2020,15.01,15/01/2021,8,0.5236,0.0079,0.4684,1
CMIG4,06/01/2021,14.14,03/07/2020,05/01/2021,14.67,16/01/2021,8,0.5128,0.0081,0.4791,-1
CMIG4,07/01/2021,14.46,04/07/2020,06/01/2021,13.8,23/01/2021,12,0.5079,0.0238,0.4683,-1
CMIG4,08/01/2021,14.27,07/07/2020,07/01/2021,15.01,15/01/2021,5,0.5144,0.0159,0.4696,-1
CMIG4,09/01/2021,15.25,08/07/2020,08/01/2021,13.84,21/01/2021,8,0.5048,0.0162,0.4790,-1
CMIG4,12/01/2021,14.72,09/07/2020,09/01/2021,13.83,22/01/2021,8,0.5120,0.0160,0.4720,-1
CMIG4,13/01/2021,14.66,10/07/2020,12/01/2021,14.18,20/01/2021,5,0.4992,0.0162,0.4847,-1
CMIG4,14/01/2021,14.79,11/07/2020,13/01/2021,13.48,27/01/2021,8,0.4968,0.0162,0.4870,-1
CMIG4,15/01/2021,15.01,14/07/2020,14/01/2021,13.83,22/01/2021,5,0.5064,0.0159,0.4776,-1
CMIG4,16/01/2021,14.67,15/07/2020,15/01/2021,14.15,29/01/2021,8,0.5120,0.0160,0.4720,-1
CMIG4,19/01/2021,14.43,16/07/2020,16/01/2021,13.7,30/01/2021,8,0.4990,0.0162,0.4848,-1
CMIG4,20/01/2021,14.18,17/07/2020,19/01/2021,14.14,02/02/2021,8,0.4965,0.0162,0.4872,-1
CMIG4,21/01/2021,13.84,18/07/2020,20/01/2021,14.28,03/02/2021,8,0.4885,0.0162,0.4952,-1
CMIG4,22/01/2021,13.83,21/07/2020,21/01/2021,13.7,30/01/2021,5,0.4829,0.0162,0.5009,-1
CMIG4,23/01/2021,13.8,22/07/2020,22/01/2021,14.29,05/02/2021,8,0.4803,0.0162,0.5034,-1
CMIG4,27/01/2021,13.48,23/07/2020,23/01/2021,14.14,06/02/2021,8,0.4747,0.0162,0.5091,-1
CMIG4,28/01/2021,13.46,24/07/2020,27/01/2021,14.16,09/02/2021,8,0.4747,0.0162,0.5091,-1
CMIG4,29/01/2021,14.15,25/07/2020,28/01/2021,13.92,10/02/2021,8,0.4721,0.0162,0.5117,-1
CMIG4,30/01/2021,13.7,28/07/2020,29/01/2021,13.73,11/02/2021,8,0.4800,0.0160,0.5040,-1
CMIG4,02/02/2021,14.14,29/07/2020,30/01/2021,14.16,09/02/2021,5,0.4668,0.0162,0.5171,0
CMIG4,03/02/2021,14.28,30/07/2020,02/02/2021,13.53,13/02/2021,8,0.4800,0.0160,0.5040,-1
CMIG4,04/02/2021,14.42,31/07/2020,03/02/2021,13.73,11/02/2021,5,0.4827,0.0159,0.5014,-1
CMIG4,05/02/2021,14.29,01/08/2020,04/02/2021,13.74,12/02/2021,5,0.4907,0.0159,0.4934,-1
CMIG4,06/02/2021,14.14,04/08/2020,05/02/2021,13.53,13/02/2021,5,0.4827,0.0162,0.5011,-1
CMIG4,09/02/2021,14.16,05/08/2020,06/02/2021,13.24,18/02/2021,5,0.4827,0.0162,0.5011,-1
CMIG4,10/02/2021,13.92,06/08/2020,09/02/2021,12.42,24/02/2021,8,0.4960,0.0160,0.4880,-1
CMIG4,11/02/2021,13.73,07/08/2020,10/02/2021,12.74,20/02/2021,5,0.4827,0.0162,0.5011,-1
CMIG4,12/02/2021,13.74,08/08/2020,11/02/2021,11.97,26/02/2021,8,0.4801,0.0162,0.5037,-1
CMIG4,13/02/2021,13.53,11/08/2020,12/02/2021,12.42,24/02/2021,5,0.4907,0.0159,0.4934,-1
CMIG4,18/02/2021,13.24,12/08/2020,13/02/2021,12.38,25/02/2021,5,0.4827,0.0162,0.5011,-1
CMIG4,19/02/2021,12.9,13/08/2020,18/02/2021,11.97,26/02/2021,5,0.4827,0.0162,0.5011,-1
CMIG4,20/02/2021,12.74,14/08/2020,19/02/2021,11.96,27/02/2021,5,0.4827,0.0162,0.5011,-1
CMIG4,23/02/2021,12.3,15/08/2020,20/02/2021,11.53,02/03/2021,5,0.4827,0.0162,0.5011,-1
CMIG4,24/02/2021,12.42,18/08/2020,23/02/2021,11.92,06/03/2021,8,0.4801,0.0162,0.5037,-1
CMIG4,25/02/2021,12.38,19/08/2020,24/02/2021,11.48,09/03/2021,8,0.4880,0.0160,0.4960,-1
CMIG4,26/02/2021,11.97,20/08/2020,25/02/2021,11.36,10/03/2021,8,0.4747,0.0162,0.5091,-1
CMIG4,27/02/2021,11.96,21/08/2020,26/02/2021,11.91,11/03/2021,8,0.4721,0.0162,0.5117,-1
