Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CPLE6,05/01/2021,73.65,02/07/2020,31/12/2020,70.74,08/01/2021,3,0.5039,0.0000,0.4961,-1
CPLE6,06/01/2021,72.54,03/07/2020,05/01/2021,73.32,09/01/2021,3,0.4881,0.0000,0.5119,-1
CPLE6,07/01/2021,72.33,04/07/2020,06/01/2021,69.31,12/01/2021,3,0.4801,0.0000,0.5199,-1
CPLE6,08/01/2021,70.74,07/07/2020,07/01/2021,67.07,13/01/2021,3,0.4800,0.0000,0.5200,-1
CPLE6,09/01/2021,73.32,08/07/2020,08/01/2021,66.01,16/01/2021,5,0.4718,0.0000,0.5282,1
CPLE6,12/01/2021,69.31,09/07/2020,09/01/2021,65.26,19/01/2021,5,0.4882,0.0000,0.5118,-1
CPLE6,13/01/2021,67.07,10/07/2020,12/01/2021,66.01,16/01/2021,3,0.4800,0.0000,0.5200,-1
CPLE6,14/01/2021,65.4,11/07/2020,13/01/2021,65.26,19/01/2021,3,0.4800,0.0000,0.5200,-1
CPLE6,15/01/2021,67.05,14/07/2020,14/01/2021,66.28,22/01/2021,5,0.4718,0.0000,0.5282,1
CPLE6,16/01/2021,66.01,15/07/2020,15/01/2021,65.13,21/01/2021,3,0.4800,0.0000,0.5200,-1
CPLE6,19/01/2021,65.26,16/07/2020,16/01/2021,66.28,22/01/2021,3,0.4720,0.0000,0.5280,0
CPLE6,20/01/2021,64.99,17/07/2020,19/01/2021,64.45,28/01/2021,5,0.4638,0.0000,0.5362,1
CPLE6,21/01/2021,65.13,18/07/2020,20/01/2021,66.16,29/01/2021,5,0.4640,0.0000,0.5360,0
CPLE6,22/01/2021,66.28,21/07/2020,21/01/2021,65.28,30/01/2021,5,0.4802,0.0000,0.5198,-1
CPLE6,23/01/2021,65.31,22/07/2020,22/01/2021,65.4,02/02/2021,5,0.4800,0.0000,0.5200,-1
CPLE6,27/01/2021,63.66,23/07/2020,23/01/2021,66.2,03/02/2021,5,0.4638,0.0000,0.5362,0
CPLE6,28/01/2021,64.45,24/07/2020,27/01/2021,66.03,04/02/2021,5,0.4640,0.0000,0.5360,0
CPLE6,29/01/2021,66.16,25/07/2020,28/01/2021,67.34,05/02/2021,5,0.4720,0.0000,0.5280,0
CPLE6,30/01/2021,65.28,28/07/2020,29/01/2021,67.93,06/02/2021,5,0.4720,0.0000,0.5280,0
CPLE6,02/02/2021,65.4,29/07/2020,30/01/2021,67.8,09/02/2021,5,0.4640,0.0000,0.5360,0
