Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
EVEN3,05/01/2021,11.67,02/07/2020,31/12/2020,11.03,12/01/2021,5,0.4581,0.0241,0.5179,1
EVEN3,06/01/2021,11.66,03/07/2020,05/01/2021,11.42,09/01/2021,3,0.4520,0.0241,0.5240,1
EVEN3,07/01/2021,11.04,04/07/2020,06/01/2021,11.72,19/01/2021,8,0.4499,0.0241,0.5261,0
EVEN3,08/01/2021,10.73,07/07/2020,07/01/2021,11.59,15/01/2021,5,0.4419,0.0241,0.5340,0
EVEN3,09/01/2021,11.42,08/07/2020,08/01/2021,11.69,16/01/2021,5,0.4339,0.0241,0.5420,0
EVEN3,12/01/2021,11.03,09/07/2020,09/01/2021,11.72,19/01/2021,5,0.4420,0.0240,0.5340,0
EVEN3,13/01/2021,11.46,10/07/2020,12/01/2021,11.6,20/01/2021,5,0.4261,0.0241,0.5498,0
EVEN3,14/01/2021,11.3,11/07/2020,13/01/2021,11.61,21/01/2021,5,0.4339,0.0240,0.5421,0
EVEN3,15/01/2021,11.59,14/07/2020,14/01/2021,11.12,22/01/2021,5,0.4183,0.0241,0.5576,1
EVEN3,16/01/2021,11.69,15/07/2020,15/01/2021,10.87,23/01/2021,5,0.4278,0.0240,0.5482,1
EVEN3,19/01/2021,11.72,16/07/2020,16/01/2021,11.01,27/01/2021,5,0.4358,0.0240,0.5402,1
EVEN3,20/01/2021,11.6,17/07/2020,19/01/2021,11.23,28/01/2021,5,0.4419,0.0240,0.5341,1
EVEN3,21/01/2021,11.61,18/07/2020,20/01/2021,11.48,29/01/2021,5,0.4263,0.0241,0.5496,1
EVEN3,22/01/2021,11.12,21/07/2020,21/01/2021,11.34,30/01/2021,5,0.4358,0.0240,0.5402,0
EVEN3,23/01/2021,10.87,22/07/2020,22/01/2021,11.48,02/02/2021,5,0.4263,0.0241,0.5496,0
EVEN3,27/01/2021,11.01,23/07/2020,23/01/2021,11.91,03/02/2021,5,0.4202,0.0240,0.5558,0
EVEN3,28/01/2021,11.23,24/07/2020,27/01/2021,12.12,04/02/2021,5,0.4358,0.0240,0.5402,0
EVEN3,29/01/2021,11.48,25/07/2020,28/01/2021,12.05,05/02/2021,5,0.4419,0.0240,0.5341,0
EVEN3,30/01/2021,11.34,28/07/2020,29/01/2021,12.4,06/02/2021,5,0.4440,0.0240,0.5321,0
EVEN3,02/02/2021,11.48,29/07/2020,30/01/2021,12.15,09/02/2021,5,0.4341,0.0241,0.5418,0
EVEN3,03/02/2021,11.91,30/07/2020,02/02/2021,12.03,10/02/2021,5,0.4419,0.0240,0.5341,0
EVEN3,04/02/2021,12.12,31/07/2020,03/02/2021,11.56,11/02/2021,5,0.4440,0.0240,0.5321,1
EVEN3,05/02/2021,12.05,01/08/2020,04/02/2021,11.63,12/02/2021,5,0.4520,0.0240,0.5241,1
EVEN3,06/02/2021,12.4,04/08/2020,05/02/2021,11.75,13/02/2021,5,0.4441,0.0240,0.5318,1
EVEN3,09/02/2021,12.15,05/08/2020,06/02/2021,11.28,18/02/2021,5,0.4579,0.0240,0.5181,1
EVEN3,10/02/2021,12.03,06/08/2020,09/02/2021,11.13,19/02/2021,5,0.4441,0.0240,0.5318,1
EVEN3,11/02/2021,11.56,07/08/2020,10/02/2021,11.15,20/02/2021,5,0.4441,0.0240,0.5318,1
EVEN3,12/02/2021,11.63,08/08/2020,11/02/2021,10.64,23/02/2021,5,0.4441,0.0240,0.5318,1
EVEN3,13/02/2021,11.75,11/08/2020,12/02/2021,10.45,24/02/2021,5,0.4579,0.0240,0.5181,1
EVEN3,18/02/2021,11.28,12/08/2020,13/02/2021,10.52,25/02/2021,5,0.4600,0.0239,0.5161,1
EVEN3,19/02/2021,11.13,13/08/2020,18/02/2021,10.4,26/02/2021,5,0.4521,0.0241,0.5239,1
EVEN3,20/02/2021,11.15,14/08/2020,19/02/2021,9.99,27/02/2021,5,0.4501,0.0241,0.5259,1
EVEN3,23/02/2021,10.64,15/08/2020,20/02/2021,9.8,02/03/2021,5,0.4600,0.0239,0.5161,1
EVEN3,24/02/2021,10.45,18/08/2020,23/02/2021,10.06,03/03/2021,5,0.4501,0.0241,0.5259,1
EVEN3,25/02/2021,10.52,19/08/2020,24/02/2021,9.99,04/03/2021,5,0.4440,0.0240,0.5320,1
EVEN3,26/02/2021,10.4,20/08/2020,25/02/2021,10.12,05/03/2021,5,0.4580,0.0240,0.5180,1
EVEN3,27/02/2021,9.99,21/08/2020,26/02/2021,10.75,06/03/2021,5,0.4421,0.0241,0.5338,0
EVEN3,02/03/2021,9.8,22/08/2020,27/02/2021,9.9,09/03/2021,5,0.4360,0.0240,0.5400,0
EVEN3,03/03/2021,10.06,25/08/2020,02/03/2021,9.32,10/03/2021,5,0.4339,0.0241,0.5420,1
EVEN3,04/03/2021,9.99,26/08/2020,03/03/2021,9.9,09/03/2021,3,0.4441,0.0240,0.5320,1
EVEN3,05/03/2021,10.12,27/08/2020,04/03/2021,10.08,12/03/2021,5,0.4360,0.0240,0.5400,1
EVEN3,06/03/2021,10.75,28/08/2020,05/03/2021,10.43,13/03/2021,5,0.4500,0.0240,0.5260,1
EVEN3,09/03/2021,9.9,29/08/2020,06/03/2021,10.47,16/03/2021,5,0.4521,0.0240,0.5240,0
EVEN3,10/03/2021,9.32,01/09/2020,09/03/2021,10.56,20/03/2021,8,0.4438,0.0214,0.5348,0
EVEN3,11/03/2021,9.56,02/09/2020,10/03/2021,10.23,18/03/2021,5,0.4426,0.0160,0.5414,0
EVEN3,12/03/2021,10.08,03/09/2020,11/03/2021,10.08,17/03/2021,3,0.4534,0.0160,0.5306,0
EVEN3,13/03/2021,10.43,04/09/2020,12/03/2021,10.23,18/03/2021,3,0.4614,0.0160,0.5226,1
EVEN3,16/03/2021,10.47,05/09/2020,13/03/2021,10.47,23/03/2021,5,0.4694,0.0160,0.5145,-1
EVEN3,17/03/2021,10.08,09/09/2020,16/03/2021,10.32,24/03/2021,5,0.4748,0.0160,0.5092,-1
EVEN3,18/03/2021,10.23,10/09/2020,17/03/2021,9.98,25/03/2021,5,0.4612,0.0160,0.5228,1
EVEN3,19/03/2021,9.99,11/09/2020,18/03/2021,10.35,26/03/2021,5,0.4748,0.0160,0.5092,-1
EVEN3,20/03/2021,10.56,12/09/2020,19/03/2021,10.27,27/03/2021,5,0.4586,0.0160,0.5255,1
EVEN3,23/03/2021,10.47,15/09/2020,20/03/2021,10.02,30/03/2021,5,0.4667,0.0160,0.5173,1
EVEN3,24/03/2021,10.32,16/09/2020,23/03/2021,10.27,27/03/2021,3,0.4533,0.0160,0.5307,1
EVEN3,25/03/2021,9.98,17/09/2020,24/03/2021,10.02,30/03/2021,3,0.4533,0.0160,0.5307,0
EVEN3,26/03/2021,10.35,18/09/2020,25/03/2021,10.4,31/03/2021,3,0.4533,0.0160,0.5307,0
EVEN3,27/03/2021,10.27,19/09/2020,26/03/2021,10.3,06/04/2021,5,0.4667,0.0160,0.5173,0
EVEN3,30/03/2021,10.02,22/09/2020,27/03/2021,10.22,02/04/2021,3,0.4533,0.0160,0.5307,0
EVEN3,31/03/2021,10.4,23/09/2020,30/03/2021,10.3,06/04/2021,3,0.4533,0.0160,0.5307,1
EVEN3,01/04/2021,10.32,24/09/2020,31/03/2021,10.43,09/04/2021,5,0.4667,0.0160,0.5173,0
EVEN3,02/04/2021,10.22,25/09/2020,01/04/2021,10.21,08/04/2021,3,0.4533,0.0160,0.5307,1
