Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
EZTC3,05/01/2021,41.7,02/07/2020,31/12/2020,38.59,12/01/2021,5,0.4720,0.0000,0.5280,1
EZTC3,06/01/2021,40.7,03/07/2020,05/01/2021,40,13/01/2021,5,0.4636,0.0000,0.5364,1
EZTC3,07/01/2021,38.82,04/07/2020,06/01/2021,39.24,14/01/2021,5,0.4640,0.0000,0.5360,0
EZTC3,08/01/2021,38.32,07/07/2020,07/01/2021,40.81,15/01/2021,5,0.4640,0.0000,0.5360,0
EZTC3,09/01/2021,40.44,08/07/2020,08/01/2021,39.39,16/01/2021,5,0.4553,0.0000,0.5447,1
EZTC3,12/01/2021,38.59,09/07/2020,09/01/2021,39.24,19/01/2021,5,0.4640,0.0000,0.5360,0
EZTC3,13/01/2021,40,10/07/2020,12/01/2021,39.6,20/01/2021,5,0.4476,0.0000,0.5524,1
EZTC3,14/01/2021,39.24,11/07/2020,13/01/2021,39,21/01/2021,5,0.4644,0.0000,0.5356,1
EZTC3,15/01/2021,40.81,14/07/2020,14/01/2021,36.8,22/01/2021,5,0.4476,0.0000,0.5524,1
EZTC3,16/01/2021,39.39,15/07/2020,15/01/2021,36.14,23/01/2021,5,0.4644,0.0000,0.5356,1
EZTC3,19/01/2021,39.24,16/07/2020,16/01/2021,35.4,27/01/2021,5,0.4476,0.0000,0.5524,1
EZTC3,20/01/2021,39.6,17/07/2020,19/01/2021,36.83,28/01/2021,5,0.4480,0.0000,0.5520,1
EZTC3,21/01/2021,39,18/07/2020,20/01/2021,37.94,29/01/2021,5,0.4560,0.0000,0.5440,1
EZTC3,22/01/2021,36.8,21/07/2020,21/01/2021,36.68,30/01/2021,5,0.4480,0.0000,0.5520,1
