Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
GGBR4,05/01/2021,26.04,02/07/2020,31/12/2020,27.72,15/01/2021,8,0.5169,0.0080,0.4752,-1
GGBR4,06/01/2021,26.67,03/07/2020,05/01/2021,26.08,16/01/2021,8,0.5262,0.0081,0.4657,0
GGBR4,07/01/2021,27.99,04/07/2020,06/01/2021,26.45,19/01/2021,8,0.5312,0.0080,0.4608,0
GGBR4,08/01/2021,29.54,07/07/2020,07/01/2021,25.67,20/01/2021,8,0.5344,0.0081,0.4575,0
GGBR4,09/01/2021,29.1,08/07/2020,08/01/2021,25.14,21/01/2021,8,0.5392,0.0080,0.4527,0
GGBR4,12/01/2021,28.3,09/07/2020,09/01/2021,24.29,29/01/2021,12,0.5248,0.0080,0.4673,0
GGBR4,13/01/2021,27.52,10/07/2020,12/01/2021,25.36,23/01/2021,8,0.5168,0.0080,0.4753,-1
GGBR4,14/01/2021,26.61,11/07/2020,13/01/2021,23.24,02/02/2021,12,0.5088,0.0079,0.4833,-1
GGBR4,15/01/2021,27.72,14/07/2020,14/01/2021,23.61,28/01/2021,8,0.5008,0.0079,0.4913,-1
GGBR4,16/01/2021,26.08,15/07/2020,15/01/2021,24.29,29/01/2021,8,0.5104,0.0081,0.4815,-1
GGBR4,19/01/2021,26.45,16/07/2020,16/01/2021,23.25,30/01/2021,8,0.5040,0.0080,0.4880,-1
GGBR4,20/01/2021,25.67,17/07/2020,19/01/2021,24.2,06/02/2021,12,0.5152,0.0080,0.4768,-1
GGBR4,21/01/2021,25.14,18/07/2020,20/01/2021,24.46,18/02/2021,17,0.5081,0.0000,0.4919,-1
GGBR4,22/01/2021,25.02,21/07/2020,21/01/2021,23.53,04/02/2021,8,0.5040,0.0000,0.4960,-1
GGBR4,23/01/2021,25.36,22/07/2020,22/01/2021,23.19,05/02/2021,8,0.4975,0.0000,0.5025,-1
GGBR4,27/01/2021,24.05,23/07/2020,23/01/2021,24.2,06/02/2021,8,0.5105,0.0000,0.4895,-1
GGBR4,28/01/2021,23.61,24/07/2020,27/01/2021,24,09/02/2021,8,0.4975,0.0000,0.5025,-1
GGBR4,29/01/2021,24.29,25/07/2020,28/01/2021,24.15,10/02/2021,8,0.4895,0.0000,0.5105,-1
