Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ITUB3,05/01/2021,27.45,02/07/2020,31/12/2020,28.71,15/01/2021,8,0.4936,0.0160,0.4904,-1
ITUB3,06/01/2021,27.38,03/07/2020,05/01/2021,28.53,13/01/2021,5,0.4880,0.0160,0.4960,-1
ITUB3,07/01/2021,28,04/07/2020,06/01/2021,28.1,14/01/2021,5,0.4855,0.0160,0.4985,-1
ITUB3,08/01/2021,28.9,07/07/2020,07/01/2021,28.71,15/01/2021,5,0.4956,0.0160,0.4884,-1
ITUB3,09/01/2021,28.99,08/07/2020,08/01/2021,27.89,16/01/2021,5,0.5011,0.0160,0.4829,-1
ITUB3,12/01/2021,28.42,09/07/2020,09/01/2021,27.8,19/01/2021,5,0.5038,0.0160,0.4802,-1
ITUB3,13/01/2021,28.53,10/07/2020,12/01/2021,27.58,20/01/2021,5,0.4934,0.0160,0.4906,-1
ITUB3,14/01/2021,28.1,11/07/2020,13/01/2021,27.16,21/01/2021,5,0.5038,0.0160,0.4802,-1
ITUB3,15/01/2021,28.71,14/07/2020,14/01/2021,26.74,22/01/2021,5,0.4934,0.0160,0.4906,-1
ITUB3,16/01/2021,27.89,15/07/2020,15/01/2021,26.09,23/01/2021,5,0.5011,0.0160,0.4829,-1
ITUB3,19/01/2021,27.8,16/07/2020,16/01/2021,25.49,27/01/2021,5,0.4880,0.0160,0.4960,-1
ITUB3,20/01/2021,27.58,17/07/2020,19/01/2021,25.58,28/01/2021,5,0.4854,0.0160,0.4986,-1
ITUB3,21/01/2021,27.16,18/07/2020,20/01/2021,26.57,29/01/2021,5,0.4774,0.0160,0.5066,-1
ITUB3,22/01/2021,26.74,21/07/2020,21/01/2021,25.82,30/01/2021,5,0.4694,0.0160,0.5146,-1
ITUB3,23/01/2021,26.09,22/07/2020,22/01/2021,26.32,02/02/2021,5,0.4640,0.0160,0.5200,0
ITUB3,27/01/2021,25.49,23/07/2020,23/01/2021,25.93,03/02/2021,5,0.4640,0.0160,0.5200,0
ITUB3,28/01/2021,25.58,24/07/2020,27/01/2021,25.84,04/02/2021,5,0.4640,0.0160,0.5200,0
ITUB3,29/01/2021,26.57,25/07/2020,28/01/2021,25.73,05/02/2021,5,0.4773,0.0160,0.5067,-1
ITUB3,30/01/2021,25.82,28/07/2020,29/01/2021,25.61,06/02/2021,5,0.4801,0.0160,0.5039,-1
ITUB3,02/02/2021,26.32,29/07/2020,30/01/2021,25.73,05/02/2021,3,0.4693,0.0160,0.5147,-1
ITUB3,03/02/2021,25.93,30/07/2020,02/02/2021,25.29,10/02/2021,5,0.4801,0.0160,0.5039,-1
ITUB3,04/02/2021,25.84,31/07/2020,03/02/2021,25.13,11/02/2021,5,0.4720,0.0160,0.5120,-1
ITUB3,05/02/2021,25.73,01/08/2020,04/02/2021,25.29,10/02/2021,3,0.4693,0.0160,0.5147,-1
ITUB3,06/02/2021,25.61,04/08/2020,05/02/2021,25.11,13/02/2021,5,0.4640,0.0160,0.5200,1
ITUB3,09/02/2021,25.14,05/08/2020,06/02/2021,25.18,18/02/2021,5,0.4612,0.0160,0.5228,0
ITUB3,10/02/2021,25.29,06/08/2020,09/02/2021,25.16,19/02/2021,5,0.4532,0.0160,0.5308,1
ITUB3,11/02/2021,25.13,07/08/2020,10/02/2021,25.18,18/02/2021,3,0.4643,0.0160,0.5197,0
ITUB3,12/02/2021,25.14,08/08/2020,11/02/2021,23.58,23/02/2021,5,0.4532,0.0160,0.5308,1
ITUB3,13/02/2021,25.11,11/08/2020,12/02/2021,24.96,20/02/2021,3,0.4643,0.0160,0.5197,1
ITUB3,18/02/2021,25.18,12/08/2020,13/02/2021,24.47,25/02/2021,5,0.4560,0.0160,0.5280,1
ITUB3,19/02/2021,25.16,13/08/2020,18/02/2021,23.81,26/02/2021,5,0.4720,0.0160,0.5119,-1
ITUB3,20/02/2021,24.96,14/08/2020,19/02/2021,24.28,10/03/2021,12,0.4659,0.0120,0.5221,1
ITUB3,23/02/2021,23.58,15/08/2020,20/02/2021,22.7,02/03/2021,5,0.4640,0.0080,0.5280,1
ITUB3,24/02/2021,24.95,18/08/2020,23/02/2021,23.52,03/03/2021,5,0.4600,0.0079,0.5321,1
ITUB3,25/02/2021,24.47,19/08/2020,24/02/2021,23.96,09/03/2021,8,0.4720,0.0081,0.5198,-1
ITUB3,26/02/2021,23.81,20/08/2020,25/02/2021,23.96,05/03/2021,5,0.4640,0.0080,0.5280,0
ITUB3,27/02/2021,23.37,21/08/2020,26/02/2021,24.82,06/03/2021,5,0.4600,0.0079,0.5321,0
ITUB3,02/03/2021,22.7,22/08/2020,27/02/2021,23.96,05/03/2021,3,0.4520,0.0079,0.5401,0
ITUB3,03/03/2021,23.52,25/08/2020,02/03/2021,24.28,10/03/2021,5,0.4480,0.0080,0.5440,0
ITUB3,04/03/2021,23.52,26/08/2020,03/03/2021,24.63,16/03/2021,8,0.4640,0.0081,0.5278,0
ITUB3,05/03/2021,23.96,27/08/2020,04/03/2021,25.21,23/03/2021,12,0.4524,0.0238,0.5238,0
ITUB3,06/03/2021,24.82,28/08/2020,05/03/2021,24.4,13/03/2021,5,0.4587,0.0161,0.5252,1
ITUB3,09/03/2021,23.96,29/08/2020,06/03/2021,24.63,16/03/2021,5,0.4614,0.0162,0.5224,0
ITUB3,10/03/2021,24.28,01/09/2020,09/03/2021,25.09,20/03/2021,8,0.4505,0.0158,0.5337,0
ITUB3,11/03/2021,24.43,02/09/2020,10/03/2021,24.98,18/03/2021,5,0.4614,0.0162,0.5224,0
ITUB3,12/03/2021,24.5,03/09/2020,11/03/2021,25.07,19/03/2021,5,0.4668,0.0161,0.5171,0
ITUB3,13/03/2021,24.4,04/09/2020,12/03/2021,25.09,20/03/2021,5,0.4668,0.0161,0.5171,0
ITUB3,16/03/2021,24.63,05/09/2020,13/03/2021,25.21,23/03/2021,5,0.4532,0.0159,0.5308,0
ITUB3,17/03/2021,24.31,09/09/2020,16/03/2021,24.78,24/03/2021,5,0.4694,0.0162,0.5144,-1
ITUB3,18/03/2021,24.98,10/09/2020,17/03/2021,24.5,25/03/2021,5,0.4613,0.0159,0.5228,1
ITUB3,19/03/2021,25.07,11/09/2020,18/03/2021,24.86,26/03/2021,5,0.4773,0.0162,0.5066,-1
ITUB3,20/03/2021,25.09,12/09/2020,19/03/2021,25.2,27/03/2021,5,0.4827,0.0161,0.5012,-1
ITUB3,23/03/2021,25.21,15/09/2020,20/03/2021,24.96,30/03/2021,5,0.4854,0.0162,0.4984,-1
ITUB3,24/03/2021,24.78,16/09/2020,23/03/2021,25.43,31/03/2021,5,0.4934,0.0162,0.4904,-1
ITUB3,25/03/2021,24.5,17/09/2020,24/03/2021,25.11,01/04/2021,5,0.4825,0.0158,0.5017,-1
ITUB3,26/03/2021,24.86,18/09/2020,25/03/2021,24.47,02/04/2021,5,0.4772,0.0159,0.5069,-1
ITUB3,27/03/2021,25.2,19/09/2020,26/03/2021,24.6,06/04/2021,5,0.4934,0.0162,0.4904,-1
ITUB3,30/03/2021,24.96,22/09/2020,27/03/2021,24.33,07/04/2021,5,0.4988,0.0161,0.4851,-1
ITUB3,31/03/2021,25.43,23/09/2020,30/03/2021,24.32,08/04/2021,5,0.4852,0.0159,0.4989,-1
ITUB3,01/04/2021,25.11,24/09/2020,31/03/2021,24.08,09/04/2021,5,0.4988,0.0161,0.4851,-1
ITUB3,02/04/2021,24.47,25/09/2020,01/04/2021,23.98,10/04/2021,5,0.4852,0.0159,0.4989,-1
ITUB3,06/04/2021,24.6,26/09/2020,02/04/2021,24.41,13/04/2021,5,0.4852,0.0159,0.4989,-1
ITUB3,07/04/2021,24.33,29/09/2020,06/04/2021,24.42,14/04/2021,5,0.5014,0.0162,0.4824,-1
ITUB3,08/04/2021,24.32,30/09/2020,07/04/2021,24.67,15/04/2021,5,0.4905,0.0158,0.4937,-1
ITUB3,09/04/2021,24.08,01/10/2020,08/04/2021,24.67,16/04/2021,5,0.4825,0.0158,0.5017,-1
ITUB3,10/04/2021,23.98,02/10/2020,09/04/2021,24.81,17/04/2021,5,0.4745,0.0158,0.5097,-1
ITUB3,13/04/2021,24.41,03/10/2020,10/04/2021,24.58,20/04/2021,5,0.4665,0.0158,0.5177,0
ITUB3,14/04/2021,24.42,06/10/2020,13/04/2021,24.43,21/04/2021,5,0.4774,0.0162,0.5064,-1
ITUB3,15/04/2021,24.67,07/10/2020,14/04/2021,24.42,23/04/2021,5,0.4854,0.0162,0.4984,-1
ITUB3,16/04/2021,24.67,08/10/2020,15/04/2021,24.6,24/04/2021,5,0.4908,0.0161,0.4931,-1
ITUB3,17/04/2021,24.81,09/10/2020,16/04/2021,24.49,30/04/2021,8,0.4762,0.0317,0.4921,-1
ITUB3,20/04/2021,24.58,10/10/2020,17/04/2021,24.2,28/04/2021,5,0.4921,0.0242,0.4837,-1
ITUB3,21/04/2021,24.43,14/10/2020,20/04/2021,25.06,29/04/2021,5,0.4839,0.0238,0.4923,-1
ITUB3,23/04/2021,24.42,15/10/2020,21/04/2021,24.49,30/04/2021,5,0.4839,0.0238,0.4923,-1
ITUB3,24/04/2021,24.6,16/10/2020,23/04/2021,24.46,01/05/2021,5,0.4839,0.0238,0.4923,-1
ITUB3,27/04/2021,24.48,17/10/2020,24/04/2021,24.8,04/05/2021,5,0.4981,0.0241,0.4778,-1
ITUB3,28/04/2021,24.2,20/10/2020,27/04/2021,24.51,08/05/2021,8,0.4819,0.0237,0.4944,-1
ITUB3,29/04/2021,25.06,21/10/2020,28/04/2021,24.93,11/05/2021,8,0.4739,0.0237,0.5024,-1
ITUB3,30/04/2021,24.49,22/10/2020,29/04/2021,24.19,07/05/2021,5,0.4820,0.0241,0.4939,-1
ITUB3,01/05/2021,24.46,23/10/2020,30/04/2021,24.51,08/05/2021,5,0.4681,0.0238,0.5081,-1
ITUB3,04/05/2021,24.8,24/10/2020,01/05/2021,25.18,14/05/2021,8,0.4659,0.0237,0.5104,-1
ITUB3,05/05/2021,23.88,27/10/2020,04/05/2021,24.51,08/05/2021,3,0.4760,0.0242,0.4998,-1
ITUB3,06/05/2021,24.51,28/10/2020,05/05/2021,24.44,13/05/2021,5,0.4681,0.0238,0.5081,-1
ITUB3,07/05/2021,24.19,29/10/2020,06/05/2021,25.18,14/05/2021,5,0.4820,0.0241,0.4939,-1
ITUB3,08/05/2021,24.51,30/10/2020,07/05/2021,25.57,15/05/2021,5,0.4681,0.0238,0.5081,-1
ITUB3,11/05/2021,24.93,31/10/2020,08/05/2021,25.7,18/05/2021,5,0.4820,0.0241,0.4939,-1
ITUB3,12/05/2021,24.8,04/11/2020,11/05/2021,25.68,19/05/2021,5,0.4820,0.0241,0.4939,-1
ITUB3,13/05/2021,24.44,05/11/2020,12/05/2021,26.24,25/05/2021,8,0.4661,0.0237,0.5102,-1
ITUB3,14/05/2021,25.18,06/11/2020,13/05/2021,26.05,26/05/2021,8,0.4581,0.0237,0.5182,0
ITUB3,15/05/2021,25.57,07/11/2020,14/05/2021,26.33,27/05/2021,8,0.4659,0.0241,0.5100,-1
ITUB3,18/05/2021,25.7,10/11/2020,15/05/2021,26.23,28/05/2021,8,0.4659,0.0241,0.5100,-1
ITUB3,19/05/2021,25.68,11/11/2020,18/05/2021,26.05,26/05/2021,5,0.4679,0.0242,0.5079,-1
ITUB3,20/05/2021,25.92,12/11/2020,19/05/2021,26.33,27/05/2021,5,0.4602,0.0238,0.5160,0
ITUB3,21/05/2021,26.18,13/11/2020,20/05/2021,27.32,02/06/2021,8,0.4739,0.0241,0.5020,-1
ITUB3,22/05/2021,26.15,14/11/2020,21/05/2021,28.05,03/06/2021,8,0.4739,0.0241,0.5020,-1
ITUB3,25/05/2021,26.24,17/11/2020,22/05/2021,26.57,01/06/2021,5,0.4602,0.0238,0.5160,0
ITUB3,26/05/2021,26.05,18/11/2020,25/05/2021,27.32,02/06/2021,5,0.4757,0.0242,0.5001,-1
ITUB3,27/05/2021,26.33,19/11/2020,26/05/2021,28.93,09/06/2021,8,0.4663,0.0237,0.5100,-1
ITUB3,28/05/2021,26.23,20/11/2020,27/05/2021,28.55,05/06/2021,5,0.4757,0.0242,0.5001,-1
ITUB3,29/05/2021,26.48,21/11/2020,28/05/2021,29.39,11/06/2021,8,0.4663,0.0237,0.5100,-1
ITUB3,01/06/2021,26.57,24/11/2020,29/05/2021,29.03,12/06/2021,8,0.4739,0.0241,0.5020,-1
ITUB3,02/06/2021,27.32,25/11/2020,01/06/2021,29.35,10/06/2021,5,0.4757,0.0242,0.5001,-1
