Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ODPV3,05/01/2021,15.17,02/07/2020,31/12/2020,14.48,21/01/2021,12,0.4921,0.0317,0.4762,-1
ODPV3,06/01/2021,15.45,03/07/2020,05/01/2021,15.05,16/01/2021,8,0.5075,0.0241,0.4684,-1
ODPV3,07/01/2021,15.04,04/07/2020,06/01/2021,14.83,19/01/2021,8,0.5138,0.0240,0.4622,0
ODPV3,08/01/2021,14.3,07/07/2020,07/01/2021,14.46,20/01/2021,8,0.4987,0.0239,0.4774,-1
ODPV3,09/01/2021,14.58,08/07/2020,08/01/2021,14.48,21/01/2021,8,0.4907,0.0239,0.4854,-1
ODPV3,12/01/2021,14.46,09/07/2020,09/01/2021,14.83,19/01/2021,5,0.4995,0.0241,0.4764,-1
ODPV3,13/01/2021,14.53,10/07/2020,12/01/2021,14.02,23/01/2021,8,0.4925,0.0239,0.4835,-1
ODPV3,14/01/2021,14.3,11/07/2020,13/01/2021,14.35,27/01/2021,8,0.5057,0.0240,0.4702,-1
ODPV3,15/01/2021,14.46,14/07/2020,14/01/2021,14.21,28/01/2021,8,0.4925,0.0239,0.4835,-1
ODPV3,16/01/2021,15.05,15/07/2020,15/01/2021,14.53,29/01/2021,8,0.5057,0.0240,0.4702,-1
ODPV3,19/01/2021,14.83,16/07/2020,16/01/2021,14.17,30/01/2021,8,0.5057,0.0240,0.4702,-1
ODPV3,20/01/2021,14.46,17/07/2020,19/01/2021,14.5,02/02/2021,8,0.4925,0.0239,0.4835,-1
ODPV3,21/01/2021,14.48,18/07/2020,20/01/2021,14.6,03/02/2021,8,0.4907,0.0239,0.4854,-1
ODPV3,22/01/2021,14.43,21/07/2020,21/01/2021,14.17,30/01/2021,5,0.4995,0.0241,0.4764,-1
ODPV3,23/01/2021,14.02,22/07/2020,22/01/2021,14.06,05/02/2021,8,0.4925,0.0239,0.4835,-1
ODPV3,27/01/2021,14.35,23/07/2020,23/01/2021,13.96,06/02/2021,8,0.4907,0.0239,0.4854,-1
ODPV3,28/01/2021,14.21,24/07/2020,27/01/2021,14.2,04/02/2021,5,0.4995,0.0241,0.4764,-1
ODPV3,29/01/2021,14.53,25/07/2020,28/01/2021,13.55,10/02/2021,8,0.4907,0.0239,0.4854,-1
ODPV3,30/01/2021,14.17,28/07/2020,29/01/2021,13.96,06/02/2021,5,0.4995,0.0241,0.4764,-1
ODPV3,02/02/2021,14.5,29/07/2020,30/01/2021,13.37,12/02/2021,8,0.4907,0.0239,0.4854,-1
ODPV3,03/02/2021,14.6,30/07/2020,02/02/2021,13.55,10/02/2021,5,0.4995,0.0241,0.4764,-1
ODPV3,04/02/2021,14.2,31/07/2020,03/02/2021,13.26,18/02/2021,8,0.5075,0.0241,0.4684,-1
ODPV3,05/02/2021,14.06,01/08/2020,04/02/2021,13.25,19/02/2021,8,0.5005,0.0239,0.4755,-1
ODPV3,06/02/2021,13.96,04/08/2020,05/02/2021,13.2,20/02/2021,8,0.5005,0.0239,0.4755,-1
ODPV3,09/02/2021,13.6,05/08/2020,06/02/2021,13.14,23/02/2021,8,0.4987,0.0239,0.4774,-1
ODPV3,10/02/2021,13.55,06/08/2020,09/02/2021,13.04,24/02/2021,8,0.4907,0.0239,0.4854,-1
ODPV3,11/02/2021,13.59,07/08/2020,10/02/2021,13.07,25/02/2021,8,0.4844,0.0239,0.4916,-1
ODPV3,12/02/2021,13.37,08/08/2020,11/02/2021,12.99,26/02/2021,8,0.4978,0.0240,0.4782,-1
ODPV3,13/02/2021,13.35,11/08/2020,12/02/2021,13.03,27/02/2021,8,0.4827,0.0239,0.4934,-1
ODPV3,18/02/2021,13.26,12/08/2020,13/02/2021,13.26,02/03/2021,8,0.4764,0.0239,0.4996,-1
ODPV3,19/02/2021,13.25,13/08/2020,18/02/2021,13.2,03/03/2021,8,0.4745,0.0239,0.5016,-1
ODPV3,20/02/2021,13.2,14/08/2020,19/02/2021,13.14,04/03/2021,8,0.4683,0.0214,0.5103,-1
ODPV3,23/02/2021,13.14,15/08/2020,20/02/2021,13.12,05/03/2021,8,0.4670,0.0160,0.5170,-1
ODPV3,24/02/2021,13.04,18/08/2020,23/02/2021,13.23,06/03/2021,8,0.4645,0.0160,0.5196,0
ODPV3,25/02/2021,13.07,19/08/2020,24/02/2021,13.14,04/03/2021,5,0.4565,0.0160,0.5275,0
ODPV3,26/02/2021,12.99,20/08/2020,25/02/2021,13.12,05/03/2021,5,0.4665,0.0160,0.5175,0
ODPV3,27/02/2021,13.03,21/08/2020,26/02/2021,13.23,06/03/2021,5,0.4565,0.0160,0.5275,0
ODPV3,02/03/2021,13.26,22/08/2020,27/02/2021,13.08,09/03/2021,5,0.4665,0.0160,0.5175,1
ODPV3,03/03/2021,13.2,25/08/2020,02/03/2021,12.59,10/03/2021,5,0.4720,0.0160,0.5120,-1
ODPV3,04/03/2021,13.14,26/08/2020,03/03/2021,12.16,11/03/2021,5,0.4589,0.0160,0.5251,1
ODPV3,05/03/2021,13.12,27/08/2020,04/03/2021,12.84,12/03/2021,5,0.4589,0.0160,0.5251,1
ODPV3,06/03/2021,13.23,28/08/2020,05/03/2021,12.61,13/03/2021,5,0.4562,0.0160,0.5278,1
ODPV3,09/03/2021,13.08,29/08/2020,06/03/2021,12.65,16/03/2021,5,0.4666,0.0160,0.5174,1
