Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
PSSA3,05/01/2021,47.78,02/07/2020,31/12/2020,49.71,15/01/2021,8,0.4720,0.0080,0.5200,-1
PSSA3,06/01/2021,47.36,03/07/2020,05/01/2021,49.39,13/01/2021,5,0.4683,0.0081,0.5236,0
PSSA3,07/01/2021,46.4,04/07/2020,06/01/2021,49.13,14/01/2021,5,0.4603,0.0081,0.5316,0
PSSA3,08/01/2021,47.52,07/07/2020,07/01/2021,49.71,20/01/2021,8,0.4560,0.0080,0.5360,0
PSSA3,09/01/2021,50.8,08/07/2020,08/01/2021,49.56,16/01/2021,5,0.4677,0.0079,0.5243,1
PSSA3,12/01/2021,49.49,09/07/2020,09/01/2021,49.99,19/01/2021,5,0.4677,0.0079,0.5243,0
PSSA3,13/01/2021,49.39,10/07/2020,12/01/2021,49.37,23/01/2021,8,0.4560,0.0080,0.5360,1
PSSA3,14/01/2021,49.13,11/07/2020,13/01/2021,49.84,21/01/2021,5,0.4522,0.0081,0.5397,0
PSSA3,15/01/2021,49.71,14/07/2020,14/01/2021,47.97,28/01/2021,8,0.4480,0.0080,0.5440,1
PSSA3,16/01/2021,49.56,15/07/2020,15/01/2021,49.37,23/01/2021,5,0.4598,0.0079,0.5322,1
PSSA3,19/01/2021,49.99,16/07/2020,16/01/2021,48.18,30/01/2021,8,0.4480,0.0080,0.5440,1
PSSA3,20/01/2021,49.71,17/07/2020,19/01/2021,48.76,02/02/2021,8,0.4636,0.0079,0.5285,1
PSSA3,21/01/2021,49.84,18/07/2020,20/01/2021,50.04,29/01/2021,5,0.4522,0.0081,0.5397,0
PSSA3,22/01/2021,50.03,21/07/2020,21/01/2021,48.18,30/01/2021,5,0.4597,0.0079,0.5323,1
PSSA3,23/01/2021,49.37,22/07/2020,22/01/2021,48.76,02/02/2021,5,0.4597,0.0079,0.5323,1
PSSA3,27/01/2021,48.76,23/07/2020,23/01/2021,51.29,06/02/2021,8,0.4480,0.0080,0.5440,0
PSSA3,28/01/2021,47.97,24/07/2020,27/01/2021,49.86,09/02/2021,8,0.4480,0.0080,0.5440,0
PSSA3,29/01/2021,50.04,25/07/2020,28/01/2021,49.52,05/02/2021,5,0.4442,0.0081,0.5477,1
PSSA3,30/01/2021,48.18,28/07/2020,29/01/2021,49.15,11/02/2021,8,0.4556,0.0079,0.5365,0
PSSA3,02/02/2021,48.76,29/07/2020,30/01/2021,49.86,09/02/2021,5,0.4442,0.0081,0.5477,0
PSSA3,03/02/2021,49.29,30/07/2020,02/02/2021,48.17,13/02/2021,8,0.4556,0.0079,0.5365,1
PSSA3,04/02/2021,49.85,31/07/2020,03/02/2021,49.15,11/02/2021,5,0.4598,0.0079,0.5322,1
PSSA3,05/02/2021,49.52,01/08/2020,04/02/2021,48.64,12/02/2021,5,0.4598,0.0079,0.5322,1
PSSA3,06/02/2021,51.29,04/08/2020,05/02/2021,48.17,13/02/2021,5,0.4442,0.0081,0.5477,1
PSSA3,09/02/2021,49.86,05/08/2020,06/02/2021,47.81,18/02/2021,5,0.4517,0.0079,0.5403,1
PSSA3,10/02/2021,49.44,06/08/2020,09/02/2021,46.63,24/02/2021,8,0.4364,0.0081,0.5556,1
PSSA3,11/02/2021,49.15,07/08/2020,10/02/2021,46.25,25/02/2021,8,0.4320,0.0080,0.5600,1
PSSA3,12/02/2021,48.64,08/08/2020,11/02/2021,46.92,23/02/2021,5,0.4283,0.0081,0.5637,1
PSSA3,13/02/2021,48.17,11/08/2020,12/02/2021,46.63,24/02/2021,5,0.4203,0.0081,0.5717,1
PSSA3,18/02/2021,47.81,12/08/2020,13/02/2021,43.1,02/03/2021,8,0.4160,0.0080,0.5760,1
PSSA3,19/02/2021,47.71,13/08/2020,18/02/2021,44.5,26/02/2021,5,0.4122,0.0081,0.5798,1
PSSA3,20/02/2021,48.13,14/08/2020,19/02/2021,43.59,27/02/2021,5,0.4080,0.0080,0.5840,1
PSSA3,23/02/2021,46.92,15/08/2020,20/02/2021,43.1,02/03/2021,5,0.4237,0.0079,0.5684,1
PSSA3,24/02/2021,46.63,18/08/2020,23/02/2021,43.69,03/03/2021,5,0.4122,0.0081,0.5798,1
PSSA3,25/02/2021,46.25,19/08/2020,24/02/2021,43.58,04/03/2021,5,0.4080,0.0080,0.5840,1
PSSA3,26/02/2021,44.5,20/08/2020,25/02/2021,43.48,05/03/2021,5,0.4041,0.0081,0.5879,1
PSSA3,27/02/2021,43.59,21/08/2020,26/02/2021,43.57,06/03/2021,5,0.4000,0.0080,0.5920,1
PSSA3,02/03/2021,43.1,22/08/2020,27/02/2021,42.95,09/03/2021,5,0.4000,0.0080,0.5920,1
PSSA3,03/03/2021,43.69,25/08/2020,02/03/2021,42.6,10/03/2021,5,0.3960,0.0081,0.5960,1
PSSA3,04/03/2021,43.58,26/08/2020,03/03/2021,44.9,16/03/2021,8,0.4082,0.0079,0.5839,0
PSSA3,05/03/2021,43.48,27/08/2020,04/03/2021,44.33,12/03/2021,5,0.4000,0.0080,0.5920,0
PSSA3,06/03/2021,43.57,28/08/2020,05/03/2021,44.09,13/03/2021,5,0.3960,0.0081,0.5960,0
PSSA3,09/03/2021,42.95,29/08/2020,06/03/2021,45.93,19/03/2021,8,0.4082,0.0079,0.5839,0
PSSA3,10/03/2021,42.6,01/09/2020,09/03/2021,44.9,17/03/2021,5,0.3960,0.0081,0.5960,0
PSSA3,11/03/2021,43.35,02/09/2020,10/03/2021,46.94,18/03/2021,5,0.3880,0.0081,0.6039,0
PSSA3,12/03/2021,44.33,03/09/2020,11/03/2021,45.93,19/03/2021,5,0.4001,0.0079,0.5920,0
PSSA3,13/03/2021,44.09,04/09/2020,12/03/2021,48.76,20/03/2021,5,0.4041,0.0079,0.5879,0
PSSA3,16/03/2021,44.9,05/09/2020,13/03/2021,48.07,23/03/2021,5,0.3920,0.0080,0.6000,0
PSSA3,17/03/2021,44.9,09/09/2020,16/03/2021,46.74,24/03/2021,5,0.4041,0.0079,0.5879,0
PSSA3,18/03/2021,46.94,10/09/2020,17/03/2021,46.71,06/04/2021,12,0.3889,0.0238,0.5873,1
PSSA3,19/03/2021,45.93,11/09/2020,18/03/2021,46.74,24/03/2021,3,0.4055,0.0160,0.5785,0
PSSA3,20/03/2021,48.76,12/09/2020,19/03/2021,47.04,27/03/2021,5,0.3946,0.0160,0.5895,1
PSSA3,23/03/2021,48.07,15/09/2020,20/03/2021,46.51,26/03/2021,3,0.4055,0.0160,0.5785,1
PSSA3,24/03/2021,46.74,16/09/2020,23/03/2021,47.04,27/03/2021,3,0.3973,0.0160,0.5867,0
