Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
WEGE3,05/01/2021,74.62,02/07/2020,31/12/2020,88.7,21/01/2021,12,0.5661,0.0119,0.4220,1
WEGE3,06/01/2021,79.2,03/07/2020,05/01/2021,87.65,22/01/2021,12,0.5504,0.0122,0.4374,1
WEGE3,07/01/2021,81.54,04/07/2020,06/01/2021,88.97,23/01/2021,12,0.5618,0.0118,0.4264,1
WEGE3,08/01/2021,84.66,07/07/2020,07/01/2021,88.95,27/01/2021,12,0.5661,0.0119,0.4220,1
WEGE3,09/01/2021,89.78,08/07/2020,08/01/2021,88.25,28/01/2021,12,0.5661,0.0119,0.4220,0
WEGE3,12/01/2021,87.03,09/07/2020,09/01/2021,87.97,29/01/2021,12,0.5661,0.0119,0.4220,1
WEGE3,13/01/2021,90.07,10/07/2020,12/01/2021,83.79,30/01/2021,12,0.5504,0.0122,0.4374,0
WEGE3,14/01/2021,90.28,11/07/2020,13/01/2021,84.54,02/02/2021,12,0.5579,0.0119,0.4301,0
WEGE3,15/01/2021,89.87,14/07/2020,14/01/2021,85,03/02/2021,12,0.5618,0.0118,0.4264,0
WEGE3,16/01/2021,86.16,15/07/2020,15/01/2021,88.67,04/02/2021,12,0.5504,0.0122,0.4374,1
WEGE3,19/01/2021,92.21,16/07/2020,16/01/2021,87,12/02/2021,17,0.5424,0.0121,0.4455,0
WEGE3,20/01/2021,89.6,17/07/2020,19/01/2021,86.67,13/02/2021,17,0.5499,0.0119,0.4381,0
WEGE3,21/01/2021,88.7,18/07/2020,20/01/2021,85.5,09/02/2021,12,0.5345,0.0121,0.4534,0
WEGE3,22/01/2021,87.65,21/07/2020,21/01/2021,83.38,19/02/2021,17,0.5301,0.0120,0.4578,0
WEGE3,23/01/2021,88.97,22/07/2020,22/01/2021,86.03,11/02/2021,12,0.5263,0.0121,0.4615,0
WEGE3,27/01/2021,88.95,23/07/2020,23/01/2021,87,12/02/2021,12,0.5378,0.0119,0.4504,0
WEGE3,28/01/2021,88.25,24/07/2020,27/01/2021,83.66,24/02/2021,17,0.5301,0.0120,0.4578,0
WEGE3,29/01/2021,87.97,25/07/2020,28/01/2021,83.95,18/02/2021,12,0.5263,0.0121,0.4615,0
WEGE3,30/01/2021,83.79,28/07/2020,29/01/2021,79.5,26/02/2021,17,0.5221,0.0120,0.4659,0
WEGE3,02/02/2021,84.54,29/07/2020,30/01/2021,78.05,27/02/2021,17,0.5221,0.0120,0.4659,0
WEGE3,03/02/2021,85,30/07/2020,02/02/2021,78,02/03/2021,17,0.5340,0.0119,0.4541,0
WEGE3,04/02/2021,88.67,31/07/2020,03/02/2021,83.66,24/02/2021,12,0.5380,0.0118,0.4501,0
WEGE3,05/02/2021,85.57,01/08/2020,04/02/2021,86.7,25/02/2021,12,0.5460,0.0118,0.4421,1
WEGE3,06/02/2021,84.5,04/08/2020,05/02/2021,79.5,26/02/2021,12,0.5342,0.0122,0.4536,0
WEGE3,09/02/2021,85.5,05/08/2020,06/02/2021,73.04,06/03/2021,17,0.5262,0.0121,0.4617,0
WEGE3,10/02/2021,85.01,06/08/2020,09/02/2021,69.15,09/03/2021,17,0.5340,0.0119,0.4541,0
WEGE3,11/02/2021,86.03,07/08/2020,10/02/2021,71.5,10/03/2021,17,0.5221,0.0120,0.4659,0
WEGE3,12/02/2021,87,08/08/2020,11/02/2021,72.28,11/03/2021,17,0.5340,0.0119,0.4541,0
WEGE3,13/02/2021,86.67,11/08/2020,12/02/2021,73.23,05/03/2021,12,0.5380,0.0118,0.4501,0
WEGE3,18/02/2021,83.95,12/08/2020,13/02/2021,71.15,13/03/2021,17,0.5262,0.0121,0.4617,0
WEGE3,19/02/2021,83.38,13/08/2020,18/02/2021,69.15,09/03/2021,12,0.5182,0.0121,0.4697,-1
WEGE3,20/02/2021,83.24,14/08/2020,19/02/2021,71.5,10/03/2021,12,0.5101,0.0121,0.4777,-1
WEGE3,23/02/2021,82.72,15/08/2020,20/02/2021,73.19,18/03/2021,17,0.5060,0.0120,0.4819,-1
WEGE3,24/02/2021,83.66,18/08/2020,23/02/2021,71.81,19/03/2021,17,0.5060,0.0120,0.4819,-1
WEGE3,25/02/2021,86.7,19/08/2020,24/02/2021,71.15,13/03/2021,12,0.5220,0.0119,0.4662,0
WEGE3,26/02/2021,79.5,20/08/2020,25/02/2021,73.22,16/03/2021,12,0.5261,0.0119,0.4620,0
WEGE3,27/02/2021,78.05,21/08/2020,26/02/2021,73.4,17/03/2021,12,0.5101,0.0121,0.4777,-1
WEGE3,02/03/2021,78,22/08/2020,27/02/2021,70.52,25/03/2021,17,0.5060,0.0120,0.4819,-1
WEGE3,03/03/2021,77.06,25/08/2020,02/03/2021,71.81,19/03/2021,12,0.5020,0.0121,0.4859,-1
WEGE3,04/03/2021,77,26/08/2020,03/03/2021,72.74,27/03/2021,17,0.4980,0.0120,0.4900,-1
WEGE3,05/03/2021,73.23,27/08/2020,04/03/2021,72.1,30/03/2021,17,0.4980,0.0120,0.4900,-1
WEGE3,06/03/2021,73.04,28/08/2020,05/03/2021,75.05,31/03/2021,17,0.4938,0.0121,0.4941,-1
WEGE3,09/03/2021,69.15,29/08/2020,06/03/2021,74.56,01/04/2021,17,0.4900,0.0120,0.4980,-1
WEGE3,10/03/2021,71.5,01/09/2020,09/03/2021,71.07,26/03/2021,12,0.4856,0.0122,0.5022,-1
WEGE3,11/03/2021,72.28,02/09/2020,10/03/2021,72.74,27/03/2021,12,0.4987,0.0118,0.4894,-1
WEGE3,12/03/2021,71.92,03/09/2020,11/03/2021,72.1,30/03/2021,12,0.5068,0.0118,0.4814,-1
WEGE3,13/03/2021,71.15,04/09/2020,12/03/2021,75.05,31/03/2021,12,0.4936,0.0122,0.4942,-1
WEGE3,16/03/2021,73.22,05/09/2020,13/03/2021,76.46,09/04/2021,17,0.4900,0.0120,0.4980,-1
WEGE3,17/03/2021,73.4,09/09/2020,16/03/2021,75.06,02/04/2021,12,0.5024,0.0119,0.4856,-1
WEGE3,18/03/2021,73.19,10/09/2020,17/03/2021,76.91,06/04/2021,12,0.5071,0.0118,0.4811,-1
WEGE3,19/03/2021,71.81,11/09/2020,18/03/2021,74.98,14/04/2021,17,0.4980,0.0120,0.4900,-1
WEGE3,20/03/2021,71.95,12/09/2020,19/03/2021,76.16,08/04/2021,12,0.4935,0.0122,0.4944,-1
WEGE3,23/03/2021,71.3,15/09/2020,20/03/2021,76.46,09/04/2021,12,0.5024,0.0119,0.4856,-1
WEGE3,24/03/2021,71.61,16/09/2020,23/03/2021,77.05,17/04/2021,17,0.4900,0.0120,0.4980,-1
