Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BBDC4,05/01/2021,26.43,03/01/2020,31/12/2020,27.11,12/01/2021,5,0.4702,0.0236,0.5062,-1
BBDC4,06/01/2021,26.25,04/01/2020,05/01/2021,27.09,13/01/2021,5,0.4699,0.0202,0.5099,-1
BBDC4,07/01/2021,27.07,07/01/2020,06/01/2021,26.68,14/01/2021,5,0.4699,0.0202,0.5099,-1
BBDC4,08/01/2021,27.84,08/01/2020,07/01/2021,27.5,15/01/2021,5,0.4777,0.0201,0.5022,-1
BBDC4,09/01/2021,27.6,09/01/2020,08/01/2021,26.74,16/01/2021,5,0.4817,0.0201,0.4981,-1
BBDC4,12/01/2021,27.11,10/01/2020,09/01/2021,26.83,19/01/2021,5,0.4780,0.0202,0.5019,-1
BBDC4,13/01/2021,27.09,11/01/2020,12/01/2021,26.4,20/01/2021,5,0.4773,0.0202,0.5025,-1
BBDC4,14/01/2021,26.68,14/01/2020,13/01/2021,25.85,21/01/2021,5,0.4739,0.0202,0.5059,-1
BBDC4,15/01/2021,27.5,15/01/2020,14/01/2021,25.48,22/01/2021,5,0.4739,0.0202,0.5059,-1
BBDC4,16/01/2021,26.74,16/01/2020,15/01/2021,25.01,23/01/2021,5,0.4811,0.0202,0.4987,-1
BBDC4,19/01/2021,26.83,17/01/2020,16/01/2021,24.41,27/01/2021,5,0.4733,0.0202,0.5065,-1
BBDC4,20/01/2021,26.4,18/01/2020,19/01/2021,24.8,28/01/2021,5,0.4777,0.0201,0.5022,-1
BBDC4,21/01/2021,25.85,21/01/2020,20/01/2021,25.53,29/01/2021,5,0.4739,0.0202,0.5059,-1
BBDC4,22/01/2021,25.48,22/01/2020,21/01/2021,24.74,30/01/2021,5,0.4733,0.0202,0.5065,-1
BBDC4,23/01/2021,25.01,23/01/2020,22/01/2021,26.01,05/02/2021,8,0.4693,0.0202,0.5106,-1
BBDC4,27/01/2021,24.41,24/01/2020,23/01/2021,25.13,03/02/2021,5,0.4658,0.0202,0.5140,-1
BBDC4,28/01/2021,24.8,25/01/2020,27/01/2021,25.25,04/02/2021,5,0.4658,0.0202,0.5140,-1
BBDC4,29/01/2021,25.53,28/01/2020,28/01/2021,26.01,05/02/2021,5,0.4730,0.0202,0.5068,-1
BBDC4,30/01/2021,24.74,29/01/2020,29/01/2021,25.87,06/02/2021,5,0.4737,0.0201,0.5062,-1
BBDC4,02/02/2021,25.25,30/01/2020,30/01/2021,25.32,09/02/2021,5,0.4692,0.0202,0.5106,-1
BBDC4,03/02/2021,25.13,31/01/2020,02/02/2021,25.45,10/02/2021,5,0.4737,0.0201,0.5062,-1
BBDC4,04/02/2021,25.25,01/02/2020,03/02/2021,25.17,11/02/2021,5,0.4692,0.0202,0.5106,-1
BBDC4,05/02/2021,26.01,04/02/2020,04/02/2021,24.91,19/02/2021,8,0.4737,0.0193,0.5070,-1
BBDC4,06/02/2021,25.87,05/02/2020,05/02/2021,25.2,13/02/2021,5,0.4773,0.0161,0.5066,-1
BBDC4,09/02/2021,25.32,06/02/2020,06/02/2021,25.18,18/02/2021,5,0.4702,0.0162,0.5136,-1
BBDC4,10/02/2021,25.45,07/02/2020,09/02/2021,24.91,19/02/2021,5,0.4695,0.0162,0.5144,-1
BBDC4,11/02/2021,25.17,08/02/2020,10/02/2021,24.7,20/02/2021,5,0.4733,0.0161,0.5106,-1
BBDC4,12/02/2021,25.2,11/02/2020,11/02/2021,23.08,23/02/2021,5,0.4655,0.0162,0.5184,1
BBDC4,13/02/2021,25.2,12/02/2020,12/02/2021,24.18,24/02/2021,5,0.4700,0.0161,0.5139,-1
BBDC4,18/02/2021,25.18,13/02/2020,13/02/2021,22.24,02/03/2021,8,0.4659,0.0241,0.5100,-1
BBDC4,19/02/2021,24.91,14/02/2020,18/02/2021,22.82,03/03/2021,8,0.4665,0.0202,0.5133,-1
BBDC4,20/02/2021,24.7,15/02/2020,19/02/2021,23.02,04/03/2021,8,0.4665,0.0202,0.5133,-1
BBDC4,23/02/2021,23.08,18/02/2020,20/02/2021,23.91,05/03/2021,8,0.4665,0.0202,0.5133,-1
BBDC4,24/02/2021,24.18,19/02/2020,23/02/2021,22.82,03/03/2021,5,0.4658,0.0202,0.5140,-1
BBDC4,25/02/2021,24.01,20/02/2020,24/02/2021,23.02,04/03/2021,5,0.4703,0.0201,0.5096,-1
BBDC4,26/02/2021,23.44,21/02/2020,25/02/2021,24.35,10/03/2021,8,0.4665,0.0202,0.5133,-1
BBDC4,27/02/2021,23,22/02/2020,26/02/2021,24.76,11/03/2021,8,0.4665,0.0202,0.5133,-1
BBDC4,02/03/2021,22.24,27/02/2020,27/02/2021,25.19,12/03/2021,8,0.4665,0.0202,0.5133,-1
BBDC4,03/03/2021,22.82,28/02/2020,02/03/2021,24.35,10/03/2021,5,0.4658,0.0202,0.5140,-1
BBDC4,04/03/2021,23.02,29/02/2020,03/03/2021,24.76,11/03/2021,5,0.4696,0.0201,0.5102,-1
BBDC4,05/03/2021,23.91,03/03/2020,04/03/2021,25.19,12/03/2021,5,0.4703,0.0201,0.5096,-1
BBDC4,06/03/2021,25.04,04/03/2020,05/03/2021,25.02,13/03/2021,5,0.4737,0.0201,0.5062,-1
BBDC4,09/03/2021,24.15,05/03/2020,06/03/2021,25.37,16/03/2021,5,0.4743,0.0201,0.5055,-1
BBDC4,10/03/2021,24.35,06/03/2020,09/03/2021,24.95,17/03/2021,5,0.4705,0.0202,0.5093,-1
BBDC4,11/03/2021,24.76,07/03/2020,10/03/2021,25.99,18/03/2021,5,0.4783,0.0201,0.5015,-1
BBDC4,12/03/2021,25.19,10/03/2020,11/03/2021,26.47,19/03/2021,5,0.4818,0.0201,0.4981,-1
BBDC4,13/03/2021,25.02,11/03/2020,12/03/2021,26.74,20/03/2021,5,0.4824,0.0201,0.4974,-1
BBDC4,16/03/2021,25.37,12/03/2020,13/03/2021,26.6,23/03/2021,5,0.4786,0.0202,0.5013,-1
BBDC4,17/03/2021,24.95,13/03/2020,16/03/2021,26.31,24/03/2021,5,0.4858,0.0201,0.4941,-1
BBDC4,18/03/2021,25.99,14/03/2020,17/03/2021,26.04,25/03/2021,5,0.4786,0.0202,0.5013,-1
BBDC4,19/03/2021,26.47,17/03/2020,18/03/2021,26.62,26/03/2021,5,0.4858,0.0201,0.4941,-1
BBDC4,20/03/2021,26.74,18/03/2020,19/03/2021,26.8,27/03/2021,5,0.4864,0.0201,0.4934,-1
BBDC4,23/03/2021,26.6,19/03/2020,20/03/2021,26.91,30/03/2021,5,0.4898,0.0201,0.4900,-1
BBDC4,24/03/2021,26.31,20/03/2020,23/03/2021,27.36,31/03/2021,5,0.4826,0.0202,0.4973,-1
BBDC4,25/03/2021,26.04,21/03/2020,24/03/2021,26.77,01/04/2021,5,0.4826,0.0202,0.4973,-1
BBDC4,26/03/2021,26.62,24/03/2020,25/03/2021,27.36,31/03/2021,3,0.4819,0.0202,0.4979,-1
BBDC4,27/03/2021,26.8,25/03/2020,26/03/2021,26.01,06/04/2021,5,0.4858,0.0201,0.4940,-1
BBDC4,30/03/2021,26.91,26/03/2020,27/03/2021,25.6,07/04/2021,5,0.4858,0.0201,0.4940,-1
BBDC4,31/03/2021,27.36,27/03/2020,30/03/2021,25.32,08/04/2021,5,0.4865,0.0201,0.4934,-1
BBDC4,01/04/2021,26.77,28/03/2020,31/03/2021,25.24,09/04/2021,5,0.4899,0.0201,0.4900,-1
BBDC4,02/04/2021,25.79,31/03/2020,01/04/2021,25.2,10/04/2021,5,0.4826,0.0202,0.4973,-1
BBDC4,06/04/2021,26.01,01/04/2020,02/04/2021,25.72,13/04/2021,5,0.4826,0.0202,0.4973,-1
BBDC4,07/04/2021,25.6,02/04/2020,06/04/2021,25.5,14/04/2021,5,0.4899,0.0201,0.4900,-1
BBDC4,08/04/2021,25.32,03/04/2020,07/04/2021,25.8,15/04/2021,5,0.4826,0.0202,0.4973,-1
BBDC4,09/04/2021,25.24,04/04/2020,08/04/2021,25.5,14/04/2021,3,0.4819,0.0202,0.4979,-1
BBDC4,10/04/2021,25.2,07/04/2020,09/04/2021,26.1,17/04/2021,5,0.4778,0.0202,0.5020,-1
BBDC4,13/04/2021,25.72,08/04/2020,10/04/2021,25.8,16/04/2021,3,0.4738,0.0202,0.5060,-1
BBDC4,14/04/2021,25.5,09/04/2020,13/04/2021,23.26,21/04/2021,5,0.4785,0.0201,0.5014,-1
BBDC4,15/04/2021,25.8,10/04/2020,14/04/2021,23.62,20/04/2021,3,0.4738,0.0202,0.5060,-1
BBDC4,16/04/2021,25.8,14/04/2020,15/04/2021,23.53,24/04/2021,5,0.4785,0.0201,0.5014,-1
BBDC4,17/04/2021,26.1,15/04/2020,16/04/2021,23.55,27/04/2021,5,0.4739,0.0281,0.4980,-1
BBDC4,20/04/2021,23.62,16/04/2020,17/04/2021,23.34,28/04/2021,5,0.4821,0.0242,0.4937,-1
BBDC4,21/04/2021,23.26,17/04/2020,20/04/2021,24.5,29/04/2021,5,0.4776,0.0242,0.4982,-1
BBDC4,23/04/2021,23.1,18/04/2020,21/04/2021,23.77,30/04/2021,5,0.4741,0.0242,0.5017,-1
BBDC4,24/04/2021,23.53,21/04/2020,23/04/2021,23.85,01/05/2021,5,0.4741,0.0242,0.5017,-1
BBDC4,27/04/2021,23.55,23/04/2020,24/04/2021,24.56,04/05/2021,5,0.4821,0.0242,0.4937,-1
BBDC4,28/04/2021,23.34,24/04/2020,27/04/2021,23.8,05/05/2021,5,0.4861,0.0242,0.4897,-1
BBDC4,29/04/2021,24.5,25/04/2020,28/04/2021,23.84,06/05/2021,5,0.4816,0.0242,0.4942,-1
BBDC4,30/04/2021,23.77,28/04/2020,29/04/2021,23.96,07/05/2021,5,0.4855,0.0242,0.4903,-1
BBDC4,01/05/2021,23.85,29/04/2020,30/04/2021,24.06,08/05/2021,5,0.4776,0.0242,0.4982,-1
BBDC4,04/05/2021,24.56,30/04/2020,01/05/2021,24.66,14/05/2021,8,0.4821,0.0242,0.4938,-1
BBDC4,05/05/2021,23.8,01/05/2020,04/05/2021,24.6,12/05/2021,5,0.4861,0.0242,0.4897,-1
BBDC4,06/05/2021,23.84,05/05/2020,05/05/2021,24.1,13/05/2021,5,0.4823,0.0235,0.4942,-1
BBDC4,07/05/2021,23.96,06/05/2020,06/05/2021,24.66,14/05/2021,5,0.4898,0.0202,0.4900,-1
BBDC4,08/05/2021,24.06,07/05/2020,07/05/2021,24.89,15/05/2021,5,0.4938,0.0202,0.4860,-1
BBDC4,11/05/2021,24.64,08/05/2020,08/05/2021,25,18/05/2021,5,0.4973,0.0202,0.4826,-1
BBDC4,12/05/2021,24.6,09/05/2020,11/05/2021,24.89,15/05/2021,3,0.4979,0.0202,0.4819,-1
BBDC4,13/05/2021,24.1,12/05/2020,12/05/2021,25.57,20/05/2021,5,0.4940,0.0201,0.4858,-1
BBDC4,14/05/2021,24.66,13/05/2020,13/05/2021,25.81,21/05/2021,5,0.4940,0.0201,0.4858,-1
BBDC4,15/05/2021,24.89,14/05/2020,14/05/2021,25.93,22/05/2021,5,0.5013,0.0202,0.4785,-1
BBDC4,18/05/2021,25,15/05/2020,15/05/2021,25.86,25/05/2021,5,0.5019,0.0202,0.4779,-1
BBDC4,19/05/2021,25.4,16/05/2020,18/05/2021,25.73,26/05/2021,5,0.5053,0.0202,0.4745,-1
BBDC4,20/05/2021,25.57,19/05/2020,19/05/2021,25.86,25/05/2021,3,0.5060,0.0202,0.4738,-1
BBDC4,21/05/2021,25.81,20/05/2020,20/05/2021,26.48,28/05/2021,5,0.5094,0.0202,0.4704,-1
BBDC4,22/05/2021,25.93,21/05/2020,21/05/2021,26.54,29/05/2021,5,0.5094,0.0202,0.4704,-1
BBDC4,25/05/2021,25.86,22/05/2020,22/05/2021,26.48,01/06/2021,5,0.5094,0.0202,0.4704,-1
BBDC4,26/05/2021,25.73,23/05/2020,25/05/2021,27.08,02/06/2021,5,0.5014,0.0201,0.4785,-1
BBDC4,27/05/2021,26.32,26/05/2020,26/05/2021,28.12,03/06/2021,5,0.4980,0.0201,0.4818,-1
BBDC4,28/05/2021,26.48,27/05/2020,27/05/2021,28.09,05/06/2021,5,0.5054,0.0202,0.4745,-1
