Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BRFS3,05/01/2021,21.48,03/01/2020,31/12/2020,21.53,12/01/2021,5,0.4357,0.0000,0.5643,0
BRFS3,06/01/2021,21.31,04/01/2020,05/01/2021,21.36,13/01/2021,5,0.4355,0.0000,0.5645,0
BRFS3,07/01/2021,21.2,07/01/2020,06/01/2021,21.24,14/01/2021,5,0.4355,0.0000,0.5645,0
BRFS3,08/01/2021,21.93,08/01/2020,07/01/2021,21.1,15/01/2021,5,0.4316,0.0000,0.5684,1
BRFS3,09/01/2021,21.98,09/01/2020,08/01/2021,20.76,16/01/2021,5,0.4355,0.0000,0.5645,1
BRFS3,12/01/2021,21.53,10/01/2020,09/01/2021,20.39,19/01/2021,5,0.4394,0.0000,0.5606,1
BRFS3,13/01/2021,21.36,11/01/2020,12/01/2021,20.41,20/01/2021,5,0.4316,0.0000,0.5684,1
BRFS3,14/01/2021,21.24,14/01/2020,13/01/2021,20.41,21/01/2021,5,0.4315,0.0000,0.5685,1
BRFS3,15/01/2021,21.1,15/01/2020,14/01/2021,20.05,22/01/2021,5,0.4315,0.0000,0.5685,1
BRFS3,16/01/2021,20.76,16/01/2020,15/01/2021,20.69,23/01/2021,5,0.4315,0.0000,0.5685,1
BRFS3,19/01/2021,20.39,17/01/2020,16/01/2021,20.41,27/01/2021,5,0.4315,0.0000,0.5685,0
BRFS3,20/01/2021,20.41,18/01/2020,19/01/2021,20.98,28/01/2021,5,0.4275,0.0000,0.5725,0
BRFS3,21/01/2021,20.41,21/01/2020,20/01/2021,21.65,29/01/2021,5,0.4354,0.0000,0.5646,0
BRFS3,22/01/2021,20.05,22/01/2020,21/01/2021,22.6,19/02/2021,17,0.4297,0.0080,0.5622,0
BRFS3,23/01/2021,20.69,23/01/2020,22/01/2021,22.39,05/02/2021,8,0.4274,0.0040,0.5685,0
BRFS3,27/01/2021,20.41,24/01/2020,23/01/2021,22.41,06/02/2021,8,0.4354,0.0041,0.5606,0
BRFS3,28/01/2021,20.98,25/01/2020,27/01/2021,22.57,04/02/2021,5,0.4315,0.0040,0.5645,0
BRFS3,29/01/2021,21.65,28/01/2020,28/01/2021,22.39,05/02/2021,5,0.4393,0.0041,0.5566,0
BRFS3,30/01/2021,21.22,29/01/2020,29/01/2021,22.41,06/02/2021,5,0.4434,0.0041,0.5526,0
BRFS3,02/02/2021,21.05,30/01/2020,30/01/2021,22.98,12/02/2021,8,0.4395,0.0040,0.5565,0
BRFS3,03/02/2021,21.9,31/01/2020,02/02/2021,23.3,13/02/2021,8,0.4395,0.0040,0.5565,0
BRFS3,04/02/2021,22.57,01/02/2020,03/02/2021,23.07,11/02/2021,5,0.4455,0.0040,0.5505,0
BRFS3,05/02/2021,22.39,04/02/2020,04/02/2021,22.98,12/02/2021,5,0.4455,0.0040,0.5505,0
BRFS3,06/02/2021,22.41,05/02/2020,05/02/2021,22.46,20/02/2021,8,0.4395,0.0040,0.5565,0
BRFS3,09/02/2021,23.1,06/02/2020,06/02/2021,21.5,23/02/2021,8,0.4474,0.0041,0.5486,1
BRFS3,10/02/2021,23.34,07/02/2020,09/02/2021,22.6,19/02/2021,5,0.4514,0.0041,0.5445,1
BRFS3,11/02/2021,23.07,08/02/2020,10/02/2021,22.46,20/02/2021,5,0.4554,0.0041,0.5405,1
BRFS3,12/02/2021,22.98,11/02/2020,11/02/2021,21.5,23/02/2021,5,0.4497,0.0040,0.5463,1
BRFS3,13/02/2021,23.3,12/02/2020,12/02/2021,23.09,24/02/2021,5,0.4457,0.0040,0.5503,1
BRFS3,18/02/2021,23.25,13/02/2020,13/02/2021,23.81,25/02/2021,5,0.4495,0.0040,0.5465,0
BRFS3,19/02/2021,22.6,14/02/2020,18/02/2021,21.59,03/03/2021,8,0.4435,0.0040,0.5524,1
BRFS3,20/02/2021,22.46,15/02/2020,19/02/2021,21.64,27/02/2021,5,0.4416,0.0040,0.5543,1
BRFS3,23/02/2021,21.5,18/02/2020,20/02/2021,22.73,05/03/2021,8,0.4395,0.0040,0.5565,0
BRFS3,24/02/2021,23.09,19/02/2020,23/02/2021,21.59,03/03/2021,5,0.4376,0.0040,0.5584,1
BRFS3,25/02/2021,23.81,20/02/2020,24/02/2021,21.71,04/03/2021,5,0.4434,0.0041,0.5526,1
