Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BRML3,05/01/2021,9.53,03/01/2020,31/12/2020,9.14,12/01/2021,5,0.4486,0.0161,0.5353,1
BRML3,06/01/2021,9.72,04/01/2020,05/01/2021,9.24,13/01/2021,5,0.4453,0.0161,0.5386,1
BRML3,07/01/2021,9.21,07/01/2020,06/01/2021,9.23,14/01/2021,5,0.4524,0.0161,0.5315,0
BRML3,08/01/2021,9.14,08/01/2020,07/01/2021,9.38,15/01/2021,5,0.4453,0.0161,0.5386,0
BRML3,09/01/2021,9.41,09/01/2020,08/01/2021,9.28,16/01/2021,5,0.4445,0.0161,0.5394,1
BRML3,12/01/2021,9.14,10/01/2020,09/01/2021,9.37,22/01/2021,8,0.4483,0.0161,0.5355,0
BRML3,13/01/2021,9.24,11/01/2020,12/01/2021,9.45,20/01/2021,5,0.4405,0.0161,0.5434,0
BRML3,14/01/2021,9.23,14/01/2020,13/01/2021,9.34,27/01/2021,8,0.4443,0.0161,0.5396,0
BRML3,15/01/2021,9.38,15/01/2020,14/01/2021,9.37,22/01/2021,5,0.4373,0.0161,0.5466,1
BRML3,16/01/2021,9.28,16/01/2020,15/01/2021,9.89,29/01/2021,8,0.4450,0.0161,0.5388,0
BRML3,19/01/2021,9.36,17/01/2020,16/01/2021,9.34,27/01/2021,5,0.4406,0.0161,0.5433,1
BRML3,20/01/2021,9.45,18/01/2020,19/01/2021,9.67,02/02/2021,8,0.4449,0.0151,0.5399,0
BRML3,21/01/2021,9.4,21/01/2020,20/01/2021,9.89,29/01/2021,5,0.4485,0.0121,0.5394,0
BRML3,22/01/2021,9.37,22/01/2020,21/01/2021,10.14,04/02/2021,8,0.4438,0.0121,0.5440,0
BRML3,23/01/2021,9.17,23/01/2020,22/01/2021,9.67,02/02/2021,5,0.4398,0.0121,0.5481,0
BRML3,27/01/2021,9.34,24/01/2020,23/01/2021,9.87,03/02/2021,5,0.4367,0.0121,0.5512,0
BRML3,28/01/2021,9.34,25/01/2020,27/01/2021,10.14,04/02/2021,5,0.4445,0.0121,0.5434,0
BRML3,29/01/2021,9.89,28/01/2020,28/01/2021,9.35,18/02/2021,12,0.4418,0.0201,0.5382,1
BRML3,30/01/2021,9.55,29/01/2020,29/01/2021,9.47,11/02/2021,8,0.4435,0.0161,0.5403,1
BRML3,02/02/2021,9.67,30/01/2020,30/01/2021,9.45,12/02/2021,8,0.4365,0.0161,0.5474,1
BRML3,03/02/2021,9.87,31/01/2020,02/02/2021,9.47,13/02/2021,8,0.4443,0.0161,0.5396,1
BRML3,04/02/2021,10.14,01/02/2020,03/02/2021,9.35,18/02/2021,8,0.4476,0.0161,0.5363,1
BRML3,05/02/2021,9.91,04/02/2020,04/02/2021,9.27,19/02/2021,8,0.4476,0.0161,0.5363,1
BRML3,06/02/2021,9.83,05/02/2020,05/02/2021,9.47,13/02/2021,5,0.4406,0.0161,0.5433,1
BRML3,09/02/2021,9.75,06/02/2020,06/02/2021,9.35,18/02/2021,5,0.4406,0.0161,0.5433,1
BRML3,10/02/2021,9.61,07/02/2020,09/02/2021,9.27,19/02/2021,5,0.4406,0.0161,0.5433,1
BRML3,11/02/2021,9.47,08/02/2020,10/02/2021,9.22,20/02/2021,5,0.4406,0.0161,0.5433,1
BRML3,12/02/2021,9.45,11/02/2020,11/02/2021,8.96,23/02/2021,5,0.4398,0.0161,0.5441,1
BRML3,13/02/2021,9.47,12/02/2020,12/02/2021,8.9,24/02/2021,5,0.4358,0.0161,0.5481,1
BRML3,18/02/2021,9.35,13/02/2020,13/02/2021,8.8,25/02/2021,5,0.4403,0.0161,0.5436,1
BRML3,19/02/2021,9.27,14/02/2020,18/02/2021,8.23,03/03/2021,8,0.4365,0.0161,0.5474,1
BRML3,20/02/2021,9.22,15/02/2020,19/02/2021,8.15,04/03/2021,8,0.4365,0.0161,0.5474,1
BRML3,23/02/2021,8.96,18/02/2020,20/02/2021,8.38,05/03/2021,8,0.4365,0.0161,0.5474,1
BRML3,24/02/2021,8.9,19/02/2020,23/02/2021,8.23,03/03/2021,5,0.4358,0.0161,0.5481,1
BRML3,25/02/2021,8.8,20/02/2020,24/02/2021,8.15,04/03/2021,5,0.4325,0.0161,0.5514,1
BRML3,26/02/2021,8.7,21/02/2020,25/02/2021,8.38,05/03/2021,5,0.4317,0.0161,0.5522,1
BRML3,27/02/2021,8.35,22/02/2020,26/02/2021,8.72,06/03/2021,5,0.4284,0.0161,0.5555,0
BRML3,02/03/2021,8.17,27/02/2020,27/02/2021,8.3,09/03/2021,5,0.4284,0.0161,0.5555,0
BRML3,03/03/2021,8.23,28/02/2020,02/03/2021,8.27,10/03/2021,5,0.4276,0.0161,0.5563,0
BRML3,04/03/2021,8.15,29/02/2020,03/03/2021,9.33,16/03/2021,8,0.4315,0.0161,0.5524,0
BRML3,05/03/2021,8.38,03/03/2020,04/03/2021,9.06,12/03/2021,5,0.4244,0.0161,0.5595,0
BRML3,06/03/2021,8.72,04/03/2020,05/03/2021,9.23,18/03/2021,8,0.4315,0.0161,0.5524,0
BRML3,09/03/2021,8.3,05/03/2020,06/03/2021,9.33,16/03/2021,5,0.4322,0.0161,0.5516,0
BRML3,10/03/2021,8.27,06/03/2020,09/03/2021,9.15,17/03/2021,5,0.4284,0.0161,0.5555,0
BRML3,11/03/2021,8.46,07/03/2020,10/03/2021,9.23,18/03/2021,5,0.4284,0.0161,0.5555,0
BRML3,12/03/2021,9.06,10/03/2020,11/03/2021,9.02,19/03/2021,5,0.4355,0.0161,0.5484,1
BRML3,13/03/2021,9.26,11/03/2020,12/03/2021,9.57,20/03/2021,5,0.4363,0.0161,0.5476,0
BRML3,16/03/2021,9.33,12/03/2020,13/03/2021,9.52,23/03/2021,5,0.4403,0.0161,0.5436,0
BRML3,17/03/2021,9.15,13/03/2020,16/03/2021,9.81,27/03/2021,8,0.4435,0.0161,0.5403,0
BRML3,18/03/2021,9.23,14/03/2020,17/03/2021,9.74,25/03/2021,5,0.4364,0.0161,0.5475,0
BRML3,19/03/2021,9.02,17/03/2020,18/03/2021,10.23,31/03/2021,8,0.4435,0.0161,0.5403,0
BRML3,20/03/2021,9.57,18/03/2020,19/03/2021,9.81,27/03/2021,5,0.4364,0.0161,0.5475,0
BRML3,23/03/2021,9.52,19/03/2020,20/03/2021,10.04,02/04/2021,8,0.4435,0.0161,0.5403,0
BRML3,24/03/2021,9.68,20/03/2020,23/03/2021,10.23,31/03/2021,5,0.4364,0.0161,0.5475,0
BRML3,25/03/2021,9.74,21/03/2020,24/03/2021,10.12,01/04/2021,5,0.4443,0.0161,0.5395,0
BRML3,26/03/2021,9.82,24/03/2020,25/03/2021,10.04,02/04/2021,5,0.4476,0.0161,0.5363,0
