Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CIEL3,05/01/2021,3.9,03/01/2020,31/12/2020,3.72,12/01/2021,5,0.4138,0.0282,0.5580,1
CIEL3,06/01/2021,3.81,04/01/2020,05/01/2021,3.82,13/01/2021,5,0.4098,0.0282,0.5620,0
CIEL3,07/01/2021,3.72,07/01/2020,06/01/2021,3.88,14/01/2021,5,0.4098,0.0282,0.5620,0
CIEL3,08/01/2021,3.75,08/01/2020,07/01/2021,3.93,15/01/2021,5,0.4098,0.0282,0.5620,0
CIEL3,09/01/2021,3.83,09/01/2020,08/01/2021,3.82,16/01/2021,5,0.4178,0.0282,0.5540,1
CIEL3,12/01/2021,3.72,10/01/2020,09/01/2021,3.81,19/01/2021,5,0.4214,0.0282,0.5504,0
CIEL3,13/01/2021,3.82,11/01/2020,12/01/2021,3.77,20/01/2021,5,0.4133,0.0283,0.5584,1
CIEL3,14/01/2021,3.88,14/01/2020,13/01/2021,3.75,21/01/2021,5,0.4173,0.0282,0.5545,1
CIEL3,15/01/2021,3.93,15/01/2020,14/01/2021,3.66,22/01/2021,5,0.4178,0.0282,0.5540,1
CIEL3,16/01/2021,3.82,16/01/2020,15/01/2021,3.61,23/01/2021,5,0.4214,0.0282,0.5504,1
CIEL3,19/01/2021,3.81,17/01/2020,16/01/2021,3.67,27/01/2021,5,0.4138,0.0283,0.5579,1
CIEL3,20/01/2021,3.77,18/01/2020,19/01/2021,4.16,28/01/2021,5,0.4138,0.0283,0.5579,0
CIEL3,21/01/2021,3.75,21/01/2020,20/01/2021,4.13,29/01/2021,5,0.4138,0.0283,0.5579,0
CIEL3,22/01/2021,3.66,22/01/2020,21/01/2021,4.11,30/01/2021,5,0.4133,0.0283,0.5585,0
CIEL3,23/01/2021,3.61,23/01/2020,22/01/2021,4.2,02/02/2021,5,0.4097,0.0283,0.5620,0
CIEL3,27/01/2021,3.67,24/01/2020,23/01/2021,4.22,03/02/2021,5,0.4097,0.0283,0.5620,0
CIEL3,28/01/2021,4.16,25/01/2020,27/01/2021,4.06,09/02/2021,8,0.4179,0.0276,0.5545,1
CIEL3,29/01/2021,4.13,28/01/2020,28/01/2021,4.22,03/02/2021,3,0.4217,0.0242,0.5541,0
CIEL3,30/01/2021,4.11,29/01/2020,29/01/2021,4.19,06/02/2021,5,0.4141,0.0242,0.5616,0
CIEL3,02/02/2021,4.2,30/01/2020,30/01/2021,4.06,09/02/2021,5,0.4136,0.0242,0.5622,1
CIEL3,03/02/2021,4.22,31/01/2020,02/02/2021,4.06,10/02/2021,5,0.4183,0.0242,0.5575,1
CIEL3,04/02/2021,4.2,01/02/2020,03/02/2021,3.91,11/02/2021,5,0.4217,0.0242,0.5541,1
CIEL3,05/02/2021,4.13,04/02/2020,04/02/2021,3.92,12/02/2021,5,0.4141,0.0242,0.5617,1
CIEL3,06/02/2021,4.19,05/02/2020,05/02/2021,3.66,13/02/2021,5,0.4135,0.0242,0.5623,1
CIEL3,09/02/2021,4.06,06/02/2020,06/02/2021,3.92,12/02/2021,3,0.4177,0.0242,0.5581,1
CIEL3,10/02/2021,4.06,07/02/2020,09/02/2021,3.59,19/02/2021,5,0.4101,0.0242,0.5657,1
CIEL3,11/02/2021,3.91,08/02/2020,10/02/2021,3.57,20/02/2021,5,0.4096,0.0321,0.5582,1
CIEL3,12/02/2021,3.92,11/02/2020,11/02/2021,3.63,26/02/2021,8,0.4103,0.0282,0.5615,1
CIEL3,13/02/2021,3.66,12/02/2020,12/02/2021,3.81,24/02/2021,5,0.4179,0.0282,0.5539,0
CIEL3,18/02/2021,3.68,13/02/2020,13/02/2021,3.38,02/03/2021,8,0.4103,0.0282,0.5615,1
CIEL3,19/02/2021,3.59,14/02/2020,18/02/2021,3.63,26/02/2021,5,0.4179,0.0282,0.5539,0
CIEL3,20/02/2021,3.57,15/02/2020,19/02/2021,3.4,04/03/2021,8,0.4103,0.0282,0.5615,1
CIEL3,23/02/2021,3.74,18/02/2020,20/02/2021,3.38,02/03/2021,5,0.4097,0.0283,0.5620,1
CIEL3,24/02/2021,3.81,19/02/2020,23/02/2021,3.36,03/03/2021,5,0.4139,0.0282,0.5579,1
CIEL3,25/02/2021,3.86,20/02/2020,24/02/2021,3.4,04/03/2021,5,0.4144,0.0282,0.5574,1
CIEL3,26/02/2021,3.63,21/02/2020,25/02/2021,3.46,05/03/2021,5,0.4185,0.0282,0.5533,1
CIEL3,27/02/2021,3.6,22/02/2020,26/02/2021,3.57,06/03/2021,5,0.4143,0.0282,0.5575,1
CIEL3,02/03/2021,3.38,27/02/2020,27/02/2021,3.36,09/03/2021,5,0.4143,0.0282,0.5575,1
CIEL3,03/03/2021,3.36,28/02/2020,02/03/2021,3.31,10/03/2021,5,0.4137,0.0283,0.5580,1
CIEL3,04/03/2021,3.4,29/02/2020,03/03/2021,3.41,11/03/2021,5,0.4097,0.0283,0.5620,0
CIEL3,05/03/2021,3.46,03/03/2020,04/03/2021,3.48,12/03/2021,5,0.4139,0.0282,0.5579,0
CIEL3,06/03/2021,3.57,04/03/2020,05/03/2021,3.5,13/03/2021,5,0.4139,0.0282,0.5579,1
CIEL3,09/03/2021,3.36,05/03/2020,06/03/2021,3.48,16/03/2021,5,0.4144,0.0282,0.5574,0
CIEL3,10/03/2021,3.31,06/03/2020,09/03/2021,3.67,20/03/2021,8,0.4103,0.0282,0.5615,0
CIEL3,11/03/2021,3.41,07/03/2020,10/03/2021,3.69,23/03/2021,8,0.4103,0.0282,0.5615,0
CIEL3,12/03/2021,3.48,10/03/2020,11/03/2021,3.54,19/03/2021,5,0.4179,0.0282,0.5539,0
CIEL3,13/03/2021,3.5,11/03/2020,12/03/2021,3.67,20/03/2021,5,0.4185,0.0282,0.5533,0
