Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
COCE5,05/01/2021,60.79,03/01/2020,31/12/2020,57.44,12/01/2021,5,0.4655,0.0363,0.4982,-1
COCE5,06/01/2021,59.15,04/01/2020,05/01/2021,57.92,13/01/2021,5,0.4659,0.0363,0.4978,-1
COCE5,07/01/2021,58.7,07/01/2020,06/01/2021,58.08,14/01/2021,5,0.4619,0.0363,0.5018,-1
COCE5,08/01/2021,58.12,08/01/2020,07/01/2021,58.65,15/01/2021,5,0.4583,0.0359,0.5059,-1
COCE5,09/01/2021,57.84,09/01/2020,08/01/2021,58.45,21/01/2021,8,0.4581,0.0323,0.5097,0
COCE5,12/01/2021,57.44,10/01/2020,09/01/2021,57.02,19/01/2021,5,0.4540,0.0323,0.5137,1
COCE5,13/01/2021,57.92,11/01/2020,12/01/2021,58.54,20/01/2021,5,0.4504,0.0323,0.5174,0
COCE5,14/01/2021,58.08,14/01/2020,13/01/2021,58.45,21/01/2021,5,0.4581,0.0323,0.5097,0
COCE5,15/01/2021,58.65,15/01/2020,14/01/2021,57.89,22/01/2021,5,0.4617,0.0323,0.5060,-1
COCE5,16/01/2021,58.59,16/01/2020,15/01/2021,55.2,29/01/2021,8,0.4621,0.0323,0.5056,-1
COCE5,19/01/2021,57.02,17/01/2020,16/01/2021,54.75,27/01/2021,5,0.4580,0.0323,0.5097,1
COCE5,20/01/2021,58.54,18/01/2020,19/01/2021,57.21,02/02/2021,8,0.4544,0.0323,0.5133,1
COCE5,21/01/2021,58.45,21/01/2020,20/01/2021,57.37,03/02/2021,8,0.4621,0.0323,0.5056,-1
COCE5,22/01/2021,57.89,22/01/2020,21/01/2021,55.29,30/01/2021,5,0.4580,0.0323,0.5097,1
COCE5,23/01/2021,56.93,23/01/2020,22/01/2021,55.4,05/02/2021,8,0.4545,0.0318,0.5137,1
COCE5,27/01/2021,54.75,24/01/2020,23/01/2021,57.37,03/02/2021,5,0.4542,0.0282,0.5175,0
COCE5,28/01/2021,54.91,25/01/2020,27/01/2021,56.12,04/02/2021,5,0.4507,0.0282,0.5211,0
COCE5,29/01/2021,55.2,28/01/2020,28/01/2021,55.94,10/02/2021,8,0.4585,0.0282,0.5133,0
COCE5,30/01/2021,55.29,29/01/2020,29/01/2021,55.87,06/02/2021,5,0.4620,0.0282,0.5097,-1
COCE5,02/02/2021,57.21,30/01/2020,30/01/2021,54.82,12/02/2021,8,0.4625,0.0282,0.5092,-1
COCE5,03/02/2021,57.37,31/01/2020,02/02/2021,55.94,10/02/2021,5,0.4661,0.0282,0.5057,-1
COCE5,04/02/2021,56.12,01/02/2020,03/02/2021,54.98,11/02/2021,5,0.4661,0.0282,0.5057,-1
COCE5,05/02/2021,55.4,04/02/2020,04/02/2021,54.82,12/02/2021,5,0.4588,0.0277,0.5135,1
COCE5,06/02/2021,55.87,05/02/2020,05/02/2021,53.53,13/02/2021,5,0.4586,0.0242,0.5172,1
COCE5,09/02/2021,55.89,06/02/2020,06/02/2021,52.29,23/02/2021,8,0.4630,0.0241,0.5129,-1
COCE5,10/02/2021,55.94,07/02/2020,09/02/2021,51.95,24/02/2021,8,0.4665,0.0242,0.5093,-1
COCE5,11/02/2021,54.98,08/02/2020,10/02/2021,54.33,20/02/2021,5,0.4671,0.0241,0.5088,-1
COCE5,12/02/2021,54.82,11/02/2020,11/02/2021,52.29,23/02/2021,5,0.4626,0.0242,0.5132,1
