Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CPFE3,05/01/2021,31.52,03/01/2020,31/12/2020,31.76,15/01/2021,8,0.5058,0.0040,0.4901,-1
CPFE3,06/01/2021,31.37,04/01/2020,05/01/2021,32.24,16/01/2021,8,0.5005,0.0040,0.4955,-1
CPFE3,07/01/2021,31.33,07/01/2020,06/01/2021,31.03,14/01/2021,5,0.4982,0.0040,0.4978,-1
CPFE3,08/01/2021,30.25,08/01/2020,07/01/2021,31.76,15/01/2021,5,0.4982,0.0040,0.4978,-1
CPFE3,09/01/2021,31.42,09/01/2020,08/01/2021,31.41,21/01/2021,8,0.4964,0.0040,0.4996,-1
CPFE3,12/01/2021,30.53,10/01/2020,09/01/2021,31.01,22/01/2021,8,0.5000,0.0040,0.4960,-1
CPFE3,13/01/2021,30.68,11/01/2020,12/01/2021,31.69,20/01/2021,5,0.4942,0.0040,0.5018,-1
CPFE3,14/01/2021,31.03,14/01/2020,13/01/2021,31.41,21/01/2021,5,0.5018,0.0040,0.4942,-1
CPFE3,15/01/2021,31.76,15/01/2020,14/01/2021,30.85,28/01/2021,8,0.5040,0.0040,0.4919,-1
CPFE3,16/01/2021,32.24,16/01/2020,15/01/2021,31.4,29/01/2021,8,0.5040,0.0040,0.4919,-1
CPFE3,19/01/2021,31.95,17/01/2020,16/01/2021,31.11,30/01/2021,8,0.5040,0.0040,0.4919,-1
CPFE3,20/01/2021,31.69,18/01/2020,19/01/2021,31.56,02/02/2021,8,0.4964,0.0040,0.4996,-1
CPFE3,21/01/2021,31.41,21/01/2020,20/01/2021,31.4,29/01/2021,5,0.4942,0.0040,0.5018,-1
CPFE3,22/01/2021,31.01,22/01/2020,21/01/2021,31.11,30/01/2021,5,0.4942,0.0040,0.5018,-1
