Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CPLE6,05/01/2021,73.65,03/01/2020,31/12/2020,69.31,12/01/2021,5,0.5077,0.0000,0.4923,-1
CPLE6,06/01/2021,72.54,04/01/2020,05/01/2021,66.01,16/01/2021,8,0.5003,0.0000,0.4997,-1
CPLE6,07/01/2021,72.33,07/01/2020,06/01/2021,65.4,14/01/2021,5,0.4963,0.0000,0.5037,-1
CPLE6,08/01/2021,70.74,08/01/2020,07/01/2021,64.99,20/01/2021,8,0.4960,0.0000,0.5040,-1
CPLE6,09/01/2021,73.32,09/01/2020,08/01/2021,66.01,16/01/2021,5,0.4922,0.0000,0.5078,-1
CPLE6,12/01/2021,69.31,10/01/2020,09/01/2021,65.26,19/01/2021,5,0.4960,0.0000,0.5040,-1
CPLE6,13/01/2021,67.07,11/01/2020,12/01/2021,65.31,23/01/2021,8,0.4882,0.0000,0.5118,-1
CPLE6,14/01/2021,65.4,14/01/2020,13/01/2021,65.13,21/01/2021,5,0.4842,0.0000,0.5158,-1
CPLE6,15/01/2021,67.05,15/01/2020,14/01/2021,66.28,22/01/2021,5,0.4802,0.0000,0.5198,-1
CPLE6,16/01/2021,66.01,16/01/2020,15/01/2021,66.16,29/01/2021,8,0.4876,0.0000,0.5124,-1
CPLE6,19/01/2021,65.26,17/01/2020,16/01/2021,63.66,27/01/2021,5,0.4802,0.0000,0.5198,-1
CPLE6,20/01/2021,64.99,18/01/2020,19/01/2021,65.4,02/02/2021,8,0.4761,0.0000,0.5239,-1
CPLE6,21/01/2021,65.13,21/01/2020,20/01/2021,66.16,29/01/2021,5,0.4758,0.0000,0.5242,-1
CPLE6,22/01/2021,66.28,22/01/2020,21/01/2021,65.28,30/01/2021,5,0.4835,0.0000,0.5165,-1
CPLE6,23/01/2021,65.31,23/01/2020,22/01/2021,65.4,02/02/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,27/01/2021,63.66,24/01/2020,23/01/2021,67.93,06/02/2021,8,0.4761,0.0000,0.5239,-1
CPLE6,28/01/2021,64.45,25/01/2020,27/01/2021,66.03,04/02/2021,5,0.4758,0.0000,0.5242,-1
CPLE6,29/01/2021,66.16,28/01/2020,28/01/2021,66.9,10/02/2021,8,0.4798,0.0000,0.5202,-1
CPLE6,30/01/2021,65.28,29/01/2020,29/01/2021,67.93,06/02/2021,5,0.4836,0.0000,0.5164,-1
CPLE6,02/02/2021,65.4,30/01/2020,30/01/2021,67.8,09/02/2021,5,0.4798,0.0000,0.5202,-1
CPLE6,03/02/2021,66.2,31/01/2020,02/02/2021,66.9,10/02/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,04/02/2021,66.03,01/02/2020,03/02/2021,66.3,11/02/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,05/02/2021,67.34,04/02/2020,04/02/2021,63.09,19/02/2021,8,0.4761,0.0000,0.5239,-1
CPLE6,06/02/2021,67.93,05/02/2020,05/02/2021,65.89,13/02/2021,5,0.4835,0.0000,0.5165,-1
CPLE6,09/02/2021,67.8,06/02/2020,06/02/2021,60.14,23/02/2021,8,0.4876,0.0000,0.5124,-1
CPLE6,10/02/2021,66.9,07/02/2020,09/02/2021,61.14,24/02/2021,8,0.4839,0.0000,0.5161,-1
CPLE6,11/02/2021,66.3,08/02/2020,10/02/2021,61.5,25/02/2021,8,0.4839,0.0000,0.5161,-1
CPLE6,12/02/2021,67.17,11/02/2020,11/02/2021,60.14,23/02/2021,5,0.4802,0.0000,0.5198,-1
CPLE6,13/02/2021,65.89,12/02/2020,12/02/2021,61.14,24/02/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,18/02/2021,65.12,13/02/2020,13/02/2021,58.99,02/03/2021,8,0.4762,0.0000,0.5238,-1
CPLE6,19/02/2021,63.09,14/02/2020,18/02/2021,59.55,26/02/2021,5,0.4758,0.0000,0.5242,-1
CPLE6,20/02/2021,63.26,15/02/2020,19/02/2021,58.58,27/02/2021,5,0.4721,0.0000,0.5279,1
CPLE6,23/02/2021,60.14,18/02/2020,20/02/2021,58.99,02/03/2021,5,0.4795,0.0000,0.5205,-1
CPLE6,24/02/2021,61.14,19/02/2020,23/02/2021,60.49,03/03/2021,5,0.4721,0.0000,0.5279,1
CPLE6,25/02/2021,61.5,20/02/2020,24/02/2021,60.01,04/03/2021,5,0.4795,0.0000,0.5205,-1
CPLE6,26/02/2021,59.55,21/02/2020,25/02/2021,59.17,10/03/2021,8,0.4798,0.0000,0.5202,-1
CPLE6,27/02/2021,58.58,22/02/2020,26/02/2021,61.11,06/03/2021,5,0.4758,0.0000,0.5242,-1
CPLE6,02/03/2021,58.99,27/02/2020,27/02/2021,59.55,09/03/2021,5,0.4758,0.0000,0.5242,-1
CPLE6,03/03/2021,60.49,28/02/2020,02/03/2021,59.17,10/03/2021,5,0.4835,0.0000,0.5165,-1
CPLE6,04/03/2021,60.01,29/02/2020,03/03/2021,61.64,11/03/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,05/03/2021,62.85,03/03/2020,04/03/2021,61.36,12/03/2021,5,0.4798,0.0000,0.5202,-1
CPLE6,06/03/2021,61.11,04/03/2020,05/03/2021,6.3,13/03/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,09/03/2021,59.55,05/03/2020,06/03/2021,6.76,16/03/2021,5,0.4798,0.0000,0.5202,-1
CPLE6,10/03/2021,59.17,06/03/2020,09/03/2021,6.88,17/03/2021,5,0.4798,0.0000,0.5202,-1
CPLE6,11/03/2021,61.64,07/03/2020,10/03/2021,6.98,18/03/2021,5,0.4798,0.0000,0.5202,-1
CPLE6,12/03/2021,61.36,10/03/2020,11/03/2021,6.95,19/03/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,13/03/2021,6.3,11/03/2020,12/03/2021,6.99,20/03/2021,5,0.4798,0.0000,0.5202,-1
CPLE6,16/03/2021,6.76,12/03/2020,13/03/2021,7.1,23/03/2021,5,0.4798,0.0000,0.5202,-1
CPLE6,17/03/2021,6.88,13/03/2020,16/03/2021,7.08,24/03/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,18/03/2021,6.98,14/03/2020,17/03/2021,6.82,25/03/2021,5,0.4876,0.0000,0.5124,-1
CPLE6,19/03/2021,6.95,17/03/2020,18/03/2021,6.87,26/03/2021,5,0.4879,0.0000,0.5121,-1
CPLE6,20/03/2021,6.99,18/03/2020,19/03/2021,6.98,27/03/2021,5,0.4839,0.0000,0.5161,-1
CPLE6,23/03/2021,7.1,19/03/2020,20/03/2021,7.06,30/03/2021,5,0.4879,0.0000,0.5121,-1
CPLE6,24/03/2021,7.08,20/03/2020,23/03/2021,7.07,31/03/2021,5,0.4917,0.0000,0.5083,-1
CPLE6,25/03/2021,6.82,21/03/2020,24/03/2021,7.13,01/04/2021,5,0.4879,0.0000,0.5121,-1
CPLE6,26/03/2021,6.87,24/03/2020,25/03/2021,6.36,02/04/2021,5,0.4841,0.0000,0.5159,-1
CPLE6,27/03/2021,6.98,25/03/2020,26/03/2021,6.31,06/04/2021,5,0.4879,0.0000,0.5121,-1
CPLE6,30/03/2021,7.06,26/03/2020,27/03/2021,6.32,07/04/2021,5,0.4879,0.0000,0.5121,-1
CPLE6,31/03/2021,7.07,27/03/2020,30/03/2021,6.32,08/04/2021,5,0.4917,0.0000,0.5083,-1
CPLE6,01/04/2021,7.13,28/03/2020,31/03/2021,6.28,09/04/2021,5,0.4919,0.0000,0.5081,-1
CPLE6,02/04/2021,6.36,31/03/2020,01/04/2021,6.25,10/04/2021,5,0.4919,0.0000,0.5081,-1
CPLE6,06/04/2021,6.31,01/04/2020,02/04/2021,6.18,13/04/2021,5,0.4879,0.0000,0.5121,-1
CPLE6,07/04/2021,6.32,02/04/2020,06/04/2021,6.23,14/04/2021,5,0.4840,0.0000,0.5160,-1
CPLE6,08/04/2021,6.32,03/04/2020,07/04/2021,6.3,15/04/2021,5,0.4918,0.0000,0.5082,-1
