Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
DIRR3,05/01/2021,13.29,03/01/2020,31/12/2020,13.55,12/01/2021,5,0.4908,0.0202,0.4890,-1
DIRR3,06/01/2021,13.24,04/01/2020,05/01/2021,14.31,13/01/2021,5,0.4948,0.0202,0.4850,-1
DIRR3,07/01/2021,12.79,07/01/2020,06/01/2021,14.51,14/01/2021,5,0.4898,0.0201,0.4901,-1
DIRR3,08/01/2021,12.6,08/01/2020,07/01/2021,14.62,15/01/2021,5,0.4857,0.0201,0.4942,-1
DIRR3,09/01/2021,13.21,09/01/2020,08/01/2021,14.5,16/01/2021,5,0.4817,0.0201,0.4982,-1
DIRR3,12/01/2021,13.55,10/01/2020,09/01/2021,14.16,19/01/2021,5,0.4860,0.0202,0.4938,-1
DIRR3,13/01/2021,14.31,11/01/2020,12/01/2021,14.02,20/01/2021,5,0.4860,0.0202,0.4938,-1
DIRR3,14/01/2021,14.51,14/01/2020,13/01/2021,13.86,21/01/2021,5,0.4860,0.0202,0.4938,-1
DIRR3,15/01/2021,14.62,15/01/2020,14/01/2021,13.22,22/01/2021,5,0.4860,0.0202,0.4938,-1
DIRR3,16/01/2021,14.5,16/01/2020,15/01/2021,13.52,23/01/2021,5,0.4860,0.0202,0.4938,-1
DIRR3,19/01/2021,14.16,17/01/2020,16/01/2021,13.38,27/01/2021,5,0.4784,0.0201,0.5015,-1
DIRR3,20/01/2021,14.02,18/01/2020,19/01/2021,13.4,28/01/2021,5,0.4777,0.0201,0.5022,-1
DIRR3,21/01/2021,13.86,21/01/2020,20/01/2021,14.09,29/01/2021,5,0.4736,0.0201,0.5063,-1
DIRR3,22/01/2021,13.22,22/01/2020,21/01/2021,13.91,30/01/2021,5,0.4703,0.0201,0.5096,-1
DIRR3,23/01/2021,13.52,23/01/2020,22/01/2021,14.15,02/02/2021,5,0.4696,0.0201,0.5103,-1
DIRR3,27/01/2021,13.38,24/01/2020,23/01/2021,14.38,03/02/2021,5,0.4747,0.0202,0.5051,-1
DIRR3,28/01/2021,13.4,25/01/2020,27/01/2021,14.76,04/02/2021,5,0.4703,0.0201,0.5096,-1
DIRR3,29/01/2021,14.09,28/01/2020,28/01/2021,14.53,05/02/2021,5,0.4787,0.0202,0.5011,-1
DIRR3,30/01/2021,13.91,29/01/2020,29/01/2021,14.42,06/02/2021,5,0.4820,0.0202,0.4978,-1
DIRR3,02/02/2021,14.15,30/01/2020,30/01/2021,14.7,09/02/2021,5,0.4744,0.0201,0.5055,-1
DIRR3,03/02/2021,14.38,31/01/2020,02/02/2021,14.68,10/02/2021,5,0.4827,0.0202,0.4970,-1
DIRR3,04/02/2021,14.76,01/02/2020,03/02/2021,14.26,11/02/2021,5,0.4861,0.0202,0.4937,-1
DIRR3,05/02/2021,14.53,04/02/2020,04/02/2021,14.44,12/02/2021,5,0.4868,0.0202,0.4930,-1
DIRR3,06/02/2021,14.42,05/02/2020,05/02/2021,14.25,13/02/2021,5,0.4817,0.0201,0.4982,-1
DIRR3,09/02/2021,14.7,06/02/2020,06/02/2021,14.21,18/02/2021,5,0.4784,0.0201,0.5015,-1
DIRR3,10/02/2021,14.68,07/02/2020,09/02/2021,13.95,19/02/2021,5,0.4868,0.0202,0.4930,-1
DIRR3,11/02/2021,14.26,08/02/2020,10/02/2021,14.35,20/02/2021,5,0.4824,0.0201,0.4975,-1
DIRR3,12/02/2021,14.44,11/02/2020,11/02/2021,13.46,23/02/2021,5,0.4817,0.0201,0.4982,-1
DIRR3,13/02/2021,14.25,12/02/2020,12/02/2021,13.72,24/02/2021,5,0.4861,0.0202,0.4937,-1
DIRR3,18/02/2021,14.21,13/02/2020,13/02/2021,13.79,25/02/2021,5,0.4784,0.0201,0.5015,-1
DIRR3,19/02/2021,13.95,14/02/2020,18/02/2021,13.37,26/02/2021,5,0.4784,0.0201,0.5015,-1
DIRR3,20/02/2021,14.35,15/02/2020,19/02/2021,12.83,27/02/2021,5,0.4776,0.0201,0.5023,-1
DIRR3,23/02/2021,13.46,18/02/2020,20/02/2021,12.68,02/03/2021,5,0.4828,0.0202,0.4970,-1
DIRR3,24/02/2021,13.72,19/02/2020,23/02/2021,12.85,03/03/2021,5,0.4776,0.0201,0.5023,-1
DIRR3,25/02/2021,13.79,20/02/2020,24/02/2021,12.46,04/03/2021,5,0.4820,0.0202,0.4978,-1
DIRR3,26/02/2021,13.37,21/02/2020,25/02/2021,12.35,05/03/2021,5,0.4820,0.0202,0.4978,-1
DIRR3,27/02/2021,12.83,22/02/2020,26/02/2021,12.64,06/03/2021,5,0.4744,0.0201,0.5055,-1
DIRR3,02/03/2021,12.68,27/02/2020,27/02/2021,11.6,09/03/2021,5,0.4744,0.0201,0.5055,-1
DIRR3,03/03/2021,12.85,28/02/2020,02/03/2021,11.19,10/03/2021,5,0.4744,0.0201,0.5055,-1
DIRR3,04/03/2021,12.46,29/02/2020,03/03/2021,11.56,11/03/2021,5,0.4820,0.0202,0.4978,-1
DIRR3,05/03/2021,12.35,03/03/2020,04/03/2021,12.38,12/03/2021,5,0.4736,0.0201,0.5063,-1
DIRR3,06/03/2021,12.64,04/03/2020,05/03/2021,12.43,13/03/2021,5,0.4696,0.0201,0.5103,-1
DIRR3,09/03/2021,11.6,05/03/2020,06/03/2021,13.07,16/03/2021,5,0.4747,0.0202,0.5051,-1
DIRR3,10/03/2021,11.19,06/03/2020,09/03/2021,12.49,17/03/2021,5,0.4703,0.0201,0.5095,-1
DIRR3,11/03/2021,11.56,07/03/2020,10/03/2021,13.25,18/03/2021,5,0.4703,0.0201,0.5095,-1
