Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ENBR3,05/01/2021,19.56,03/01/2020,31/12/2020,19.31,12/01/2021,5,0.4578,0.0276,0.5146,1
ENBR3,06/01/2021,19.1,04/01/2020,05/01/2021,19.68,13/01/2021,5,0.4543,0.0276,0.5181,0
ENBR3,07/01/2021,18.98,07/01/2020,06/01/2021,19.89,14/01/2021,5,0.4543,0.0276,0.5181,0
ENBR3,08/01/2021,18.56,08/01/2020,07/01/2021,20.5,15/01/2021,5,0.4543,0.0276,0.5181,0
ENBR3,09/01/2021,19.36,09/01/2020,08/01/2021,20.05,21/01/2021,8,0.4537,0.0276,0.5187,0
ENBR3,12/01/2021,19.31,10/01/2020,09/01/2021,19.68,22/01/2021,8,0.4575,0.0277,0.5148,0
ENBR3,13/01/2021,19.68,11/01/2020,12/01/2021,19.46,23/01/2021,8,0.4503,0.0269,0.5228,1
ENBR3,14/01/2021,19.89,14/01/2020,13/01/2021,20.05,21/01/2021,5,0.4578,0.0236,0.5186,0
ENBR3,15/01/2021,20.5,15/01/2020,14/01/2021,19.68,22/01/2021,5,0.4616,0.0202,0.5182,1
ENBR3,16/01/2021,20.42,16/01/2020,15/01/2021,19.46,23/01/2021,5,0.4650,0.0202,0.5148,-1
ENBR3,19/01/2021,20.16,17/01/2020,16/01/2021,19.29,30/01/2021,8,0.4577,0.0194,0.5229,1
ENBR3,20/01/2021,20.17,18/01/2020,19/01/2021,19.36,28/01/2021,5,0.4574,0.0161,0.5265,1
ENBR3,21/01/2021,20.05,21/01/2020,20/01/2021,19.86,29/01/2021,5,0.4620,0.0161,0.5219,1
ENBR3,22/01/2021,19.68,22/01/2020,21/01/2021,19.91,04/02/2021,8,0.4582,0.0151,0.5267,0
ENBR3,23/01/2021,19.46,23/01/2020,22/01/2021,19.5,02/02/2021,5,0.4578,0.0121,0.5302,0
ENBR3,27/01/2021,19.19,24/01/2020,23/01/2021,19.83,03/02/2021,5,0.4547,0.0121,0.5332,0
ENBR3,28/01/2021,19.36,25/01/2020,27/01/2021,19.91,04/02/2021,5,0.4547,0.0121,0.5332,0
ENBR3,29/01/2021,19.86,28/01/2020,28/01/2021,19.9,05/02/2021,5,0.4616,0.0121,0.5263,0
ENBR3,30/01/2021,19.29,29/01/2020,29/01/2021,19.66,06/02/2021,5,0.4626,0.0121,0.5253,0
ENBR3,02/02/2021,19.5,30/01/2020,30/01/2021,19.5,09/02/2021,5,0.4587,0.0121,0.5292,0
ENBR3,03/02/2021,19.83,31/01/2020,02/02/2021,19.36,10/02/2021,5,0.4656,0.0121,0.5222,1
ENBR3,04/02/2021,19.91,01/02/2020,03/02/2021,19.01,11/02/2021,5,0.4656,0.0121,0.5222,1
ENBR3,05/02/2021,19.9,04/02/2020,04/02/2021,19.02,12/02/2021,5,0.4666,0.0121,0.5212,1
ENBR3,06/02/2021,19.66,05/02/2020,05/02/2021,18.92,13/02/2021,5,0.4627,0.0121,0.5252,1
ENBR3,09/02/2021,19.5,06/02/2020,06/02/2021,18.76,18/02/2021,5,0.4627,0.0121,0.5252,1
ENBR3,10/02/2021,19.36,07/02/2020,09/02/2021,18.66,19/02/2021,5,0.4627,0.0121,0.5252,1
ENBR3,11/02/2021,19.01,08/02/2020,10/02/2021,18.63,20/02/2021,5,0.4627,0.0121,0.5252,1
ENBR3,12/02/2021,19.02,11/02/2020,11/02/2021,18.05,23/02/2021,5,0.4618,0.0121,0.5262,1
ENBR3,13/02/2021,18.92,12/02/2020,12/02/2021,18.26,24/02/2021,5,0.4656,0.0121,0.5222,1
ENBR3,18/02/2021,18.76,13/02/2020,13/02/2021,18.31,25/02/2021,5,0.4578,0.0121,0.5302,1
ENBR3,19/02/2021,18.66,14/02/2020,18/02/2021,18.28,26/02/2021,5,0.4547,0.0121,0.5332,1
ENBR3,20/02/2021,18.63,15/02/2020,19/02/2021,18.01,27/02/2021,5,0.4537,0.0121,0.5342,1
ENBR3,23/02/2021,18.05,18/02/2020,20/02/2021,17.59,02/03/2021,5,0.4497,0.0121,0.5383,1
ENBR3,24/02/2021,18.26,19/02/2020,23/02/2021,17.78,03/03/2021,5,0.4456,0.0121,0.5423,1
ENBR3,25/02/2021,18.31,20/02/2020,24/02/2021,17.9,04/03/2021,5,0.4505,0.0121,0.5374,1
ENBR3,26/02/2021,18.28,21/02/2020,25/02/2021,18.47,05/03/2021,5,0.4536,0.0121,0.5343,0
ENBR3,27/02/2021,18.01,22/02/2020,26/02/2021,18.54,06/03/2021,5,0.4466,0.0121,0.5413,0
