Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ENGI11,05/01/2021,50.6,03/01/2020,31/12/2020,47.02,12/01/2021,5,0.5242,0.0081,0.4677,0
ENGI11,06/01/2021,50.99,04/01/2020,05/01/2021,47.17,13/01/2021,5,0.5165,0.0081,0.4754,-1
ENGI11,07/01/2021,49.34,07/01/2020,06/01/2021,47.65,19/01/2021,8,0.5214,0.0081,0.4706,0
ENGI11,08/01/2021,47.58,08/01/2020,07/01/2021,48.9,15/01/2021,5,0.5165,0.0081,0.4754,-1
ENGI11,09/01/2021,49.43,09/01/2020,08/01/2021,47.63,21/01/2021,8,0.5125,0.0081,0.4795,-1
ENGI11,12/01/2021,47.02,10/01/2020,09/01/2021,47.84,22/01/2021,8,0.5161,0.0081,0.4758,-1
ENGI11,13/01/2021,47.17,11/01/2020,12/01/2021,47.66,23/01/2021,8,0.5097,0.0081,0.4823,-1
ENGI11,14/01/2021,47.25,14/01/2020,13/01/2021,47.67,27/01/2021,8,0.5173,0.0081,0.4746,-1
ENGI11,15/01/2021,48.9,15/01/2020,14/01/2021,49.54,28/01/2021,8,0.5214,0.0081,0.4706,1
ENGI11,16/01/2021,48.4,16/01/2020,15/01/2021,50.69,29/01/2021,8,0.5242,0.0081,0.4677,1
ENGI11,19/01/2021,47.65,17/01/2020,16/01/2021,49.25,30/01/2021,8,0.5177,0.0081,0.4742,-1
ENGI11,20/01/2021,47.76,18/01/2020,19/01/2021,49.4,02/02/2021,8,0.5177,0.0081,0.4742,-1
ENGI11,21/01/2021,47.63,21/01/2020,20/01/2021,50.78,03/02/2021,8,0.5242,0.0081,0.4677,1
ENGI11,22/01/2021,47.84,22/01/2020,21/01/2021,52,04/02/2021,8,0.5165,0.0081,0.4754,-1
ENGI11,23/01/2021,47.66,23/01/2020,22/01/2021,50.76,05/02/2021,8,0.5202,0.0081,0.4718,-1
ENGI11,27/01/2021,47.67,24/01/2020,23/01/2021,50.11,06/02/2021,8,0.5126,0.0081,0.4794,-1
ENGI11,28/01/2021,49.54,25/01/2020,27/01/2021,50.78,09/02/2021,8,0.5173,0.0081,0.4746,-1
ENGI11,29/01/2021,50.69,28/01/2020,28/01/2021,51.25,10/02/2021,8,0.5202,0.0081,0.4718,-1
ENGI11,30/01/2021,49.25,29/01/2020,29/01/2021,50.62,11/02/2021,8,0.5214,0.0081,0.4706,1
ENGI11,02/02/2021,49.4,30/01/2020,30/01/2021,51.11,12/02/2021,8,0.5178,0.0081,0.4742,-1
ENGI11,03/02/2021,50.78,31/01/2020,02/02/2021,51.14,13/02/2021,8,0.5254,0.0081,0.4666,1
