Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
EVEN3,05/01/2021,11.67,03/01/2020,31/12/2020,10.73,08/01/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,06/01/2021,11.66,04/01/2020,05/01/2021,11.46,13/01/2021,5,0.4808,0.0121,0.5071,-1
EVEN3,07/01/2021,11.04,07/01/2020,06/01/2021,11.3,14/01/2021,5,0.4767,0.0121,0.5111,-1
EVEN3,08/01/2021,10.73,08/01/2020,07/01/2021,11.46,13/01/2021,3,0.4737,0.0121,0.5142,-1
EVEN3,09/01/2021,11.42,09/01/2020,08/01/2021,11.3,14/01/2021,3,0.4737,0.0121,0.5142,-1
EVEN3,12/01/2021,11.03,10/01/2020,09/01/2021,11.59,15/01/2021,3,0.4819,0.0121,0.5060,-1
EVEN3,13/01/2021,11.46,11/01/2020,12/01/2021,11.6,20/01/2021,5,0.4767,0.0121,0.5111,-1
EVEN3,14/01/2021,11.3,14/01/2020,13/01/2021,11.61,21/01/2021,5,0.4809,0.0121,0.5070,-1
EVEN3,15/01/2021,11.59,15/01/2020,14/01/2021,11.6,20/01/2021,3,0.4738,0.0121,0.5141,-1
EVEN3,16/01/2021,11.69,16/01/2020,15/01/2021,11.61,21/01/2021,3,0.4819,0.0121,0.5060,-1
EVEN3,19/01/2021,11.72,17/01/2020,16/01/2021,11.01,27/01/2021,5,0.4849,0.0121,0.5030,-1
EVEN3,20/01/2021,11.6,18/01/2020,19/01/2021,11.23,28/01/2021,5,0.4849,0.0121,0.5030,-1
EVEN3,21/01/2021,11.61,21/01/2020,20/01/2021,11.48,29/01/2021,5,0.4768,0.0121,0.5111,-1
EVEN3,22/01/2021,11.12,22/01/2020,21/01/2021,11.34,30/01/2021,5,0.4808,0.0121,0.5071,-1
EVEN3,23/01/2021,10.87,23/01/2020,22/01/2021,11.48,02/02/2021,5,0.4728,0.0121,0.5151,-1
EVEN3,27/01/2021,11.01,24/01/2020,23/01/2021,11.34,30/01/2021,3,0.4698,0.0121,0.5181,-1
EVEN3,28/01/2021,11.23,25/01/2020,27/01/2021,11.48,02/02/2021,3,0.4778,0.0121,0.5101,-1
EVEN3,29/01/2021,11.48,28/01/2020,28/01/2021,12.05,05/02/2021,5,0.4808,0.0121,0.5071,-1
EVEN3,30/01/2021,11.34,29/01/2020,29/01/2021,12.4,06/02/2021,5,0.4808,0.0121,0.5071,-1
EVEN3,02/02/2021,11.48,30/01/2020,30/01/2021,12.05,05/02/2021,3,0.4738,0.0121,0.5141,-1
EVEN3,03/02/2021,11.91,31/01/2020,02/02/2021,12.4,06/02/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,04/02/2021,12.12,01/02/2020,03/02/2021,11.56,11/02/2021,5,0.4849,0.0121,0.5030,-1
EVEN3,05/02/2021,12.05,04/02/2020,04/02/2021,11.63,12/02/2021,5,0.4849,0.0121,0.5030,-1
EVEN3,06/02/2021,12.4,05/02/2020,05/02/2021,11.75,13/02/2021,5,0.4768,0.0121,0.5110,-1
EVEN3,09/02/2021,12.15,06/02/2020,06/02/2021,11.63,12/02/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,10/02/2021,12.03,07/02/2020,09/02/2021,11.13,19/02/2021,5,0.4778,0.0121,0.5100,-1
EVEN3,11/02/2021,11.56,08/02/2020,10/02/2021,11.15,20/02/2021,5,0.4778,0.0121,0.5100,-1
EVEN3,12/02/2021,11.63,11/02/2020,11/02/2021,10.64,23/02/2021,5,0.4768,0.0121,0.5110,-1
EVEN3,13/02/2021,11.75,12/02/2020,12/02/2021,10.45,24/02/2021,5,0.4808,0.0121,0.5071,-1
EVEN3,18/02/2021,11.28,13/02/2020,13/02/2021,10.64,23/02/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,19/02/2021,11.13,14/02/2020,18/02/2021,10.4,26/02/2021,5,0.4778,0.0121,0.5100,-1
EVEN3,20/02/2021,11.15,15/02/2020,19/02/2021,9.99,27/02/2021,5,0.4768,0.0121,0.5110,-1
EVEN3,23/02/2021,10.64,18/02/2020,20/02/2021,10.4,26/02/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,24/02/2021,10.45,19/02/2020,23/02/2021,10.06,03/03/2021,5,0.4768,0.0121,0.5110,-1
EVEN3,25/02/2021,10.52,20/02/2020,24/02/2021,9.8,02/03/2021,3,0.4738,0.0121,0.5141,-1
EVEN3,26/02/2021,10.4,21/02/2020,25/02/2021,10.06,03/03/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,27/02/2021,9.99,22/02/2020,26/02/2021,10.75,06/03/2021,5,0.4778,0.0121,0.5100,-1
EVEN3,02/03/2021,9.8,27/02/2020,27/02/2021,9.9,09/03/2021,5,0.4778,0.0121,0.5100,-1
EVEN3,03/03/2021,10.06,28/02/2020,02/03/2021,9.32,10/03/2021,5,0.4768,0.0121,0.5110,-1
EVEN3,04/03/2021,9.99,29/02/2020,03/03/2021,9.9,09/03/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,05/03/2021,10.12,03/03/2020,04/03/2021,10.08,12/03/2021,5,0.4768,0.0121,0.5110,-1
EVEN3,06/03/2021,10.75,04/03/2020,05/03/2021,10.43,13/03/2021,5,0.4808,0.0121,0.5071,-1
EVEN3,09/03/2021,9.9,05/03/2020,06/03/2021,10.08,12/03/2021,3,0.4818,0.0121,0.5061,-1
EVEN3,10/03/2021,9.32,06/03/2020,09/03/2021,10.08,17/03/2021,5,0.4778,0.0121,0.5100,-1
EVEN3,11/03/2021,9.56,07/03/2020,10/03/2021,10.23,18/03/2021,5,0.4778,0.0121,0.5100,-1
EVEN3,12/03/2021,10.08,10/03/2020,11/03/2021,9.99,19/03/2021,5,0.4849,0.0121,0.5030,-1
EVEN3,13/03/2021,10.43,11/03/2020,12/03/2021,10.23,18/03/2021,3,0.4859,0.0121,0.5020,-1
EVEN3,16/03/2021,10.47,12/03/2020,13/03/2021,9.99,19/03/2021,3,0.4899,0.0121,0.4980,-1
EVEN3,17/03/2021,10.08,13/03/2020,16/03/2021,10.32,24/03/2021,5,0.4929,0.0121,0.4950,-1
EVEN3,18/03/2021,10.23,14/03/2020,17/03/2021,10.47,23/03/2021,3,0.4859,0.0121,0.5020,-1
EVEN3,19/03/2021,9.99,17/03/2020,18/03/2021,10.35,26/03/2021,5,0.4929,0.0121,0.4950,-1
EVEN3,20/03/2021,10.56,18/03/2020,19/03/2021,9.98,25/03/2021,3,0.4859,0.0121,0.5020,-1
EVEN3,23/03/2021,10.47,19/03/2020,20/03/2021,10.02,30/03/2021,5,0.4929,0.0121,0.4950,-1
EVEN3,24/03/2021,10.32,20/03/2020,23/03/2021,10.27,27/03/2021,3,0.4859,0.0121,0.5020,-1
EVEN3,25/03/2021,9.98,21/03/2020,24/03/2021,10.02,30/03/2021,3,0.4859,0.0121,0.5020,-1
EVEN3,26/03/2021,10.35,24/03/2020,25/03/2021,10.21,08/04/2021,8,0.4848,0.0121,0.5030,-1
EVEN3,27/03/2021,10.27,25/03/2020,26/03/2021,10.3,06/04/2021,5,0.4889,0.0121,0.4990,-1
EVEN3,30/03/2021,10.02,26/03/2020,27/03/2021,10.44,07/04/2021,5,0.4809,0.0121,0.5070,-1
EVEN3,31/03/2021,10.4,27/03/2020,30/03/2021,10.3,06/04/2021,3,0.4778,0.0121,0.5101,-1
EVEN3,01/04/2021,10.32,28/03/2020,31/03/2021,10.44,07/04/2021,3,0.4859,0.0121,0.5020,-1
EVEN3,02/04/2021,10.22,31/03/2020,01/04/2021,10.21,08/04/2021,3,0.4819,0.0121,0.5060,-1
EVEN3,06/04/2021,10.3,01/04/2020,02/04/2021,10.43,09/04/2021,3,0.4819,0.0121,0.5060,-1
EVEN3,07/04/2021,10.44,02/04/2020,06/04/2021,10.99,10/04/2021,3,0.4899,0.0121,0.4980,-1
EVEN3,08/04/2021,10.21,03/04/2020,07/04/2021,10.7,15/04/2021,5,0.4929,0.0121,0.4950,-1
EVEN3,09/04/2021,10.43,04/04/2020,08/04/2021,10.81,16/04/2021,5,0.4849,0.0121,0.5029,-1
EVEN3,10/04/2021,10.99,07/04/2020,09/04/2021,10.94,17/04/2021,5,0.4889,0.0121,0.4990,-1
EVEN3,13/04/2021,10.79,08/04/2020,10/04/2021,10.69,20/04/2021,5,0.4889,0.0121,0.4990,-1
EVEN3,14/04/2021,10.7,09/04/2020,13/04/2021,10.64,21/04/2021,5,0.4810,0.0121,0.5069,-1
EVEN3,15/04/2021,10.7,10/04/2020,14/04/2021,10.69,20/04/2021,3,0.4779,0.0121,0.5100,-1
EVEN3,16/04/2021,10.81,14/04/2020,15/04/2021,10.56,29/04/2021,8,0.4779,0.0201,0.5020,-1
EVEN3,17/04/2021,10.94,15/04/2020,16/04/2021,10.76,27/04/2021,5,0.4847,0.0161,0.4992,-1
EVEN3,20/04/2021,10.69,16/04/2020,17/04/2021,10.51,28/04/2021,5,0.4855,0.0161,0.4984,-1
EVEN3,21/04/2021,10.64,17/04/2020,20/04/2021,10.56,29/04/2021,5,0.4807,0.0162,0.5031,-1
EVEN3,23/04/2021,10.69,18/04/2020,21/04/2021,9.98,30/04/2021,5,0.4767,0.0162,0.5071,-1
EVEN3,24/04/2021,10.86,21/04/2020,23/04/2021,9.66,01/05/2021,5,0.4806,0.0161,0.5033,-1
EVEN3,27/04/2021,10.76,23/04/2020,24/04/2021,9.64,04/05/2021,5,0.4806,0.0161,0.5033,-1
EVEN3,28/04/2021,10.51,24/04/2020,27/04/2021,9.6,05/05/2021,5,0.4735,0.0162,0.5104,-1
EVEN3,29/04/2021,10.56,25/04/2020,28/04/2021,9.6,06/05/2021,5,0.4727,0.0162,0.5112,-1
EVEN3,30/04/2021,9.98,28/04/2020,29/04/2021,9.74,07/05/2021,5,0.4766,0.0161,0.5073,-1
EVEN3,01/05/2021,9.66,29/04/2020,30/04/2021,10.02,08/05/2021,5,0.4694,0.0162,0.5144,-1
EVEN3,04/05/2021,9.64,30/04/2020,01/05/2021,9.86,11/05/2021,5,0.4694,0.0162,0.5144,-1
EVEN3,05/05/2021,9.6,01/05/2020,04/05/2021,9.92,12/05/2021,5,0.4694,0.0162,0.5144,-1
EVEN3,06/05/2021,9.6,05/05/2020,05/05/2021,9.67,13/05/2021,5,0.4686,0.0162,0.5152,-1
EVEN3,07/05/2021,9.74,06/05/2020,06/05/2021,9.94,14/05/2021,5,0.4659,0.0241,0.5100,-1
EVEN3,08/05/2021,10.02,07/05/2020,07/05/2021,10.27,15/05/2021,5,0.4731,0.0201,0.5068,-1
EVEN3,11/05/2021,9.86,08/05/2020,08/05/2021,10.56,18/05/2021,5,0.4771,0.0201,0.5027,-1
EVEN3,12/05/2021,9.92,09/05/2020,11/05/2021,10.39,19/05/2021,5,0.4732,0.0202,0.5066,-1
EVEN3,13/05/2021,9.67,12/05/2020,12/05/2021,10.31,20/05/2021,5,0.4811,0.0201,0.4987,-1
EVEN3,14/05/2021,9.94,13/05/2020,13/05/2021,10.28,21/05/2021,5,0.4773,0.0202,0.5025,-1
EVEN3,15/05/2021,10.27,14/05/2020,14/05/2021,10.14,27/05/2021,8,0.4852,0.0201,0.4947,-1
EVEN3,18/05/2021,10.56,15/05/2020,15/05/2021,10.3,28/05/2021,8,0.4885,0.0201,0.4913,-1
EVEN3,19/05/2021,10.39,16/05/2020,18/05/2021,10.38,29/05/2021,8,0.4885,0.0201,0.4913,-1
EVEN3,20/05/2021,10.31,19/05/2020,19/05/2021,10.14,27/05/2021,5,0.4813,0.0202,0.4985,-1
EVEN3,21/05/2021,10.28,20/05/2020,20/05/2021,10.3,28/05/2021,5,0.4806,0.0202,0.4991,-1
EVEN3,22/05/2021,9.7,21/05/2020,21/05/2021,10.38,29/05/2021,5,0.4766,0.0202,0.5032,-1
EVEN3,25/05/2021,9.57,22/05/2020,22/05/2021,10.51,01/06/2021,5,0.4732,0.0202,0.5066,-1
EVEN3,26/05/2021,9.59,23/05/2020,25/05/2021,10.82,02/06/2021,5,0.4725,0.0202,0.5072,-1
EVEN3,27/05/2021,10.14,26/05/2020,26/05/2021,11.14,03/06/2021,5,0.4765,0.0201,0.5034,-1
EVEN3,28/05/2021,10.3,27/05/2020,27/05/2021,11.22,05/06/2021,5,0.4765,0.0201,0.5034,-1
EVEN3,29/05/2021,10.38,28/05/2020,28/05/2021,11.13,08/06/2021,5,0.4771,0.0201,0.5027,-1
EVEN3,01/06/2021,10.51,29/05/2020,29/05/2021,11.19,09/06/2021,5,0.4812,0.0201,0.4987,-1
EVEN3,02/06/2021,10.82,30/05/2020,01/06/2021,10.89,15/06/2021,8,0.4845,0.0201,0.4953,-1
EVEN3,03/06/2021,11.14,02/06/2020,02/06/2021,10.77,16/06/2021,8,0.4845,0.0201,0.4953,-1
EVEN3,05/06/2021,11.22,03/06/2020,03/06/2021,10.83,17/06/2021,8,0.4845,0.0201,0.4953,-1
EVEN3,08/06/2021,11.13,04/06/2020,05/06/2021,10.8,18/06/2021,8,0.4845,0.0201,0.4953,-1
EVEN3,09/06/2021,11.19,05/06/2020,08/06/2021,10.77,16/06/2021,5,0.4772,0.0202,0.5026,-1
EVEN3,10/06/2021,11.06,06/06/2020,09/06/2021,10.76,22/06/2021,8,0.4845,0.0201,0.4953,-1
EVEN3,11/06/2021,11,09/06/2020,10/06/2021,10.8,18/06/2021,5,0.4772,0.0202,0.5026,-1
EVEN3,12/06/2021,10.72,10/06/2020,11/06/2021,11.04,19/06/2021,5,0.4772,0.0202,0.5026,-1
EVEN3,15/06/2021,10.89,11/06/2020,12/06/2021,10.76,22/06/2021,5,0.4772,0.0202,0.5026,-1
EVEN3,16/06/2021,10.77,13/06/2020,15/06/2021,10.55,26/06/2021,8,0.4845,0.0201,0.4953,-1
EVEN3,17/06/2021,10.83,16/06/2020,16/06/2021,10.62,24/06/2021,5,0.4772,0.0202,0.5026,-1
EVEN3,18/06/2021,10.8,17/06/2020,17/06/2021,10.32,30/06/2021,8,0.4845,0.0201,0.4953,-1
EVEN3,19/06/2021,11.04,18/06/2020,18/06/2021,10.46,01/07/2021,8,0.4766,0.0202,0.5032,-1
EVEN3,22/06/2021,10.76,19/06/2020,19/06/2021,10.51,29/06/2021,5,0.4812,0.0201,0.4987,-1
EVEN3,23/06/2021,10.55,20/06/2020,22/06/2021,10.14,03/07/2021,8,0.4766,0.0202,0.5032,-1
EVEN3,24/06/2021,10.62,23/06/2020,23/06/2021,10.46,01/07/2021,5,0.4725,0.0202,0.5072,-1
EVEN3,25/06/2021,10.8,24/06/2020,24/06/2021,10.14,02/07/2021,5,0.4771,0.0201,0.5027,-1
EVEN3,26/06/2021,10.55,25/06/2020,25/06/2021,9.97,08/07/2021,8,0.4805,0.0201,0.4994,-1
