Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
EZTC3,05/01/2021,41.7,03/01/2020,31/12/2020,40.81,15/01/2021,8,0.4753,0.0000,0.5247,-1
EZTC3,06/01/2021,40.7,04/01/2020,05/01/2021,39.39,16/01/2021,8,0.4713,0.0000,0.5287,1
EZTC3,07/01/2021,38.82,07/01/2020,06/01/2021,39.24,14/01/2021,5,0.4673,0.0000,0.5327,0
EZTC3,08/01/2021,38.32,08/01/2020,07/01/2021,40.81,15/01/2021,5,0.4633,0.0000,0.5367,0
EZTC3,09/01/2021,40.44,09/01/2020,08/01/2021,39,21/01/2021,8,0.4592,0.0000,0.5408,1
EZTC3,12/01/2021,38.59,10/01/2020,09/01/2021,39.24,19/01/2021,5,0.4637,0.0000,0.5363,0
EZTC3,13/01/2021,40,11/01/2020,12/01/2021,39.6,20/01/2021,5,0.4553,0.0000,0.5447,1
EZTC3,14/01/2021,39.24,14/01/2020,13/01/2021,39,21/01/2021,5,0.4597,0.0000,0.5403,1
EZTC3,15/01/2021,40.81,15/01/2020,14/01/2021,36.8,22/01/2021,5,0.4513,0.0000,0.5487,1
EZTC3,16/01/2021,39.39,16/01/2020,15/01/2021,37.94,29/01/2021,8,0.4556,0.0000,0.5444,1
EZTC3,19/01/2021,39.24,17/01/2020,16/01/2021,35.4,27/01/2021,5,0.4474,0.0000,0.5526,1
EZTC3,20/01/2021,39.6,18/01/2020,19/01/2021,36.83,28/01/2021,5,0.4434,0.0000,0.5566,1
EZTC3,21/01/2021,39,21/01/2020,20/01/2021,37.94,29/01/2021,5,0.4476,0.0000,0.5524,1
EZTC3,22/01/2021,36.8,22/01/2020,21/01/2021,36.68,30/01/2021,5,0.4435,0.0000,0.5565,1
EZTC3,23/01/2021,36.14,23/01/2020,22/01/2021,37.93,02/02/2021,5,0.4393,0.0000,0.5607,0
EZTC3,27/01/2021,35.4,24/01/2020,23/01/2021,38.69,03/02/2021,5,0.4395,0.0000,0.5605,0
EZTC3,28/01/2021,36.83,25/01/2020,27/01/2021,39.18,04/02/2021,5,0.4395,0.0000,0.5605,0
EZTC3,29/01/2021,37.94,28/01/2020,28/01/2021,36.84,10/02/2021,8,0.4435,0.0000,0.5565,1
EZTC3,30/01/2021,36.68,29/01/2020,29/01/2021,38.2,06/02/2021,5,0.4478,0.0000,0.5522,0
EZTC3,02/02/2021,37.93,30/01/2020,30/01/2021,38.12,09/02/2021,5,0.4435,0.0000,0.5565,0
EZTC3,03/02/2021,38.69,31/01/2020,02/02/2021,36.84,10/02/2021,5,0.4518,0.0000,0.5482,1
EZTC3,04/02/2021,39.18,01/02/2020,03/02/2021,35.1,18/02/2021,8,0.4558,0.0000,0.5442,1
EZTC3,05/02/2021,38.65,04/02/2020,04/02/2021,35.71,12/02/2021,5,0.4599,0.0000,0.5401,1
EZTC3,06/02/2021,38.2,05/02/2020,05/02/2021,35.7,13/02/2021,5,0.4556,0.0000,0.5444,1
EZTC3,09/02/2021,38.12,06/02/2020,06/02/2021,35.1,18/02/2021,5,0.4556,0.0000,0.5444,1
EZTC3,10/02/2021,36.84,07/02/2020,09/02/2021,34.85,19/02/2021,5,0.4556,0.0000,0.5444,1
EZTC3,11/02/2021,35.4,08/02/2020,10/02/2021,34.94,20/02/2021,5,0.4556,0.0000,0.5444,1
EZTC3,12/02/2021,35.71,11/02/2020,11/02/2021,33.46,23/02/2021,5,0.4514,0.0000,0.5486,1
EZTC3,13/02/2021,35.7,12/02/2020,12/02/2021,33,24/02/2021,5,0.4556,0.0000,0.5444,1
EZTC3,18/02/2021,35.1,13/02/2020,13/02/2021,33.05,25/02/2021,5,0.4516,0.0000,0.5484,1
EZTC3,19/02/2021,34.85,14/02/2020,18/02/2021,31.87,26/02/2021,5,0.4516,0.0000,0.5484,1
EZTC3,20/02/2021,34.94,15/02/2020,19/02/2021,31.5,27/02/2021,5,0.4474,0.0000,0.5526,1
EZTC3,23/02/2021,33.46,18/02/2020,20/02/2021,31.13,05/03/2021,8,0.4558,0.0000,0.5442,1
EZTC3,24/02/2021,33,19/02/2020,23/02/2021,30.96,03/03/2021,5,0.4474,0.0000,0.5526,1
EZTC3,25/02/2021,33.05,20/02/2020,24/02/2021,30.78,04/03/2021,5,0.4476,0.0000,0.5524,1
