Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
GGBR4,05/01/2021,26.04,03/01/2020,31/12/2020,27.72,15/01/2021,8,0.5121,0.0040,0.4839,-1
GGBR4,06/01/2021,26.67,04/01/2020,05/01/2021,26.08,16/01/2021,8,0.5195,0.0041,0.4765,-1
GGBR4,07/01/2021,27.99,07/01/2020,06/01/2021,26.45,19/01/2021,8,0.5218,0.0040,0.4741,-1
GGBR4,08/01/2021,29.54,08/01/2020,07/01/2021,25.67,20/01/2021,8,0.5218,0.0040,0.4741,-1
GGBR4,09/01/2021,29.1,09/01/2020,08/01/2021,25.14,21/01/2021,8,0.5235,0.0041,0.4724,0
GGBR4,12/01/2021,28.3,10/01/2020,09/01/2021,25.02,22/01/2021,8,0.5185,0.0040,0.4775,-1
GGBR4,13/01/2021,27.52,11/01/2020,12/01/2021,25.36,23/01/2021,8,0.5144,0.0040,0.4815,-1
GGBR4,14/01/2021,26.61,14/01/2020,13/01/2021,24.05,27/01/2021,8,0.5121,0.0040,0.4839,-1
GGBR4,15/01/2021,27.72,15/01/2020,14/01/2021,23.61,28/01/2021,8,0.5121,0.0040,0.4839,-1
GGBR4,16/01/2021,26.08,16/01/2020,15/01/2021,24.29,29/01/2021,8,0.5178,0.0040,0.4781,-1
GGBR4,19/01/2021,26.45,17/01/2020,16/01/2021,23.25,30/01/2021,8,0.5104,0.0040,0.4856,-1
GGBR4,20/01/2021,25.67,18/01/2020,19/01/2021,23.24,02/02/2021,8,0.5138,0.0040,0.4822,-1
GGBR4,21/01/2021,25.14,21/01/2020,20/01/2021,22.97,03/02/2021,8,0.5081,0.0040,0.4879,-1
GGBR4,22/01/2021,25.02,22/01/2020,21/01/2021,23.53,04/02/2021,8,0.5064,0.0040,0.4896,-1
GGBR4,23/01/2021,25.36,23/01/2020,22/01/2021,23.19,05/02/2021,8,0.5023,0.0040,0.4936,-1
GGBR4,27/01/2021,24.05,24/01/2020,23/01/2021,24.2,06/02/2021,8,0.5074,0.0041,0.4885,-1
GGBR4,28/01/2021,23.61,25/01/2020,27/01/2021,24,09/02/2021,8,0.5040,0.0040,0.4919,-1
GGBR4,29/01/2021,24.29,28/01/2020,28/01/2021,24.15,10/02/2021,8,0.5023,0.0040,0.4936,-1
GGBR4,30/01/2021,23.25,29/01/2020,29/01/2021,23.57,11/02/2021,8,0.5074,0.0041,0.4885,-1
GGBR4,02/02/2021,23.24,30/01/2020,30/01/2021,24.11,12/02/2021,8,0.5023,0.0040,0.4936,-1
GGBR4,03/02/2021,22.97,31/01/2020,02/02/2021,24.11,13/02/2021,8,0.5000,0.0040,0.4960,-1
GGBR4,04/02/2021,23.53,01/02/2020,03/02/2021,24.46,18/02/2021,8,0.4983,0.0040,0.4977,-1
GGBR4,05/02/2021,23.19,04/02/2020,04/02/2021,27.14,25/02/2021,12,0.5017,0.0040,0.4942,-1
GGBR4,06/02/2021,24.2,05/02/2020,05/02/2021,24.9,20/02/2021,8,0.4960,0.0040,0.5000,-1
GGBR4,09/02/2021,24,06/02/2020,06/02/2021,24.78,23/02/2021,8,0.5034,0.0041,0.4926,-1
GGBR4,10/02/2021,24.15,07/02/2020,09/02/2021,25.73,24/02/2021,8,0.5000,0.0040,0.4960,-1
GGBR4,11/02/2021,23.57,08/02/2020,10/02/2021,27.14,25/02/2021,8,0.5074,0.0041,0.4886,-1
GGBR4,12/02/2021,24.11,11/02/2020,11/02/2021,26.12,26/02/2021,8,0.5024,0.0040,0.4936,-1
GGBR4,13/02/2021,24.11,12/02/2020,12/02/2021,25.87,27/02/2021,8,0.5057,0.0040,0.4903,-1
GGBR4,18/02/2021,24.46,13/02/2020,13/02/2021,27.62,06/03/2021,12,0.4980,0.0120,0.4900,-1
GGBR4,19/02/2021,24.39,14/02/2020,18/02/2021,27.03,03/03/2021,8,0.5062,0.0081,0.4857,-1
GGBR4,20/02/2021,24.9,15/02/2020,19/02/2021,26.94,04/03/2021,8,0.5018,0.0080,0.4901,-1
GGBR4,23/02/2021,24.78,18/02/2020,20/02/2021,26.91,05/03/2021,8,0.5062,0.0081,0.4857,-1
GGBR4,24/02/2021,25.73,19/02/2020,23/02/2021,27.62,06/03/2021,8,0.5029,0.0080,0.4890,-1
GGBR4,25/02/2021,27.14,20/02/2020,24/02/2021,26.96,09/03/2021,8,0.5102,0.0081,0.4817,-1
GGBR4,26/02/2021,26.12,21/02/2020,25/02/2021,27.33,10/03/2021,8,0.5143,0.0081,0.4776,-1
GGBR4,27/02/2021,25.87,22/02/2020,26/02/2021,26.97,11/03/2021,8,0.5110,0.0080,0.4809,-1
GGBR4,02/03/2021,26.67,27/02/2020,27/02/2021,27.99,12/03/2021,8,0.5110,0.0080,0.4809,-1
GGBR4,03/03/2021,27.03,28/02/2020,02/03/2021,27.5,13/03/2021,8,0.5183,0.0081,0.4736,-1
GGBR4,04/03/2021,26.94,29/02/2020,03/03/2021,28.49,16/03/2021,8,0.5212,0.0081,0.4707,1
GGBR4,05/03/2021,26.91,03/03/2020,04/03/2021,28.78,17/03/2021,8,0.5140,0.0080,0.4780,-1
GGBR4,06/03/2021,27.62,04/03/2020,05/03/2021,26.56,24/03/2021,12,0.5100,0.0080,0.4820,-1
GGBR4,09/03/2021,26.96,05/03/2020,06/03/2021,28.61,19/03/2021,8,0.5142,0.0081,0.4777,-1
GGBR4,10/03/2021,27.33,06/03/2020,09/03/2021,28.64,20/03/2021,8,0.5110,0.0080,0.4809,-1
GGBR4,11/03/2021,26.97,07/03/2020,10/03/2021,27.77,23/03/2021,8,0.5182,0.0081,0.4737,-1
GGBR4,12/03/2021,27.99,10/03/2020,11/03/2021,29,30/03/2021,12,0.5140,0.0080,0.4780,-1
GGBR4,13/03/2021,27.5,11/03/2020,12/03/2021,26.77,25/03/2021,8,0.5182,0.0081,0.4737,-1
GGBR4,16/03/2021,28.49,12/03/2020,13/03/2021,27.17,26/03/2021,8,0.5151,0.0080,0.4769,-1
GGBR4,17/03/2021,28.78,13/03/2020,16/03/2021,28.6,27/03/2021,8,0.5212,0.0081,0.4707,0
GGBR4,18/03/2021,29.12,14/03/2020,17/03/2021,29,30/03/2021,8,0.5223,0.0081,0.4696,0
GGBR4,19/03/2021,28.61,17/03/2020,18/03/2021,30.14,07/04/2021,12,0.5253,0.0081,0.4667,1
GGBR4,20/03/2021,28.64,18/03/2020,19/03/2021,30.71,08/04/2021,12,0.5191,0.0080,0.4729,-1
GGBR4,23/03/2021,27.77,19/03/2020,20/03/2021,30.81,09/04/2021,12,0.5253,0.0081,0.4667,1
GGBR4,24/03/2021,26.56,20/03/2020,23/03/2021,31.12,10/04/2021,12,0.5191,0.0080,0.4729,-1
GGBR4,25/03/2021,26.77,21/03/2020,24/03/2021,31.22,13/04/2021,12,0.5191,0.0080,0.4729,-1
GGBR4,26/03/2021,27.17,24/03/2020,25/03/2021,31.94,14/04/2021,12,0.5253,0.0081,0.4667,1
GGBR4,27/03/2021,28.6,25/03/2020,26/03/2021,32.39,15/04/2021,12,0.5253,0.0081,0.4667,1
GGBR4,30/03/2021,29,26/03/2020,27/03/2021,32.62,16/04/2021,12,0.5253,0.0081,0.4667,1
