Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
GOAU4,05/01/2021,11.8,03/01/2020,31/12/2020,12.46,15/01/2021,8,0.5311,0.0081,0.4609,1
GOAU4,06/01/2021,12.06,04/01/2020,05/01/2021,11.8,16/01/2021,8,0.5358,0.0081,0.4561,0
GOAU4,07/01/2021,12.55,07/01/2020,06/01/2021,11.89,19/01/2021,8,0.5387,0.0081,0.4533,0
GOAU4,08/01/2021,13.1,08/01/2020,07/01/2021,11.59,20/01/2021,8,0.5399,0.0081,0.4521,0
GOAU4,09/01/2021,12.88,09/01/2020,08/01/2021,11.8,16/01/2021,5,0.5427,0.0081,0.4492,0
GOAU4,12/01/2021,12.66,10/01/2020,09/01/2021,11.43,22/01/2021,8,0.5351,0.0081,0.4568,0
GOAU4,13/01/2021,12.44,11/01/2020,12/01/2021,11.59,23/01/2021,8,0.5311,0.0081,0.4609,0
GOAU4,14/01/2021,12.12,14/01/2020,13/01/2021,10.92,27/01/2021,8,0.5282,0.0081,0.4637,0
GOAU4,15/01/2021,12.46,15/01/2020,14/01/2021,10.74,28/01/2021,8,0.5270,0.0081,0.4649,0
GOAU4,16/01/2021,11.8,16/01/2020,15/01/2021,10.98,29/01/2021,8,0.5306,0.0081,0.4613,0
GOAU4,19/01/2021,11.89,17/01/2020,16/01/2021,10.58,30/01/2021,8,0.5230,0.0081,0.4689,0
GOAU4,20/01/2021,11.59,18/01/2020,19/01/2021,10.67,02/02/2021,8,0.5266,0.0081,0.4654,0
GOAU4,21/01/2021,11.41,21/01/2020,20/01/2021,10.52,03/02/2021,8,0.5202,0.0081,0.4718,-1
GOAU4,22/01/2021,11.43,22/01/2020,21/01/2021,10.82,04/02/2021,8,0.5190,0.0081,0.4730,-1
GOAU4,23/01/2021,11.59,23/01/2020,22/01/2021,10.62,05/02/2021,8,0.5238,0.0081,0.4682,0
GOAU4,27/01/2021,10.92,24/01/2020,23/01/2021,11.02,06/02/2021,8,0.5278,0.0081,0.4641,1
GOAU4,28/01/2021,10.74,25/01/2020,27/01/2021,10.91,09/02/2021,8,0.5242,0.0081,0.4677,1
GOAU4,29/01/2021,10.98,28/01/2020,28/01/2021,11.07,10/02/2021,8,0.5230,0.0081,0.4689,1
GOAU4,30/01/2021,10.58,29/01/2020,29/01/2021,10.77,11/02/2021,8,0.5278,0.0081,0.4641,1
GOAU4,02/02/2021,10.67,30/01/2020,30/01/2021,10.97,12/02/2021,8,0.5230,0.0081,0.4689,1
GOAU4,03/02/2021,10.52,31/01/2020,02/02/2021,10.95,13/02/2021,8,0.5278,0.0081,0.4641,1
GOAU4,04/02/2021,10.82,01/02/2020,03/02/2021,11.18,18/02/2021,8,0.5230,0.0081,0.4689,1
GOAU4,05/02/2021,10.62,04/02/2020,04/02/2021,11.07,19/02/2021,8,0.5266,0.0081,0.4654,1
GOAU4,06/02/2021,11.02,05/02/2020,05/02/2021,11.28,20/02/2021,8,0.5190,0.0081,0.4730,-1
GOAU4,09/02/2021,10.91,06/02/2020,06/02/2021,11.2,23/02/2021,8,0.5237,0.0081,0.4682,1
GOAU4,10/02/2021,11.07,07/02/2020,09/02/2021,11.7,24/02/2021,8,0.5202,0.0081,0.4718,-1
GOAU4,11/02/2021,10.77,08/02/2020,10/02/2021,12.21,25/02/2021,8,0.5277,0.0081,0.4642,1
GOAU4,12/02/2021,10.97,11/02/2020,11/02/2021,11.72,26/02/2021,8,0.5230,0.0081,0.4689,1
GOAU4,13/02/2021,10.95,12/02/2020,12/02/2021,11.58,27/02/2021,8,0.5265,0.0081,0.4654,1
GOAU4,18/02/2021,11.18,13/02/2020,13/02/2021,12.48,06/03/2021,12,0.5212,0.0061,0.4727,-1
GOAU4,19/02/2021,11.07,14/02/2020,18/02/2021,12.05,03/03/2021,8,0.5277,0.0040,0.4683,1
GOAU4,20/02/2021,11.28,15/02/2020,19/02/2021,12.03,04/03/2021,8,0.5225,0.0040,0.4735,-1
GOAU4,23/02/2021,11.2,18/02/2020,20/02/2021,12.13,05/03/2021,8,0.5277,0.0040,0.4683,1
GOAU4,24/02/2021,11.7,19/02/2020,23/02/2021,12.48,06/03/2021,8,0.5225,0.0040,0.4735,-1
GOAU4,25/02/2021,12.21,20/02/2020,24/02/2021,12.14,09/03/2021,8,0.5277,0.0040,0.4683,0
GOAU4,26/02/2021,11.72,21/02/2020,25/02/2021,12.26,10/03/2021,8,0.5317,0.0040,0.4643,1
