Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
JHSF3,05/01/2021,7.44,03/01/2020,31/12/2020,7.12,12/01/2021,5,0.4698,0.0282,0.5020,-1
JHSF3,06/01/2021,7.36,04/01/2020,05/01/2021,7.4,09/01/2021,3,0.4616,0.0283,0.5101,-1
JHSF3,07/01/2021,7.09,07/01/2020,06/01/2021,7.12,12/01/2021,3,0.4576,0.0283,0.5141,0
JHSF3,08/01/2021,7.02,08/01/2020,07/01/2021,7.33,15/01/2021,5,0.4541,0.0283,0.5177,0
JHSF3,09/01/2021,7.4,09/01/2020,08/01/2021,7.48,16/01/2021,5,0.4535,0.0283,0.5182,0
JHSF3,12/01/2021,7.12,10/01/2020,09/01/2021,7.41,19/01/2021,5,0.4577,0.0282,0.5141,0
JHSF3,13/01/2021,7.28,11/01/2020,12/01/2021,7.48,16/01/2021,3,0.4495,0.0283,0.5222,0
JHSF3,14/01/2021,7.17,14/01/2020,13/01/2021,7.41,19/01/2021,3,0.4537,0.0282,0.5181,0
JHSF3,15/01/2021,7.33,15/01/2020,14/01/2021,7.16,22/01/2021,5,0.4455,0.0283,0.5262,1
JHSF3,16/01/2021,7.48,16/01/2020,15/01/2021,7.06,23/01/2021,5,0.4501,0.0282,0.5217,1
JHSF3,19/01/2021,7.41,17/01/2020,16/01/2021,7.16,22/01/2021,3,0.4537,0.0282,0.5181,1
JHSF3,20/01/2021,7.34,18/01/2020,19/01/2021,7.09,28/01/2021,5,0.4455,0.0283,0.5262,1
JHSF3,21/01/2021,7.35,21/01/2020,20/01/2021,7.33,29/01/2021,5,0.4420,0.0283,0.5297,1
JHSF3,22/01/2021,7.16,22/01/2020,21/01/2021,7.22,30/01/2021,5,0.4501,0.0282,0.5217,0
JHSF3,23/01/2021,7.06,23/01/2020,22/01/2021,7.33,02/02/2021,5,0.4455,0.0283,0.5262,0
JHSF3,27/01/2021,7.04,24/01/2020,23/01/2021,7.61,03/02/2021,5,0.4420,0.0283,0.5297,0
JHSF3,28/01/2021,7.09,25/01/2020,27/01/2021,7.88,04/02/2021,5,0.4420,0.0283,0.5297,0
JHSF3,29/01/2021,7.33,28/01/2020,28/01/2021,7.61,03/02/2021,3,0.4496,0.0282,0.5222,0
JHSF3,30/01/2021,7.22,29/01/2020,29/01/2021,7.88,04/02/2021,3,0.4496,0.0282,0.5222,0
JHSF3,02/02/2021,7.33,30/01/2020,30/01/2021,7.58,09/02/2021,5,0.4420,0.0283,0.5297,0
JHSF3,03/02/2021,7.61,31/01/2020,02/02/2021,7.35,10/02/2021,5,0.4501,0.0282,0.5217,1
