Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
LAME4,05/01/2021,25.5,03/01/2020,31/12/2020,23.38,12/01/2021,5,0.5105,0.0081,0.4814,-1
LAME4,06/01/2021,24.93,04/01/2020,05/01/2021,24.3,16/01/2021,8,0.5040,0.0081,0.4879,-1
LAME4,07/01/2021,23.5,07/01/2020,06/01/2021,24.37,19/01/2021,8,0.5040,0.0081,0.4879,-1
LAME4,08/01/2021,23.18,08/01/2020,07/01/2021,24.65,20/01/2021,8,0.5040,0.0081,0.4879,-1
LAME4,09/01/2021,23.84,09/01/2020,08/01/2021,24.3,16/01/2021,5,0.5028,0.0080,0.4892,-1
LAME4,12/01/2021,23.38,10/01/2020,09/01/2021,25.29,22/01/2021,8,0.5077,0.0081,0.4841,-1
LAME4,13/01/2021,23.66,11/01/2020,12/01/2021,24.65,20/01/2021,5,0.5028,0.0080,0.4892,-1
LAME4,14/01/2021,23.6,14/01/2020,13/01/2021,25.65,21/01/2021,5,0.5065,0.0081,0.4854,-1
LAME4,15/01/2021,23.98,15/01/2020,14/01/2021,25.29,22/01/2021,5,0.5000,0.0081,0.4919,-1
LAME4,16/01/2021,24.3,16/01/2020,15/01/2021,24.77,23/01/2021,5,0.5065,0.0081,0.4854,-1
LAME4,19/01/2021,24.37,17/01/2020,16/01/2021,24.35,27/01/2021,5,0.5065,0.0081,0.4854,-1
LAME4,20/01/2021,24.65,18/01/2020,19/01/2021,24.4,28/01/2021,5,0.5065,0.0081,0.4854,-1
LAME4,21/01/2021,25.65,21/01/2020,20/01/2021,24.52,09/02/2021,12,0.5088,0.0061,0.4851,-1
LAME4,22/01/2021,25.29,22/01/2020,21/01/2021,24.09,30/01/2021,5,0.5118,0.0041,0.4841,-1
LAME4,23/01/2021,24.77,23/01/2020,22/01/2021,23.93,02/02/2021,5,0.5062,0.0040,0.4898,-1
LAME4,27/01/2021,24.35,24/01/2020,23/01/2021,25.25,03/02/2021,5,0.5040,0.0040,0.4919,-1
LAME4,28/01/2021,24.4,25/01/2020,27/01/2021,25.25,04/02/2021,5,0.5040,0.0040,0.4919,-1
LAME4,29/01/2021,24.85,28/01/2020,28/01/2021,24.81,05/02/2021,5,0.5099,0.0040,0.4860,-1
LAME4,30/01/2021,24.09,29/01/2020,29/01/2021,23.82,11/02/2021,8,0.5118,0.0041,0.4841,-1
LAME4,02/02/2021,23.93,30/01/2020,30/01/2021,24.52,09/02/2021,5,0.5081,0.0040,0.4879,-1
LAME4,03/02/2021,25.25,31/01/2020,02/02/2021,24.27,10/02/2021,5,0.5081,0.0040,0.4879,-1
LAME4,04/02/2021,25.25,01/02/2020,03/02/2021,23.82,11/02/2021,5,0.5158,0.0041,0.4801,-1
LAME4,05/02/2021,24.81,04/02/2020,04/02/2021,26.6,25/02/2021,12,0.5100,0.0120,0.4779,-1
