Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
MRFG3,05/01/2021,14.3,03/01/2020,31/12/2020,14.09,15/01/2021,8,0.5252,0.0161,0.4587,0
MRFG3,06/01/2021,14.21,04/01/2020,05/01/2021,14.21,13/01/2021,5,0.5219,0.0161,0.4620,0
MRFG3,07/01/2021,13.8,07/01/2020,06/01/2021,13.88,19/01/2021,8,0.5212,0.0161,0.4628,1
MRFG3,08/01/2021,13.84,08/01/2020,07/01/2021,13.67,20/01/2021,8,0.5171,0.0161,0.4668,0
MRFG3,09/01/2021,14.01,09/01/2020,08/01/2021,13.53,21/01/2021,8,0.5209,0.0161,0.4629,0
MRFG3,12/01/2021,13.96,10/01/2020,09/01/2021,13.88,19/01/2021,5,0.5217,0.0162,0.4622,0
MRFG3,13/01/2021,14.21,11/01/2020,12/01/2021,13.19,23/01/2021,8,0.5171,0.0161,0.4668,0
MRFG3,14/01/2021,14.19,14/01/2020,13/01/2021,12.8,27/01/2021,8,0.5209,0.0161,0.4629,0
MRFG3,15/01/2021,14.09,15/01/2020,14/01/2021,13.07,28/01/2021,8,0.5131,0.0161,0.4708,-1
MRFG3,16/01/2021,13.97,16/01/2020,15/01/2021,13.28,29/01/2021,8,0.5091,0.0161,0.4748,-1
MRFG3,19/01/2021,13.88,17/01/2020,16/01/2021,13.29,30/01/2021,8,0.5058,0.0151,0.4791,-1
MRFG3,20/01/2021,13.67,18/01/2020,19/01/2021,13.07,28/01/2021,5,0.5052,0.0121,0.4827,-1
MRFG3,21/01/2021,13.53,21/01/2020,20/01/2021,13.28,29/01/2021,5,0.5012,0.0121,0.4867,-1
MRFG3,22/01/2021,13.33,22/01/2020,21/01/2021,13.29,30/01/2021,5,0.4981,0.0121,0.4898,-1
MRFG3,23/01/2021,13.19,23/01/2020,22/01/2021,13.31,02/02/2021,5,0.4971,0.0121,0.4908,-1
MRFG3,27/01/2021,12.8,24/01/2020,23/01/2021,13.55,03/02/2021,5,0.4940,0.0121,0.4939,-1
MRFG3,28/01/2021,13.07,25/01/2020,27/01/2021,14.07,04/02/2021,5,0.4940,0.0121,0.4939,-1
MRFG3,29/01/2021,13.28,28/01/2020,28/01/2021,14.28,05/02/2021,5,0.5010,0.0121,0.4869,-1
MRFG3,30/01/2021,13.29,29/01/2020,29/01/2021,14.31,06/02/2021,5,0.5019,0.0121,0.4859,-1
MRFG3,02/02/2021,13.31,30/01/2020,30/01/2021,14.28,05/02/2021,3,0.5060,0.0121,0.4819,-1
MRFG3,03/02/2021,13.55,31/01/2020,02/02/2021,14.61,13/02/2021,8,0.5090,0.0121,0.4789,-1
MRFG3,04/02/2021,14.07,01/02/2020,03/02/2021,15.22,18/02/2021,8,0.5090,0.0121,0.4789,-1
MRFG3,05/02/2021,14.28,04/02/2020,04/02/2021,14.82,19/02/2021,8,0.5090,0.0121,0.4789,-1
MRFG3,06/02/2021,14.31,05/02/2020,05/02/2021,14.36,20/02/2021,8,0.5090,0.0121,0.4789,-1
MRFG3,09/02/2021,14.43,06/02/2020,06/02/2021,15.22,18/02/2021,5,0.5100,0.0121,0.4778,-1
MRFG3,10/02/2021,14.58,07/02/2020,09/02/2021,14.61,13/02/2021,3,0.5141,0.0121,0.4738,-1
MRFG3,11/02/2021,14.37,08/02/2020,10/02/2021,15.22,18/02/2021,3,0.5181,0.0121,0.4698,-1
MRFG3,12/02/2021,14.67,11/02/2020,11/02/2021,13.88,23/02/2021,5,0.5132,0.0121,0.4748,-1
MRFG3,13/02/2021,14.61,12/02/2020,12/02/2021,14.36,20/02/2021,3,0.5181,0.0121,0.4698,-1
MRFG3,18/02/2021,15.22,13/02/2020,13/02/2021,14.79,25/02/2021,5,0.5132,0.0121,0.4748,-1
MRFG3,19/02/2021,14.82,14/02/2020,18/02/2021,14.25,26/02/2021,5,0.5171,0.0121,0.4708,-1
MRFG3,20/02/2021,14.36,15/02/2020,19/02/2021,13.9,27/02/2021,5,0.5092,0.0121,0.4787,-1
