Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ODPV3,05/01/2021,15.17,03/01/2020,31/12/2020,14.46,15/01/2021,8,0.4980,0.0241,0.4779,-1
ODPV3,06/01/2021,15.45,04/01/2020,05/01/2021,14.53,13/01/2021,5,0.5019,0.0202,0.4779,-1
ODPV3,07/01/2021,15.04,07/01/2020,06/01/2021,14.3,14/01/2021,5,0.5059,0.0202,0.4739,-1
ODPV3,08/01/2021,14.3,08/01/2020,07/01/2021,14.46,15/01/2021,5,0.5015,0.0201,0.4784,-1
ODPV3,09/01/2021,14.58,09/01/2020,08/01/2021,15.05,16/01/2021,5,0.4974,0.0201,0.4824,-1
ODPV3,12/01/2021,14.46,10/01/2020,09/01/2021,14.83,19/01/2021,5,0.5019,0.0202,0.4779,-1
ODPV3,13/01/2021,14.53,11/01/2020,12/01/2021,14.46,20/01/2021,5,0.4974,0.0201,0.4824,-1
ODPV3,14/01/2021,14.3,14/01/2020,13/01/2021,14.48,21/01/2021,5,0.5013,0.0202,0.4786,-1
ODPV3,15/01/2021,14.46,15/01/2020,14/01/2021,14.43,22/01/2021,5,0.4941,0.0201,0.4858,-1
ODPV3,16/01/2021,15.05,16/01/2020,15/01/2021,14.02,23/01/2021,5,0.5013,0.0202,0.4786,-1
ODPV3,19/01/2021,14.83,17/01/2020,16/01/2021,14.35,27/01/2021,5,0.5013,0.0202,0.4786,-1
ODPV3,20/01/2021,14.46,18/01/2020,19/01/2021,14.21,28/01/2021,5,0.4935,0.0201,0.4864,-1
ODPV3,21/01/2021,14.48,21/01/2020,20/01/2021,14.53,29/01/2021,5,0.4900,0.0201,0.4898,-1
ODPV3,22/01/2021,14.43,22/01/2020,21/01/2021,14.17,30/01/2021,5,0.4972,0.0202,0.4826,-1
ODPV3,23/01/2021,14.02,23/01/2020,22/01/2021,14.5,02/02/2021,5,0.4894,0.0201,0.4904,-1
ODPV3,27/01/2021,14.35,24/01/2020,23/01/2021,14.6,03/02/2021,5,0.4860,0.0201,0.4938,-1
ODPV3,28/01/2021,14.21,25/01/2020,27/01/2021,14.2,04/02/2021,5,0.4938,0.0202,0.4860,-1
ODPV3,29/01/2021,14.53,28/01/2020,28/01/2021,14.06,05/02/2021,5,0.4894,0.0201,0.4904,-1
ODPV3,30/01/2021,14.17,29/01/2020,29/01/2021,13.96,06/02/2021,5,0.4932,0.0202,0.4866,-1
ODPV3,02/02/2021,14.5,30/01/2020,30/01/2021,13.6,09/02/2021,5,0.4860,0.0201,0.4938,-1
ODPV3,03/02/2021,14.6,31/01/2020,02/02/2021,13.55,10/02/2021,5,0.4938,0.0202,0.4860,-1
ODPV3,04/02/2021,14.2,01/02/2020,03/02/2021,13.59,11/02/2021,5,0.4978,0.0202,0.4820,-1
ODPV3,05/02/2021,14.06,04/02/2020,04/02/2021,13.37,12/02/2021,5,0.4935,0.0201,0.4864,-1
ODPV3,06/02/2021,13.96,05/02/2020,05/02/2021,13.35,13/02/2021,5,0.4895,0.0201,0.4904,-1
ODPV3,09/02/2021,13.6,06/02/2020,06/02/2021,13.26,18/02/2021,5,0.4860,0.0201,0.4938,-1
ODPV3,10/02/2021,13.55,07/02/2020,09/02/2021,13.25,19/02/2021,5,0.4860,0.0201,0.4938,-1
ODPV3,11/02/2021,13.59,08/02/2020,10/02/2021,13.2,20/02/2021,5,0.4860,0.0201,0.4938,-1
ODPV3,12/02/2021,13.37,11/02/2020,11/02/2021,13.14,23/02/2021,5,0.4938,0.0202,0.4860,-1
ODPV3,13/02/2021,13.35,12/02/2020,12/02/2021,13.04,24/02/2021,5,0.4895,0.0201,0.4904,-1
ODPV3,18/02/2021,13.26,13/02/2020,13/02/2021,13.07,25/02/2021,5,0.4854,0.0201,0.4944,-1
ODPV3,19/02/2021,13.25,14/02/2020,18/02/2021,13.2,03/03/2021,8,0.4814,0.0201,0.4985,-1
ODPV3,20/02/2021,13.2,15/02/2020,19/02/2021,13.03,27/02/2021,5,0.4774,0.0201,0.5025,-1
ODPV3,23/02/2021,13.14,18/02/2020,20/02/2021,13.26,02/03/2021,5,0.4739,0.0201,0.5059,-1
ODPV3,24/02/2021,13.04,19/02/2020,23/02/2021,13.2,03/03/2021,5,0.4733,0.0201,0.5066,-1
ODPV3,25/02/2021,13.07,20/02/2020,24/02/2021,13.14,04/03/2021,5,0.4699,0.0201,0.5100,-1
ODPV3,26/02/2021,12.99,21/02/2020,25/02/2021,13.12,05/03/2021,5,0.4777,0.0202,0.5021,-1
ODPV3,27/02/2021,13.03,22/02/2020,26/02/2021,13.23,06/03/2021,5,0.4739,0.0201,0.5059,-1
ODPV3,02/03/2021,13.26,27/02/2020,27/02/2021,13.08,09/03/2021,5,0.4817,0.0202,0.4981,-1
ODPV3,03/03/2021,13.2,28/02/2020,02/03/2021,12.59,10/03/2021,5,0.4851,0.0202,0.4947,-1
ODPV3,04/03/2021,13.14,29/02/2020,03/03/2021,12.16,11/03/2021,5,0.4774,0.0201,0.5025,-1
ODPV3,05/03/2021,13.12,03/03/2020,04/03/2021,12.84,12/03/2021,5,0.4739,0.0201,0.5059,-1
ODPV3,06/03/2021,13.23,04/03/2020,05/03/2021,12.61,13/03/2021,5,0.4739,0.0201,0.5059,-1
ODPV3,09/03/2021,13.08,05/03/2020,06/03/2021,12.65,16/03/2021,5,0.4817,0.0202,0.4981,-1
ODPV3,10/03/2021,12.59,06/03/2020,09/03/2021,12.58,17/03/2021,5,0.4780,0.0201,0.5019,-1
ODPV3,11/03/2021,12.16,07/03/2020,10/03/2021,12.93,18/03/2021,5,0.4780,0.0201,0.5019,-1
ODPV3,12/03/2021,12.84,10/03/2020,11/03/2021,12.79,19/03/2021,5,0.4774,0.0201,0.5025,-1
ODPV3,13/03/2021,12.61,11/03/2020,12/03/2021,13.04,20/03/2021,5,0.4817,0.0202,0.4981,-1
ODPV3,16/03/2021,12.65,12/03/2020,13/03/2021,12.95,23/03/2021,5,0.4780,0.0201,0.5019,-1
ODPV3,17/03/2021,12.58,13/03/2020,16/03/2021,13.03,24/03/2021,5,0.4851,0.0202,0.4947,-1
ODPV3,18/03/2021,12.93,14/03/2020,17/03/2021,12.89,25/03/2021,5,0.4780,0.0201,0.5019,-1
ODPV3,19/03/2021,12.79,17/03/2020,18/03/2021,13.33,26/03/2021,5,0.4851,0.0202,0.4947,-1
ODPV3,20/03/2021,13.04,18/03/2020,19/03/2021,13.36,27/03/2021,5,0.4780,0.0201,0.5019,-1
