Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
PSSA3,05/01/2021,47.78,03/01/2020,31/12/2020,49.71,15/01/2021,8,0.4798,0.0040,0.5161,-1
PSSA3,06/01/2021,47.36,04/01/2020,05/01/2021,49.56,16/01/2021,8,0.4780,0.0040,0.5179,-1
PSSA3,07/01/2021,46.4,07/01/2020,06/01/2021,49.99,19/01/2021,8,0.4758,0.0040,0.5202,-1
PSSA3,08/01/2021,47.52,08/01/2020,07/01/2021,49.71,20/01/2021,8,0.4758,0.0040,0.5202,-1
PSSA3,09/01/2021,50.8,09/01/2020,08/01/2021,49.84,21/01/2021,8,0.4816,0.0040,0.5143,-1
PSSA3,12/01/2021,49.49,10/01/2020,09/01/2021,50.03,22/01/2021,8,0.4816,0.0040,0.5143,-1
PSSA3,13/01/2021,49.39,11/01/2020,12/01/2021,49.37,23/01/2021,8,0.4758,0.0040,0.5202,-1
PSSA3,14/01/2021,49.13,14/01/2020,13/01/2021,49.84,21/01/2021,5,0.4740,0.0040,0.5220,-1
PSSA3,15/01/2021,49.71,15/01/2020,14/01/2021,47.97,28/01/2021,8,0.4718,0.0040,0.5242,1
PSSA3,16/01/2021,49.56,16/01/2020,15/01/2021,50.04,29/01/2021,8,0.4776,0.0040,0.5183,-1
PSSA3,19/01/2021,49.99,17/01/2020,16/01/2021,48.18,30/01/2021,8,0.4718,0.0040,0.5242,1
PSSA3,20/01/2021,49.71,18/01/2020,19/01/2021,48.76,02/02/2021,8,0.4776,0.0040,0.5183,-1
PSSA3,21/01/2021,49.84,21/01/2020,20/01/2021,49.29,03/02/2021,8,0.4718,0.0040,0.5242,1
PSSA3,22/01/2021,50.03,22/01/2020,21/01/2021,49.85,04/02/2021,8,0.4776,0.0040,0.5183,-1
