Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
SANB11,05/01/2021,44.41,03/01/2020,31/12/2020,41.87,21/01/2021,12,0.5032,0.0061,0.4907,-1
SANB11,06/01/2021,43.58,04/01/2020,05/01/2021,45.16,13/01/2021,5,0.5022,0.0040,0.4938,-1
SANB11,07/01/2021,44.66,07/01/2020,06/01/2021,44.75,14/01/2021,5,0.5022,0.0040,0.4938,-1
SANB11,08/01/2021,46.38,08/01/2020,07/01/2021,46,15/01/2021,5,0.5099,0.0040,0.4861,-1
SANB11,09/01/2021,45.89,09/01/2020,08/01/2021,43.7,16/01/2021,5,0.5140,0.0040,0.4820,-1
SANB11,12/01/2021,44.71,10/01/2020,09/01/2021,40.86,22/01/2021,8,0.5103,0.0040,0.4857,-1
SANB11,13/01/2021,45.16,11/01/2020,12/01/2021,40.6,23/01/2021,8,0.5084,0.0041,0.4875,-1
SANB11,14/01/2021,44.75,14/01/2020,13/01/2021,41.87,21/01/2021,5,0.5140,0.0040,0.4820,-1
SANB11,15/01/2021,46,15/01/2020,14/01/2021,39.05,28/01/2021,8,0.5103,0.0040,0.4857,-1
SANB11,16/01/2021,43.7,16/01/2020,15/01/2021,40.6,23/01/2021,5,0.5161,0.0040,0.4798,-1
SANB11,19/01/2021,43.92,17/01/2020,16/01/2021,39.29,27/01/2021,5,0.5084,0.0041,0.4875,-1
SANB11,20/01/2021,42.97,18/01/2020,19/01/2021,40.8,02/02/2021,8,0.5139,0.0040,0.4821,-1
SANB11,21/01/2021,41.87,21/01/2020,20/01/2021,40.61,29/01/2021,5,0.5103,0.0040,0.4857,-1
SANB11,22/01/2021,40.86,22/01/2020,21/01/2021,39.26,30/01/2021,5,0.5084,0.0041,0.4875,-1
SANB11,23/01/2021,40.6,23/01/2020,22/01/2021,40.8,02/02/2021,5,0.5044,0.0041,0.4915,-1
SANB11,27/01/2021,39.29,24/01/2020,23/01/2021,41,03/02/2021,5,0.5022,0.0040,0.4938,-1
SANB11,28/01/2021,39.05,25/01/2020,27/01/2021,40.84,04/02/2021,5,0.5022,0.0040,0.4938,-1
SANB11,29/01/2021,40.61,28/01/2020,28/01/2021,41.21,05/02/2021,5,0.5003,0.0041,0.4956,-1
SANB11,30/01/2021,39.26,29/01/2020,29/01/2021,41.56,06/02/2021,5,0.5059,0.0040,0.4901,-1
SANB11,02/02/2021,40.8,30/01/2020,30/01/2021,40.21,09/02/2021,5,0.5003,0.0041,0.4956,-1
SANB11,03/02/2021,41,31/01/2020,02/02/2021,40.86,10/02/2021,5,0.5059,0.0040,0.4901,-1
SANB11,04/02/2021,40.84,01/02/2020,03/02/2021,40.19,11/02/2021,5,0.5099,0.0040,0.4861,-1
SANB11,05/02/2021,41.21,04/02/2020,04/02/2021,40.6,12/02/2021,5,0.5044,0.0041,0.4916,-1
SANB11,06/02/2021,41.56,05/02/2020,05/02/2021,40.77,13/02/2021,5,0.5081,0.0040,0.4879,-1
SANB11,09/02/2021,40.21,06/02/2020,06/02/2021,41.01,18/02/2021,5,0.5099,0.0040,0.4861,-1
SANB11,10/02/2021,40.86,07/02/2020,09/02/2021,40.41,19/02/2021,5,0.5044,0.0041,0.4916,-1
SANB11,11/02/2021,40.19,08/02/2020,10/02/2021,40.66,20/02/2021,5,0.5081,0.0040,0.4879,-1
SANB11,12/02/2021,40.6,11/02/2020,11/02/2021,39.03,23/02/2021,5,0.5004,0.0041,0.4956,-1
SANB11,13/02/2021,40.77,12/02/2020,12/02/2021,40.32,24/02/2021,5,0.5059,0.0040,0.4901,-1
SANB11,18/02/2021,41.01,13/02/2020,13/02/2021,39.44,25/02/2021,5,0.5099,0.0040,0.4861,-1
SANB11,19/02/2021,40.41,14/02/2020,18/02/2021,38.11,03/03/2021,8,0.5139,0.0040,0.4821,-1
SANB11,20/02/2021,40.66,15/02/2020,19/02/2021,37.39,27/02/2021,5,0.5084,0.0041,0.4875,-1
SANB11,23/02/2021,39.03,18/02/2020,20/02/2021,36.95,02/03/2021,5,0.5121,0.0040,0.4839,-1
SANB11,24/02/2021,40.32,19/02/2020,23/02/2021,40.47,06/03/2021,8,0.5045,0.0041,0.4915,-1
SANB11,25/02/2021,39.44,20/02/2020,24/02/2021,37.66,04/03/2021,5,0.5099,0.0040,0.4861,-1
SANB11,26/02/2021,38.25,21/02/2020,25/02/2021,38.75,05/03/2021,5,0.5063,0.0040,0.4897,-1
SANB11,27/02/2021,37.39,22/02/2020,26/02/2021,40.47,06/03/2021,5,0.5063,0.0040,0.4897,-1
