Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
SMTO3,05/01/2021,27.25,03/01/2020,31/12/2020,31.2,12/01/2021,5,0.5302,0.0121,0.4577,1
SMTO3,06/01/2021,27.3,04/01/2020,05/01/2021,31.85,13/01/2021,5,0.5223,0.0121,0.4656,1
SMTO3,07/01/2021,28.67,07/01/2020,06/01/2021,31.35,14/01/2021,5,0.5271,0.0121,0.4608,1
SMTO3,08/01/2021,30.08,08/01/2020,07/01/2021,31.59,15/01/2021,5,0.5311,0.0121,0.4568,1
SMTO3,09/01/2021,31.09,09/01/2020,08/01/2021,31.08,16/01/2021,5,0.5342,0.0121,0.4537,0
SMTO3,12/01/2021,31.2,10/01/2020,09/01/2021,31.65,19/01/2021,5,0.5342,0.0121,0.4537,1
SMTO3,13/01/2021,31.85,11/01/2020,12/01/2021,32.08,20/01/2021,5,0.5342,0.0121,0.4537,1
SMTO3,14/01/2021,31.35,14/01/2020,13/01/2021,31.26,21/01/2021,5,0.5342,0.0121,0.4537,0
SMTO3,15/01/2021,31.59,15/01/2020,14/01/2021,30.01,28/01/2021,8,0.5273,0.0121,0.4607,0
SMTO3,16/01/2021,31.08,16/01/2020,15/01/2021,30.31,23/01/2021,5,0.5342,0.0121,0.4537,0
SMTO3,19/01/2021,31.65,17/01/2020,16/01/2021,30.43,27/01/2021,5,0.5263,0.0121,0.4616,0
SMTO3,20/01/2021,32.08,18/01/2020,19/01/2021,30.01,28/01/2021,5,0.5311,0.0121,0.4568,0
SMTO3,21/01/2021,31.26,21/01/2020,20/01/2021,30.4,29/01/2021,5,0.5342,0.0121,0.4537,0
SMTO3,22/01/2021,30.62,22/01/2020,21/01/2021,29.79,30/01/2021,5,0.5263,0.0121,0.4616,0
SMTO3,23/01/2021,30.31,23/01/2020,22/01/2021,30.84,02/02/2021,5,0.5232,0.0121,0.4647,1
SMTO3,27/01/2021,30.43,24/01/2020,23/01/2021,30.48,03/02/2021,5,0.5232,0.0121,0.4647,1
SMTO3,28/01/2021,30.01,25/01/2020,27/01/2021,30.4,04/02/2021,5,0.5311,0.0121,0.4568,1
SMTO3,29/01/2021,30.4,28/01/2020,28/01/2021,30.21,05/02/2021,5,0.5263,0.0121,0.4616,0
SMTO3,30/01/2021,29.79,29/01/2020,29/01/2021,30.6,06/02/2021,5,0.5311,0.0121,0.4568,1
SMTO3,02/02/2021,30.84,30/01/2020,30/01/2021,33.36,09/02/2021,5,0.5273,0.0121,0.4606,1
SMTO3,03/02/2021,30.48,31/01/2020,02/02/2021,32.7,10/02/2021,5,0.5351,0.0121,0.4528,1
SMTO3,04/02/2021,30.4,01/02/2020,03/02/2021,33.83,11/02/2021,5,0.5313,0.0121,0.4566,1
SMTO3,05/02/2021,30.21,04/02/2020,04/02/2021,35.22,12/02/2021,5,0.5304,0.0121,0.4575,1
SMTO3,06/02/2021,30.6,05/02/2020,05/02/2021,34.44,13/02/2021,5,0.5263,0.0121,0.4616,1
SMTO3,09/02/2021,33.36,06/02/2020,06/02/2021,34.03,18/02/2021,5,0.5301,0.0121,0.4578,1
SMTO3,10/02/2021,32.7,07/02/2020,09/02/2021,35.28,19/02/2021,5,0.5311,0.0121,0.4568,1
SMTO3,11/02/2021,33.83,08/02/2020,10/02/2021,35.5,20/02/2021,5,0.5263,0.0121,0.4616,1
SMTO3,12/02/2021,35.22,11/02/2020,11/02/2021,33.37,23/02/2021,5,0.5301,0.0121,0.4578,0
SMTO3,13/02/2021,34.44,12/02/2020,12/02/2021,33.41,24/02/2021,5,0.5301,0.0121,0.4578,0
