Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
SULA11,05/01/2021,42.7,03/01/2020,31/12/2020,42.9,15/01/2021,8,0.4302,0.0081,0.5618,0
SULA11,06/01/2021,42.5,04/01/2020,05/01/2021,42.29,13/01/2021,5,0.4274,0.0081,0.5645,1
SULA11,07/01/2021,41.01,07/01/2020,06/01/2021,42.8,14/01/2021,5,0.4274,0.0081,0.5645,0
SULA11,08/01/2021,41.3,08/01/2020,07/01/2021,42.9,15/01/2021,5,0.4274,0.0081,0.5645,0
SULA11,09/01/2021,42.7,09/01/2020,08/01/2021,41.87,16/01/2021,5,0.4341,0.0080,0.5579,1
SULA11,12/01/2021,42.17,10/01/2020,09/01/2021,40.45,22/01/2021,8,0.4354,0.0080,0.5565,1
SULA11,13/01/2021,42.29,11/01/2020,12/01/2021,39.94,23/01/2021,8,0.4315,0.0081,0.5605,1
SULA11,14/01/2021,42.8,14/01/2020,13/01/2021,40.9,21/01/2021,5,0.4381,0.0080,0.5539,1
SULA11,15/01/2021,42.9,15/01/2020,14/01/2021,40.45,22/01/2021,5,0.4395,0.0080,0.5525,1
SULA11,16/01/2021,41.87,16/01/2020,15/01/2021,39.94,23/01/2021,5,0.4422,0.0080,0.5498,1
SULA11,19/01/2021,41.78,17/01/2020,16/01/2021,40.05,27/01/2021,5,0.4342,0.0081,0.5578,1
SULA11,20/01/2021,41.39,18/01/2020,19/01/2021,39.93,28/01/2021,5,0.4301,0.0081,0.5618,1
SULA11,21/01/2021,40.9,21/01/2020,20/01/2021,41.38,29/01/2021,5,0.4274,0.0081,0.5645,0
SULA11,22/01/2021,40.45,22/01/2020,21/01/2021,39.91,30/01/2021,5,0.4261,0.0081,0.5658,1
SULA11,23/01/2021,39.94,23/01/2020,22/01/2021,39.51,02/02/2021,5,0.4220,0.0081,0.5699,1
SULA11,27/01/2021,40.05,24/01/2020,23/01/2021,40.18,06/02/2021,8,0.4194,0.0081,0.5726,0
SULA11,28/01/2021,39.93,25/01/2020,27/01/2021,40.4,04/02/2021,5,0.4274,0.0080,0.5646,0
SULA11,29/01/2021,41.38,28/01/2020,28/01/2021,39.58,05/02/2021,5,0.4220,0.0081,0.5699,1
SULA11,30/01/2021,39.91,29/01/2020,29/01/2021,40.18,06/02/2021,5,0.4274,0.0080,0.5646,0
SULA11,02/02/2021,39.51,30/01/2020,30/01/2021,38.55,12/02/2021,8,0.4234,0.0081,0.5685,1
SULA11,03/02/2021,39.8,31/01/2020,02/02/2021,38.18,13/02/2021,8,0.4234,0.0081,0.5685,1
SULA11,04/02/2021,40.4,01/02/2020,03/02/2021,38.52,11/02/2021,5,0.4314,0.0080,0.5606,1
SULA11,05/02/2021,39.58,04/02/2020,04/02/2021,37.52,19/02/2021,8,0.4354,0.0080,0.5565,1
SULA11,06/02/2021,40.18,05/02/2020,05/02/2021,36.94,20/02/2021,8,0.4315,0.0081,0.5605,1
SULA11,09/02/2021,39.67,06/02/2020,06/02/2021,38.25,18/02/2021,5,0.4394,0.0080,0.5526,1
SULA11,10/02/2021,38.99,07/02/2020,09/02/2021,35.88,24/02/2021,8,0.4355,0.0081,0.5565,1
SULA11,11/02/2021,38.52,08/02/2020,10/02/2021,36.35,25/02/2021,8,0.4355,0.0081,0.5565,1
SULA11,12/02/2021,38.55,11/02/2020,11/02/2021,36.45,23/02/2021,5,0.4342,0.0081,0.5577,1
SULA11,13/02/2021,38.18,12/02/2020,12/02/2021,35.88,24/02/2021,5,0.4381,0.0080,0.5539,1
SULA11,18/02/2021,38.25,13/02/2020,13/02/2021,32.78,02/03/2021,8,0.4315,0.0081,0.5605,1
SULA11,19/02/2021,37.52,14/02/2020,18/02/2021,32.8,03/03/2021,8,0.4394,0.0080,0.5526,1
SULA11,20/02/2021,36.94,15/02/2020,19/02/2021,32.61,04/03/2021,8,0.4355,0.0081,0.5565,1
SULA11,23/02/2021,36.45,18/02/2020,20/02/2021,32.78,02/03/2021,5,0.4342,0.0081,0.5577,1
SULA11,24/02/2021,35.88,19/02/2020,23/02/2021,32.8,03/03/2021,5,0.4302,0.0081,0.5617,1
SULA11,25/02/2021,36.35,20/02/2020,24/02/2021,31.79,09/03/2021,8,0.4274,0.0081,0.5645,1
SULA11,26/02/2021,34.78,21/02/2020,25/02/2021,32.7,16/03/2021,12,0.4362,0.0060,0.5578,1
SULA11,27/02/2021,33.03,22/02/2020,26/02/2021,31.85,11/03/2021,8,0.4315,0.0040,0.5645,1
SULA11,02/03/2021,32.78,27/02/2020,27/02/2021,31.94,12/03/2021,8,0.4315,0.0040,0.5645,1
