Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
WEGE3,05/01/2021,74.62,03/01/2020,31/12/2020,89.87,15/01/2021,8,0.5840,0.0108,0.4052,1
WEGE3,06/01/2021,79.2,04/01/2020,05/01/2021,86.16,16/01/2021,8,0.5788,0.0108,0.4104,1
WEGE3,07/01/2021,81.54,07/01/2020,06/01/2021,92.21,19/01/2021,8,0.5827,0.0108,0.4065,1
WEGE3,08/01/2021,84.66,08/01/2020,07/01/2021,89.6,20/01/2021,8,0.5840,0.0108,0.4052,1
WEGE3,09/01/2021,89.78,09/01/2020,08/01/2021,88.7,21/01/2021,8,0.5881,0.0108,0.4012,0
WEGE3,12/01/2021,87.03,10/01/2020,09/01/2021,87.65,22/01/2021,8,0.5908,0.0108,0.3984,1
WEGE3,13/01/2021,90.07,11/01/2020,12/01/2021,88.97,23/01/2021,8,0.5828,0.0108,0.4064,0
WEGE3,14/01/2021,90.28,14/01/2020,13/01/2021,88.95,27/01/2021,8,0.5868,0.0108,0.4025,0
WEGE3,15/01/2021,89.87,15/01/2020,14/01/2021,88.25,28/01/2021,8,0.5868,0.0108,0.4025,0
WEGE3,16/01/2021,86.16,16/01/2020,15/01/2021,87.97,29/01/2021,8,0.5788,0.0108,0.4104,1
WEGE3,19/01/2021,92.21,17/01/2020,16/01/2021,83.79,30/01/2021,8,0.5748,0.0108,0.4144,0
WEGE3,20/01/2021,89.6,18/01/2020,19/01/2021,84.54,02/02/2021,8,0.5787,0.0108,0.4106,0
WEGE3,21/01/2021,88.7,21/01/2020,20/01/2021,85.5,09/02/2021,12,0.5721,0.0108,0.4172,0
WEGE3,22/01/2021,87.65,22/01/2020,21/01/2021,85.01,10/02/2021,12,0.5708,0.0108,0.4185,0
WEGE3,23/01/2021,88.97,23/01/2020,22/01/2021,85.57,05/02/2021,8,0.5667,0.0108,0.4225,0
