Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CMIG4,05/01/2021,14.14,03/01/2020,31/12/2020,14.72,12/01/2021,5,0.5383,0.0040,0.4577,1,1,1
CMIG4,06/01/2021,14.14,04/01/2020,05/01/2021,14.66,13/01/2021,5,0.5324,0.0041,0.4636,1,1,1
CMIG4,07/01/2021,14.46,07/01/2020,06/01/2021,13.8,23/01/2021,12,0.5301,0.0120,0.4578,0,0,0
CMIG4,08/01/2021,14.27,08/01/2020,07/01/2021,15.01,15/01/2021,5,0.5323,0.0081,0.4597,1,1,1
CMIG4,09/01/2021,15.25,09/01/2020,08/01/2021,14.67,16/01/2021,5,0.5256,0.0081,0.4663,0,0,0
CMIG4,12/01/2021,14.72,10/01/2020,09/01/2021,14.43,19/01/2021,5,0.5323,0.0081,0.4597,0,0,0
CMIG4,13/01/2021,14.66,11/01/2020,12/01/2021,14.18,20/01/2021,5,0.5244,0.0081,0.4675,0,0,0
CMIG4,14/01/2021,14.79,14/01/2020,13/01/2021,13.84,21/01/2021,5,0.5203,0.0081,0.4715,-1,-1,-1
CMIG4,15/01/2021,15.01,15/01/2020,14/01/2021,13.83,22/01/2021,5,0.5255,0.0080,0.4665,0,0,0
CMIG4,16/01/2021,14.67,16/01/2020,15/01/2021,13.8,23/01/2021,5,0.5282,0.0081,0.4637,0,0,0
CMIG4,19/01/2021,14.43,17/01/2020,16/01/2021,13.48,27/01/2021,5,0.5203,0.0081,0.4715,-1,-1,-1
CMIG4,20/01/2021,14.18,18/01/2020,19/01/2021,13.46,28/01/2021,5,0.5175,0.0081,0.4743,-1,-1,-1
CMIG4,21/01/2021,13.84,21/01/2020,20/01/2021,14.15,29/01/2021,5,0.5175,0.0081,0.4743,-1,-1,-1
CMIG4,22/01/2021,13.83,22/01/2020,21/01/2021,13.7,30/01/2021,5,0.5175,0.0081,0.4743,-1,-1,-1
CMIG4,23/01/2021,13.8,23/01/2020,22/01/2021,14.29,05/02/2021,8,0.5162,0.0081,0.4756,-1,-1,-1
CMIG4,27/01/2021,13.48,24/01/2020,23/01/2021,14.28,03/02/2021,5,0.5122,0.0081,0.4797,-1,-1,-1
CMIG4,28/01/2021,13.46,25/01/2020,27/01/2021,14.42,04/02/2021,5,0.5094,0.0081,0.4825,-1,-1,-1
CMIG4,29/01/2021,14.15,28/01/2020,28/01/2021,13.92,10/02/2021,8,0.5081,0.0081,0.4838,-1,-1,-1
CMIG4,30/01/2021,13.7,29/01/2020,29/01/2021,14.14,06/02/2021,5,0.5134,0.0080,0.4785,-1,-1,-1
CMIG4,02/02/2021,14.14,30/01/2020,30/01/2021,14.16,09/02/2021,5,0.5094,0.0081,0.4825,-1,-1,-1
CMIG4,03/02/2021,14.28,31/01/2020,02/02/2021,13.92,10/02/2021,5,0.5174,0.0080,0.4745,-1,-1,-1
CMIG4,04/02/2021,14.42,01/02/2020,03/02/2021,13.73,11/02/2021,5,0.5202,0.0081,0.4718,-1,-1,-1
CMIG4,05/02/2021,14.29,04/02/2020,04/02/2021,13.74,12/02/2021,5,0.5202,0.0081,0.4718,-1,-1,-1
CMIG4,06/02/2021,14.14,05/02/2020,05/02/2021,13.53,13/02/2021,5,0.5122,0.0081,0.4797,-1,-1,-1
CMIG4,09/02/2021,14.16,06/02/2020,06/02/2021,13.24,18/02/2021,5,0.5094,0.0081,0.4825,-1,-1,-1
CMIG4,10/02/2021,13.92,07/02/2020,09/02/2021,12.9,19/02/2021,5,0.5174,0.0080,0.4745,-1,-1,-1
CMIG4,11/02/2021,13.73,08/02/2020,10/02/2021,12.74,20/02/2021,5,0.5135,0.0081,0.4784,-1,-1,-1
CMIG4,12/02/2021,13.74,11/02/2020,11/02/2021,12.3,23/02/2021,5,0.5122,0.0081,0.4797,-1,-1,-1
CMIG4,13/02/2021,13.53,12/02/2020,12/02/2021,12.42,24/02/2021,5,0.5161,0.0081,0.4758,-1,-1,-1
CMIG4,18/02/2021,13.24,13/02/2020,13/02/2021,12.38,25/02/2021,5,0.5095,0.0081,0.4824,-1,-1,-1
CMIG4,19/02/2021,12.9,14/02/2020,18/02/2021,11.97,26/02/2021,5,0.5082,0.0081,0.4837,-1,-1,-1
CMIG4,20/02/2021,12.74,15/02/2020,19/02/2021,11.77,04/03/2021,8,0.5041,0.0081,0.4877,-1,-1,-1
CMIG4,23/02/2021,12.3,18/02/2020,20/02/2021,11.53,02/03/2021,5,0.5014,0.0081,0.4905,-1,-1,-1
CMIG4,24/02/2021,12.42,19/02/2020,23/02/2021,11.87,03/03/2021,5,0.5014,0.0081,0.4905,-1,-1,-1
CMIG4,25/02/2021,12.38,20/02/2020,24/02/2021,11.77,04/03/2021,5,0.5094,0.0080,0.4826,-1,-1,-1
CMIG4,26/02/2021,11.97,21/02/2020,25/02/2021,11.36,10/03/2021,8,0.5041,0.0081,0.4877,-1,-1,-1
CMIG4,27/02/2021,11.96,22/02/2020,26/02/2021,11.92,06/03/2021,5,0.5014,0.0081,0.4905,-1,-1,-1
CMIG4,02/03/2021,11.53,27/02/2020,27/02/2021,11.48,09/03/2021,5,0.5014,0.0081,0.4905,-1,-1,-1
CMIG4,03/03/2021,11.87,28/02/2020,02/03/2021,12.09,13/03/2021,8,0.5000,0.0081,0.4918,-1,-1,-1
CMIG4,04/03/2021,11.77,29/02/2020,03/03/2021,12.23,16/03/2021,8,0.5040,0.0081,0.4879,-1,-1,-1
CMIG4,05/03/2021,12.15,03/03/2020,04/03/2021,12.04,12/03/2021,5,0.4961,0.0081,0.4958,-1,-1,-1
CMIG4,06/03/2021,11.92,04/03/2020,05/03/2021,12.09,13/03/2021,5,0.5000,0.0081,0.4919,-1,-1,-1
CMIG4,09/03/2021,11.48,05/03/2020,06/03/2021,12.26,19/03/2021,8,0.4934,0.0081,0.4985,-1,-1,-1
CMIG4,10/03/2021,11.36,06/03/2020,09/03/2021,12.5,20/03/2021,8,0.4934,0.0081,0.4985,-1,-1,-1
CMIG4,11/03/2021,11.91,07/03/2020,10/03/2021,12.31,23/03/2021,8,0.4934,0.0081,0.4985,-1,-1,-1
CMIG4,12/03/2021,12.04,10/03/2020,11/03/2021,12.26,19/03/2021,5,0.5000,0.0081,0.4919,-1,-1,-1
CMIG4,13/03/2021,12.09,11/03/2020,12/03/2021,12.5,20/03/2021,5,0.5013,0.0080,0.4906,-1,-1,-1
CMIG4,16/03/2021,12.23,12/03/2020,13/03/2021,12.31,23/03/2021,5,0.5054,0.0080,0.4866,-1,-1,-1
CMIG4,17/03/2021,12.1,13/03/2020,16/03/2021,12.43,27/03/2021,8,0.5081,0.0081,0.4839,-1,-1,-1
CMIG4,18/03/2021,12.16,14/03/2020,17/03/2021,12.06,25/03/2021,5,0.5014,0.0081,0.4905,-1,-1,-1
CMIG4,19/03/2021,12.26,17/03/2020,18/03/2021,12.95,31/03/2021,8,0.5081,0.0081,0.4839,-1,-1,-1
CMIG4,20/03/2021,12.5,18/03/2020,19/03/2021,12.43,27/03/2021,5,0.5094,0.0080,0.4826,-1,-1,-1
CMIG4,23/03/2021,12.31,19/03/2020,20/03/2021,12.8,30/03/2021,5,0.5121,0.0081,0.4798,-1,-1,-1
CMIG4,24/03/2021,12.31,20/03/2020,23/03/2021,12.95,31/03/2021,5,0.5054,0.0081,0.4865,-1,-1,-1
CMIG4,25/03/2021,12.06,21/03/2020,24/03/2021,12.67,07/04/2021,8,0.5060,0.0161,0.4779,-1,-1,-1
CMIG4,26/03/2021,12.44,24/03/2020,25/03/2021,12.77,02/04/2021,5,0.5050,0.0122,0.4828,-1,-1,-1
CMIG4,27/03/2021,12.43,25/03/2020,26/03/2021,12.51,06/04/2021,5,0.5091,0.0121,0.4789,-1,-1,-1
CMIG4,30/03/2021,12.8,26/03/2020,27/03/2021,12.67,07/04/2021,5,0.5010,0.0122,0.4868,-1,-1,-1
CMIG4,31/03/2021,12.95,27/03/2020,30/03/2021,12.69,08/04/2021,5,0.5060,0.0120,0.4819,-1,-1,-1
CMIG4,01/04/2021,13.03,28/03/2020,31/03/2021,12.7,09/04/2021,5,0.5101,0.0120,0.4779,-1,-1,-1
CMIG4,02/04/2021,12.77,31/03/2020,01/04/2021,12.58,10/04/2021,5,0.5141,0.0120,0.4738,-1,-1,-1
CMIG4,06/04/2021,12.51,01/04/2020,02/04/2021,12.63,13/04/2021,5,0.5101,0.0121,0.4777,-1,-1,-1
CMIG4,07/04/2021,12.67,02/04/2020,06/04/2021,12.82,14/04/2021,5,0.5101,0.0121,0.4777,-1,-1,-1
CMIG4,08/04/2021,12.69,03/04/2020,07/04/2021,12.94,15/04/2021,5,0.5181,0.0120,0.4698,-1,-1,-1
