Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
EQTL3,05/01/2021,22.75,03/01/2020,31/12/2020,23.21,15/01/2021,8,0.5022,0.0081,0.4897,-1,-1,-1
EQTL3,06/01/2021,22.8,04/01/2020,05/01/2021,23.36,16/01/2021,8,0.4978,0.0081,0.4941,-1,-1,-1
EQTL3,07/01/2021,22.27,07/01/2020,06/01/2021,22.86,19/01/2021,8,0.5022,0.0081,0.4897,-1,-1,-1
EQTL3,08/01/2021,21.83,08/01/2020,07/01/2021,22.77,20/01/2021,8,0.4978,0.0081,0.4941,-1,-1,-1
EQTL3,09/01/2021,22.51,09/01/2020,08/01/2021,22.28,21/01/2021,8,0.4938,0.0081,0.4982,-1,-1,-1
EQTL3,12/01/2021,22.06,10/01/2020,09/01/2021,22,22/01/2021,8,0.4971,0.0081,0.4949,-1,-1,-1
EQTL3,13/01/2021,22.06,11/01/2020,12/01/2021,22,23/01/2021,8,0.4908,0.0081,0.5011,-1,-1,-1
EQTL3,14/01/2021,22.39,14/01/2020,13/01/2021,21.87,27/01/2021,8,0.4900,0.0161,0.4940,-1,-1,-1
EQTL3,15/01/2021,23.21,15/01/2020,14/01/2021,22.14,28/01/2021,8,0.4936,0.0121,0.4943,-1,-1,-1
EQTL3,16/01/2021,23.36,16/01/2020,15/01/2021,22.75,29/01/2021,8,0.4968,0.0121,0.4911,-1,-1,-1
EQTL3,19/01/2021,22.86,17/01/2020,16/01/2021,22.52,30/01/2021,8,0.4968,0.0121,0.4911,-1,-1,-1
EQTL3,20/01/2021,22.77,18/01/2020,19/01/2021,23.49,06/02/2021,12,0.4895,0.0121,0.4984,-1,-1,-1
EQTL3,21/01/2021,22.28,21/01/2020,20/01/2021,22.82,03/02/2021,8,0.4862,0.0121,0.5017,-1,-1,-1
EQTL3,22/01/2021,22,22/01/2020,21/01/2021,23.24,04/02/2021,8,0.4862,0.0121,0.5017,-1,-1,-1
EQTL3,23/01/2021,22,23/01/2020,22/01/2021,23.32,05/02/2021,8,0.4854,0.0121,0.5025,-1,-1,-1
EQTL3,27/01/2021,21.87,24/01/2020,23/01/2021,23.49,06/02/2021,8,0.4819,0.0201,0.4980,-1,-1,-1
EQTL3,28/01/2021,22.14,25/01/2020,27/01/2021,23.34,09/02/2021,8,0.4785,0.0161,0.5054,-1,-1,-1
EQTL3,29/01/2021,22.75,28/01/2020,28/01/2021,23.51,10/02/2021,8,0.4852,0.0161,0.4987,-1,-1,-1
EQTL3,30/01/2021,22.52,29/01/2020,29/01/2021,23.31,11/02/2021,8,0.4859,0.0161,0.4980,-1,-1,-1
EQTL3,02/02/2021,22.6,30/01/2020,30/01/2021,23.39,12/02/2021,8,0.4818,0.0162,0.5020,-1,-1,-1
EQTL3,03/02/2021,22.82,31/01/2020,02/02/2021,23.56,13/02/2021,8,0.4859,0.0161,0.4980,-1,-1,-1
EQTL3,04/02/2021,23.24,01/02/2020,03/02/2021,22.95,18/02/2021,8,0.4893,0.0161,0.4946,-1,-1,-1
EQTL3,05/02/2021,23.32,04/02/2020,04/02/2021,22.99,19/02/2021,8,0.4893,0.0161,0.4946,-1,-1,-1
EQTL3,06/02/2021,23.49,05/02/2020,05/02/2021,22.64,20/02/2021,8,0.4893,0.0161,0.4946,-1,-1,-1
EQTL3,09/02/2021,23.34,06/02/2020,06/02/2021,21.87,23/02/2021,8,0.4900,0.0161,0.4939,-1,-1,-1
EQTL3,10/02/2021,23.51,07/02/2020,09/02/2021,21.83,24/02/2021,8,0.4865,0.0162,0.4973,-1,-1,-1
EQTL3,11/02/2021,23.31,08/02/2020,10/02/2021,21.62,25/02/2021,8,0.4940,0.0161,0.4899,-1,-1,-1
EQTL3,12/02/2021,23.39,11/02/2020,11/02/2021,20.66,26/02/2021,8,0.4899,0.0162,0.4939,-1,-1,-1
EQTL3,13/02/2021,23.56,12/02/2020,12/02/2021,20.1,27/02/2021,8,0.4933,0.0161,0.4906,-1,-1,-1
EQTL3,18/02/2021,22.95,13/02/2020,13/02/2021,19.87,02/03/2021,8,0.4933,0.0161,0.4906,-1,-1,-1
EQTL3,19/02/2021,22.99,14/02/2020,18/02/2021,20.11,03/03/2021,8,0.4866,0.0162,0.4973,-1,-1,-1
EQTL3,20/02/2021,22.64,15/02/2020,19/02/2021,20.24,04/03/2021,8,0.4933,0.0161,0.4906,-1,-1,-1
EQTL3,23/02/2021,21.87,18/02/2020,20/02/2021,20.93,05/03/2021,8,0.4866,0.0162,0.4973,-1,-1,-1
EQTL3,24/02/2021,21.83,19/02/2020,23/02/2021,21.14,06/03/2021,8,0.4859,0.0162,0.4980,-1,-1,-1
EQTL3,25/02/2021,21.62,20/02/2020,24/02/2021,20.58,09/03/2021,8,0.4825,0.0162,0.5013,-1,-1,-1
EQTL3,26/02/2021,20.66,21/02/2020,25/02/2021,20.59,10/03/2021,8,0.4818,0.0162,0.5020,-1,-1,-1
EQTL3,27/02/2021,20.1,22/02/2020,26/02/2021,20.95,11/03/2021,8,0.4785,0.0162,0.5054,-1,-1,-1
EQTL3,02/03/2021,19.87,27/02/2020,27/02/2021,21.13,12/03/2021,8,0.4785,0.0162,0.5054,-1,-1,-1
EQTL3,03/03/2021,20.11,28/02/2020,02/03/2021,21.19,13/03/2021,8,0.4777,0.0162,0.5061,-1,-1,-1
EQTL3,04/03/2021,20.24,29/02/2020,03/03/2021,21.4,16/03/2021,8,0.4812,0.0161,0.5027,-1,-1,-1
EQTL3,05/03/2021,20.93,03/03/2020,04/03/2021,21.24,17/03/2021,8,0.4819,0.0161,0.5020,-1,-1,-1
EQTL3,06/03/2021,21.14,04/03/2020,05/03/2021,21.94,18/03/2021,8,0.4853,0.0161,0.4986,-1,-1,-1
EQTL3,09/03/2021,20.58,05/03/2020,06/03/2021,21.73,19/03/2021,8,0.4860,0.0161,0.4979,-1,-1,-1
EQTL3,10/03/2021,20.59,06/03/2020,09/03/2021,22.26,20/03/2021,8,0.4825,0.0162,0.5014,-1,-1,-1
EQTL3,11/03/2021,20.95,07/03/2020,10/03/2021,21.81,23/03/2021,8,0.4900,0.0161,0.4939,-1,-1,-1
EQTL3,12/03/2021,21.13,10/03/2020,11/03/2021,21.57,24/03/2021,8,0.4933,0.0161,0.4906,-1,-1,-1
EQTL3,13/03/2021,21.19,11/03/2020,12/03/2021,21.02,25/03/2021,8,0.4941,0.0161,0.4898,-1,-1,-1
EQTL3,16/03/2021,21.4,12/03/2020,13/03/2021,22.48,26/03/2021,8,0.4981,0.0161,0.4858,-1,-1,-1
EQTL3,17/03/2021,21.24,13/03/2020,16/03/2021,22.83,27/03/2021,8,0.5014,0.0161,0.4825,-1,-1,-1
EQTL3,18/03/2021,21.94,14/03/2020,17/03/2021,22.63,30/03/2021,8,0.4945,0.0162,0.4893,-1,-1,-1
EQTL3,19/03/2021,21.73,17/03/2020,18/03/2021,22.88,31/03/2021,8,0.5014,0.0161,0.4825,-1,-1,-1
EQTL3,20/03/2021,22.26,18/03/2020,19/03/2021,24.8,01/04/2021,8,0.4945,0.0162,0.4893,-1,-1,-1
EQTL3,23/03/2021,21.81,19/03/2020,20/03/2021,24.99,02/04/2021,8,0.5021,0.0161,0.4818,-1,-1,-1
EQTL3,24/03/2021,21.57,20/03/2020,23/03/2021,25.2,06/04/2021,8,0.4986,0.0162,0.4853,-1,-1,-1
EQTL3,25/03/2021,21.02,21/03/2020,24/03/2021,25.3,07/04/2021,8,0.4986,0.0162,0.4853,-1,-1,-1
EQTL3,26/03/2021,22.48,24/03/2020,25/03/2021,24.82,08/04/2021,8,0.4979,0.0162,0.4860,-1,-1,-1
EQTL3,27/03/2021,22.83,25/03/2020,26/03/2021,24.71,09/04/2021,8,0.5014,0.0161,0.4825,-1,-1,-1
EQTL3,30/03/2021,22.63,26/03/2020,27/03/2021,24.5,10/04/2021,8,0.5014,0.0161,0.4825,-1,-1,-1
EQTL3,31/03/2021,22.88,27/03/2020,30/03/2021,24.5,13/04/2021,8,0.4946,0.0162,0.4893,-1,-1,-1
EQTL3,01/04/2021,24.8,28/03/2020,31/03/2021,24.37,14/04/2021,8,0.5014,0.0161,0.4825,-1,-1,-1
EQTL3,02/04/2021,24.99,31/03/2020,01/04/2021,24.19,15/04/2021,8,0.5014,0.0161,0.4825,-1,-1,-1
EQTL3,06/04/2021,25.2,01/04/2020,02/04/2021,24.55,16/04/2021,8,0.5021,0.0161,0.4818,-1,-1,-1
EQTL3,07/04/2021,25.3,02/04/2020,06/04/2021,24.94,17/04/2021,8,0.5062,0.0161,0.4777,-1,-1,-1
EQTL3,08/04/2021,24.82,03/04/2020,07/04/2021,24.65,20/04/2021,8,0.5102,0.0161,0.4737,-1,-1,-1
EQTL3,09/04/2021,24.71,04/04/2020,08/04/2021,24.9,21/04/2021,8,0.5059,0.0162,0.4779,-1,-1,-1
EQTL3,10/04/2021,24.5,07/04/2020,09/04/2021,25.04,23/04/2021,8,0.5026,0.0162,0.4812,-1,-1,-1
EQTL3,13/04/2021,24.5,08/04/2020,10/04/2021,25.28,24/04/2021,8,0.5019,0.0162,0.4820,-1,-1,-1
EQTL3,14/04/2021,24.37,09/04/2020,13/04/2021,24.9,21/04/2021,5,0.4980,0.0241,0.4779,-1,-1,-1
