Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
FLRY3,05/01/2021,27,03/01/2020,31/12/2020,27.84,15/01/2021,8,0.4815,0.0080,0.5105,-1,-1,-1
FLRY3,06/01/2021,26.56,04/01/2020,05/01/2021,28.03,16/01/2021,8,0.4802,0.0080,0.5118,-1,-1,-1
FLRY3,07/01/2021,25.93,07/01/2020,06/01/2021,27.91,19/01/2021,8,0.4762,0.0080,0.5158,-1,-1,-1
FLRY3,08/01/2021,25.87,08/01/2020,07/01/2021,27.84,15/01/2021,5,0.4734,0.0080,0.5186,-1,-1,-1
FLRY3,09/01/2021,27.39,09/01/2020,08/01/2021,27.22,21/01/2021,8,0.4721,0.0080,0.5199,-1,-1,-1
FLRY3,12/01/2021,26.8,10/01/2020,09/01/2021,26.93,22/01/2021,8,0.4770,0.0081,0.5149,-1,-1,-1
FLRY3,13/01/2021,27.76,11/01/2020,12/01/2021,27.53,20/01/2021,5,0.4734,0.0080,0.5186,-1,-1,-1
FLRY3,14/01/2021,27.68,14/01/2020,13/01/2021,26.72,27/01/2021,8,0.4798,0.0081,0.5121,-1,-1,-1
FLRY3,15/01/2021,27.84,15/01/2020,14/01/2021,26.93,22/01/2021,5,0.4734,0.0080,0.5186,-1,-1,-1
FLRY3,16/01/2021,28.03,16/01/2020,15/01/2021,26.89,29/01/2021,8,0.4798,0.0081,0.5121,-1,-1,-1
FLRY3,19/01/2021,27.91,17/01/2020,16/01/2021,26.26,30/01/2021,8,0.4798,0.0081,0.5121,-1,-1,-1
FLRY3,20/01/2021,27.53,18/01/2020,19/01/2021,27.28,02/02/2021,8,0.4722,0.0080,0.5198,-1,-1,-1
FLRY3,21/01/2021,27.22,21/01/2020,20/01/2021,28.7,03/02/2021,8,0.4693,0.0080,0.5226,0,0,0
FLRY3,22/01/2021,26.93,22/01/2020,21/01/2021,28.34,04/02/2021,8,0.4681,0.0080,0.5239,0,0,0
FLRY3,23/01/2021,26.67,23/01/2020,22/01/2021,27.28,02/02/2021,5,0.4653,0.0080,0.5267,0,0,0
