Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
LREN3,05/01/2021,42.21,03/01/2020,31/12/2020,41.45,12/01/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,06/01/2021,41.8,04/01/2020,05/01/2021,41.9,13/01/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,07/01/2021,39.78,07/01/2020,06/01/2021,41.4,14/01/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,08/01/2021,40.75,08/01/2020,07/01/2021,43.38,15/01/2021,5,0.4918,0.0000,0.5082,-1,-1,-1
LREN3,09/01/2021,43.1,09/01/2020,08/01/2021,43.08,16/01/2021,5,0.5001,0.0000,0.4999,-1,-1,-1
LREN3,12/01/2021,41.45,10/01/2020,09/01/2021,43.13,19/01/2021,5,0.5000,0.0000,0.5000,-1,-1,-1
LREN3,13/01/2021,41.9,11/01/2020,12/01/2021,43.9,20/01/2021,5,0.4918,0.0000,0.5082,-1,-1,-1
LREN3,14/01/2021,41.4,14/01/2020,13/01/2021,43.11,21/01/2021,5,0.5001,0.0000,0.4999,-1,-1,-1
LREN3,15/01/2021,43.38,15/01/2020,14/01/2021,42.36,22/01/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,16/01/2021,43.08,16/01/2020,15/01/2021,41.02,23/01/2021,5,0.5000,0.0000,0.5000,-1,-1,-1
LREN3,19/01/2021,43.13,17/01/2020,16/01/2021,42.36,22/01/2021,3,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,20/01/2021,43.9,18/01/2020,19/01/2021,41.02,23/01/2021,3,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,21/01/2021,43.11,21/01/2020,20/01/2021,41.42,27/01/2021,3,0.5000,0.0000,0.5000,-1,-1,-1
LREN3,22/01/2021,42.36,22/01/2020,21/01/2021,41.69,28/01/2021,3,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,23/01/2021,41.02,23/01/2020,22/01/2021,43.23,29/01/2021,3,0.4879,0.0000,0.5121,-1,-1,-1
LREN3,27/01/2021,41.42,24/01/2020,23/01/2021,41.01,03/02/2021,5,0.4879,0.0000,0.5121,-1,-1,-1
LREN3,28/01/2021,41.69,25/01/2020,27/01/2021,41.07,02/02/2021,3,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,29/01/2021,43.23,28/01/2020,28/01/2021,41.34,05/02/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,30/01/2021,41.47,29/01/2020,29/01/2021,41.01,06/02/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,02/02/2021,41.07,30/01/2020,30/01/2021,41.24,09/02/2021,5,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,03/02/2021,41.01,31/01/2020,02/02/2021,40.89,10/02/2021,5,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,04/02/2021,41.84,01/02/2020,03/02/2021,39.76,11/02/2021,5,0.4878,0.0000,0.5122,-1,-1,-1
LREN3,05/02/2021,41.34,04/02/2020,04/02/2021,39.39,12/02/2021,5,0.4961,0.0000,0.5039,-1,-1,-1
LREN3,06/02/2021,41.01,05/02/2020,05/02/2021,39.9,13/02/2021,5,0.4878,0.0000,0.5122,-1,-1,-1
LREN3,09/02/2021,41.24,06/02/2020,06/02/2021,40.55,18/02/2021,5,0.4879,0.0000,0.5121,-1,-1,-1
LREN3,10/02/2021,40.89,07/02/2020,09/02/2021,40,19/02/2021,5,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,11/02/2021,39.76,08/02/2020,10/02/2021,39.67,20/02/2021,5,0.4879,0.0000,0.5121,-1,-1,-1
LREN3,12/02/2021,39.39,11/02/2020,11/02/2021,38.34,23/02/2021,5,0.4837,0.0000,0.5163,-1,-1,-1
LREN3,13/02/2021,39.9,12/02/2020,12/02/2021,38.26,24/02/2021,5,0.4797,0.0000,0.5203,-1,-1,-1
LREN3,18/02/2021,40.55,13/02/2020,13/02/2021,37.32,25/02/2021,5,0.4839,0.0000,0.5161,-1,-1,-1
LREN3,19/02/2021,40,14/02/2020,18/02/2021,37.24,26/02/2021,5,0.4881,0.0000,0.5119,-1,-1,-1
LREN3,20/02/2021,39.67,15/02/2020,19/02/2021,36.66,27/02/2021,5,0.4797,0.0000,0.5203,-1,-1,-1
LREN3,23/02/2021,38.34,18/02/2020,20/02/2021,37.17,02/03/2021,5,0.4798,0.0000,0.5202,-1,-1,-1
LREN3,24/02/2021,38.26,19/02/2020,23/02/2021,37.37,03/03/2021,5,0.4798,0.0000,0.5202,-1,-1,-1
LREN3,25/02/2021,37.32,20/02/2020,24/02/2021,37.48,04/03/2021,5,0.4798,0.0000,0.5202,-1,-1,-1
LREN3,26/02/2021,37.24,21/02/2020,25/02/2021,39.33,05/03/2021,5,0.4756,0.0000,0.5244,-1,-1,-1
LREN3,27/02/2021,36.66,22/02/2020,26/02/2021,39.56,06/03/2021,5,0.4758,0.0000,0.5242,-1,-1,-1
LREN3,02/03/2021,37.17,27/02/2020,27/02/2021,38,09/03/2021,5,0.4758,0.0000,0.5242,-1,-1,-1
LREN3,03/03/2021,37.37,28/02/2020,02/03/2021,36.88,10/03/2021,5,0.4798,0.0000,0.5202,-1,-1,-1
LREN3,04/03/2021,37.48,29/02/2020,03/03/2021,38.32,11/03/2021,5,0.4842,0.0000,0.5158,-1,-1,-1
LREN3,05/03/2021,39.33,03/03/2020,04/03/2021,40.42,12/03/2021,5,0.4839,0.0000,0.5161,-1,-1,-1
LREN3,06/03/2021,39.56,04/03/2020,05/03/2021,41.56,13/03/2021,5,0.4839,0.0000,0.5161,-1,-1,-1
LREN3,09/03/2021,38,05/03/2020,06/03/2021,41.82,16/03/2021,5,0.4883,0.0000,0.5117,-1,-1,-1
LREN3,10/03/2021,36.88,06/03/2020,09/03/2021,40.7,17/03/2021,5,0.4839,0.0000,0.5161,-1,-1,-1
LREN3,11/03/2021,38.32,07/03/2020,10/03/2021,41.62,18/03/2021,5,0.4839,0.0000,0.5161,-1,-1,-1
LREN3,12/03/2021,40.42,10/03/2020,11/03/2021,41.11,19/03/2021,5,0.4879,0.0000,0.5121,-1,-1,-1
LREN3,13/03/2021,41.56,11/03/2020,12/03/2021,42.47,20/03/2021,5,0.4923,0.0000,0.5077,-1,-1,-1
LREN3,16/03/2021,41.82,12/03/2020,13/03/2021,42.87,26/03/2021,8,0.4964,0.0000,0.5036,-1,-1,-1
LREN3,17/03/2021,40.7,13/03/2020,16/03/2021,41.65,24/03/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,18/03/2021,41.62,14/03/2020,17/03/2021,40.91,25/03/2021,5,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,19/03/2021,41.11,17/03/2020,18/03/2021,42.87,26/03/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,20/03/2021,42.47,18/03/2020,19/03/2021,41.98,27/03/2021,5,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,23/03/2021,41.55,19/03/2020,20/03/2021,41.49,30/03/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,24/03/2021,41.65,20/03/2020,23/03/2021,43.92,31/03/2021,5,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,25/03/2021,40.91,21/03/2020,24/03/2021,42.59,01/04/2021,5,0.5004,0.0000,0.4996,-1,-1,-1
LREN3,26/03/2021,42.87,24/03/2020,25/03/2021,43.13,08/04/2021,8,0.4915,0.0000,0.5085,-1,-1,-1
LREN3,27/03/2021,41.98,25/03/2020,26/03/2021,43.36,06/04/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,30/03/2021,41.49,26/03/2020,27/03/2021,43.83,07/04/2021,5,0.4876,0.0000,0.5124,-1,-1,-1
LREN3,31/03/2021,43.92,27/03/2020,30/03/2021,43.13,08/04/2021,5,0.4879,0.0000,0.5121,-1,-1,-1
LREN3,01/04/2021,42.59,28/03/2020,31/03/2021,42.43,09/04/2021,5,0.4963,0.0000,0.5037,-1,-1,-1
LREN3,02/04/2021,42.92,31/03/2020,01/04/2021,41.5,10/04/2021,5,0.4919,0.0000,0.5081,-1,-1,-1
LREN3,06/04/2021,43.36,01/04/2020,02/04/2021,41.07,13/04/2021,5,0.5002,0.0000,0.4998,-1,-1,-1
