Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ALPA4,05/01/2021,41.65,04/11/2020,31/12/2020,41.1,15/01/2021,8,0.5426,0.0000,0.4574,0,0,1
ALPA4,06/01/2021,41.67,05/11/2020,05/01/2021,41.09,16/01/2021,8,0.5168,0.0000,0.4832,-1,-1,-1
ALPA4,07/01/2021,39.4,06/11/2020,06/01/2021,42.22,19/01/2021,8,0.5600,0.0000,0.4400,1,1,1
ALPA4,08/01/2021,38.7,07/11/2020,07/01/2021,42,20/01/2021,8,0.5385,0.0000,0.4615,1,1,1
ALPA4,09/01/2021,40.7,10/11/2020,08/01/2021,41.9,21/01/2021,8,0.5168,0.0000,0.4832,-1,-1,-1
ALPA4,12/01/2021,39.81,11/11/2020,09/01/2021,41.2,22/01/2021,8,0.5600,0.0000,0.4400,1,1,1
ALPA4,13/01/2021,39.66,12/11/2020,12/01/2021,40.46,23/01/2021,8,0.5385,0.0000,0.4615,1,1,1
ALPA4,14/01/2021,39.94,13/11/2020,13/01/2021,40.83,27/01/2021,8,0.5168,0.0000,0.4832,-1,-1,-1
ALPA4,15/01/2021,41.1,14/11/2020,14/01/2021,39.03,03/02/2021,12,0.5385,0.0000,0.4615,0,0,0
ALPA4,16/01/2021,41.09,17/11/2020,15/01/2021,40.35,29/01/2021,8,0.5600,0.0000,0.4400,0,0,0
ALPA4,19/01/2021,42.22,18/11/2020,16/01/2021,38.84,30/01/2021,8,0.5385,0.0000,0.4615,0,0,0
ALPA4,20/01/2021,42,19/11/2020,19/01/2021,38.78,02/02/2021,8,0.5641,0.0000,0.4359,0,0,0
ALPA4,21/01/2021,41.9,20/11/2020,20/01/2021,39.03,03/02/2021,8,0.5385,0.0000,0.4615,0,0,0
ALPA4,22/01/2021,41.2,21/11/2020,21/01/2021,40.61,04/02/2021,8,0.5168,0.0000,0.4832,-1,-1,-1
ALPA4,23/01/2021,40.46,24/11/2020,22/01/2021,41,05/02/2021,8,0.4911,0.0000,0.5089,-1,-1,-1
ALPA4,27/01/2021,40.83,25/11/2020,23/01/2021,40.45,06/02/2021,8,0.4655,0.0000,0.5345,1,1,1
ALPA4,28/01/2021,40.15,26/11/2020,27/01/2021,39.42,09/02/2021,8,0.5089,0.0000,0.4911,-1,-1,-1
ALPA4,29/01/2021,40.35,27/11/2020,28/01/2021,39.99,10/02/2021,8,0.4655,0.0000,0.5345,1,1,1
ALPA4,30/01/2021,38.84,28/11/2020,29/01/2021,39.21,11/02/2021,8,0.5089,0.0000,0.4911,-1,-1,-1
ALPA4,02/02/2021,38.78,01/12/2020,30/01/2021,39.4,12/02/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
ALPA4,03/02/2021,39.03,02/12/2020,02/02/2021,38.66,13/02/2021,8,0.4655,0.0000,0.5345,1,1,1
ALPA4,04/02/2021,40.61,03/12/2020,03/02/2021,37.12,18/02/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
ALPA4,05/02/2021,41,04/12/2020,04/02/2021,36.1,19/02/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
ALPA4,06/02/2021,40.45,05/12/2020,05/02/2021,36.6,20/02/2021,8,0.5089,0.0000,0.4911,-1,-1,-1
ALPA4,09/02/2021,39.42,08/12/2020,06/02/2021,36.08,23/02/2021,8,0.4655,0.0000,0.5345,1,1,1
ALPA4,10/02/2021,39.99,09/12/2020,09/02/2021,35,24/02/2021,8,0.4615,0.0000,0.5385,1,1,1
ALPA4,11/02/2021,39.21,10/12/2020,10/02/2021,36.07,25/02/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
ALPA4,12/02/2021,39.4,11/12/2020,11/02/2021,34.87,26/02/2021,8,0.4400,0.0000,0.5600,1,1,1
ALPA4,13/02/2021,38.66,12/12/2020,12/02/2021,34.93,27/02/2021,8,0.4832,0.0000,0.5168,-1,-1,-1
ALPA4,18/02/2021,37.12,15/12/2020,13/02/2021,35.35,02/03/2021,8,0.4400,0.0000,0.5600,1,1,1
ALPA4,19/02/2021,36.1,16/12/2020,18/02/2021,35.46,03/03/2021,8,0.4146,0.0000,0.5854,1,1,0
ALPA4,20/02/2021,36.6,17/12/2020,19/02/2021,35.53,04/03/2021,8,0.4103,0.0000,0.5897,1,1,0
ALPA4,23/02/2021,36.08,18/12/2020,20/02/2021,36.1,05/03/2021,8,0.4359,0.0000,0.5641,0,0,1
ALPA4,24/02/2021,35,19/12/2020,23/02/2021,36.8,06/03/2021,8,0.4103,0.0000,0.5897,0,1,1
ALPA4,25/02/2021,36.07,22/12/2020,24/02/2021,33.37,09/03/2021,8,0.4103,0.0000,0.5897,1,1,1
ALPA4,26/02/2021,34.87,23/12/2020,25/02/2021,34.39,10/03/2021,8,0.4359,0.0000,0.5641,1,1,0
ALPA4,27/02/2021,34.93,24/12/2020,26/02/2021,34.7,11/03/2021,8,0.3894,0.0000,0.6106,1,0,0
ALPA4,02/03/2021,35.35,29/12/2020,27/02/2021,36.07,18/03/2021,12,0.4103,0.0000,0.5897,0,0,0
ALPA4,03/03/2021,35.46,30/12/2020,02/03/2021,35.5,13/03/2021,8,0.4315,0.0000,0.5685,0,0,1
ALPA4,04/03/2021,35.53,31/12/2020,03/03/2021,35.5,16/03/2021,8,0.4574,0.0000,0.5426,1,1,0
ALPA4,05/03/2021,36.1,05/01/2021,04/03/2021,35.31,17/03/2021,8,0.4615,0.0000,0.5385,1,1,1
