Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BTOW3,05/01/2021,75.18,04/11/2020,31/12/2020,77.35,15/01/2021,8,0.4072,0.0000,0.5928,0,0,0
BTOW3,06/01/2021,73.5,05/11/2020,05/01/2021,74.09,13/01/2021,5,0.3821,0.0000,0.6179,0,0,0
BTOW3,07/01/2021,68.41,06/11/2020,06/01/2021,82.15,19/01/2021,8,0.3846,0.0000,0.6154,0,0,0
BTOW3,08/01/2021,67.31,07/11/2020,07/01/2021,80.62,20/01/2021,8,0.3846,0.0000,0.6154,0,0,0
BTOW3,09/01/2021,72,10/11/2020,08/01/2021,87.5,21/01/2021,8,0.3846,0.0000,0.6154,0,0,0
BTOW3,12/01/2021,71.31,11/11/2020,09/01/2021,89.79,22/01/2021,8,0.4103,0.0000,0.5897,0,0,0
BTOW3,13/01/2021,74.09,12/11/2020,12/01/2021,89.31,23/01/2021,8,0.3571,0.0000,0.6429,0,0,0
BTOW3,14/01/2021,75.3,13/11/2020,13/01/2021,87.5,21/01/2021,5,0.4128,0.0000,0.5872,0,0,0
BTOW3,15/01/2021,77.35,14/11/2020,14/01/2021,89.79,22/01/2021,5,0.4390,0.0000,0.5610,0,0,0
BTOW3,16/01/2021,81.3,17/11/2020,15/01/2021,86.2,29/01/2021,8,0.4359,0.0000,0.5641,0,0,0
BTOW3,19/01/2021,82.15,18/11/2020,16/01/2021,82.32,30/01/2021,8,0.4690,0.0000,0.5310,0,0,0
BTOW3,20/01/2021,80.62,19/11/2020,19/01/2021,83.56,02/02/2021,8,0.4948,0.0000,0.5052,-1,-1,-1
BTOW3,21/01/2021,87.5,20/11/2020,20/01/2021,89.3,03/02/2021,8,0.4286,0.0000,0.5714,0,0,1
BTOW3,22/01/2021,89.79,21/11/2020,21/01/2021,90.39,04/02/2021,8,0.4948,0.0000,0.5052,-1,-1,-1
BTOW3,23/01/2021,89.31,24/11/2020,22/01/2021,82.54,11/02/2021,12,0.4872,0.0000,0.5128,-1,-1,-1
BTOW3,27/01/2021,85.85,25/11/2020,23/01/2021,84.51,06/02/2021,8,0.4286,0.0000,0.5714,1,1,1
BTOW3,28/01/2021,84.77,26/11/2020,27/01/2021,84.07,09/02/2021,8,0.4034,0.0000,0.5966,1,1,1
BTOW3,29/01/2021,86.2,27/11/2020,28/01/2021,83,10/02/2021,8,0.3784,0.0000,0.6216,1,1,1
BTOW3,30/01/2021,82.32,28/11/2020,29/01/2021,82.54,11/02/2021,8,0.4429,0.0000,0.5571,0,0,0
BTOW3,02/02/2021,83.56,01/12/2020,30/01/2021,85.6,12/02/2021,8,0.4103,0.0000,0.5897,0,0,0
BTOW3,03/02/2021,89.3,02/12/2020,02/02/2021,85.41,13/02/2021,8,0.4650,0.0000,0.5350,1,1,1
BTOW3,04/02/2021,90.39,03/12/2020,03/02/2021,86.38,18/02/2021,8,0.4615,0.0000,0.5385,1,1,1
BTOW3,05/02/2021,86.34,04/12/2020,04/02/2021,83,19/02/2021,8,0.4615,0.0000,0.5385,1,0,0
BTOW3,06/02/2021,84.51,05/12/2020,05/02/2021,88.65,20/02/2021,8,0.4072,0.0000,0.5928,0,0,0
BTOW3,09/02/2021,84.07,08/12/2020,06/02/2021,89.67,23/02/2021,8,0.4103,0.0000,0.5897,0,0,0
BTOW3,10/02/2021,83,09/12/2020,09/02/2021,85.9,24/02/2021,8,0.4103,0.0000,0.5897,0,0,0
BTOW3,11/02/2021,82.54,10/12/2020,10/02/2021,86.3,25/02/2021,8,0.3784,0.0000,0.6216,0,0,1
BTOW3,12/02/2021,85.6,11/12/2020,11/02/2021,85.27,26/02/2021,8,0.3846,0.0000,0.6154,1,1,1
BTOW3,13/02/2021,85.41,12/12/2020,12/02/2021,82,27/02/2021,8,0.4429,0.0000,0.5571,1,1,1
BTOW3,18/02/2021,86.38,15/12/2020,13/02/2021,80.73,02/03/2021,8,0.3784,0.0000,0.6216,1,1,1
BTOW3,19/02/2021,83,16/12/2020,18/02/2021,78.59,03/03/2021,8,0.4103,0.0000,0.5897,1,1,1
BTOW3,20/02/2021,88.65,17/12/2020,19/02/2021,76.15,04/03/2021,8,0.3846,0.0000,0.6154,1,1,1
BTOW3,23/02/2021,89.67,18/12/2020,20/02/2021,80.73,02/03/2021,5,0.4390,0.0000,0.5610,1,1,1
