Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CIEL3,05/01/2021,3.9,04/11/2020,31/12/2020,3.72,12/01/2021,5,0.5722,0.0511,0.3767,0,0,0
CIEL3,06/01/2021,3.81,05/11/2020,05/01/2021,3.82,16/01/2021,8,0.5227,0.0515,0.4258,1,0,0
CIEL3,07/01/2021,3.72,06/11/2020,06/01/2021,3.88,14/01/2021,5,0.4970,0.0514,0.4516,-1,-1,-1
CIEL3,08/01/2021,3.75,07/11/2020,07/01/2021,3.77,20/01/2021,8,0.4788,0.0513,0.4698,-1,-1,-1
CIEL3,09/01/2021,3.83,10/11/2020,08/01/2021,3.82,16/01/2021,5,0.5211,0.0512,0.4277,0,0,0
CIEL3,12/01/2021,3.72,11/11/2020,09/01/2021,3.81,19/01/2021,5,0.5211,0.0512,0.4277,1,1,1
CIEL3,13/01/2021,3.82,12/11/2020,12/01/2021,3.61,23/01/2021,8,0.4788,0.0513,0.4698,-1,-1,-1
CIEL3,14/01/2021,3.88,13/11/2020,13/01/2021,3.75,21/01/2021,5,0.5211,0.0512,0.4277,0,0,0
CIEL3,15/01/2021,3.93,14/11/2020,14/01/2021,3.66,22/01/2021,5,0.5211,0.0512,0.4277,0,0,0
CIEL3,16/01/2021,3.82,17/11/2020,15/01/2021,3.61,23/01/2021,5,0.5303,0.0511,0.4186,0,0,1
CIEL3,19/01/2021,3.81,18/11/2020,16/01/2021,3.67,27/01/2021,5,0.4952,0.0514,0.4533,-1,-1,-1
CIEL3,20/01/2021,3.77,19/11/2020,19/01/2021,4.16,28/01/2021,5,0.4696,0.0513,0.4791,-1,-1,-1
CIEL3,21/01/2021,3.75,20/11/2020,20/01/2021,4.13,29/01/2021,5,0.4440,0.0512,0.5047,0,0,0
CIEL3,22/01/2021,3.66,21/11/2020,21/01/2021,4.11,30/01/2021,5,0.4267,0.0512,0.5221,0,0,0
CIEL3,23/01/2021,3.61,24/11/2020,22/01/2021,4.2,02/02/2021,5,0.4267,0.0512,0.5221,0,0,0
CIEL3,27/01/2021,3.67,25/11/2020,23/01/2021,4.22,03/02/2021,5,0.4267,0.0512,0.5221,0,0,0
CIEL3,28/01/2021,4.16,26/11/2020,27/01/2021,4.2,04/02/2021,5,0.4708,0.0513,0.4779,-1,-1,-1
CIEL3,29/01/2021,4.13,27/11/2020,28/01/2021,4.06,10/02/2021,8,0.4813,0.0513,0.4674,-1,-1,-1
CIEL3,30/01/2021,4.11,28/11/2020,29/01/2021,4.19,06/02/2021,5,0.4523,0.0513,0.4965,-1,-1,-1
CIEL3,02/02/2021,4.2,01/12/2020,30/01/2021,3.92,12/02/2021,8,0.4418,0.0512,0.5069,1,1,1
CIEL3,03/02/2021,4.22,02/12/2020,02/02/2021,3.66,13/02/2021,8,0.4813,0.0513,0.4674,-1,-1,-1
CIEL3,04/02/2021,4.2,03/12/2020,03/02/2021,3.68,18/02/2021,8,0.4977,0.0513,0.4510,-1,-1,-1
CIEL3,05/02/2021,4.13,04/12/2020,04/02/2021,3.59,19/02/2021,8,0.4510,0.0513,0.4977,-1,-1,-1
CIEL3,06/02/2021,4.19,05/12/2020,05/02/2021,3.63,26/02/2021,12,0.4390,0.0512,0.5098,1,1,1
CIEL3,09/02/2021,4.06,08/12/2020,06/02/2021,3.6,27/02/2021,12,0.4847,0.0377,0.4776,-1,-1,-1
CIEL3,10/02/2021,4.06,09/12/2020,09/02/2021,3.81,24/02/2021,8,0.4455,0.0264,0.5281,1,1,1
CIEL3,11/02/2021,3.91,10/12/2020,10/02/2021,3.36,03/03/2021,12,0.4500,0.0750,0.4750,-1,-1,-1
CIEL3,12/02/2021,3.92,11/12/2020,11/02/2021,3.63,26/02/2021,8,0.4146,0.0532,0.5322,1,1,1
CIEL3,13/02/2021,3.66,12/12/2020,12/02/2021,3.6,27/02/2021,8,0.4584,0.0492,0.4924,-1,-1,-1
CIEL3,18/02/2021,3.68,15/12/2020,13/02/2021,3.38,02/03/2021,8,0.4257,0.0401,0.5342,1,1,1
