Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CMIG4,05/01/2021,14.14,04/11/2020,31/12/2020,15.01,15/01/2021,8,0.6410,0.0256,0.3333,1,1,1
CMIG4,06/01/2021,14.14,05/11/2020,05/01/2021,14.67,16/01/2021,8,0.5872,0.0275,0.3853,1,1,1
CMIG4,07/01/2021,14.46,06/11/2020,06/01/2021,14.43,19/01/2021,8,0.5750,0.0750,0.3500,0,0,0
CMIG4,08/01/2021,14.27,07/11/2020,07/01/2021,14.18,20/01/2021,8,0.5897,0.0513,0.3590,0,0,0
CMIG4,09/01/2021,15.25,10/11/2020,08/01/2021,13.46,28/01/2021,12,0.5380,0.0543,0.4076,0,0,0
CMIG4,12/01/2021,14.72,11/11/2020,09/01/2021,13.83,22/01/2021,8,0.5730,0.0502,0.3767,0,0,0
CMIG4,13/01/2021,14.66,12/11/2020,12/01/2021,13.8,23/01/2021,8,0.5471,0.0533,0.3996,0,0,0
CMIG4,14/01/2021,14.79,13/11/2020,13/01/2021,14.14,02/02/2021,12,0.5380,0.0543,0.4076,0,0,0
CMIG4,15/01/2021,15.01,14/11/2020,14/01/2021,13.46,28/01/2021,8,0.5641,0.0513,0.3846,0,0,0
CMIG4,16/01/2021,14.67,17/11/2020,15/01/2021,14.15,29/01/2021,8,0.5641,0.0513,0.3846,0,0,0
CMIG4,19/01/2021,14.43,18/11/2020,16/01/2021,13.7,30/01/2021,8,0.5147,0.0539,0.4314,0,0,0
CMIG4,20/01/2021,14.18,19/11/2020,19/01/2021,14.14,02/02/2021,8,0.4956,0.0531,0.4513,-1,-1,-1
CMIG4,21/01/2021,13.84,20/11/2020,20/01/2021,14.28,03/02/2021,8,0.4956,0.0531,0.4513,-1,-1,-1
CMIG4,22/01/2021,13.83,21/11/2020,21/01/2021,13.92,10/02/2021,12,0.4865,0.0541,0.4595,-1,-1,-1
CMIG4,23/01/2021,13.8,24/11/2020,22/01/2021,14.29,05/02/2021,8,0.4609,0.0539,0.4852,-1,-1,-1
CMIG4,27/01/2021,13.48,25/11/2020,23/01/2021,13.74,12/02/2021,12,0.4355,0.0538,0.5108,0,0,1
CMIG4,28/01/2021,13.46,26/11/2020,27/01/2021,14.16,09/02/2021,8,0.4171,0.0530,0.5299,0,0,0
CMIG4,29/01/2021,14.15,27/11/2020,28/01/2021,13.92,10/02/2021,8,0.4072,0.0539,0.5389,1,1,1
CMIG4,30/01/2021,13.7,28/11/2020,29/01/2021,13.73,11/02/2021,8,0.4359,0.0513,0.5128,0,0,1
CMIG4,02/02/2021,14.14,01/12/2020,30/01/2021,13.74,12/02/2021,8,0.3850,0.0535,0.5615,1,1,1
CMIG4,03/02/2021,14.28,02/12/2020,02/02/2021,12.3,23/02/2021,12,0.4103,0.0513,0.5385,1,1,1
CMIG4,04/02/2021,14.42,03/12/2020,03/02/2021,13.24,18/02/2021,8,0.4191,0.0505,0.5304,1,1,1
CMIG4,05/02/2021,14.29,04/12/2020,04/02/2021,12.9,19/02/2021,8,0.4449,0.0505,0.5047,1,1,1
CMIG4,06/02/2021,14.14,05/12/2020,05/02/2021,12.74,20/02/2021,8,0.4102,0.0536,0.5362,1,1,1
CMIG4,09/02/2021,14.16,08/12/2020,06/02/2021,12.3,23/02/2021,8,0.3918,0.0529,0.5553,1,1,1
CMIG4,10/02/2021,13.92,09/12/2020,09/02/2021,12.42,24/02/2021,8,0.4449,0.0505,0.5047,1,1,1
CMIG4,11/02/2021,13.73,10/12/2020,10/02/2021,12.38,25/02/2021,8,0.4102,0.0536,0.5362,1,1,1
CMIG4,12/02/2021,13.74,11/12/2020,11/02/2021,11.97,26/02/2021,8,0.3850,0.0535,0.5615,1,1,1
CMIG4,13/02/2021,13.53,12/12/2020,12/02/2021,11.96,27/02/2021,8,0.4191,0.0505,0.5304,1,1,1
CMIG4,18/02/2021,13.24,15/12/2020,13/02/2021,11.53,02/03/2021,8,0.3937,0.0527,0.5536,1,1,1
CMIG4,19/02/2021,12.9,16/12/2020,18/02/2021,11.48,09/03/2021,12,0.3902,0.0407,0.5691,1,1,1
CMIG4,20/02/2021,12.74,17/12/2020,19/02/2021,11.77,04/03/2021,8,0.3850,0.0267,0.5882,1,1,1
CMIG4,23/02/2021,12.3,18/12/2020,20/02/2021,12.15,05/03/2021,8,0.3600,0.0267,0.6133,1,1,1
CMIG4,24/02/2021,12.42,19/12/2020,23/02/2021,11.87,03/03/2021,5,0.3459,0.0262,0.6279,1,1,1
CMIG4,25/02/2021,12.38,22/12/2020,24/02/2021,11.48,09/03/2021,8,0.3846,0.0256,0.5897,1,1,1
CMIG4,26/02/2021,11.97,23/12/2020,25/02/2021,11.36,10/03/2021,8,0.3351,0.0266,0.6383,1,1,0
CMIG4,27/02/2021,11.96,24/12/2020,26/02/2021,11.91,11/03/2021,8,0.3103,0.0265,0.6631,1,0,0
CMIG4,02/03/2021,11.53,29/12/2020,27/02/2021,12.04,12/03/2021,8,0.2957,0.0261,0.6783,0,0,0
CMIG4,03/03/2021,11.87,30/12/2020,02/03/2021,12.09,13/03/2021,8,0.2832,0.0265,0.6903,0,0,0
CMIG4,04/03/2021,11.77,31/12/2020,03/03/2021,11.91,11/03/2021,5,0.3208,0.0252,0.6541,0,0,0
CMIG4,05/03/2021,12.15,05/01/2021,04/03/2021,12.8,30/03/2021,17,0.2909,0.0000,0.7091,0,0,0
CMIG4,06/03/2021,11.92,06/01/2021,05/03/2021,12.09,13/03/2021,5,0.3333,0.0000,0.6667,0,0,0
CMIG4,09/03/2021,11.48,07/01/2021,06/03/2021,12.23,16/03/2021,5,0.3077,0.0000,0.6923,0,0,0
CMIG4,10/03/2021,11.36,08/01/2021,09/03/2021,12.1,17/03/2021,5,0.2832,0.0000,0.7168,0,0,0
CMIG4,11/03/2021,11.91,09/01/2021,10/03/2021,12.16,18/03/2021,5,0.2821,0.0000,0.7179,0,0,0
CMIG4,12/03/2021,12.04,12/01/2021,11/03/2021,12.23,16/03/2021,2,0.3333,0.0000,0.6667,0,0,0
CMIG4,13/03/2021,12.09,13/01/2021,12/03/2021,12.06,25/03/2021,8,0.3333,0.0000,0.6667,1,0,0
