Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CPLE6,05/01/2021,73.65,04/11/2020,31/12/2020,67.05,15/01/2021,8,0.5128,0.0000,0.4872,-1,-1,-1
CPLE6,06/01/2021,72.54,05/11/2020,05/01/2021,66.01,16/01/2021,8,0.4578,0.0000,0.5422,1,1,1
CPLE6,07/01/2021,72.33,06/11/2020,06/01/2021,65.26,19/01/2021,8,0.4324,0.0000,0.5676,1,1,1
CPLE6,08/01/2021,70.74,07/11/2020,07/01/2021,64.99,20/01/2021,8,0.4072,0.0000,0.5928,1,1,1
CPLE6,09/01/2021,73.32,10/11/2020,08/01/2021,65.13,21/01/2021,8,0.4103,0.0000,0.5897,1,1,1
CPLE6,12/01/2021,69.31,11/11/2020,09/01/2021,66.28,22/01/2021,8,0.4650,0.0000,0.5350,1,1,1
CPLE6,13/01/2021,67.07,12/11/2020,12/01/2021,64.99,20/01/2021,5,0.4359,0.0000,0.5641,1,1,1
CPLE6,14/01/2021,65.4,13/11/2020,13/01/2021,63.66,27/01/2021,8,0.4072,0.0000,0.5928,1,1,0
CPLE6,15/01/2021,67.05,14/11/2020,14/01/2021,66.28,22/01/2021,5,0.3821,0.0000,0.6179,1,1,1
CPLE6,16/01/2021,66.01,17/11/2020,15/01/2021,65.31,23/01/2021,5,0.4390,0.0000,0.5610,1,1,1
CPLE6,19/01/2021,65.26,18/11/2020,16/01/2021,63.66,27/01/2021,5,0.4103,0.0000,0.5897,1,1,0
CPLE6,20/01/2021,64.99,19/11/2020,19/01/2021,64.45,28/01/2021,5,0.4103,0.0000,0.5897,1,0,0
CPLE6,21/01/2021,65.13,20/11/2020,20/01/2021,66.16,29/01/2021,5,0.4103,0.0000,0.5897,0,0,0
CPLE6,22/01/2021,66.28,21/11/2020,21/01/2021,65.28,30/01/2021,5,0.4620,0.0000,0.5380,1,1,1
CPLE6,23/01/2021,65.31,24/11/2020,22/01/2021,67.34,05/02/2021,8,0.4615,0.0000,0.5385,0,0,0
CPLE6,27/01/2021,63.66,25/11/2020,23/01/2021,65.28,30/01/2021,3,0.4102,0.0000,0.5898,0,0,0
CPLE6,28/01/2021,64.45,26/11/2020,27/01/2021,66.03,04/02/2021,5,0.4103,0.0000,0.5897,0,0,0
CPLE6,29/01/2021,66.16,27/11/2020,28/01/2021,67.34,05/02/2021,5,0.4620,0.0000,0.5380,0,0,0
CPLE6,30/01/2021,65.28,28/11/2020,29/01/2021,66.3,11/02/2021,8,0.4615,0.0000,0.5385,0,0,0
CPLE6,02/02/2021,65.4,01/12/2020,30/01/2021,67.34,05/02/2021,3,0.4102,0.0000,0.5898,0,0,0
CPLE6,03/02/2021,66.2,02/12/2020,02/02/2021,66.9,10/02/2021,5,0.4359,0.0000,0.5641,0,0,0
CPLE6,04/02/2021,66.03,03/12/2020,03/02/2021,66.3,11/02/2021,5,0.4620,0.0000,0.5380,0,0,1
CPLE6,05/02/2021,67.34,04/12/2020,04/02/2021,66.9,10/02/2021,3,0.4102,0.0000,0.5898,1,1,1
CPLE6,06/02/2021,67.93,05/12/2020,05/02/2021,65.89,13/02/2021,5,0.4359,0.0000,0.5641,1,1,1
CPLE6,09/02/2021,67.8,08/12/2020,06/02/2021,65.12,18/02/2021,5,0.4620,0.0000,0.5380,1,1,1
CPLE6,10/02/2021,66.9,09/12/2020,09/02/2021,63.09,19/02/2021,5,0.4359,0.0000,0.5641,1,1,1
CPLE6,11/02/2021,66.3,10/12/2020,10/02/2021,65.12,18/02/2021,3,0.4102,0.0000,0.5898,1,1,1
CPLE6,12/02/2021,67.17,11/12/2020,11/02/2021,60.14,23/02/2021,5,0.3850,0.0000,0.6150,1,1,1
CPLE6,13/02/2021,65.89,12/12/2020,12/02/2021,63.26,20/02/2021,3,0.4360,0.0000,0.5640,1,1,1
CPLE6,18/02/2021,65.12,15/12/2020,13/02/2021,61.5,25/02/2021,5,0.4103,0.0000,0.5897,1,1,1
CPLE6,19/02/2021,63.09,16/12/2020,18/02/2021,59.55,26/02/2021,5,0.3850,0.0000,0.6150,1,1,1
CPLE6,20/02/2021,63.26,17/12/2020,19/02/2021,58.58,27/02/2021,5,0.3846,0.0000,0.6154,1,1,1
CPLE6,23/02/2021,60.14,18/12/2020,20/02/2021,59.55,26/02/2021,3,0.4360,0.0000,0.5640,1,1,1
CPLE6,24/02/2021,61.14,19/12/2020,23/02/2021,60.49,03/03/2021,5,0.4103,0.0000,0.5897,1,1,0
CPLE6,25/02/2021,61.5,22/12/2020,24/02/2021,60.01,04/03/2021,5,0.4359,0.0000,0.5641,1,0,1
CPLE6,26/02/2021,59.55,23/12/2020,25/02/2021,62.85,05/03/2021,5,0.4359,0.0000,0.5641,0,0,0
CPLE6,27/02/2021,58.58,24/12/2020,26/02/2021,61.64,11/03/2021,8,0.3874,0.0000,0.6126,0,0,1
CPLE6,02/03/2021,58.99,29/12/2020,27/02/2021,59.55,09/03/2021,5,0.3846,0.0000,0.6154,0,0,0
CPLE6,03/03/2021,60.49,30/12/2020,02/03/2021,59.17,10/03/2021,5,0.4103,0.0000,0.5897,1,0,0
CPLE6,04/03/2021,60.01,31/12/2020,03/03/2021,59.55,09/03/2021,3,0.4360,0.0000,0.5640,1,1,0
CPLE6,05/03/2021,62.85,05/01/2021,04/03/2021,61.36,12/03/2021,5,0.4103,0.0000,0.5897,1,1,1
CPLE6,06/03/2021,61.11,06/01/2021,05/03/2021,6.98,18/03/2021,8,0.4595,0.0000,0.5405,1,1,1
CPLE6,09/03/2021,59.55,07/01/2021,06/03/2021,6.95,19/03/2021,8,0.4359,0.0000,0.5641,1,1,1
CPLE6,10/03/2021,59.17,08/01/2021,09/03/2021,6.99,20/03/2021,8,0.4126,0.0000,0.5874,1,1,1
CPLE6,11/03/2021,61.64,09/01/2021,10/03/2021,6.98,18/03/2021,5,0.4103,0.0000,0.5897,1,1,1
CPLE6,12/03/2021,61.36,12/01/2021,11/03/2021,7.08,24/03/2021,8,0.4595,0.0000,0.5405,1,1,1
CPLE6,13/03/2021,6.3,13/01/2021,12/03/2021,6.82,25/03/2021,8,0.4359,0.0000,0.5641,0,0,0
CPLE6,16/03/2021,6.76,14/01/2021,13/03/2021,6.87,26/03/2021,8,0.4126,0.0000,0.5874,0,0,0
CPLE6,17/03/2021,6.88,15/01/2021,16/03/2021,6.98,27/03/2021,8,0.4595,0.0000,0.5405,0,0,0
CPLE6,18/03/2021,6.98,16/01/2021,17/03/2021,6.82,25/03/2021,5,0.4853,0.0000,0.5147,-1,-1,-1
CPLE6,19/03/2021,6.95,19/01/2021,18/03/2021,6.87,26/03/2021,5,0.5110,0.0000,0.4890,-1,-1,-1
CPLE6,20/03/2021,6.99,20/01/2021,19/03/2021,6.98,27/03/2021,5,0.4634,0.0000,0.5366,1,0,0
CPLE6,23/03/2021,7.1,21/01/2021,20/03/2021,6.36,02/04/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
CPLE6,24/03/2021,7.08,22/01/2021,23/03/2021,7.07,31/03/2021,5,0.5110,0.0000,0.4890,-1,-1,-1
CPLE6,25/03/2021,6.82,23/01/2021,24/03/2021,6.32,07/04/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
CPLE6,26/03/2021,6.87,27/01/2021,25/03/2021,6.36,02/04/2021,5,0.4634,0.0000,0.5366,1,1,1
CPLE6,27/03/2021,6.98,28/01/2021,26/03/2021,6.28,09/04/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
CPLE6,30/03/2021,7.06,29/01/2021,27/03/2021,6.32,07/04/2021,5,0.5110,0.0000,0.4890,-1,-1,-1
CPLE6,31/03/2021,7.07,30/01/2021,30/03/2021,6.32,08/04/2021,5,0.5128,0.0000,0.4872,-1,-1,-1
CPLE6,01/04/2021,7.13,02/02/2021,31/03/2021,6.28,09/04/2021,5,0.5128,0.0000,0.4872,-1,-1,-1
CPLE6,02/04/2021,6.36,03/02/2021,01/04/2021,6.25,10/04/2021,5,0.5391,0.0000,0.4609,0,0,0
CPLE6,06/04/2021,6.31,04/02/2021,02/04/2021,6.18,13/04/2021,5,0.4865,0.0000,0.5135,-1,-1,-1
CPLE6,07/04/2021,6.32,05/02/2021,06/04/2021,6.23,14/04/2021,5,0.4609,0.0000,0.5391,1,1,0
CPLE6,08/04/2021,6.32,06/02/2021,07/04/2021,6.3,15/04/2021,5,0.5135,0.0000,0.4865,-1,-1,-1
CPLE6,09/04/2021,6.28,09/02/2021,08/04/2021,6,05/05/2021,17,0.4750,0.0500,0.4750,-1,-1,-1
CPLE6,10/04/2021,6.25,10/02/2021,09/04/2021,6.46,23/04/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
CPLE6,13/04/2021,6.18,11/02/2021,10/04/2021,6.59,20/04/2021,5,0.4743,0.0250,0.5007,-1,-1,-1
CPLE6,14/04/2021,6.23,12/02/2021,13/04/2021,6.48,27/04/2021,8,0.4615,0.0256,0.5128,0,0,0
CPLE6,15/04/2021,6.3,13/02/2021,14/04/2021,6.47,28/04/2021,8,0.5121,0.0270,0.4609,1,1,1
CPLE6,16/04/2021,6.42,18/02/2021,15/04/2021,6.37,29/04/2021,8,0.5376,0.0269,0.4355,0,0,0
CPLE6,17/04/2021,6.54,19/02/2021,16/04/2021,6.48,27/04/2021,5,0.5518,0.0263,0.4219,0,0,0
CPLE6,20/04/2021,6.59,20/02/2021,17/04/2021,6.26,01/05/2021,8,0.5659,0.0269,0.4072,0,0,0
CPLE6,21/04/2021,6.66,23/02/2021,20/04/2021,6.13,04/05/2021,8,0.5789,0.0263,0.3947,0,0,0
CPLE6,23/04/2021,6.46,24/02/2021,21/04/2021,6,05/05/2021,8,0.5789,0.0263,0.3947,0,0,0
CPLE6,24/04/2021,6.5,25/02/2021,23/04/2021,6.03,06/05/2021,8,0.5385,0.0256,0.4359,0,0,0
CPLE6,27/04/2021,6.48,26/02/2021,24/04/2021,5.98,07/05/2021,8,0.5910,0.0269,0.3821,0,0,0
CPLE6,28/04/2021,6.47,27/02/2021,27/04/2021,6,05/05/2021,5,0.5500,0.0250,0.4250,0,0,0
CPLE6,29/04/2021,6.37,02/03/2021,28/04/2021,5.95,11/05/2021,8,0.5242,0.0250,0.4509,0,0,0
CPLE6,30/04/2021,6.38,03/03/2021,29/04/2021,5.99,12/05/2021,8,0.5128,0.0256,0.4615,0,0,0
CPLE6,01/05/2021,6.26,04/03/2021,30/04/2021,5.77,13/05/2021,8,0.5535,0.0264,0.4201,0,0,0
CPLE6,04/05/2021,6.13,05/03/2021,01/05/2021,5.8,14/05/2021,8,0.5128,0.0256,0.4615,0,0,0
CPLE6,05/05/2021,6,06/03/2021,04/05/2021,5.83,15/05/2021,8,0.5128,0.0256,0.4615,0,0,1
CPLE6,06/05/2021,6.03,09/03/2021,05/05/2021,5.94,18/05/2021,8,0.5128,0.0256,0.4615,0,0,0
CPLE6,07/05/2021,5.98,10/03/2021,06/05/2021,6.03,19/05/2021,8,0.5535,0.0264,0.4201,1,1,1
CPLE6,08/05/2021,6.02,11/03/2021,07/05/2021,6.03,20/05/2021,8,0.5128,0.0256,0.4615,1,1,1
CPLE6,11/05/2021,5.95,12/03/2021,08/05/2021,6.11,21/05/2021,8,0.5659,0.0269,0.4072,1,1,1
CPLE6,12/05/2021,5.99,13/03/2021,11/05/2021,6.08,22/05/2021,8,0.5242,0.0250,0.4509,1,1,1
CPLE6,13/05/2021,5.77,16/03/2021,12/05/2021,6.03,20/05/2021,5,0.5518,0.0263,0.4219,1,1,1
CPLE6,14/05/2021,5.8,17/03/2021,13/05/2021,5.94,18/05/2021,2,0.5000,0.0250,0.4750,-1,-1,-1
CPLE6,15/05/2021,5.83,18/03/2021,14/05/2021,6.23,27/05/2021,8,0.5376,0.0269,0.4355,1,1,1
CPLE6,18/05/2021,5.94,19/03/2021,15/05/2021,6.19,25/05/2021,5,0.5518,0.0263,0.4219,1,1,1
CPLE6,19/05/2021,6.03,20/03/2021,18/05/2021,6.21,26/05/2021,5,0.5518,0.0263,0.4219,1,1,1
CPLE6,20/05/2021,6.03,23/03/2021,19/05/2021,6.38,01/06/2021,8,0.5659,0.0269,0.4072,1,1,1
CPLE6,21/05/2021,6.11,24/03/2021,20/05/2021,6.37,02/06/2021,8,0.5250,0.0750,0.4000,1,1,1
CPLE6,22/05/2021,6.08,25/03/2021,21/05/2021,6.47,29/05/2021,5,0.5733,0.0521,0.3746,1,1,1
CPLE6,25/05/2021,6.19,26/03/2021,22/05/2021,6.43,05/06/2021,8,0.5207,0.0496,0.4298,1,1,1
CPLE6,26/05/2021,6.21,27/03/2021,25/05/2021,6.37,02/06/2021,5,0.5468,0.0521,0.4012,1,1,1
CPLE6,27/05/2021,6.23,30/03/2021,26/05/2021,6.5,03/06/2021,5,0.5468,0.0521,0.4012,1,1,1
CPLE6,28/05/2021,6.32,31/03/2021,27/05/2021,6.43,05/06/2021,5,0.5468,0.0521,0.4012,1,1,0
CPLE6,29/05/2021,6.47,01/04/2021,28/05/2021,6.23,11/06/2021,8,0.5553,0.0529,0.3918,0,0,0
CPLE6,01/06/2021,6.38,02/04/2021,29/05/2021,6.25,12/06/2021,8,0.5806,0.0528,0.3666,0,1,0
CPLE6,02/06/2021,6.37,06/04/2021,01/06/2021,6.17,10/06/2021,5,0.5466,0.0497,0.4037,0,0,0
CPLE6,03/06/2021,6.5,07/04/2021,02/06/2021,6.27,22/06/2021,12,0.5316,0.0380,0.4304,0,0,0
CPLE6,05/06/2021,6.43,08/04/2021,03/06/2021,6.25,12/06/2021,5,0.5773,0.0262,0.3965,0,0,0
CPLE6,08/06/2021,6.37,09/04/2021,05/06/2021,6.4,15/06/2021,5,0.5515,0.0251,0.4234,1,0,0
CPLE6,09/06/2021,6.28,10/04/2021,08/06/2021,6.36,16/06/2021,5,0.5515,0.0251,0.4234,1,0,0
CPLE6,10/06/2021,6.17,13/04/2021,09/06/2021,6.27,22/06/2021,8,0.5366,0.0244,0.4390,1,1,1
CPLE6,11/06/2021,6.23,14/04/2021,10/06/2021,6.22,23/06/2021,8,0.5106,0.0243,0.4650,-1,-1,-1
CPLE6,12/06/2021,6.25,15/04/2021,11/06/2021,6.18,24/06/2021,8,0.5385,0.0256,0.4359,0,0,0
CPLE6,15/06/2021,6.4,16/04/2021,12/06/2021,6.17,25/06/2021,8,0.5385,0.0256,0.4359,0,0,0
CPLE6,16/06/2021,6.36,17/04/2021,15/06/2021,6.11,26/06/2021,8,0.5385,0.0256,0.4359,0,0,0
CPLE6,17/06/2021,6.23,20/04/2021,16/06/2021,6.05,29/06/2021,8,0.4878,0.0244,0.4878,-1,-1,-1
CPLE6,18/06/2021,6.24,21/04/2021,17/06/2021,6.17,25/06/2021,5,0.4743,0.0250,0.5007,-1,-1,-1
CPLE6,19/06/2021,6.2,23/04/2021,18/06/2021,5.93,01/07/2021,8,0.5128,0.0256,0.4615,0,0,0
CPLE6,22/06/2021,6.27,24/04/2021,19/06/2021,6.05,29/06/2021,5,0.4743,0.0250,0.5007,-1,-1,-1
CPLE6,23/06/2021,6.22,27/04/2021,22/06/2021,5.92,30/06/2021,5,0.5249,0.0262,0.4488,0,0,0
CPLE6,24/06/2021,6.18,28/04/2021,23/06/2021,5.93,01/07/2021,5,0.5013,0.0251,0.4737,-1,-1,-1
CPLE6,25/06/2021,6.17,29/04/2021,24/06/2021,6.05,07/07/2021,8,0.4878,0.0244,0.4878,-1,-1,-1
CPLE6,26/06/2021,6.11,30/04/2021,25/06/2021,5.97,03/07/2021,5,0.4743,0.0250,0.5007,-1,-1,-1
CPLE6,29/06/2021,6.05,01/05/2021,26/06/2021,6.08,06/07/2021,5,0.4743,0.0250,0.5007,-1,-1,-1
CPLE6,30/06/2021,5.92,04/05/2021,29/06/2021,6.05,07/07/2021,5,0.4743,0.0250,0.5007,-1,-1,-1
CPLE6,01/07/2021,5.93,05/05/2021,30/06/2021,5.99,14/07/2021,8,0.4592,0.0242,0.5166,0,0,0
CPLE6,02/07/2021,5.93,06/05/2021,01/07/2021,5.95,09/07/2021,5,0.5007,0.0264,0.4729,-1,-1,-1
CPLE6,03/07/2021,5.97,07/05/2021,02/07/2021,6.04,22/07/2021,12,0.4750,0.0750,0.4500,-1,-1,-1
CPLE6,06/07/2021,6.08,08/05/2021,03/07/2021,6.03,17/07/2021,8,0.4967,0.0523,0.4510,-1,-1,-1
CPLE6,07/07/2021,6.05,11/05/2021,06/07/2021,6.05,24/07/2021,12,0.5128,0.0513,0.4359,0,0,1
CPLE6,08/07/2021,6.08,12/05/2021,07/07/2021,6.01,21/07/2021,8,0.4667,0.0491,0.4842,-1,-1,-1
CPLE6,09/07/2021,5.95,13/05/2021,08/07/2021,6.07,28/07/2021,12,0.5128,0.0513,0.4359,1,1,1
CPLE6,13/07/2021,6.03,14/05/2021,09/07/2021,6.17,29/07/2021,12,0.4570,0.0481,0.4948,-1,-1,-1
CPLE6,14/07/2021,5.99,15/05/2021,13/07/2021,6.05,24/07/2021,8,0.4872,0.0513,0.4615,-1,-1,-1
CPLE6,15/07/2021,5.99,18/05/2021,14/07/2021,6.12,31/07/2021,12,0.4350,0.0483,0.5166,0,0,0
CPLE6,16/07/2021,5.95,19/05/2021,15/07/2021,6.68,10/08/2021,17,0.4250,0.1000,0.4750,-1,-1,-1
CPLE6,17/07/2021,6.03,20/05/2021,16/07/2021,6.05,24/07/2021,5,0.4186,0.0511,0.5303,0,0,0
CPLE6,20/07/2021,6.02,21/05/2021,17/07/2021,6.03,27/07/2021,5,0.4533,0.0514,0.4952,-1,-1,-1
