Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
EZTC3,05/01/2021,41.7,04/11/2020,31/12/2020,40.81,15/01/2021,8,0.5350,0.0000,0.4650,0,0,0
EZTC3,06/01/2021,40.7,05/11/2020,05/01/2021,39.39,16/01/2021,8,0.5091,0.0000,0.4909,-1,-1,-1
EZTC3,07/01/2021,38.82,06/11/2020,06/01/2021,39.24,19/01/2021,8,0.4834,0.0000,0.5166,-1,-1,-1
EZTC3,08/01/2021,38.32,07/11/2020,07/01/2021,39.6,20/01/2021,8,0.4578,0.0000,0.5422,0,0,1
EZTC3,09/01/2021,40.44,10/11/2020,08/01/2021,39,21/01/2021,8,0.4324,0.0000,0.5676,1,1,1
EZTC3,12/01/2021,38.59,11/11/2020,09/01/2021,36.8,22/01/2021,8,0.4909,0.0000,0.5091,-1,-1,-1
EZTC3,13/01/2021,40,12/11/2020,12/01/2021,39.6,20/01/2021,5,0.4615,0.0000,0.5385,1,1,1
EZTC3,14/01/2021,39.24,13/11/2020,13/01/2021,39,21/01/2021,5,0.4872,0.0000,0.5128,-1,-1,-1
EZTC3,15/01/2021,40.81,14/11/2020,14/01/2021,36.8,22/01/2021,5,0.4355,0.0000,0.5645,1,1,1
EZTC3,16/01/2021,39.39,17/11/2020,15/01/2021,36.14,23/01/2021,5,0.4615,0.0000,0.5385,1,1,1
EZTC3,19/01/2021,39.24,18/11/2020,16/01/2021,35.4,27/01/2021,5,0.4359,0.0000,0.5641,1,1,1
EZTC3,20/01/2021,39.6,19/11/2020,19/01/2021,36.14,23/01/2021,3,0.4102,0.0000,0.5898,1,1,1
EZTC3,21/01/2021,39,20/11/2020,20/01/2021,37.94,29/01/2021,5,0.4620,0.0000,0.5380,1,1,1
EZTC3,22/01/2021,36.8,21/11/2020,21/01/2021,36.68,30/01/2021,5,0.4359,0.0000,0.5641,1,0,0
EZTC3,23/01/2021,36.14,24/11/2020,22/01/2021,37.93,02/02/2021,5,0.4359,0.0000,0.5641,0,0,0
EZTC3,27/01/2021,35.4,25/11/2020,23/01/2021,36.68,30/01/2021,3,0.4102,0.0000,0.5898,0,0,0
EZTC3,28/01/2021,36.83,26/11/2020,27/01/2021,39.18,04/02/2021,5,0.3850,0.0000,0.6150,0,0,0
EZTC3,29/01/2021,37.94,27/11/2020,28/01/2021,38.65,05/02/2021,5,0.4103,0.0000,0.5897,0,0,0
