Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
IGTA3,05/01/2021,35.46,04/11/2020,31/12/2020,33.7,12/01/2021,5,0.5128,0.0000,0.4872,-1,-1,-1
IGTA3,06/01/2021,35.34,05/11/2020,05/01/2021,34.13,13/01/2021,5,0.4609,0.0000,0.5391,1,1,1
IGTA3,07/01/2021,33.87,06/11/2020,06/01/2021,33.64,14/01/2021,5,0.4355,0.0000,0.5645,1,0,0
IGTA3,08/01/2021,33.5,07/11/2020,07/01/2021,34.13,13/01/2021,3,0.4102,0.0000,0.5898,0,0,0
IGTA3,09/01/2021,35.23,10/11/2020,08/01/2021,34.14,16/01/2021,5,0.4103,0.0000,0.5897,1,1,1
IGTA3,12/01/2021,33.7,11/11/2020,09/01/2021,34.57,19/01/2021,5,0.4620,0.0000,0.5380,0,0,0
IGTA3,13/01/2021,34.13,12/11/2020,12/01/2021,34.6,20/01/2021,5,0.4359,0.0000,0.5641,0,1,1
IGTA3,14/01/2021,33.64,13/11/2020,13/01/2021,34.01,21/01/2021,5,0.4853,0.0000,0.5147,-1,-1,-1
IGTA3,15/01/2021,34.72,14/11/2020,14/01/2021,33.1,22/01/2021,5,0.4380,0.0000,0.5620,1,1,1
IGTA3,16/01/2021,34.14,17/11/2020,15/01/2021,35.47,29/01/2021,8,0.4615,0.0000,0.5385,0,0,0
IGTA3,19/01/2021,34.57,18/11/2020,16/01/2021,34.31,30/01/2021,8,0.4359,0.0000,0.5641,1,0,0
IGTA3,20/01/2021,34.6,19/11/2020,19/01/2021,34.72,02/02/2021,8,0.4832,0.0000,0.5168,-1,-1,-1
IGTA3,21/01/2021,34.01,20/11/2020,20/01/2021,34.98,03/02/2021,8,0.5089,0.0000,0.4911,-1,-1,-1
IGTA3,22/01/2021,33.1,21/11/2020,21/01/2021,36.39,04/02/2021,8,0.4655,0.0000,0.5345,0,0,0
IGTA3,23/01/2021,32.65,24/11/2020,22/01/2021,35.63,05/02/2021,8,0.4400,0.0000,0.5600,0,0,0
IGTA3,27/01/2021,33.19,25/11/2020,23/01/2021,35.19,06/02/2021,8,0.4146,0.0000,0.5854,0,0,0
IGTA3,28/01/2021,33.15,26/11/2020,27/01/2021,35.5,09/02/2021,8,0.4574,0.0000,0.5426,0,0,0
IGTA3,29/01/2021,35.47,27/11/2020,28/01/2021,34.96,10/02/2021,8,0.4146,0.0000,0.5854,1,1,1
IGTA3,30/01/2021,34.31,28/11/2020,29/01/2021,34.43,11/02/2021,8,0.4574,0.0000,0.5426,0,0,0
IGTA3,02/02/2021,34.72,01/12/2020,30/01/2021,34.48,12/02/2021,8,0.4146,0.0000,0.5854,1,0,1
IGTA3,03/02/2021,34.98,02/12/2020,02/02/2021,35,13/02/2021,8,0.4359,0.0000,0.5641,0,1,1
IGTA3,04/02/2021,36.39,03/12/2020,03/02/2021,34.36,18/02/2021,8,0.4359,0.0000,0.5641,1,1,1
IGTA3,05/02/2021,35.63,04/12/2020,04/02/2021,33.96,19/02/2021,8,0.4574,0.0000,0.5426,1,1,1
IGTA3,06/02/2021,35.19,05/12/2020,05/02/2021,34,20/02/2021,8,0.4146,0.0000,0.5854,1,1,1
IGTA3,09/02/2021,35.5,08/12/2020,06/02/2021,32.88,23/02/2021,8,0.4103,0.0000,0.5897,1,1,1
IGTA3,10/02/2021,34.96,09/12/2020,09/02/2021,32.93,24/02/2021,8,0.4359,0.0000,0.5641,1,1,1
IGTA3,11/02/2021,34.43,10/12/2020,10/02/2021,32.79,25/02/2021,8,0.3894,0.0000,0.6106,1,1,1
IGTA3,12/02/2021,34.48,11/12/2020,11/02/2021,32.65,26/02/2021,8,0.3846,0.0000,0.6154,1,1,1
IGTA3,13/02/2021,35,12/12/2020,12/02/2021,31.55,27/02/2021,8,0.4103,0.0000,0.5897,1,1,1
IGTA3,18/02/2021,34.36,15/12/2020,13/02/2021,30.63,02/03/2021,8,0.4335,0.0000,0.5665,1,1,1
IGTA3,19/02/2021,33.96,16/12/2020,18/02/2021,30.99,03/03/2021,8,0.4103,0.0000,0.5897,1,1,1
IGTA3,20/02/2021,34,17/12/2020,19/02/2021,30.54,04/03/2021,8,0.4103,0.0000,0.5897,1,1,1
IGTA3,23/02/2021,32.88,18/12/2020,20/02/2021,31.47,05/03/2021,8,0.4574,0.0000,0.5426,1,0,1
IGTA3,24/02/2021,32.93,19/12/2020,23/02/2021,32.89,06/03/2021,8,0.4359,0.0000,0.5641,1,1,1
IGTA3,25/02/2021,32.79,22/12/2020,24/02/2021,34.82,13/03/2021,12,0.4815,0.0000,0.5185,-1,-1,-1
IGTA3,26/02/2021,32.65,23/12/2020,25/02/2021,35.69,16/03/2021,12,0.4417,0.0000,0.5583,0,0,0
IGTA3,27/02/2021,31.55,24/12/2020,26/02/2021,34.82,17/03/2021,12,0.4163,0.0000,0.5837,0,0,0
IGTA3,02/03/2021,30.63,29/12/2020,27/02/2021,35.45,18/03/2021,12,0.4103,0.0000,0.5897,0,0,0
IGTA3,03/03/2021,30.99,30/12/2020,02/03/2021,34.82,13/03/2021,8,0.3894,0.0000,0.6106,0,0,0
IGTA3,04/03/2021,30.54,31/12/2020,03/03/2021,35.69,16/03/2021,8,0.4315,0.0000,0.5685,0,0,0
IGTA3,05/03/2021,31.47,05/01/2021,04/03/2021,35.81,23/03/2021,12,0.4103,0.0000,0.5897,0,0,0
IGTA3,06/03/2021,32.89,06/01/2021,05/03/2021,36.03,24/03/2021,12,0.4557,0.0000,0.5443,0,0,0
IGTA3,09/03/2021,31.11,07/01/2021,06/03/2021,36.01,25/03/2021,12,0.4815,0.0000,0.5185,-1,-1,-1
IGTA3,10/03/2021,31.37,08/01/2021,09/03/2021,36.76,26/03/2021,12,0.4417,0.0000,0.5583,0,0,0
IGTA3,11/03/2021,32.16,09/01/2021,10/03/2021,36.45,27/03/2021,12,0.4815,0.0000,0.5185,-1,-1,-1
IGTA3,12/03/2021,34.27,12/01/2021,11/03/2021,36.03,24/03/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
IGTA3,13/03/2021,34.82,13/01/2021,12/03/2021,36.01,25/03/2021,8,0.5089,0.0000,0.4911,-1,-1,-1
IGTA3,16/03/2021,35.69,14/01/2021,13/03/2021,36.76,26/03/2021,8,0.5128,0.0000,0.4872,-1,-1,-1
IGTA3,17/03/2021,34.82,15/01/2021,16/03/2021,36.03,24/03/2021,5,0.5366,0.0000,0.4634,1,1,1
IGTA3,18/03/2021,35.45,16/01/2021,17/03/2021,36.01,25/03/2021,5,0.4890,0.0000,0.5110,-1,-1,-1
IGTA3,19/03/2021,34.49,19/01/2021,18/03/2021,37.84,31/03/2021,8,0.5128,0.0000,0.4872,-1,-1,-1
IGTA3,20/03/2021,36.21,20/01/2021,19/03/2021,37.4,01/04/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
IGTA3,23/03/2021,35.81,21/01/2021,20/03/2021,37.08,02/04/2021,8,0.5345,0.0000,0.4655,1,1,1
IGTA3,24/03/2021,36.03,22/01/2021,23/03/2021,37.3,06/04/2021,8,0.5128,0.0000,0.4872,-1,-1,-1
IGTA3,25/03/2021,36.01,23/01/2021,24/03/2021,36.61,13/04/2021,12,0.5385,0.0000,0.4615,1,1,1
IGTA3,26/03/2021,36.76,27/01/2021,25/03/2021,36.24,08/04/2021,8,0.5128,0.0000,0.4872,-1,-1,-1
