Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ITUB4,05/01/2021,30.9,04/11/2020,31/12/2020,32.59,15/01/2021,8,0.5405,0.0000,0.4595,1,1,1
ITUB4,06/01/2021,30.7,05/11/2020,05/01/2021,32.18,13/01/2021,5,0.5147,0.0000,0.4853,-1,-1,-1
ITUB4,07/01/2021,31.55,06/11/2020,06/01/2021,31.65,14/01/2021,5,0.5128,0.0000,0.4872,-1,-1,-1
ITUB4,08/01/2021,32.83,07/11/2020,07/01/2021,32.59,15/01/2021,5,0.5385,0.0000,0.4615,0,0,0
ITUB4,09/01/2021,32.82,10/11/2020,08/01/2021,31.36,16/01/2021,5,0.5385,0.0000,0.4615,0,0,0
ITUB4,12/01/2021,32.08,11/11/2020,09/01/2021,31.2,19/01/2021,5,0.5128,0.0000,0.4872,-1,-1,-1
ITUB4,13/01/2021,32.18,12/11/2020,12/01/2021,30.83,20/01/2021,5,0.5128,0.0000,0.4872,-1,-1,-1
ITUB4,14/01/2021,31.65,13/11/2020,13/01/2021,30.32,21/01/2021,5,0.5385,0.0000,0.4615,0,0,0
ITUB4,15/01/2021,32.59,14/11/2020,14/01/2021,29.91,22/01/2021,5,0.4890,0.0000,0.5110,-1,-1,-1
ITUB4,16/01/2021,31.36,17/11/2020,15/01/2021,29.39,29/01/2021,8,0.5128,0.0000,0.4872,-1,-1,-1
ITUB4,19/01/2021,31.2,18/11/2020,16/01/2021,28.34,30/01/2021,8,0.4872,0.0000,0.5128,-1,-1,-1
ITUB4,20/01/2021,30.83,19/11/2020,19/01/2021,28.23,28/01/2021,5,0.4634,0.0000,0.5366,1,1,1
ITUB4,21/01/2021,30.32,20/11/2020,20/01/2021,29.39,29/01/2021,5,0.4615,0.0000,0.5385,1,1,1
ITUB4,22/01/2021,29.91,21/11/2020,21/01/2021,28.34,30/01/2021,5,0.4355,0.0000,0.5645,1,1,1
ITUB4,23/01/2021,29.27,24/11/2020,22/01/2021,29.39,29/01/2021,3,0.4102,0.0000,0.5898,0,1,1
ITUB4,27/01/2021,28.25,25/11/2020,23/01/2021,28.46,03/02/2021,5,0.4103,0.0000,0.5897,0,0,1
ITUB4,28/01/2021,28.23,26/11/2020,27/01/2021,28.32,04/02/2021,5,0.4103,0.0000,0.5897,0,1,1
ITUB4,29/01/2021,29.39,27/11/2020,28/01/2021,28.2,05/02/2021,5,0.3821,0.0000,0.6179,1,1,1
ITUB4,30/01/2021,28.34,28/11/2020,29/01/2021,28.08,06/02/2021,5,0.4390,0.0000,0.5610,1,1,1
ITUB4,02/02/2021,29.08,01/12/2020,30/01/2021,27.56,09/02/2021,5,0.3821,0.0000,0.6179,1,1,1
ITUB4,03/02/2021,28.46,02/12/2020,02/02/2021,27.89,10/02/2021,5,0.4103,0.0000,0.5897,1,1,1
ITUB4,04/02/2021,28.32,03/12/2020,03/02/2021,27.69,11/02/2021,5,0.3846,0.0000,0.6154,1,1,1
ITUB4,05/02/2021,28.2,04/12/2020,04/02/2021,27.91,19/02/2021,8,0.3571,0.0000,0.6429,1,1,1
ITUB4,06/02/2021,28.08,05/12/2020,05/02/2021,27.76,13/02/2021,5,0.3323,0.0000,0.6677,1,0,1
ITUB4,09/02/2021,27.56,08/12/2020,06/02/2021,28.11,18/02/2021,5,0.3333,0.0000,0.6667,0,0,0
