Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
LAME4,05/01/2021,25.5,04/11/2020,31/12/2020,23.38,12/01/2021,5,0.5518,0.0263,0.4219,0,0,0
LAME4,06/01/2021,24.93,05/11/2020,05/01/2021,23.18,08/01/2021,2,0.5000,0.0250,0.4750,-1,-1,-1
LAME4,07/01/2021,23.5,06/11/2020,06/01/2021,24.37,19/01/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
LAME4,08/01/2021,23.18,07/11/2020,07/01/2021,24.65,20/01/2021,8,0.4728,0.0249,0.5023,-1,-1,-1
LAME4,09/01/2021,23.84,10/11/2020,08/01/2021,25.65,21/01/2021,8,0.4615,0.0256,0.5128,0,0,0
LAME4,12/01/2021,23.38,11/11/2020,09/01/2021,25.29,22/01/2021,8,0.5151,0.0271,0.4578,1,1,1
LAME4,13/01/2021,23.66,12/11/2020,12/01/2021,24.77,23/01/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
LAME4,14/01/2021,23.6,13/11/2020,13/01/2021,25.65,21/01/2021,5,0.5263,0.0263,0.4474,1,1,1
LAME4,15/01/2021,23.98,14/11/2020,14/01/2021,24.4,28/01/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
LAME4,16/01/2021,24.3,17/11/2020,15/01/2021,24.77,23/01/2021,5,0.5263,0.0263,0.4474,1,1,1
LAME4,19/01/2021,24.37,18/11/2020,16/01/2021,24.35,27/01/2021,5,0.5263,0.0263,0.4474,0,1,1
LAME4,20/01/2021,24.65,19/11/2020,19/01/2021,23.93,02/02/2021,8,0.5405,0.0270,0.4324,0,1,1
LAME4,21/01/2021,25.65,20/11/2020,20/01/2021,25.25,03/02/2021,8,0.5659,0.0269,0.4072,0,0,0
LAME4,22/01/2021,25.29,21/11/2020,21/01/2021,25.25,04/02/2021,8,0.5910,0.0269,0.3821,0,0,0
LAME4,23/01/2021,24.77,24/11/2020,22/01/2021,23.93,02/02/2021,5,0.5500,0.0250,0.4250,0,1,1
LAME4,27/01/2021,24.35,25/11/2020,23/01/2021,24.8,06/02/2021,8,0.5385,0.0256,0.4359,1,1,0
LAME4,28/01/2021,24.4,26/11/2020,27/01/2021,24.52,09/02/2021,8,0.5222,0.0249,0.4529,1,0,0
LAME4,29/01/2021,24.85,27/11/2020,28/01/2021,24.27,10/02/2021,8,0.5695,0.0271,0.4034,0,0,0
LAME4,30/01/2021,24.09,28/11/2020,29/01/2021,23.82,11/02/2021,8,0.5946,0.0270,0.3784,0,1,1
LAME4,02/02/2021,23.93,01/12/2020,30/01/2021,24.3,12/02/2021,8,0.5480,0.0249,0.4270,1,1,1
LAME4,03/02/2021,25.25,02/12/2020,02/02/2021,24.61,13/02/2021,8,0.5222,0.0249,0.4529,0,0,0
