Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ODPV3,05/01/2021,15.17,04/11/2020,31/12/2020,14.53,29/01/2021,17,0.4750,0.0500,0.4750,-1,-1,-1
ODPV3,06/01/2021,15.45,05/11/2020,05/01/2021,15.05,16/01/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
ODPV3,07/01/2021,15.04,06/11/2020,06/01/2021,14.83,19/01/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
ODPV3,08/01/2021,14.3,07/11/2020,07/01/2021,14.46,20/01/2021,8,0.4400,0.0267,0.5333,0,0,0
ODPV3,09/01/2021,14.58,10/11/2020,08/01/2021,14.48,21/01/2021,8,0.4245,0.0262,0.5493,1,1,1
ODPV3,12/01/2021,14.46,11/11/2020,09/01/2021,14.43,22/01/2021,8,0.4726,0.0251,0.5023,-1,-1,-1
ODPV3,13/01/2021,14.53,12/11/2020,12/01/2021,14.02,23/01/2021,8,0.4510,0.0261,0.5229,1,1,1
ODPV3,14/01/2021,14.3,13/11/2020,13/01/2021,14.35,27/01/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
ODPV3,15/01/2021,14.46,14/11/2020,14/01/2021,14.21,28/01/2021,8,0.4510,0.0261,0.5229,1,0,1
ODPV3,16/01/2021,15.05,17/11/2020,15/01/2021,14.53,29/01/2021,8,0.4872,0.0256,0.4872,-1,-1,-1
ODPV3,19/01/2021,14.83,18/11/2020,16/01/2021,14.17,30/01/2021,8,0.4983,0.0251,0.4766,-1,-1,-1
ODPV3,20/01/2021,14.46,19/11/2020,19/01/2021,14.5,02/02/2021,8,0.4766,0.0262,0.4973,-1,-1,-1
ODPV3,21/01/2021,14.48,20/11/2020,20/01/2021,14.6,03/02/2021,8,0.4655,0.0267,0.5078,-1,-1,-1
ODPV3,22/01/2021,14.43,21/11/2020,21/01/2021,14.2,04/02/2021,8,0.4983,0.0251,0.4766,-1,-1,-1
ODPV3,23/01/2021,14.02,24/11/2020,22/01/2021,14.06,05/02/2021,8,0.4766,0.0262,0.4973,-1,-1,-1
ODPV3,27/01/2021,14.35,25/11/2020,23/01/2021,13.96,06/02/2021,8,0.4655,0.0267,0.5078,-1,-1,-1
ODPV3,28/01/2021,14.21,26/11/2020,27/01/2021,13.6,09/02/2021,8,0.4983,0.0251,0.4766,-1,-1,-1
ODPV3,29/01/2021,14.53,27/11/2020,28/01/2021,13.55,10/02/2021,8,0.4655,0.0267,0.5078,-1,-1,-1
ODPV3,30/01/2021,14.17,28/11/2020,29/01/2021,13.59,11/02/2021,8,0.4983,0.0251,0.4766,-1,-1,-1
ODPV3,02/02/2021,14.5,01/12/2020,30/01/2021,13.37,12/02/2021,8,0.4655,0.0267,0.5078,-1,-1,-1
ODPV3,03/02/2021,14.6,02/12/2020,02/02/2021,13.35,13/02/2021,8,0.4983,0.0251,0.4766,-1,-1,-1
ODPV3,04/02/2021,14.2,03/12/2020,03/02/2021,13.26,18/02/2021,8,0.5128,0.0256,0.4615,0,0,0
ODPV3,05/02/2021,14.06,04/12/2020,04/02/2021,13.25,19/02/2021,8,0.4655,0.0267,0.5078,-1,-1,-1
ODPV3,06/02/2021,13.96,05/12/2020,05/02/2021,13.35,13/02/2021,5,0.4500,0.0262,0.5238,1,1,1
ODPV3,09/02/2021,13.6,08/12/2020,06/02/2021,13.14,23/02/2021,8,0.4380,0.0268,0.5353,1,1,1
ODPV3,10/02/2021,13.55,09/12/2020,09/02/2021,13.04,24/02/2021,8,0.4126,0.0267,0.5607,1,1,1
ODPV3,11/02/2021,13.59,10/12/2020,10/02/2021,13.2,20/02/2021,5,0.3979,0.0262,0.5759,1,1,1
ODPV3,12/02/2021,13.37,11/12/2020,11/02/2021,13.14,23/02/2021,5,0.4479,0.0251,0.5270,1,1,1
ODPV3,13/02/2021,13.35,12/12/2020,12/02/2021,13.03,27/02/2021,8,0.4245,0.0262,0.5493,1,1,1
ODPV3,18/02/2021,13.26,15/12/2020,13/02/2021,13.26,02/03/2021,8,0.4126,0.0267,0.5607,0,1,1
ODPV3,19/02/2021,13.25,16/12/2020,18/02/2021,13.2,03/03/2021,8,0.3874,0.0266,0.5860,1,1,1
ODPV3,20/02/2021,13.2,17/12/2020,19/02/2021,13.03,27/02/2021,5,0.3725,0.0261,0.6013,1,0,0
ODPV3,23/02/2021,13.14,18/12/2020,20/02/2021,13.26,02/03/2021,5,0.3725,0.0261,0.6013,0,0,0
ODPV3,24/02/2021,13.04,19/12/2020,23/02/2021,13.2,03/03/2021,5,0.3725,0.0261,0.6013,0,0,0
ODPV3,25/02/2021,13.07,22/12/2020,24/02/2021,13.08,09/03/2021,8,0.3600,0.0267,0.6133,0,1,1
ODPV3,26/02/2021,12.99,23/12/2020,25/02/2021,12.59,10/03/2021,8,0.3846,0.0256,0.5897,1,1,1
ODPV3,27/02/2021,13.03,24/12/2020,26/02/2021,12.16,11/03/2021,8,0.3373,0.0265,0.6361,1,1,1
ODPV3,02/03/2021,13.26,29/12/2020,27/02/2021,13.08,09/03/2021,5,0.3703,0.0252,0.6045,1,1,1
ODPV3,03/03/2021,13.2,30/12/2020,02/03/2021,13.33,26/03/2021,17,0.3947,0.0000,0.6053,0,0,1
ODPV3,04/03/2021,13.14,31/12/2020,03/03/2021,12.65,16/03/2021,8,0.3623,0.0000,0.6377,1,1,1
ODPV3,05/03/2021,13.12,05/01/2021,04/03/2021,12.95,23/03/2021,12,0.3373,0.0000,0.6627,1,1,1
ODPV3,06/03/2021,13.23,06/01/2021,05/03/2021,12.93,18/03/2021,8,0.3333,0.0000,0.6667,1,1,1
ODPV3,09/03/2021,13.08,07/01/2021,06/03/2021,12.79,19/03/2021,8,0.3812,0.0000,0.6188,1,1,1
ODPV3,10/03/2021,12.59,08/01/2021,09/03/2021,13.33,26/03/2021,12,0.3373,0.0000,0.6627,0,0,0
ODPV3,11/03/2021,12.16,09/01/2021,10/03/2021,12.95,23/03/2021,8,0.3333,0.0000,0.6667,0,0,0
ODPV3,12/03/2021,12.84,12/01/2021,11/03/2021,13.03,24/03/2021,8,0.3103,0.0000,0.6897,0,0,0
ODPV3,13/03/2021,12.61,13/01/2021,12/03/2021,13.04,20/03/2021,5,0.3571,0.0000,0.6429,0,0,0
ODPV3,16/03/2021,12.65,14/01/2021,13/03/2021,13.33,26/03/2021,8,0.3103,0.0000,0.6897,0,0,0
ODPV3,17/03/2021,12.58,15/01/2021,16/03/2021,13.36,27/03/2021,8,0.3333,0.0000,0.6667,0,0,0
ODPV3,18/03/2021,12.93,16/01/2021,17/03/2021,13.09,30/03/2021,8,0.3077,0.0000,0.6923,0,0,0
ODPV3,19/03/2021,12.79,19/01/2021,18/03/2021,13.01,31/03/2021,8,0.3548,0.0000,0.6452,0,0,0
ODPV3,20/03/2021,13.04,20/01/2021,19/03/2021,13.15,01/04/2021,8,0.3125,0.0000,0.6875,0,0,0
ODPV3,23/03/2021,12.95,21/01/2021,20/03/2021,13.28,02/04/2021,8,0.3548,0.0000,0.6452,0,0,0
ODPV3,24/03/2021,13.03,22/01/2021,23/03/2021,13.29,10/04/2021,12,0.3333,0.0000,0.6667,0,0,0
ODPV3,25/03/2021,12.89,23/01/2021,24/03/2021,13.57,07/04/2021,8,0.3590,0.0000,0.6410,0,0,0
ODPV3,26/03/2021,13.33,27/01/2021,25/03/2021,13.29,14/04/2021,12,0.3333,0.0000,0.6667,1,1,0
ODPV3,27/03/2021,13.36,28/01/2021,26/03/2021,13.55,09/04/2021,8,0.3590,0.0000,0.6410,0,1,1
ODPV3,30/03/2021,13.09,29/01/2021,27/03/2021,13.29,10/04/2021,8,0.3812,0.0000,0.6188,0,0,0
ODPV3,31/03/2021,13.01,30/01/2021,30/03/2021,13.3,17/04/2021,12,0.3373,0.0000,0.6627,0,0,0
ODPV3,01/04/2021,13.15,02/02/2021,31/03/2021,13.29,14/04/2021,8,0.3125,0.0000,0.6875,0,0,0
ODPV3,02/04/2021,13.28,03/02/2021,01/04/2021,13.3,15/04/2021,8,0.3548,0.0000,0.6452,0,0,0
ODPV3,06/04/2021,13.22,04/02/2021,02/04/2021,13.44,16/04/2021,8,0.3812,0.0000,0.6188,0,0,1
ODPV3,07/04/2021,13.57,05/02/2021,06/04/2021,13.3,17/04/2021,8,0.3590,0.0000,0.6410,1,1,1
ODPV3,08/04/2021,13.6,06/02/2021,07/04/2021,13.14,20/04/2021,8,0.4054,0.0000,0.5946,1,1,1
ODPV3,09/04/2021,13.55,09/02/2021,08/04/2021,13.23,21/04/2021,8,0.4315,0.0000,0.5685,1,1,1
ODPV3,10/04/2021,13.29,10/02/2021,09/04/2021,13.18,23/04/2021,8,0.3894,0.0000,0.6106,1,1,1
ODPV3,13/04/2021,13.31,11/02/2021,10/04/2021,13.2,24/04/2021,8,0.3846,0.0000,0.6154,1,1,1
ODPV3,14/04/2021,13.29,12/02/2021,13/04/2021,13.1,27/04/2021,8,0.4315,0.0000,0.5685,1,1,1
ODPV3,15/04/2021,13.3,13/02/2021,14/04/2021,12.95,04/05/2021,12,0.4103,0.0000,0.5897,1,1,1
ODPV3,16/04/2021,13.44,18/02/2021,15/04/2021,12.99,05/05/2021,12,0.4557,0.0000,0.5443,1,1,1
ODPV3,17/04/2021,13.3,19/02/2021,16/04/2021,13,06/05/2021,12,0.4815,0.0000,0.5185,-1,-1,-1
ODPV3,20/04/2021,13.14,20/02/2021,17/04/2021,12.94,07/05/2021,12,0.4615,0.0000,0.5385,1,1,1
ODPV3,21/04/2021,13.23,23/02/2021,20/04/2021,13,08/05/2021,12,0.4615,0.0000,0.5385,1,1,1
