Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
PSSA3,05/01/2021,47.78,04/11/2020,31/12/2020,49.71,15/01/2021,8,0.4324,0.0000,0.5676,0,0,0
PSSA3,06/01/2021,47.36,05/11/2020,05/01/2021,49.56,16/01/2021,8,0.4072,0.0000,0.5928,0,0,0
PSSA3,07/01/2021,46.4,06/11/2020,06/01/2021,49.99,19/01/2021,8,0.4103,0.0000,0.5897,0,0,0
PSSA3,08/01/2021,47.52,07/11/2020,07/01/2021,49.71,20/01/2021,8,0.3784,0.0000,0.6216,0,0,0
PSSA3,09/01/2021,50.8,10/11/2020,08/01/2021,49.84,21/01/2021,8,0.4103,0.0000,0.5897,1,1,1
PSSA3,12/01/2021,49.49,11/11/2020,09/01/2021,50.03,22/01/2021,8,0.4429,0.0000,0.5571,0,1,1
PSSA3,13/01/2021,49.39,12/11/2020,12/01/2021,49.37,23/01/2021,8,0.4103,0.0000,0.5897,1,1,1
PSSA3,14/01/2021,49.13,13/11/2020,13/01/2021,48.76,27/01/2021,8,0.3784,0.0000,0.6216,1,1,0
PSSA3,15/01/2021,49.71,14/11/2020,14/01/2021,47.97,28/01/2021,8,0.3535,0.0000,0.6465,1,0,1
PSSA3,16/01/2021,49.56,17/11/2020,15/01/2021,50.04,29/01/2021,8,0.3846,0.0000,0.6154,0,1,1
PSSA3,19/01/2021,49.99,18/11/2020,16/01/2021,48.76,27/01/2021,5,0.3323,0.0000,0.6677,1,1,0
PSSA3,20/01/2021,49.71,19/11/2020,19/01/2021,47.97,28/01/2021,5,0.3865,0.0000,0.6135,1,0,1
PSSA3,21/01/2021,49.84,20/11/2020,20/01/2021,48.76,27/01/2021,3,0.3590,0.0000,0.6410,1,1,0
PSSA3,22/01/2021,50.03,21/11/2020,21/01/2021,48.18,30/01/2021,5,0.4098,0.0000,0.5902,1,1,1
PSSA3,23/01/2021,49.37,24/11/2020,22/01/2021,50.04,29/01/2021,3,0.4360,0.0000,0.5640,0,1,1
PSSA3,27/01/2021,48.76,25/11/2020,23/01/2021,49.29,03/02/2021,5,0.4103,0.0000,0.5897,0,0,0
PSSA3,28/01/2021,47.97,26/11/2020,27/01/2021,49.85,04/02/2021,5,0.4103,0.0000,0.5897,0,0,0
PSSA3,29/01/2021,50.04,27/11/2020,28/01/2021,49.52,05/02/2021,5,0.4103,0.0000,0.5897,1,0,1
PSSA3,30/01/2021,48.18,28/11/2020,29/01/2021,49.15,11/02/2021,8,0.4595,0.0000,0.5405,0,0,1
PSSA3,02/02/2021,48.76,01/12/2020,30/01/2021,48.64,12/02/2021,8,0.4126,0.0000,0.5874,1,1,1
PSSA3,03/02/2021,49.29,02/12/2020,02/02/2021,48.17,13/02/2021,8,0.4359,0.0000,0.5641,1,1,1
PSSA3,04/02/2021,49.85,03/12/2020,03/02/2021,47.81,18/02/2021,8,0.4595,0.0000,0.5405,1,1,1
PSSA3,05/02/2021,49.52,04/12/2020,04/02/2021,48.64,12/02/2021,5,0.4615,0.0000,0.5385,1,1,1
PSSA3,06/02/2021,51.29,05/12/2020,05/02/2021,48.17,13/02/2021,5,0.4359,0.0000,0.5641,1,1,1
PSSA3,09/02/2021,49.86,08/12/2020,06/02/2021,47.81,18/02/2021,5,0.4615,0.0000,0.5385,1,1,1
PSSA3,10/02/2021,49.44,09/12/2020,09/02/2021,47.71,19/02/2021,5,0.4359,0.0000,0.5641,1,1,1
PSSA3,11/02/2021,49.15,10/12/2020,10/02/2021,47.81,18/02/2021,3,0.4102,0.0000,0.5898,1,1,1
PSSA3,12/02/2021,48.64,11/12/2020,11/02/2021,46.92,23/02/2021,5,0.3850,0.0000,0.6150,1,1,1
PSSA3,13/02/2021,48.17,12/12/2020,12/02/2021,46.63,24/02/2021,5,0.3846,0.0000,0.6154,1,1,1
PSSA3,18/02/2021,47.81,15/12/2020,13/02/2021,43.1,02/03/2021,8,0.3571,0.0000,0.6429,1,1,1
PSSA3,19/02/2021,47.71,16/12/2020,18/02/2021,43.69,03/03/2021,8,0.3590,0.0000,0.6410,1,1,1
PSSA3,20/02/2021,48.13,17/12/2020,19/02/2021,43.58,04/03/2021,8,0.3590,0.0000,0.6410,1,1,1
PSSA3,23/02/2021,46.92,18/12/2020,20/02/2021,43.1,02/03/2021,5,0.4128,0.0000,0.5872,1,1,1
PSSA3,24/02/2021,46.63,19/12/2020,23/02/2021,43.69,03/03/2021,5,0.3846,0.0000,0.6154,1,1,1
PSSA3,25/02/2021,46.25,22/12/2020,24/02/2021,43.58,04/03/2021,5,0.3846,0.0000,0.6154,1,1,1
PSSA3,26/02/2021,44.5,23/12/2020,25/02/2021,42.6,10/03/2021,8,0.3571,0.0000,0.6429,1,1,1
PSSA3,27/02/2021,43.59,24/12/2020,26/02/2021,43.57,06/03/2021,5,0.3323,0.0000,0.6677,1,1,1
PSSA3,02/03/2021,43.1,29/12/2020,27/02/2021,43.58,04/03/2021,2,0.3077,0.0000,0.6923,0,0,0
PSSA3,03/03/2021,43.69,30/12/2020,02/03/2021,42.6,10/03/2021,5,0.3077,0.0000,0.6923,1,1,0
PSSA3,04/03/2021,43.58,31/12/2020,03/03/2021,43.35,11/03/2021,5,0.3600,0.0000,0.6400,1,0,0
PSSA3,05/03/2021,43.48,05/01/2021,04/03/2021,44.33,12/03/2021,5,0.3333,0.0000,0.6667,0,0,0
PSSA3,06/03/2021,43.57,06/01/2021,05/03/2021,44.09,13/03/2021,5,0.3333,0.0000,0.6667,0,0,0
PSSA3,09/03/2021,42.95,07/01/2021,06/03/2021,44.33,12/03/2021,3,0.3590,0.0000,0.6410,0,0,0
PSSA3,10/03/2021,42.6,08/01/2021,09/03/2021,48.76,20/03/2021,8,0.3103,0.0000,0.6897,0,0,0
