Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
WEGE3,05/01/2021,74.62,04/11/2020,31/12/2020,88.7,21/01/2021,12,0.4536,0.0381,0.5083,0,0,0
WEGE3,06/01/2021,79.2,05/11/2020,05/01/2021,87.65,22/01/2021,12,0.4043,0.0397,0.5560,0,0,0
WEGE3,07/01/2021,81.54,06/11/2020,06/01/2021,88.97,23/01/2021,12,0.4389,0.0374,0.5237,0,0,0
WEGE3,08/01/2021,84.66,07/11/2020,07/01/2021,88.95,27/01/2021,12,0.4652,0.0373,0.4975,-1,-1,-1
WEGE3,09/01/2021,89.78,10/11/2020,08/01/2021,88.25,28/01/2021,12,0.4913,0.0372,0.4715,-1,-1,-1
WEGE3,12/01/2021,87.03,11/11/2020,09/01/2021,87.97,29/01/2021,12,0.5057,0.0380,0.4563,-1,-1,-1
WEGE3,13/01/2021,90.07,12/11/2020,12/01/2021,83.79,30/01/2021,12,0.4560,0.0398,0.5042,-1,-1,-1
WEGE3,14/01/2021,90.28,13/11/2020,13/01/2021,84.54,02/02/2021,12,0.4786,0.0382,0.4832,-1,-1,-1
WEGE3,15/01/2021,89.87,14/11/2020,14/01/2021,85,03/02/2021,12,0.4913,0.0372,0.4715,-1,-1,-1
WEGE3,16/01/2021,86.16,17/11/2020,15/01/2021,88.67,04/02/2021,12,0.4560,0.0398,0.5042,-1,-1,-1
WEGE3,19/01/2021,92.21,18/11/2020,16/01/2021,85.57,05/02/2021,12,0.4416,0.0390,0.5195,1,1,1
WEGE3,20/01/2021,89.6,19/11/2020,19/01/2021,84.5,06/02/2021,12,0.4913,0.0372,0.4715,-1,-1,-1
WEGE3,21/01/2021,88.7,20/11/2020,20/01/2021,85.5,09/02/2021,12,0.4675,0.0390,0.4935,-1,-1,-1
WEGE3,22/01/2021,87.65,21/11/2020,21/01/2021,85.01,10/02/2021,12,0.4675,0.0390,0.4935,-1,-1,-1
WEGE3,23/01/2021,88.97,24/11/2020,22/01/2021,86.03,11/02/2021,12,0.4675,0.0390,0.4935,-1,-1,-1
WEGE3,27/01/2021,88.95,25/11/2020,23/01/2021,87,12/02/2021,12,0.5046,0.0381,0.4573,-1,-1,-1
WEGE3,28/01/2021,88.25,26/11/2020,27/01/2021,86.67,13/02/2021,12,0.4570,0.0397,0.5033,-1,-1,-1
WEGE3,29/01/2021,87.97,27/11/2020,28/01/2021,83.95,18/02/2021,12,0.4416,0.0390,0.5195,1,1,1
WEGE3,30/01/2021,83.79,28/11/2020,29/01/2021,83.38,19/02/2021,12,0.4416,0.0390,0.5195,1,1,1
WEGE3,02/02/2021,84.54,01/12/2020,30/01/2021,87,12/02/2021,8,0.4301,0.0398,0.5301,0,0,1
WEGE3,03/02/2021,85,02/12/2020,02/02/2021,82.72,23/02/2021,12,0.4652,0.0373,0.4975,-1,-1,-1
WEGE3,04/02/2021,88.67,03/12/2020,03/02/2021,83.95,18/02/2021,8,0.4797,0.0381,0.4822,-1,-1,-1
WEGE3,05/02/2021,85.57,04/12/2020,04/02/2021,86.7,25/02/2021,12,0.4938,0.0370,0.4691,-1,-1,-1
WEGE3,06/02/2021,84.5,05/12/2020,05/02/2021,79.5,26/02/2021,12,0.4675,0.0390,0.4935,-1,-1,-1
WEGE3,09/02/2021,85.5,08/12/2020,06/02/2021,78.05,27/02/2021,12,0.4548,0.0399,0.5053,1,1,1
WEGE3,10/02/2021,85.01,09/12/2020,09/02/2021,78,02/03/2021,12,0.4938,0.0370,0.4691,-1,-1,-1
WEGE3,11/02/2021,86.03,10/12/2020,10/02/2021,72.74,27/03/2021,30,0.4865,0.0000,0.5135,-1,-1,-1
WEGE3,12/02/2021,87,11/12/2020,11/02/2021,72.28,11/03/2021,17,0.5238,0.0000,0.4762,-1,-1,-1
WEGE3,13/02/2021,86.67,12/12/2020,12/02/2021,83.66,24/02/2021,5,0.5366,0.0000,0.4634,0,1,0
WEGE3,18/02/2021,83.95,15/12/2020,13/02/2021,86.7,25/02/2021,5,0.4890,0.0000,0.5110,-1,-1,-1
WEGE3,19/02/2021,83.38,16/12/2020,18/02/2021,79.5,26/02/2021,5,0.4634,0.0000,0.5366,1,1,1
WEGE3,20/02/2021,83.24,17/12/2020,19/02/2021,78.05,27/02/2021,5,0.4380,0.0000,0.5620,1,1,1
WEGE3,23/02/2021,82.72,18/12/2020,20/02/2021,78,02/03/2021,5,0.4359,0.0000,0.5641,1,1,1
WEGE3,24/02/2021,83.66,19/12/2020,23/02/2021,77.06,03/03/2021,5,0.4359,0.0000,0.5641,1,1,1
WEGE3,25/02/2021,86.7,22/12/2020,24/02/2021,77,04/03/2021,5,0.4615,0.0000,0.5385,1,1,1
WEGE3,26/02/2021,79.5,23/12/2020,25/02/2021,73.23,05/03/2021,5,0.4878,0.0000,0.5122,-1,-1,-1
WEGE3,27/02/2021,78.05,24/12/2020,26/02/2021,73.04,06/03/2021,5,0.4355,0.0000,0.5645,1,1,1
WEGE3,02/03/2021,78,29/12/2020,27/02/2021,69.15,09/03/2021,5,0.4359,0.0000,0.5641,1,1,1
WEGE3,03/03/2021,77.06,30/12/2020,02/03/2021,71.15,13/03/2021,8,0.4072,0.0000,0.5928,1,1,1
WEGE3,04/03/2021,77,31/12/2020,03/03/2021,73.22,16/03/2021,8,0.4103,0.0000,0.5897,1,1,1
WEGE3,05/03/2021,73.23,05/01/2021,04/03/2021,73.4,17/03/2021,8,0.3784,0.0000,0.6216,0,1,1
WEGE3,06/03/2021,73.04,06/01/2021,05/03/2021,73.19,18/03/2021,8,0.3535,0.0000,0.6465,0,1,1
WEGE3,09/03/2021,69.15,07/01/2021,06/03/2021,71.81,19/03/2021,8,0.3289,0.0000,0.6711,0,0,0
WEGE3,10/03/2021,71.5,08/01/2021,09/03/2021,71.95,20/03/2021,8,0.3043,0.0000,0.6957,0,1,0
WEGE3,11/03/2021,72.28,09/01/2021,10/03/2021,71.3,23/03/2021,8,0.3636,0.0000,0.6364,1,1,1
WEGE3,12/03/2021,71.92,12/01/2021,11/03/2021,71.61,24/03/2021,8,0.3590,0.0000,0.6410,1,1,1
WEGE3,13/03/2021,71.15,13/01/2021,12/03/2021,70.52,25/03/2021,8,0.3043,0.0000,0.6957,1,1,0
WEGE3,16/03/2021,73.22,14/01/2021,13/03/2021,71.07,26/03/2021,8,0.3077,0.0000,0.6923,1,1,1
WEGE3,17/03/2021,73.4,15/01/2021,16/03/2021,72.74,27/03/2021,8,0.3636,0.0000,0.6364,1,1,0
WEGE3,18/03/2021,73.19,16/01/2021,17/03/2021,72.1,30/03/2021,8,0.3590,0.0000,0.6410,1,0,0
WEGE3,19/03/2021,71.81,19/01/2021,18/03/2021,75.05,31/03/2021,8,0.3333,0.0000,0.6667,0,0,0
WEGE3,20/03/2021,71.95,20/01/2021,19/03/2021,74.56,01/04/2021,8,0.3333,0.0000,0.6667,0,0,0
WEGE3,23/03/2021,71.3,21/01/2021,20/03/2021,75.06,02/04/2021,8,0.3902,0.0000,0.6098,0,0,0
WEGE3,24/03/2021,71.61,22/01/2021,23/03/2021,76.91,06/04/2021,8,0.3289,0.0000,0.6711,0,0,0
