Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BRML3,05/01/2021,9.53,02/07/2020,31/12/2020,9.14,12/01/2021,5,0.4339,0.0241,0.5420,1,1,1
BRML3,06/01/2021,9.72,03/07/2020,05/01/2021,9.24,13/01/2021,5,0.4318,0.0241,0.5441,1,1,1
BRML3,07/01/2021,9.21,04/07/2020,06/01/2021,9.23,14/01/2021,5,0.4400,0.0240,0.5360,0,0,0
BRML3,08/01/2021,9.14,07/07/2020,07/01/2021,9.38,15/01/2021,5,0.4259,0.0241,0.5500,0,0,0
BRML3,09/01/2021,9.41,08/07/2020,08/01/2021,9.28,16/01/2021,5,0.4238,0.0241,0.5521,1,1,0
BRML3,12/01/2021,9.14,09/07/2020,09/01/2021,9.36,19/01/2021,5,0.4320,0.0240,0.5440,0,0,0
BRML3,13/01/2021,9.24,10/07/2020,12/01/2021,9.45,20/01/2021,5,0.4161,0.0241,0.5598,0,0,0
BRML3,14/01/2021,9.23,11/07/2020,13/01/2021,9.4,21/01/2021,5,0.4260,0.0240,0.5500,0,0,1
BRML3,15/01/2021,9.38,14/07/2020,14/01/2021,9.37,22/01/2021,5,0.4161,0.0241,0.5598,1,1,1
BRML3,16/01/2021,9.28,15/07/2020,15/01/2021,9.17,23/01/2021,5,0.4240,0.0240,0.5520,1,0,0
BRML3,19/01/2021,9.36,16/07/2020,16/01/2021,9.34,27/01/2021,5,0.4102,0.0241,0.5658,1,1,0
BRML3,20/01/2021,9.45,17/07/2020,19/01/2021,9.34,28/01/2021,5,0.4240,0.0240,0.5520,1,0,0
BRML3,21/01/2021,9.4,18/07/2020,20/01/2021,9.89,29/01/2021,5,0.4240,0.0240,0.5520,0,0,0
BRML3,22/01/2021,9.37,21/07/2020,21/01/2021,9.55,30/01/2021,5,0.4102,0.0241,0.5658,0,0,0
BRML3,23/01/2021,9.17,22/07/2020,22/01/2021,9.67,02/02/2021,5,0.4102,0.0241,0.5658,0,0,0
BRML3,27/01/2021,9.34,23/07/2020,23/01/2021,9.87,03/02/2021,5,0.4102,0.0241,0.5658,0,0,0
BRML3,28/01/2021,9.34,24/07/2020,27/01/2021,10.14,04/02/2021,5,0.4259,0.0240,0.5501,0,0,0
