Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CESP6,05/01/2021,28.92,02/07/2020,31/12/2020,28.85,12/01/2021,5,0.4773,0.0161,0.5066,-1,-1,-1
CESP6,06/01/2021,28.69,03/07/2020,05/01/2021,30.59,16/01/2021,8,0.4720,0.0160,0.5120,-1,-1,-1
CESP6,07/01/2021,28.13,04/07/2020,06/01/2021,29.68,14/01/2021,5,0.4692,0.0161,0.5147,-1,-1,-1
CESP6,08/01/2021,28.11,07/07/2020,07/01/2021,30.75,20/01/2021,8,0.4640,0.0160,0.5200,0,0,0
CESP6,09/01/2021,29.17,08/07/2020,08/01/2021,30.1,21/01/2021,8,0.4640,0.0160,0.5200,0,0,0
CESP6,12/01/2021,28.85,09/07/2020,09/01/2021,30,22/01/2021,8,0.4805,0.0157,0.5038,-1,-1,-1
CESP6,13/01/2021,29.15,10/07/2020,12/01/2021,30.75,20/01/2021,5,0.4692,0.0161,0.5147,-1,-1,-1
CESP6,14/01/2021,29.68,11/07/2020,13/01/2021,29.42,27/01/2021,8,0.4805,0.0157,0.5038,-1,-1,-1
CESP6,15/01/2021,30.35,14/07/2020,14/01/2021,29.44,28/01/2021,8,0.4885,0.0157,0.4958,-1,-1,-1
CESP6,16/01/2021,30.59,15/07/2020,15/01/2021,29.81,23/01/2021,5,0.4937,0.0158,0.4905,-1,-1,-1
CESP6,19/01/2021,30.58,16/07/2020,16/01/2021,29.42,27/01/2021,5,0.4937,0.0158,0.4905,-1,-1,-1
CESP6,20/01/2021,30.75,17/07/2020,19/01/2021,29.44,28/01/2021,5,0.4772,0.0161,0.5067,-1,-1,-1
CESP6,21/01/2021,30.1,18/07/2020,20/01/2021,29.99,29/01/2021,5,0.4855,0.0158,0.4987,-1,-1,-1
CESP6,22/01/2021,30,21/07/2020,21/01/2021,30.51,04/02/2021,8,0.4720,0.0160,0.5120,-1,-1,-1
CESP6,23/01/2021,29.81,22/07/2020,22/01/2021,29.5,02/02/2021,5,0.4692,0.0161,0.5147,-1,-1,-1
CESP6,27/01/2021,29.42,23/07/2020,23/01/2021,29.7,03/02/2021,5,0.4612,0.0161,0.5227,0,0,0
CESP6,28/01/2021,29.44,24/07/2020,27/01/2021,30.51,04/02/2021,5,0.4532,0.0161,0.5307,0,0,0
CESP6,29/01/2021,29.99,25/07/2020,28/01/2021,30.68,05/02/2021,5,0.4615,0.0158,0.5227,0,0,0
CESP6,30/01/2021,29.25,28/07/2020,29/01/2021,30.9,11/02/2021,8,0.4644,0.0158,0.5198,0,0,0
CESP6,02/02/2021,29.5,29/07/2020,30/01/2021,31.13,09/02/2021,5,0.4532,0.0161,0.5307,0,0,0
CESP6,03/02/2021,29.7,30/07/2020,02/02/2021,31.11,10/02/2021,5,0.4615,0.0158,0.5227,0,0,0
CESP6,04/02/2021,30.51,31/07/2020,03/02/2021,29.58,18/02/2021,8,0.4644,0.0158,0.5198,1,1,1
CESP6,05/02/2021,30.68,01/08/2020,04/02/2021,29.12,19/02/2021,8,0.4724,0.0157,0.5118,-1,-1,-1
