Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CSNA3,05/01/2021,34.17,02/07/2020,31/12/2020,37.39,15/01/2021,8,0.5368,0.0000,0.4632,1,1,1
CSNA3,06/01/2021,34.79,03/07/2020,05/01/2021,34.36,16/01/2021,8,0.5512,0.0000,0.4488,0,1,0
CSNA3,07/01/2021,36.2,04/07/2020,06/01/2021,36.25,14/01/2021,5,0.5520,0.0000,0.4480,1,1,0
CSNA3,08/01/2021,38.53,07/07/2020,07/01/2021,33.04,20/01/2021,8,0.5594,0.0000,0.4406,0,0,0
CSNA3,09/01/2021,38.76,08/07/2020,08/01/2021,34.36,16/01/2021,5,0.5600,0.0000,0.4400,0,0,0
CSNA3,12/01/2021,37.91,09/07/2020,09/01/2021,35.04,19/01/2021,5,0.5676,0.0000,0.4324,0,0,0
CSNA3,13/01/2021,38.08,10/07/2020,12/01/2021,33.04,20/01/2021,5,0.5524,0.0000,0.4476,0,0,0
CSNA3,14/01/2021,36.25,11/07/2020,13/01/2021,33.1,21/01/2021,5,0.5600,0.0000,0.4400,0,0,0
CSNA3,15/01/2021,37.39,14/07/2020,14/01/2021,33.42,22/01/2021,5,0.5446,0.0000,0.4554,0,0,0
CSNA3,16/01/2021,34.36,15/07/2020,15/01/2021,33.14,29/01/2021,8,0.5594,0.0000,0.4406,0,0,0
CSNA3,19/01/2021,35.04,16/07/2020,16/01/2021,30.4,30/01/2021,8,0.5520,0.0000,0.4480,0,0,0
CSNA3,20/01/2021,33.04,17/07/2020,19/01/2021,31.69,02/02/2021,8,0.5600,0.0000,0.4400,0,0,0
CSNA3,21/01/2021,33.1,18/07/2020,20/01/2021,30.6,03/02/2021,8,0.5520,0.0000,0.4480,0,0,0
CSNA3,22/01/2021,33.42,21/07/2020,21/01/2021,31.18,04/02/2021,8,0.5671,0.0000,0.4329,0,0,0
CSNA3,23/01/2021,33.98,22/07/2020,22/01/2021,31.1,05/02/2021,8,0.5680,0.0000,0.4320,0,0,1
CSNA3,27/01/2021,33,23/07/2020,23/01/2021,30.6,03/02/2021,5,0.5753,0.0000,0.4247,0,0,0
CSNA3,28/01/2021,32.1,24/07/2020,27/01/2021,34.61,09/02/2021,8,0.5680,0.0000,0.4320,1,1,1
CSNA3,29/01/2021,33.14,25/07/2020,28/01/2021,31.1,05/02/2021,5,0.5607,0.0000,0.4393,0,1,1
CSNA3,30/01/2021,30.4,28/07/2020,29/01/2021,34.39,11/02/2021,8,0.5680,0.0000,0.4320,1,1,1
CSNA3,02/02/2021,31.69,29/07/2020,30/01/2021,33.02,12/02/2021,8,0.5528,0.0000,0.4472,1,1,1
CSNA3,03/02/2021,30.6,30/07/2020,02/02/2021,32.83,13/02/2021,8,0.5671,0.0000,0.4329,1,1,1
CSNA3,04/02/2021,31.18,31/07/2020,03/02/2021,33.78,18/02/2021,8,0.5600,0.0000,0.4400,1,1,1
CSNA3,05/02/2021,31.1,01/08/2020,04/02/2021,34.16,19/02/2021,8,0.5680,0.0000,0.4320,1,1,1
CSNA3,06/02/2021,33.39,04/08/2020,05/02/2021,35.26,20/02/2021,8,0.5600,0.0000,0.4400,1,1,1
CSNA3,09/02/2021,34.61,05/08/2020,06/02/2021,35.78,23/02/2021,8,0.5680,0.0000,0.4320,1,1,1
CSNA3,10/02/2021,35.45,06/08/2020,09/02/2021,35.62,24/02/2021,8,0.5751,0.0000,0.4249,1,1,0
CSNA3,11/02/2021,34.39,07/08/2020,10/02/2021,37.15,25/02/2021,8,0.5831,0.0000,0.4169,1,1,0
CSNA3,12/02/2021,33.02,08/08/2020,11/02/2021,34.66,26/02/2021,8,0.5689,0.0000,0.4311,1,0,1
CSNA3,13/02/2021,32.83,11/08/2020,12/02/2021,32.87,27/02/2021,8,0.5680,0.0000,0.4320,1,1,1
CSNA3,18/02/2021,33.78,12/08/2020,13/02/2021,33.97,02/03/2021,8,0.5680,0.0000,0.4320,1,1,1
CSNA3,19/02/2021,34.16,13/08/2020,18/02/2021,34.84,03/03/2021,8,0.5831,0.0000,0.4169,1,1,1
CSNA3,20/02/2021,35.26,14/08/2020,19/02/2021,35.42,04/03/2021,8,0.5910,0.0000,0.4090,1,0,1
CSNA3,23/02/2021,35.78,15/08/2020,20/02/2021,35.21,05/03/2021,8,0.5920,0.0000,0.4080,0,1,1
CSNA3,24/02/2021,35.62,18/08/2020,23/02/2021,37,06/03/2021,8,0.5920,0.0000,0.4080,1,1,0
CSNA3,25/02/2021,37.15,19/08/2020,24/02/2021,36.5,09/03/2021,8,0.5769,0.0000,0.4231,0,0,0
CSNA3,26/02/2021,34.66,20/08/2020,25/02/2021,35.16,10/03/2021,8,0.5910,0.0000,0.4090,1,0,1
CSNA3,27/02/2021,32.87,21/08/2020,26/02/2021,34.15,11/03/2021,8,0.5840,0.0000,0.4160,1,1,1
CSNA3,02/03/2021,33.97,22/08/2020,27/02/2021,37.28,12/03/2021,8,0.5769,0.0000,0.4231,1,1,1
CSNA3,03/03/2021,34.84,25/08/2020,02/03/2021,37.62,13/03/2021,8,0.5840,0.0000,0.4160,1,1,1
CSNA3,04/03/2021,35.42,26/08/2020,03/03/2021,35.83,16/03/2021,8,0.5910,0.0000,0.4090,1,1,1
CSNA3,05/03/2021,35.21,27/08/2020,04/03/2021,36.95,17/03/2021,8,0.5920,0.0000,0.4080,1,1,1
CSNA3,06/03/2021,37,28/08/2020,05/03/2021,37.64,18/03/2021,8,0.5769,0.0000,0.4231,1,1,0
CSNA3,09/03/2021,36.5,29/08/2020,06/03/2021,37.04,19/03/2021,8,0.5910,0.0000,0.4090,1,0,0
CSNA3,10/03/2021,35.16,01/09/2020,09/03/2021,35.61,20/03/2021,8,0.5769,0.0000,0.4231,1,0,0
CSNA3,11/03/2021,34.15,02/09/2020,10/03/2021,35,23/03/2021,8,0.5760,0.0000,0.4240,1,0,0
CSNA3,12/03/2021,37.28,03/09/2020,11/03/2021,33.5,24/03/2021,8,0.5760,0.0000,0.4240,0,0,0
CSNA3,13/03/2021,37.62,04/09/2020,12/03/2021,33.3,25/03/2021,8,0.5910,0.0000,0.4090,0,0,0
CSNA3,16/03/2021,35.83,05/09/2020,13/03/2021,33.47,26/03/2021,8,0.5920,0.0000,0.4080,0,0,1
CSNA3,17/03/2021,36.95,09/09/2020,16/03/2021,35.14,27/03/2021,8,0.5769,0.0000,0.4231,0,0,0
CSNA3,18/03/2021,37.64,10/09/2020,17/03/2021,36.43,30/03/2021,8,0.5910,0.0000,0.4090,0,0,1
CSNA3,19/03/2021,37.04,11/09/2020,18/03/2021,36.87,31/03/2021,8,0.5920,0.0000,0.4080,0,1,0
CSNA3,20/03/2021,35.61,12/09/2020,19/03/2021,37.9,01/04/2021,8,0.5769,0.0000,0.4231,1,1,1
CSNA3,23/03/2021,35,15/09/2020,20/03/2021,36.8,02/04/2021,8,0.5689,0.0000,0.4311,1,1,1
CSNA3,24/03/2021,33.5,16/09/2020,23/03/2021,37.8,06/04/2021,8,0.5680,0.0000,0.4320,1,1,1
CSNA3,25/03/2021,33.3,17/09/2020,24/03/2021,37.9,01/04/2021,5,0.5607,0.0000,0.4393,1,1,1
CSNA3,26/03/2021,33.47,18/09/2020,25/03/2021,36.8,02/04/2021,5,0.5600,0.0000,0.4400,1,1,1
