Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CYRE3,05/01/2021,28.5,02/07/2020,31/12/2020,27.6,12/01/2021,5,0.5125,0.0000,0.4875,-1,-1,-1
CYRE3,06/01/2021,27.95,03/07/2020,05/01/2021,28.96,13/01/2021,5,0.4955,0.0000,0.5045,-1,-1,-1
CYRE3,07/01/2021,27.12,04/07/2020,06/01/2021,28.78,14/01/2021,5,0.4875,0.0000,0.5125,-1,-1,-1
CYRE3,08/01/2021,27.4,07/07/2020,07/01/2021,29.78,15/01/2021,5,0.4795,0.0000,0.5205,-1,-1,-1
CYRE3,09/01/2021,28.71,08/07/2020,08/01/2021,28.58,16/01/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,12/01/2021,27.6,09/07/2020,09/01/2021,28.55,19/01/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,13/01/2021,28.96,10/07/2020,12/01/2021,28.26,20/01/2021,5,0.4718,0.0000,0.5282,1,1,1
CYRE3,14/01/2021,28.78,11/07/2020,13/01/2021,28.42,21/01/2021,5,0.4882,0.0000,0.5118,-1,-1,-1
CYRE3,15/01/2021,29.78,14/07/2020,14/01/2021,26.9,22/01/2021,5,0.4718,0.0000,0.5282,1,1,1
CYRE3,16/01/2021,28.58,15/07/2020,15/01/2021,26,23/01/2021,5,0.4882,0.0000,0.5118,-1,-1,-1
CYRE3,19/01/2021,28.55,16/07/2020,16/01/2021,26.9,22/01/2021,3,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,20/01/2021,28.26,17/07/2020,19/01/2021,25.79,28/01/2021,5,0.4718,0.0000,0.5282,1,1,1
CYRE3,21/01/2021,28.42,18/07/2020,20/01/2021,26.65,29/01/2021,5,0.4638,0.0000,0.5362,1,1,1
CYRE3,22/01/2021,26.9,21/07/2020,21/01/2021,25.63,30/01/2021,5,0.4802,0.0000,0.5198,-1,-1,-1
CYRE3,23/01/2021,26,22/07/2020,22/01/2021,26.65,29/01/2021,3,0.4720,0.0000,0.5280,0,1,0
CYRE3,27/01/2021,25.54,23/07/2020,23/01/2021,25.63,30/01/2021,3,0.4720,0.0000,0.5280,0,0,0
CYRE3,28/01/2021,25.79,24/07/2020,27/01/2021,26.42,02/02/2021,3,0.4720,0.0000,0.5280,0,0,0
CYRE3,29/01/2021,26.65,25/07/2020,28/01/2021,27.1,03/02/2021,3,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,30/01/2021,25.63,28/07/2020,29/01/2021,27.44,06/02/2021,5,0.4882,0.0000,0.5118,-1,-1,-1
CYRE3,02/02/2021,26.42,29/07/2020,30/01/2021,28.75,09/02/2021,5,0.4718,0.0000,0.5282,0,0,0
CYRE3,03/02/2021,27.1,30/07/2020,02/02/2021,27.44,06/02/2021,3,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,04/02/2021,28.14,31/07/2020,03/02/2021,27.65,11/02/2021,5,0.4882,0.0000,0.5118,-1,-1,-1
CYRE3,05/02/2021,27.86,01/08/2020,04/02/2021,28.03,12/02/2021,5,0.4962,0.0000,0.5038,-1,-1,-1
CYRE3,06/02/2021,27.44,04/08/2020,05/02/2021,27.65,11/02/2021,3,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,09/02/2021,28.75,05/08/2020,06/02/2021,28.21,18/02/2021,5,0.4798,0.0000,0.5202,-1,-1,-1
CYRE3,10/02/2021,28.08,06/08/2020,09/02/2021,27.88,19/02/2021,5,0.4962,0.0000,0.5038,-1,-1,-1
CYRE3,11/02/2021,27.65,07/08/2020,10/02/2021,28.21,18/02/2021,3,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,12/02/2021,28.03,08/08/2020,11/02/2021,27.88,19/02/2021,3,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,13/02/2021,28.35,11/08/2020,12/02/2021,27.58,20/02/2021,3,0.5039,0.0000,0.4961,-1,-1,-1
CYRE3,18/02/2021,28.21,12/08/2020,13/02/2021,25.94,23/02/2021,3,0.5119,0.0000,0.4881,-1,-1,-1
CYRE3,19/02/2021,27.88,13/08/2020,18/02/2021,25.15,26/02/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,20/02/2021,27.58,14/08/2020,19/02/2021,25.71,25/02/2021,3,0.4961,0.0000,0.5039,-1,-1,-1
CYRE3,23/02/2021,25.94,15/08/2020,20/02/2021,25.15,26/02/2021,3,0.4960,0.0000,0.5040,-1,-1,-1
CYRE3,24/02/2021,25.97,18/08/2020,23/02/2021,24.71,03/03/2021,5,0.4878,0.0000,0.5122,-1,-1,-1
CYRE3,25/02/2021,25.71,19/08/2020,24/02/2021,23.7,04/03/2021,5,0.5042,0.0000,0.4958,-1,-1,-1
CYRE3,26/02/2021,25.15,20/08/2020,25/02/2021,23.86,05/03/2021,5,0.4878,0.0000,0.5122,-1,-1,-1
CYRE3,27/02/2021,24.8,21/08/2020,26/02/2021,24.88,06/03/2021,5,0.4798,0.0000,0.5202,-1,-1,-1
CYRE3,02/03/2021,24.49,22/08/2020,27/02/2021,22.98,09/03/2021,5,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,03/03/2021,24.71,25/08/2020,02/03/2021,22.15,10/03/2021,5,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,04/03/2021,23.7,26/08/2020,03/03/2021,22.76,11/03/2021,5,0.4962,0.0000,0.5038,-1,-1,-1
CYRE3,05/03/2021,23.86,27/08/2020,04/03/2021,22.15,10/03/2021,3,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,06/03/2021,24.88,28/08/2020,05/03/2021,22.76,11/03/2021,3,0.4960,0.0000,0.5040,-1,-1,-1
CYRE3,09/03/2021,22.98,29/08/2020,06/03/2021,24.8,16/03/2021,5,0.5042,0.0000,0.4958,-1,-1,-1
CYRE3,10/03/2021,22.15,01/09/2020,09/03/2021,23.9,17/03/2021,5,0.4878,0.0000,0.5122,-1,-1,-1
CYRE3,11/03/2021,22.76,02/09/2020,10/03/2021,25.35,18/03/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,12/03/2021,23.94,03/09/2020,11/03/2021,24.3,19/03/2021,5,0.5042,0.0000,0.4958,-1,-1,-1
CYRE3,13/03/2021,24.38,04/09/2020,12/03/2021,24.92,20/03/2021,5,0.5122,0.0000,0.4878,-1,-1,-1
CYRE3,16/03/2021,24.8,05/09/2020,13/03/2021,25.05,23/03/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
CYRE3,17/03/2021,23.9,09/09/2020,16/03/2021,24.64,24/03/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
CYRE3,18/03/2021,25.35,10/09/2020,17/03/2021,23.48,25/03/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,19/03/2021,24.3,11/09/2020,18/03/2021,24.19,26/03/2021,5,0.5202,0.0000,0.4798,-1,-1,-1
CYRE3,20/03/2021,24.92,12/09/2020,19/03/2021,23.68,27/03/2021,5,0.5038,0.0000,0.4962,-1,-1,-1
CYRE3,23/03/2021,25.05,15/09/2020,20/03/2021,23.07,30/03/2021,5,0.5202,0.0000,0.4798,-1,-1,-1
CYRE3,24/03/2021,24.64,16/09/2020,23/03/2021,24.53,31/03/2021,5,0.5282,0.0000,0.4718,0,1,0
CYRE3,25/03/2021,23.48,17/09/2020,24/03/2021,23.07,30/03/2021,3,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,26/03/2021,24.19,18/09/2020,25/03/2021,24.53,31/03/2021,3,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,27/03/2021,23.68,19/09/2020,26/03/2021,24.86,06/04/2021,5,0.5359,0.0000,0.4641,1,1,1
CYRE3,30/03/2021,23.07,22/09/2020,27/03/2021,24.13,02/04/2021,3,0.5201,0.0000,0.4799,-1,-1,-1
CYRE3,31/03/2021,24.53,23/09/2020,30/03/2021,24.86,06/04/2021,3,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,01/04/2021,24.65,24/09/2020,31/03/2021,25.1,07/04/2021,3,0.5280,0.0000,0.4720,1,1,1
CYRE3,02/04/2021,24.13,25/09/2020,01/04/2021,24.78,08/04/2021,3,0.5280,0.0000,0.4720,1,1,1
CYRE3,06/04/2021,24.86,26/09/2020,02/04/2021,25.19,09/04/2021,3,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,07/04/2021,25.1,29/09/2020,06/04/2021,25.51,14/04/2021,5,0.5359,0.0000,0.4641,1,1,1
CYRE3,08/04/2021,24.78,30/09/2020,07/04/2021,25.63,13/04/2021,3,0.5360,0.0000,0.4640,1,1,1
CYRE3,09/04/2021,25.19,01/10/2020,08/04/2021,25.51,14/04/2021,3,0.5201,0.0000,0.4799,-1,-1,-1
CYRE3,10/04/2021,25.61,02/10/2020,09/04/2021,25.62,17/04/2021,5,0.5359,0.0000,0.4641,1,0,0
CYRE3,13/04/2021,25.63,03/10/2020,10/04/2021,25.26,16/04/2021,3,0.5360,0.0000,0.4640,0,0,0
CYRE3,14/04/2021,25.51,06/10/2020,13/04/2021,25.62,17/04/2021,3,0.5360,0.0000,0.4640,1,0,0
CYRE3,15/04/2021,25.59,07/10/2020,14/04/2021,25.1,20/04/2021,3,0.5201,0.0000,0.4799,-1,-1,-1
CYRE3,16/04/2021,25.26,08/10/2020,15/04/2021,25.49,24/04/2021,5,0.5280,0.0000,0.4720,1,0,0
CYRE3,17/04/2021,25.62,09/10/2020,16/04/2021,24.55,27/04/2021,5,0.5123,0.0000,0.4877,-1,-1,-1
CYRE3,20/04/2021,25.1,10/10/2020,17/04/2021,24.34,28/04/2021,5,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,21/04/2021,25.29,14/10/2020,20/04/2021,24.47,29/04/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
CYRE3,23/04/2021,25.19,15/10/2020,21/04/2021,24.08,30/04/2021,5,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,24/04/2021,25.49,16/10/2020,23/04/2021,23.53,01/05/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
CYRE3,27/04/2021,24.55,17/10/2020,24/04/2021,23.51,04/05/2021,5,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,28/04/2021,24.34,20/10/2020,27/04/2021,24.11,08/05/2021,8,0.5045,0.0000,0.4955,-1,-1,-1
CYRE3,29/04/2021,24.47,21/10/2020,28/04/2021,23.67,11/05/2021,8,0.4965,0.0000,0.5035,-1,-1,-1
CYRE3,30/04/2021,24.08,22/10/2020,29/04/2021,23.31,12/05/2021,8,0.5115,0.0000,0.4885,-1,-1,-1
CYRE3,01/05/2021,23.53,23/10/2020,30/04/2021,24.11,08/05/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,04/05/2021,23.51,24/10/2020,01/05/2021,23.67,11/05/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,05/05/2021,23.3,27/10/2020,04/05/2021,23.31,12/05/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,06/05/2021,23.31,28/10/2020,05/05/2021,22.73,13/05/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,07/05/2021,23.61,29/10/2020,06/05/2021,23.32,14/05/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
CYRE3,08/05/2021,24.11,30/10/2020,07/05/2021,23.1,20/05/2021,8,0.5195,0.0000,0.4805,-1,-1,-1
CYRE3,11/05/2021,23.67,31/10/2020,08/05/2021,24.4,18/05/2021,5,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,12/05/2021,23.31,04/11/2020,11/05/2021,21.95,22/05/2021,8,0.5045,0.0000,0.4955,-1,-1,-1
CYRE3,13/05/2021,22.73,05/11/2020,12/05/2021,22.17,25/05/2021,8,0.4965,0.0000,0.5035,-1,-1,-1
CYRE3,14/05/2021,23.32,06/11/2020,13/05/2021,22.64,26/05/2021,8,0.4885,0.0000,0.5115,-1,-1,-1
CYRE3,15/05/2021,23.72,07/11/2020,14/05/2021,23.28,27/05/2021,8,0.5035,0.0000,0.4965,-1,-1,-1
CYRE3,18/05/2021,24.4,10/11/2020,15/05/2021,22.17,25/05/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,19/05/2021,24.07,11/11/2020,18/05/2021,22.64,26/05/2021,5,0.5117,0.0000,0.4883,-1,-1,-1
CYRE3,20/05/2021,23.1,12/11/2020,19/05/2021,23.28,27/05/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,21/05/2021,23.2,13/11/2020,20/05/2021,23.26,28/05/2021,5,0.4963,0.0000,0.5037,-1,-1,-1
CYRE3,22/05/2021,21.95,14/11/2020,21/05/2021,23.7,29/05/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,25/05/2021,22.17,17/11/2020,22/05/2021,26.2,05/06/2021,8,0.4885,0.0000,0.5115,-1,-1,-1
CYRE3,26/05/2021,22.64,18/11/2020,25/05/2021,25.99,08/06/2021,8,0.5035,0.0000,0.4965,-1,-1,-1
CYRE3,27/05/2021,23.28,19/11/2020,26/05/2021,25.9,03/06/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,28/05/2021,23.26,20/11/2020,27/05/2021,26.2,05/06/2021,5,0.5117,0.0000,0.4883,-1,-1,-1
CYRE3,29/05/2021,23.7,21/11/2020,28/05/2021,25.99,08/06/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,01/06/2021,23.9,24/11/2020,29/05/2021,26.18,09/06/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
CYRE3,02/06/2021,25.47,25/11/2020,01/06/2021,25.57,10/06/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
CYRE3,03/06/2021,25.9,26/11/2020,02/06/2021,24.95,11/06/2021,5,0.5197,0.0000,0.4803,-1,-1,-1
CYRE3,05/06/2021,26.2,27/11/2020,03/06/2021,24.53,12/06/2021,5,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,08/06/2021,25.99,28/11/2020,05/06/2021,24.95,11/06/2021,3,0.5279,0.0000,0.4721,0,0,0
CYRE3,09/06/2021,26.18,01/12/2020,08/06/2021,24.53,12/06/2021,3,0.5121,0.0000,0.4879,-1,-1,-1
CYRE3,10/06/2021,25.57,02/12/2020,09/06/2021,24.35,17/06/2021,5,0.5200,0.0000,0.4800,-1,-1,-1
CYRE3,11/06/2021,24.95,03/12/2020,10/06/2021,24.15,18/06/2021,5,0.5043,0.0000,0.4957,-1,-1,-1
CYRE3,12/06/2021,24.53,04/12/2020,11/06/2021,24.17,19/06/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,15/06/2021,24.74,05/12/2020,12/06/2021,24.15,18/06/2021,3,0.4961,0.0000,0.5039,-1,-1,-1
CYRE3,16/06/2021,24.67,08/12/2020,15/06/2021,23.73,23/06/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CYRE3,17/06/2021,24.35,09/12/2020,16/06/2021,23.32,24/06/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
CYRE3,18/06/2021,24.15,10/12/2020,17/06/2021,23.73,23/06/2021,3,0.4881,0.0000,0.5119,-1,-1,-1
CYRE3,19/06/2021,24.17,11/12/2020,18/06/2021,23.32,24/06/2021,3,0.4801,0.0000,0.5199,-1,-1,-1
CYRE3,22/06/2021,24.09,12/12/2020,19/06/2021,22.7,29/06/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,23/06/2021,23.73,15/12/2020,22/06/2021,22.97,30/06/2021,5,0.4723,0.0000,0.5277,1,1,1
CYRE3,24/06/2021,23.32,16/12/2020,23/06/2021,23.34,01/07/2021,5,0.4720,0.0000,0.5280,0,1,0
CYRE3,25/06/2021,23.53,17/12/2020,24/06/2021,22.76,02/07/2021,5,0.4720,0.0000,0.5280,1,1,1
CYRE3,26/06/2021,22.87,18/12/2020,25/06/2021,23.42,03/07/2021,5,0.4877,0.0000,0.5123,-1,-1,-1
CYRE3,29/06/2021,22.7,19/12/2020,26/06/2021,23.26,06/07/2021,5,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,30/06/2021,22.97,22/12/2020,29/06/2021,22.94,07/07/2021,5,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,01/07/2021,23.34,23/12/2020,30/06/2021,23.23,08/07/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,02/07/2021,22.76,24/12/2020,01/07/2021,22.69,09/07/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
CYRE3,03/07/2021,23.42,29/12/2020,02/07/2021,23.46,13/07/2021,5,0.4726,0.0000,0.5274,0,1,0
CYRE3,06/07/2021,23.26,30/12/2020,03/07/2021,23.38,14/07/2021,5,0.4800,0.0000,0.5200,-1,-1,-1
CYRE3,07/07/2021,22.94,31/12/2020,06/07/2021,23.58,15/07/2021,5,0.4720,0.0000,0.5280,0,0,1
CYRE3,08/07/2021,23.23,05/01/2021,07/07/2021,23.19,16/07/2021,5,0.4720,0.0000,0.5280,1,1,1
