Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
DIRR3,05/01/2021,13.29,02/07/2020,31/12/2020,14.62,15/01/2021,8,0.4766,0.0242,0.4991,-1,-1,-1
DIRR3,06/01/2021,13.24,03/07/2020,05/01/2021,14.5,16/01/2021,8,0.4766,0.0242,0.4991,-1,-1,-1
DIRR3,07/01/2021,12.79,04/07/2020,06/01/2021,14.16,19/01/2021,8,0.4595,0.0238,0.5168,0,0,0
DIRR3,08/01/2021,12.6,07/07/2020,07/01/2021,13.38,27/01/2021,12,0.4542,0.0212,0.5246,0,0,0
DIRR3,09/01/2021,13.21,08/07/2020,08/01/2021,14.5,16/01/2021,5,0.4529,0.0159,0.5312,0,0,0
DIRR3,12/01/2021,13.55,09/07/2020,09/01/2021,14.16,19/01/2021,5,0.4620,0.0162,0.5218,0,0,0
DIRR3,13/01/2021,14.31,10/07/2020,12/01/2021,13.52,23/01/2021,8,0.4651,0.0163,0.5186,1,1,1
DIRR3,14/01/2021,14.51,11/07/2020,13/01/2021,13.38,27/01/2021,8,0.4731,0.0163,0.5106,-1,-1,-1
DIRR3,15/01/2021,14.62,14/07/2020,14/01/2021,13.4,28/01/2021,8,0.4783,0.0162,0.5055,-1,-1,-1
DIRR3,16/01/2021,14.5,15/07/2020,15/01/2021,14.09,29/01/2021,8,0.4783,0.0162,0.5055,-1,-1,-1
DIRR3,19/01/2021,14.16,16/07/2020,16/01/2021,13.91,30/01/2021,8,0.4640,0.0160,0.5200,1,1,0
DIRR3,20/01/2021,14.02,17/07/2020,19/01/2021,14.15,02/02/2021,8,0.4608,0.0159,0.5233,0,0,0
DIRR3,21/01/2021,13.86,18/07/2020,20/01/2021,14.38,03/02/2021,8,0.4528,0.0159,0.5313,0,0,0
DIRR3,22/01/2021,13.22,21/07/2020,21/01/2021,14.76,04/02/2021,8,0.4448,0.0159,0.5393,0,0,0
DIRR3,23/01/2021,13.52,22/07/2020,22/01/2021,14.15,02/02/2021,5,0.4400,0.0160,0.5440,0,0,0
DIRR3,27/01/2021,13.38,23/07/2020,23/01/2021,14.42,06/02/2021,8,0.4574,0.0163,0.5262,0,0,0
DIRR3,28/01/2021,13.4,24/07/2020,27/01/2021,14.7,09/02/2021,8,0.4480,0.0160,0.5360,0,0,0
DIRR3,29/01/2021,14.09,25/07/2020,28/01/2021,14.68,10/02/2021,8,0.4651,0.0163,0.5186,0,0,0
DIRR3,30/01/2021,13.91,28/07/2020,29/01/2021,14.26,11/02/2021,8,0.4731,0.0163,0.5106,-1,-1,-1
DIRR3,02/02/2021,14.15,29/07/2020,30/01/2021,14.7,09/02/2021,5,0.4609,0.0159,0.5232,0,0,0
DIRR3,03/02/2021,14.38,30/07/2020,02/02/2021,14.68,10/02/2021,5,0.4700,0.0162,0.5138,-1,-1,-1
DIRR3,04/02/2021,14.76,31/07/2020,03/02/2021,14.26,11/02/2021,5,0.4700,0.0162,0.5138,-1,-1,-1
DIRR3,05/02/2021,14.53,01/08/2020,04/02/2021,13.95,19/02/2021,8,0.4731,0.0163,0.5106,-1,-1,-1
DIRR3,06/02/2021,14.42,04/08/2020,05/02/2021,14.35,20/02/2021,8,0.4640,0.0160,0.5200,1,1,1
DIRR3,09/02/2021,14.7,05/08/2020,06/02/2021,14.21,18/02/2021,5,0.4609,0.0159,0.5232,1,1,1
DIRR3,10/02/2021,14.68,06/08/2020,09/02/2021,13.95,19/02/2021,5,0.4700,0.0162,0.5138,-1,-1,-1
DIRR3,11/02/2021,14.26,07/08/2020,10/02/2021,13.79,25/02/2021,8,0.4560,0.0160,0.5280,1,1,1
DIRR3,12/02/2021,14.44,08/08/2020,11/02/2021,13.37,26/02/2021,8,0.4560,0.0160,0.5280,1,1,1
DIRR3,13/02/2021,14.25,11/08/2020,12/02/2021,12.83,27/02/2021,8,0.4728,0.0163,0.5109,-1,-1,-1
DIRR3,18/02/2021,14.21,12/08/2020,13/02/2021,13.79,25/02/2021,5,0.4640,0.0160,0.5200,1,1,1
DIRR3,19/02/2021,13.95,13/08/2020,18/02/2021,13.37,26/02/2021,5,0.4640,0.0160,0.5200,1,1,1
DIRR3,20/02/2021,14.35,14/08/2020,19/02/2021,12.83,27/02/2021,5,0.4610,0.0159,0.5231,1,1,1
DIRR3,23/02/2021,13.46,15/08/2020,20/02/2021,12.35,05/03/2021,8,0.4728,0.0163,0.5109,-1,-1,-1
DIRR3,24/02/2021,13.72,18/08/2020,23/02/2021,12.85,03/03/2021,5,0.4610,0.0159,0.5231,1,1,1
DIRR3,25/02/2021,13.79,19/08/2020,24/02/2021,11.6,09/03/2021,8,0.4728,0.0163,0.5109,-1,-1,-1
DIRR3,26/02/2021,13.37,20/08/2020,25/02/2021,11.19,10/03/2021,8,0.4780,0.0162,0.5058,-1,-1,-1
DIRR3,27/02/2021,12.83,21/08/2020,26/02/2021,11.56,11/03/2021,8,0.4640,0.0160,0.5200,1,1,1
DIRR3,02/03/2021,12.68,22/08/2020,27/02/2021,12.38,12/03/2021,8,0.4640,0.0160,0.5200,1,1,0
DIRR3,03/03/2021,12.85,25/08/2020,02/03/2021,12.43,13/03/2021,8,0.4640,0.0160,0.5200,1,0,1
DIRR3,04/03/2021,12.46,26/08/2020,03/03/2021,13.07,16/03/2021,8,0.4808,0.0163,0.5029,-1,-1,-1
DIRR3,05/03/2021,12.35,27/08/2020,04/03/2021,12.38,12/03/2021,5,0.4690,0.0159,0.5151,-1,-1,-1
DIRR3,06/03/2021,12.64,28/08/2020,05/03/2021,12.43,13/03/2021,5,0.4610,0.0159,0.5231,1,0,1
DIRR3,09/03/2021,11.6,29/08/2020,06/03/2021,12.6,19/03/2021,8,0.4728,0.0163,0.5109,-1,-1,-1
DIRR3,10/03/2021,11.19,01/09/2020,09/03/2021,12.49,17/03/2021,5,0.4610,0.0159,0.5231,0,0,0
DIRR3,11/03/2021,11.56,02/09/2020,10/03/2021,13.25,18/03/2021,5,0.4530,0.0159,0.5311,0,0,0
DIRR3,12/03/2021,12.38,03/09/2020,11/03/2021,12.39,24/03/2021,8,0.4648,0.0163,0.5189,0,1,0
DIRR3,13/03/2021,12.43,04/09/2020,12/03/2021,12.81,20/03/2021,5,0.4700,0.0162,0.5138,-1,-1,-1
DIRR3,16/03/2021,13.07,05/09/2020,13/03/2021,12.7,23/03/2021,5,0.4700,0.0162,0.5138,-1,-1,-1
DIRR3,17/03/2021,12.49,09/09/2020,16/03/2021,12.39,24/03/2021,5,0.4700,0.0162,0.5138,-1,-1,-1
DIRR3,18/03/2021,13.25,10/09/2020,17/03/2021,11.92,30/03/2021,8,0.4560,0.0160,0.5280,1,1,1
DIRR3,19/03/2021,12.6,11/09/2020,18/03/2021,12.5,31/03/2021,8,0.4728,0.0163,0.5109,-1,-1,-1
DIRR3,20/03/2021,12.81,12/09/2020,19/03/2021,12.4,27/03/2021,5,0.4610,0.0159,0.5231,1,1,1
DIRR3,23/03/2021,12.7,15/09/2020,20/03/2021,12.2,02/04/2021,8,0.4728,0.0163,0.5109,-1,-1,-1
DIRR3,24/03/2021,12.39,16/09/2020,23/03/2021,12.5,31/03/2021,5,0.4640,0.0160,0.5200,0,0,1
DIRR3,25/03/2021,12.03,17/09/2020,24/03/2021,12.42,01/04/2021,5,0.4640,0.0160,0.5200,0,0,0
DIRR3,26/03/2021,12.51,18/09/2020,25/03/2021,12.2,02/04/2021,5,0.4640,0.0160,0.5200,1,1,0
DIRR3,27/03/2021,12.4,19/09/2020,26/03/2021,12.45,06/04/2021,5,0.4805,0.0163,0.5032,-1,-1,-1
DIRR3,30/03/2021,11.92,22/09/2020,27/03/2021,12.6,07/04/2021,5,0.4691,0.0159,0.5150,-1,-1,-1
DIRR3,31/03/2021,12.5,23/09/2020,30/03/2021,12.39,08/04/2021,5,0.4640,0.0160,0.5200,1,1,0
DIRR3,01/04/2021,12.42,24/09/2020,31/03/2021,12.33,09/04/2021,5,0.4778,0.0162,0.5060,-1,-1,-1
DIRR3,02/04/2021,12.2,25/09/2020,01/04/2021,12.9,10/04/2021,5,0.4640,0.0160,0.5200,0,0,0
DIRR3,06/04/2021,12.45,26/09/2020,02/04/2021,13.17,13/04/2021,5,0.4640,0.0160,0.5200,0,0,0
DIRR3,07/04/2021,12.6,29/09/2020,06/04/2021,13,14/04/2021,5,0.4805,0.0163,0.5032,-1,-1,-1
DIRR3,08/04/2021,12.39,30/09/2020,07/04/2021,13.06,15/04/2021,5,0.4858,0.0162,0.4980,-1,-1,-1
DIRR3,09/04/2021,12.33,01/10/2020,08/04/2021,12.99,16/04/2021,5,0.4691,0.0159,0.5150,-1,-1,-1
