Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
EQTL3,05/01/2021,22.75,02/07/2020,31/12/2020,23.21,15/01/2021,8,0.4763,0.0160,0.5077,-1,-1,-1
EQTL3,06/01/2021,22.8,03/07/2020,05/01/2021,23.36,16/01/2021,8,0.4677,0.0160,0.5163,-1,-1,-1
EQTL3,07/01/2021,22.27,04/07/2020,06/01/2021,22.86,19/01/2021,8,0.4763,0.0160,0.5077,-1,-1,-1
EQTL3,08/01/2021,21.83,07/07/2020,07/01/2021,22.77,20/01/2021,8,0.4677,0.0160,0.5163,-1,-1,-1
EQTL3,09/01/2021,22.51,08/07/2020,08/01/2021,22.28,21/01/2021,8,0.4597,0.0160,0.5243,1,1,1
EQTL3,12/01/2021,22.06,09/07/2020,09/01/2021,22,22/01/2021,8,0.4683,0.0160,0.5157,-1,-1,-1
EQTL3,13/01/2021,22.06,10/07/2020,12/01/2021,22,23/01/2021,8,0.4597,0.0160,0.5243,1,1,0
EQTL3,14/01/2021,22.39,11/07/2020,13/01/2021,22.6,02/02/2021,12,0.4524,0.0317,0.5159,0,0,0
EQTL3,15/01/2021,23.21,14/07/2020,14/01/2021,22.82,03/02/2021,12,0.4672,0.0240,0.5088,-1,-1,-1
EQTL3,16/01/2021,23.36,15/07/2020,15/01/2021,22.75,29/01/2021,8,0.4736,0.0240,0.5024,-1,-1,-1
EQTL3,19/01/2021,22.86,16/07/2020,16/01/2021,22.52,30/01/2021,8,0.4753,0.0240,0.5007,-1,-1,-1
EQTL3,20/01/2021,22.77,17/07/2020,19/01/2021,22.6,02/02/2021,8,0.4670,0.0241,0.5089,-1,-1,-1
EQTL3,21/01/2021,22.28,18/07/2020,20/01/2021,22.82,03/02/2021,8,0.4606,0.0240,0.5153,0,0,0
