Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
FLRY3,05/01/2021,27,02/07/2020,31/12/2020,27.84,15/01/2021,8,0.4510,0.0158,0.5331,0,0,0
FLRY3,06/01/2021,26.56,03/07/2020,05/01/2021,28.03,16/01/2021,8,0.4484,0.0157,0.5359,0,0,0
FLRY3,07/01/2021,25.93,04/07/2020,06/01/2021,27.91,19/01/2021,8,0.4404,0.0157,0.5439,0,0,0
FLRY3,08/01/2021,25.87,07/07/2020,07/01/2021,27.53,20/01/2021,8,0.4324,0.0157,0.5519,0,0,0
FLRY3,09/01/2021,27.39,08/07/2020,08/01/2021,27.22,21/01/2021,8,0.4244,0.0157,0.5598,1,1,1
FLRY3,12/01/2021,26.8,09/07/2020,09/01/2021,26.93,22/01/2021,8,0.4345,0.0161,0.5494,0,1,1
FLRY3,13/01/2021,27.76,10/07/2020,12/01/2021,26.67,23/01/2021,8,0.4271,0.0158,0.5571,1,1,1
FLRY3,14/01/2021,27.68,11/07/2020,13/01/2021,26.72,27/01/2021,8,0.4400,0.0160,0.5440,1,1,1
FLRY3,15/01/2021,27.84,14/07/2020,14/01/2021,28.7,03/02/2021,12,0.4264,0.0118,0.5618,0,0,0
FLRY3,16/01/2021,28.03,15/07/2020,15/01/2021,26.89,29/01/2021,8,0.4400,0.0080,0.5520,1,1,1
FLRY3,19/01/2021,27.91,16/07/2020,16/01/2021,26.72,27/01/2021,5,0.4437,0.0081,0.5482,1,1,1
FLRY3,20/01/2021,27.53,17/07/2020,19/01/2021,27.28,02/02/2021,8,0.4325,0.0079,0.5596,1,0,0
FLRY3,21/01/2021,27.22,18/07/2020,20/01/2021,26.89,29/01/2021,5,0.4283,0.0079,0.5638,1,1,0
FLRY3,22/01/2021,26.93,21/07/2020,21/01/2021,26.26,30/01/2021,5,0.4283,0.0079,0.5638,1,0,0
FLRY3,23/01/2021,26.67,22/07/2020,22/01/2021,27.28,02/02/2021,5,0.4283,0.0079,0.5638,0,0,0
FLRY3,27/01/2021,26.72,23/07/2020,23/01/2021,28.7,03/02/2021,5,0.4283,0.0079,0.5638,0,0,0
FLRY3,28/01/2021,26.55,24/07/2020,27/01/2021,27.96,09/02/2021,8,0.4400,0.0080,0.5520,0,0,0
FLRY3,29/01/2021,26.89,25/07/2020,28/01/2021,27.95,05/02/2021,5,0.4283,0.0079,0.5638,0,0,0
FLRY3,30/01/2021,26.26,28/07/2020,29/01/2021,27.5,11/02/2021,8,0.4400,0.0080,0.5520,0,0,0
FLRY3,02/02/2021,27.28,29/07/2020,30/01/2021,28.09,12/02/2021,8,0.4246,0.0079,0.5676,0,0,0
FLRY3,03/02/2021,28.7,30/07/2020,02/02/2021,28.31,13/02/2021,8,0.4320,0.0080,0.5600,1,1,1
FLRY3,04/02/2021,28.34,31/07/2020,03/02/2021,27.5,11/02/2021,5,0.4357,0.0081,0.5562,1,1,1
FLRY3,05/02/2021,27.95,01/08/2020,04/02/2021,27.6,19/02/2021,8,0.4246,0.0079,0.5676,1,1,1
FLRY3,06/02/2021,28.16,04/08/2020,05/02/2021,28.31,13/02/2021,5,0.4203,0.0079,0.5718,0,0,1
FLRY3,09/02/2021,27.96,05/08/2020,06/02/2021,26.71,23/02/2021,8,0.4320,0.0080,0.5600,1,1,1
FLRY3,10/02/2021,27.71,06/08/2020,09/02/2021,27.6,19/02/2021,5,0.4203,0.0079,0.5718,1,0,1
FLRY3,11/02/2021,27.5,07/08/2020,10/02/2021,26.97,25/02/2021,8,0.4164,0.0079,0.5758,1,1,1
FLRY3,12/02/2021,28.09,08/08/2020,11/02/2021,26.71,23/02/2021,5,0.4122,0.0079,0.5799,1,1,1
FLRY3,13/02/2021,28.31,11/08/2020,12/02/2021,27.08,24/02/2021,5,0.4278,0.0081,0.5641,1,1,1
FLRY3,18/02/2021,28.21,12/08/2020,13/02/2021,26.97,25/02/2021,5,0.4358,0.0081,0.5561,1,1,1
FLRY3,19/02/2021,27.6,13/08/2020,18/02/2021,26.97,26/02/2021,5,0.4283,0.0079,0.5638,1,1,1
FLRY3,20/02/2021,27.71,14/08/2020,19/02/2021,26.83,27/02/2021,5,0.4283,0.0079,0.5638,1,1,1
FLRY3,23/02/2021,26.71,15/08/2020,20/02/2021,25.92,02/03/2021,5,0.4437,0.0081,0.5482,1,1,1
FLRY3,24/02/2021,27.08,18/08/2020,23/02/2021,25.17,06/03/2021,8,0.4325,0.0079,0.5596,1,1,1
FLRY3,25/02/2021,26.97,19/08/2020,24/02/2021,25.2,04/03/2021,5,0.4437,0.0081,0.5482,1,1,1
FLRY3,26/02/2021,26.97,20/08/2020,25/02/2021,24.34,10/03/2021,8,0.4364,0.0079,0.5557,1,1,1
FLRY3,27/02/2021,26.83,21/08/2020,26/02/2021,25.14,17/03/2021,12,0.4365,0.0238,0.5397,1,1,1
FLRY3,02/03/2021,25.92,22/08/2020,27/02/2021,24.44,09/03/2021,5,0.4271,0.0160,0.5569,1,1,1
FLRY3,03/03/2021,25.63,25/08/2020,02/03/2021,24.58,13/03/2021,8,0.4191,0.0160,0.5649,1,1,1
FLRY3,04/03/2021,25.2,26/08/2020,03/03/2021,24.55,11/03/2021,5,0.4135,0.0160,0.5705,1,1,1
FLRY3,05/03/2021,25.49,27/08/2020,04/03/2021,24.85,12/03/2021,5,0.4110,0.0160,0.5730,1,1,1
FLRY3,06/03/2021,25.17,28/08/2020,05/03/2021,24.58,13/03/2021,5,0.4185,0.0160,0.5655,1,0,1
FLRY3,09/03/2021,24.44,29/08/2020,06/03/2021,24.95,19/03/2021,8,0.4032,0.0160,0.5808,0,0,0
FLRY3,10/03/2021,24.34,01/09/2020,09/03/2021,25.32,20/03/2021,8,0.3952,0.0160,0.5888,0,0,0
FLRY3,11/03/2021,24.55,02/09/2020,10/03/2021,25.22,23/03/2021,8,0.3873,0.0160,0.5968,0,0,0
FLRY3,12/03/2021,24.85,03/09/2020,11/03/2021,25.45,24/03/2021,8,0.3968,0.0160,0.5872,0,1,0
FLRY3,13/03/2021,24.58,04/09/2020,12/03/2021,24.84,25/03/2021,8,0.4024,0.0160,0.5816,0,0,0
FLRY3,16/03/2021,25.35,05/09/2020,13/03/2021,25.22,23/03/2021,5,0.3896,0.0160,0.5944,1,0,1
FLRY3,17/03/2021,25.14,09/09/2020,16/03/2021,25.16,27/03/2021,8,0.4024,0.0160,0.5816,0,1,0
FLRY3,18/03/2021,25.25,10/09/2020,17/03/2021,24.84,25/03/2021,5,0.3896,0.0160,0.5944,1,1,1
FLRY3,19/03/2021,24.95,11/09/2020,18/03/2021,25.11,26/03/2021,5,0.4048,0.0160,0.5792,0,0,1
FLRY3,20/03/2021,25.32,12/09/2020,19/03/2021,25.6,01/04/2021,8,0.3952,0.0160,0.5888,0,0,0
FLRY3,23/03/2021,25.22,15/09/2020,20/03/2021,25.69,02/04/2021,8,0.4024,0.0160,0.5816,0,0,0
FLRY3,24/03/2021,25.45,16/09/2020,23/03/2021,25.91,06/04/2021,8,0.3874,0.0160,0.5966,0,0,0
FLRY3,25/03/2021,24.84,17/09/2020,24/03/2021,26.92,07/04/2021,8,0.3966,0.0160,0.5873,0,0,0
FLRY3,26/03/2021,25.11,18/09/2020,25/03/2021,27.01,08/04/2021,8,0.3897,0.0160,0.5943,0,0,0
FLRY3,27/03/2021,25.16,19/09/2020,26/03/2021,26.72,09/04/2021,8,0.4045,0.0160,0.5795,0,0,0
FLRY3,30/03/2021,24.94,22/09/2020,27/03/2021,26.39,10/04/2021,8,0.4125,0.0160,0.5714,0,0,0
FLRY3,31/03/2021,25.61,23/09/2020,30/03/2021,26.98,13/04/2021,8,0.4058,0.0160,0.5782,0,0,0
FLRY3,01/04/2021,25.6,24/09/2020,31/03/2021,27.21,14/04/2021,8,0.4204,0.0160,0.5635,0,0,0
FLRY3,02/04/2021,25.69,25/09/2020,01/04/2021,27.18,15/04/2021,8,0.4138,0.0160,0.5702,0,0,0
FLRY3,06/04/2021,25.91,26/09/2020,02/04/2021,27.11,16/04/2021,8,0.4283,0.0160,0.5556,0,0,0
FLRY3,07/04/2021,26.92,29/09/2020,06/04/2021,27.2,17/04/2021,8,0.4342,0.0160,0.5498,0,0,1
FLRY3,08/04/2021,27.01,30/09/2020,07/04/2021,27.1,20/04/2021,8,0.4365,0.0160,0.5475,0,1,1
FLRY3,09/04/2021,26.72,01/10/2020,08/04/2021,26.82,21/04/2021,8,0.4423,0.0160,0.5417,0,1,1
FLRY3,10/04/2021,26.39,02/10/2020,09/04/2021,26.42,23/04/2021,8,0.4297,0.0160,0.5543,0,1,1
FLRY3,13/04/2021,26.98,03/10/2020,10/04/2021,26.26,24/04/2021,8,0.4274,0.0160,0.5566,1,1,1
FLRY3,14/04/2021,27.21,06/10/2020,13/04/2021,25.88,27/04/2021,8,0.4343,0.0160,0.5497,1,1,1
FLRY3,15/04/2021,27.18,07/10/2020,14/04/2021,25.41,28/04/2021,8,0.4366,0.0160,0.5474,1,1,1
FLRY3,16/04/2021,27.11,08/10/2020,15/04/2021,25.47,29/04/2021,8,0.4274,0.0160,0.5566,1,1,1
FLRY3,17/04/2021,27.2,09/10/2020,16/04/2021,25.53,30/04/2021,8,0.4217,0.0160,0.5623,1,1,1
FLRY3,20/04/2021,27.1,10/10/2020,17/04/2021,25.55,01/05/2021,8,0.4343,0.0160,0.5497,1,1,1
FLRY3,21/04/2021,26.82,14/10/2020,20/04/2021,25.09,04/05/2021,8,0.4194,0.0160,0.5646,1,1,1
FLRY3,23/04/2021,26.42,15/10/2020,21/04/2021,25.73,05/05/2021,8,0.4137,0.0160,0.5703,1,1,1
FLRY3,24/04/2021,26.26,16/10/2020,23/04/2021,26.05,06/05/2021,8,0.4137,0.0160,0.5703,1,1,1
FLRY3,27/04/2021,25.88,17/10/2020,24/04/2021,25.74,07/05/2021,8,0.4113,0.0160,0.5727,1,1,0
FLRY3,28/04/2021,25.41,20/10/2020,27/04/2021,25.66,08/05/2021,8,0.4033,0.0160,0.5807,0,0,0
FLRY3,29/04/2021,25.47,21/10/2020,28/04/2021,26.22,15/05/2021,12,0.3981,0.0121,0.5898,0,0,0
FLRY3,30/04/2021,25.53,22/10/2020,29/04/2021,26.05,12/05/2021,8,0.4115,0.0080,0.5805,0,1,0
FLRY3,01/05/2021,25.55,23/10/2020,30/04/2021,25.39,13/05/2021,8,0.4152,0.0079,0.5769,1,0,0
FLRY3,04/05/2021,25.09,24/10/2020,01/05/2021,25.94,14/05/2021,8,0.4233,0.0079,0.5688,0,0,0
FLRY3,05/05/2021,25.73,27/10/2020,04/05/2021,26.22,15/05/2021,8,0.4124,0.0080,0.5795,0,0,0
FLRY3,06/05/2021,26.05,28/10/2020,05/05/2021,26.42,18/05/2021,8,0.4233,0.0079,0.5688,0,0,0
FLRY3,07/05/2021,25.74,29/10/2020,06/05/2021,25.94,14/05/2021,5,0.4277,0.0079,0.5644,0,0,0
FLRY3,08/05/2021,25.66,30/10/2020,07/05/2021,27.02,20/05/2021,8,0.4160,0.0080,0.5760,0,0,0
FLRY3,11/05/2021,25.98,31/10/2020,08/05/2021,27.64,21/05/2021,8,0.4160,0.0080,0.5760,0,0,0
FLRY3,12/05/2021,26.05,04/11/2020,11/05/2021,26.4,19/05/2021,5,0.4277,0.0079,0.5644,0,0,0
FLRY3,13/05/2021,25.39,05/11/2020,12/05/2021,27.02,20/05/2021,5,0.4277,0.0079,0.5644,0,0,0
FLRY3,14/05/2021,25.94,06/11/2020,13/05/2021,26.81,26/05/2021,8,0.4160,0.0080,0.5760,0,0,0
FLRY3,15/05/2021,26.22,07/11/2020,14/05/2021,26.7,27/05/2021,8,0.4313,0.0079,0.5608,0,1,0
FLRY3,18/05/2021,26.42,10/11/2020,15/05/2021,26.08,28/05/2021,8,0.4393,0.0079,0.5528,1,0,0
FLRY3,19/05/2021,26.4,11/11/2020,18/05/2021,26.43,29/05/2021,8,0.4474,0.0079,0.5447,0,0,0
FLRY3,20/05/2021,27.02,12/11/2020,19/05/2021,26.47,01/06/2021,8,0.4400,0.0080,0.5520,1,1,1
FLRY3,21/05/2021,27.64,13/11/2020,20/05/2021,26.08,28/05/2021,5,0.4516,0.0079,0.5404,1,1,1
FLRY3,22/05/2021,27.22,14/11/2020,21/05/2021,26.43,29/05/2021,5,0.4516,0.0079,0.5404,1,1,1
FLRY3,25/05/2021,27.11,17/11/2020,22/05/2021,26.85,05/06/2021,8,0.4400,0.0080,0.5520,1,0,0
FLRY3,26/05/2021,26.81,18/11/2020,25/05/2021,27.3,08/06/2021,8,0.4400,0.0080,0.5520,0,0,0
FLRY3,27/05/2021,26.7,19/11/2020,26/05/2021,27.35,09/06/2021,8,0.4364,0.0081,0.5556,0,0,0
FLRY3,28/05/2021,26.08,20/11/2020,27/05/2021,27.29,10/06/2021,8,0.4320,0.0080,0.5600,0,0,0
FLRY3,29/05/2021,26.43,21/11/2020,28/05/2021,27.47,11/06/2021,8,0.4320,0.0080,0.5600,0,0,0
FLRY3,01/06/2021,26.47,24/11/2020,29/05/2021,27.04,12/06/2021,8,0.4474,0.0079,0.5447,0,0,0
FLRY3,02/06/2021,26.82,25/11/2020,01/06/2021,27.29,10/06/2021,5,0.4517,0.0079,0.5403,0,0,0
FLRY3,03/06/2021,26.65,26/11/2020,02/06/2021,26.62,16/06/2021,8,0.4556,0.0079,0.5365,1,1,1
FLRY3,05/06/2021,26.85,27/11/2020,03/06/2021,27.04,12/06/2021,5,0.4442,0.0081,0.5477,0,1,1
