Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
HYPE3,05/01/2021,33.13,02/07/2020,31/12/2020,34.7,15/01/2021,8,0.4924,0.0079,0.4996,-1,-1,-1
HYPE3,06/01/2021,34.23,03/07/2020,05/01/2021,34.8,16/01/2021,8,0.4887,0.0079,0.5035,-1,-1,-1
HYPE3,07/01/2021,33.44,04/07/2020,06/01/2021,34.67,19/01/2021,8,0.4960,0.0080,0.4960,-1,-1,-1
HYPE3,08/01/2021,33.43,07/07/2020,07/01/2021,35.41,20/01/2021,8,0.4844,0.0079,0.5076,-1,-1,-1
HYPE3,09/01/2021,35.31,08/07/2020,08/01/2021,34.99,21/01/2021,8,0.4807,0.0079,0.5115,-1,-1,-1
HYPE3,12/01/2021,34.1,09/07/2020,09/01/2021,34.67,19/01/2021,5,0.4916,0.0081,0.5003,-1,-1,-1
HYPE3,13/01/2021,34.87,10/07/2020,12/01/2021,34.65,23/01/2021,8,0.4844,0.0079,0.5076,-1,-1,-1
HYPE3,14/01/2021,34.99,11/07/2020,13/01/2021,34.24,27/01/2021,8,0.4995,0.0081,0.4924,-1,-1,-1
HYPE3,15/01/2021,34.7,14/07/2020,14/01/2021,33.36,28/01/2021,8,0.5075,0.0081,0.4844,-1,-1,-1
HYPE3,16/01/2021,34.8,15/07/2020,15/01/2021,34.2,29/01/2021,8,0.4969,0.0079,0.4952,-1,-1,-1
HYPE3,19/01/2021,34.67,16/07/2020,16/01/2021,32.29,30/01/2021,8,0.5040,0.0080,0.4880,-1,-1,-1
HYPE3,20/01/2021,35.41,17/07/2020,19/01/2021,33.06,02/02/2021,8,0.4891,0.0079,0.5030,-1,-1,-1
HYPE3,21/01/2021,34.99,18/07/2020,20/01/2021,33.25,03/02/2021,8,0.4960,0.0080,0.4960,-1,-1,-1
