Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ITSA4,05/01/2021,11.55,02/07/2020,31/12/2020,12.08,15/01/2021,8,0.5261,0.0240,0.4498,1,1,1
ITSA4,06/01/2021,11.46,03/07/2020,05/01/2021,11.61,16/01/2021,8,0.5181,0.0240,0.4578,1,1,0
ITSA4,07/01/2021,11.71,04/07/2020,06/01/2021,11.63,19/01/2021,8,0.5101,0.0240,0.4658,-1,-1,-1
ITSA4,08/01/2021,12.16,07/07/2020,07/01/2021,11.45,20/01/2021,8,0.5196,0.0239,0.4566,0,0,0
ITSA4,09/01/2021,12.13,08/07/2020,08/01/2021,11.61,16/01/2021,5,0.5257,0.0239,0.4504,0,0,0
ITSA4,12/01/2021,11.85,09/07/2020,09/01/2021,11.04,22/01/2021,8,0.5101,0.0240,0.4658,-1,-1,-1
ITSA4,13/01/2021,11.94,10/07/2020,12/01/2021,10.88,23/01/2021,8,0.5021,0.0240,0.4739,-1,-1,-1
ITSA4,14/01/2021,11.82,11/07/2020,13/01/2021,10.62,27/01/2021,8,0.5116,0.0239,0.4646,-1,-1,-1
ITSA4,15/01/2021,12.08,14/07/2020,14/01/2021,10.58,28/01/2021,8,0.5021,0.0240,0.4739,-1,-1,-1
ITSA4,16/01/2021,11.61,15/07/2020,15/01/2021,10.97,29/01/2021,8,0.5096,0.0239,0.4665,-1,-1,-1
ITSA4,19/01/2021,11.63,16/07/2020,16/01/2021,10.61,30/01/2021,8,0.4960,0.0240,0.4800,-1,-1,-1
ITSA4,20/01/2021,11.45,17/07/2020,19/01/2021,10.79,02/02/2021,8,0.5096,0.0239,0.4665,-1,-1,-1
ITSA4,21/01/2021,11.27,18/07/2020,20/01/2021,10.81,03/02/2021,8,0.4942,0.0240,0.4818,-1,-1,-1
ITSA4,22/01/2021,11.04,21/07/2020,21/01/2021,10.82,04/02/2021,8,0.4862,0.0240,0.4898,-1,-1,-1
ITSA4,23/01/2021,10.88,22/07/2020,22/01/2021,10.62,11/02/2021,12,0.4813,0.0214,0.4973,-1,-1,-1
ITSA4,27/01/2021,10.62,23/07/2020,23/01/2021,10.76,06/02/2021,8,0.4800,0.0160,0.5040,-1,-1,-1
ITSA4,28/01/2021,10.58,24/07/2020,27/01/2021,10.6,09/02/2021,8,0.4775,0.0161,0.5065,-1,-1,-1
ITSA4,29/01/2021,10.97,25/07/2020,28/01/2021,10.69,10/02/2021,8,0.4695,0.0161,0.5145,-1,-1,-1
ITSA4,30/01/2021,10.61,28/07/2020,29/01/2021,10.62,11/02/2021,8,0.4797,0.0158,0.5046,-1,-1,-1
ITSA4,02/02/2021,10.79,29/07/2020,30/01/2021,10.64,12/02/2021,8,0.4695,0.0161,0.5145,-1,-1,-1
ITSA4,03/02/2021,10.81,30/07/2020,02/02/2021,10.6,13/02/2021,8,0.4797,0.0158,0.5046,-1,-1,-1
ITSA4,04/02/2021,10.82,31/07/2020,03/02/2021,10.52,24/02/2021,12,0.4877,0.0158,0.4966,-1,-1,-1
ITSA4,05/02/2021,10.82,01/08/2020,04/02/2021,10.35,19/02/2021,8,0.4932,0.0158,0.4910,-1,-1,-1
ITSA4,06/02/2021,10.76,04/08/2020,05/02/2021,10.08,26/02/2021,12,0.4762,0.0317,0.4921,-1,-1,-1
ITSA4,09/02/2021,10.6,05/08/2020,06/02/2021,9.78,23/02/2021,8,0.4800,0.0240,0.4960,-1,-1,-1
ITSA4,10/02/2021,10.69,06/08/2020,09/02/2021,10.52,24/02/2021,8,0.4781,0.0240,0.4979,-1,-1,-1
ITSA4,11/02/2021,10.62,07/08/2020,10/02/2021,10.42,25/02/2021,8,0.4878,0.0239,0.4883,-1,-1,-1
ITSA4,12/02/2021,10.64,08/08/2020,11/02/2021,10.08,26/02/2021,8,0.4781,0.0240,0.4979,-1,-1,-1
ITSA4,13/02/2021,10.6,11/08/2020,12/02/2021,9.95,27/02/2021,8,0.4878,0.0239,0.4883,-1,-1,-1
ITSA4,18/02/2021,10.54,12/08/2020,13/02/2021,9.62,02/03/2021,8,0.4800,0.0240,0.4960,-1,-1,-1
ITSA4,19/02/2021,10.35,13/08/2020,18/02/2021,9.9,03/03/2021,8,0.4800,0.0240,0.4960,-1,-1,-1
ITSA4,20/02/2021,10.25,14/08/2020,19/02/2021,9.99,04/03/2021,8,0.4781,0.0240,0.4979,-1,-1,-1
ITSA4,23/02/2021,9.78,15/08/2020,20/02/2021,10.21,05/03/2021,8,0.4720,0.0240,0.5040,-1,-1,-1
ITSA4,24/02/2021,10.52,18/08/2020,23/02/2021,9.9,03/03/2021,5,0.4700,0.0240,0.5060,-1,-1,-1
ITSA4,25/02/2021,10.42,19/08/2020,24/02/2021,9.96,09/03/2021,8,0.4801,0.0239,0.4961,-1,-1,-1
ITSA4,26/02/2021,10.08,20/08/2020,25/02/2021,10.05,10/03/2021,8,0.4720,0.0240,0.5040,-1,-1,-1
ITSA4,27/02/2021,9.95,21/08/2020,26/02/2021,10.37,06/03/2021,5,0.4700,0.0240,0.5060,-1,-1,-1
ITSA4,02/03/2021,9.62,22/08/2020,27/02/2021,9.96,09/03/2021,5,0.4620,0.0240,0.5140,0,0,0
ITSA4,03/03/2021,9.9,25/08/2020,02/03/2021,10.05,10/03/2021,5,0.4560,0.0240,0.5200,0,0,0
ITSA4,04/03/2021,9.99,26/08/2020,03/03/2021,10.31,11/03/2021,5,0.4720,0.0239,0.5041,-1,-1,-1
ITSA4,05/03/2021,10.21,27/08/2020,04/03/2021,10.28,12/03/2021,5,0.4781,0.0239,0.4980,-1,-1,-1
ITSA4,06/03/2021,10.37,28/08/2020,05/03/2021,10.2,13/03/2021,5,0.4781,0.0239,0.4980,-1,-1,-1
ITSA4,09/03/2021,9.96,29/08/2020,06/03/2021,10.23,16/03/2021,5,0.4803,0.0239,0.4958,-1,-1,-1
ITSA4,10/03/2021,10.05,01/09/2020,09/03/2021,10.08,17/03/2021,5,0.4699,0.0240,0.5060,-1,-1,-1
ITSA4,11/03/2021,10.31,02/09/2020,10/03/2021,10.37,18/03/2021,5,0.4803,0.0239,0.4958,-1,-1,-1
ITSA4,12/03/2021,10.28,03/09/2020,11/03/2021,10.47,19/03/2021,5,0.4863,0.0239,0.4898,-1,-1,-1
ITSA4,13/03/2021,10.2,04/09/2020,12/03/2021,10.44,20/03/2021,5,0.4720,0.0240,0.5040,-1,-1,-1
ITSA4,16/03/2021,10.23,05/09/2020,13/03/2021,10.52,23/03/2021,5,0.4720,0.0240,0.5040,-1,-1,-1
ITSA4,17/03/2021,10.08,09/09/2020,16/03/2021,10.26,24/03/2021,5,0.4863,0.0239,0.4898,-1,-1,-1
ITSA4,18/03/2021,10.37,10/09/2020,17/03/2021,10.05,25/03/2021,5,0.4720,0.0240,0.5040,-1,-1,-1
ITSA4,19/03/2021,10.47,11/09/2020,18/03/2021,10.26,26/03/2021,5,0.4883,0.0239,0.4878,-1,-1,-1
ITSA4,20/03/2021,10.44,12/09/2020,19/03/2021,10.36,27/03/2021,5,0.4943,0.0239,0.4818,-1,-1,-1
ITSA4,23/03/2021,10.52,15/09/2020,20/03/2021,10.32,30/03/2021,5,0.4800,0.0240,0.4960,-1,-1,-1
ITSA4,24/03/2021,10.26,16/09/2020,23/03/2021,10.23,06/04/2021,8,0.4976,0.0214,0.4810,-1,-1,-1
