Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
JBSS3,05/01/2021,23.41,02/07/2020,31/12/2020,24.56,15/01/2021,8,0.4557,0.0079,0.5364,0,0,0
JBSS3,06/01/2021,23.75,03/07/2020,05/01/2021,24.42,16/01/2021,8,0.4477,0.0079,0.5444,0,0,0
JBSS3,07/01/2021,23.61,04/07/2020,06/01/2021,24.25,19/01/2021,8,0.4560,0.0080,0.5360,0,0,0
JBSS3,08/01/2021,23.83,07/07/2020,07/01/2021,24.47,20/01/2021,8,0.4400,0.0079,0.5521,0,0,0
JBSS3,09/01/2021,24.4,08/07/2020,08/01/2021,24.42,16/01/2021,5,0.4520,0.0081,0.5400,0,1,0
JBSS3,12/01/2021,24.25,09/07/2020,09/01/2021,24.25,19/01/2021,5,0.4600,0.0081,0.5320,0,0,0
JBSS3,13/01/2021,24.63,10/07/2020,12/01/2021,24.47,20/01/2021,5,0.4480,0.0079,0.5441,1,0,1
JBSS3,14/01/2021,24.86,11/07/2020,13/01/2021,24.75,21/01/2021,5,0.4600,0.0081,0.5320,1,1,1
JBSS3,15/01/2021,24.56,14/07/2020,14/01/2021,24.47,20/01/2021,3,0.4680,0.0081,0.5239,1,0,1
JBSS3,16/01/2021,24.42,15/07/2020,15/01/2021,24.3,29/01/2021,8,0.4560,0.0079,0.5362,1,1,1
JBSS3,19/01/2021,24.25,16/07/2020,16/01/2021,24.47,22/01/2021,3,0.4520,0.0079,0.5401,0,0,1
JBSS3,20/01/2021,24.47,17/07/2020,19/01/2021,24.23,02/02/2021,8,0.4477,0.0079,0.5444,1,0,0
JBSS3,21/01/2021,24.75,18/07/2020,20/01/2021,24.52,03/02/2021,8,0.4560,0.0080,0.5360,1,0,0
JBSS3,22/01/2021,24.47,21/07/2020,21/01/2021,24.18,30/01/2021,5,0.4601,0.0081,0.5318,1,1,0
JBSS3,23/01/2021,24.51,22/07/2020,22/01/2021,24.3,29/01/2021,3,0.4520,0.0079,0.5401,1,1,1
JBSS3,27/01/2021,24.14,23/07/2020,23/01/2021,24.52,03/02/2021,5,0.4640,0.0080,0.5280,0,0,0
JBSS3,28/01/2021,23.91,24/07/2020,27/01/2021,24.23,02/02/2021,3,0.4520,0.0079,0.5401,0,0,0
JBSS3,29/01/2021,24.3,25/07/2020,28/01/2021,24.52,03/02/2021,3,0.4520,0.0079,0.5401,0,0,0
JBSS3,30/01/2021,24.18,28/07/2020,29/01/2021,25.15,06/02/2021,5,0.4640,0.0080,0.5280,0,0,0
JBSS3,02/02/2021,24.23,29/07/2020,30/01/2021,25.1,05/02/2021,3,0.4520,0.0079,0.5401,0,0,0
JBSS3,03/02/2021,24.52,30/07/2020,02/02/2021,25.15,06/02/2021,3,0.4680,0.0081,0.5239,0,0,0
JBSS3,04/02/2021,24.83,31/07/2020,03/02/2021,25.6,09/02/2021,3,0.4760,0.0081,0.5159,-1,-1,-1
