Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
LREN3,05/01/2021,42.21,02/07/2020,31/12/2020,41.45,12/01/2021,5,0.5115,0.0000,0.4885,-1,-1,-1
LREN3,06/01/2021,41.8,03/07/2020,05/01/2021,41.9,13/01/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
LREN3,07/01/2021,39.78,04/07/2020,06/01/2021,43.13,19/01/2021,8,0.5032,0.0000,0.4968,-1,-1,-1
LREN3,08/01/2021,40.75,07/07/2020,07/01/2021,43.9,20/01/2021,8,0.4952,0.0000,0.5048,-1,-1,-1
LREN3,09/01/2021,43.1,08/07/2020,08/01/2021,43.08,16/01/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
LREN3,12/01/2021,41.45,09/07/2020,09/01/2021,43.13,19/01/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
LREN3,13/01/2021,41.9,10/07/2020,12/01/2021,43.9,20/01/2021,5,0.4875,0.0000,0.5125,-1,-1,-1
LREN3,14/01/2021,41.4,11/07/2020,13/01/2021,43.11,21/01/2021,5,0.5045,0.0000,0.4955,-1,-1,-1
LREN3,15/01/2021,43.38,14/07/2020,14/01/2021,42.36,22/01/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,16/01/2021,43.08,15/07/2020,15/01/2021,41.02,23/01/2021,5,0.5122,0.0000,0.4878,-1,-1,-1
LREN3,19/01/2021,43.13,16/07/2020,16/01/2021,42.36,22/01/2021,3,0.5040,0.0000,0.4960,-1,-1,-1
LREN3,20/01/2021,43.9,17/07/2020,19/01/2021,41.02,23/01/2021,3,0.5120,0.0000,0.4880,-1,-1,-1
LREN3,21/01/2021,43.11,18/07/2020,20/01/2021,41.42,27/01/2021,3,0.5120,0.0000,0.4880,-1,-1,-1
LREN3,22/01/2021,42.36,21/07/2020,21/01/2021,41.69,28/01/2021,3,0.5040,0.0000,0.4960,-1,-1,-1
LREN3,23/01/2021,41.02,22/07/2020,22/01/2021,41.07,02/02/2021,5,0.4958,0.0000,0.5042,-1,-1,-1
LREN3,27/01/2021,41.42,23/07/2020,23/01/2021,41.01,03/02/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,28/01/2021,41.69,24/07/2020,27/01/2021,41.84,04/02/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
LREN3,29/01/2021,43.23,25/07/2020,28/01/2021,41.34,05/02/2021,5,0.5125,0.0000,0.4875,-1,-1,-1
LREN3,30/01/2021,41.47,28/07/2020,29/01/2021,41.01,06/02/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
LREN3,02/02/2021,41.07,29/07/2020,30/01/2021,41.24,09/02/2021,5,0.4955,0.0000,0.5045,-1,-1,-1
LREN3,03/02/2021,41.01,30/07/2020,02/02/2021,40.89,10/02/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,04/02/2021,41.84,31/07/2020,03/02/2021,39.76,11/02/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,05/02/2021,41.34,01/08/2020,04/02/2021,39.39,12/02/2021,5,0.5125,0.0000,0.4875,-1,-1,-1
LREN3,06/02/2021,41.01,04/08/2020,05/02/2021,39.9,13/02/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
LREN3,09/02/2021,41.24,05/08/2020,06/02/2021,40.55,18/02/2021,5,0.4955,0.0000,0.5045,-1,-1,-1
LREN3,10/02/2021,40.89,06/08/2020,09/02/2021,40,19/02/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
LREN3,11/02/2021,39.76,07/08/2020,10/02/2021,39.67,20/02/2021,5,0.4878,0.0000,0.5122,-1,-1,-1
LREN3,12/02/2021,39.39,08/08/2020,11/02/2021,38.34,23/02/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
LREN3,13/02/2021,39.9,11/08/2020,12/02/2021,38.26,24/02/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
LREN3,18/02/2021,40.55,12/08/2020,13/02/2021,37.32,25/02/2021,5,0.5042,0.0000,0.4958,-1,-1,-1
LREN3,19/02/2021,40,13/08/2020,18/02/2021,37.24,26/02/2021,5,0.5122,0.0000,0.4878,-1,-1,-1
LREN3,20/02/2021,39.67,14/08/2020,19/02/2021,36.66,27/02/2021,5,0.4958,0.0000,0.5042,-1,-1,-1
LREN3,23/02/2021,38.34,15/08/2020,20/02/2021,37.17,02/03/2021,5,0.4960,0.0000,0.5040,-1,-1,-1
LREN3,24/02/2021,38.26,18/08/2020,23/02/2021,37.37,03/03/2021,5,0.4875,0.0000,0.5125,-1,-1,-1
LREN3,25/02/2021,37.32,19/08/2020,24/02/2021,37.48,04/03/2021,5,0.4880,0.0000,0.5120,-1,-1,-1
LREN3,26/02/2021,37.24,20/08/2020,25/02/2021,36.88,10/03/2021,8,0.4792,0.0000,0.5208,-1,-1,-1
LREN3,27/02/2021,36.66,21/08/2020,26/02/2021,38.32,11/03/2021,8,0.4712,0.0000,0.5288,0,0,0
LREN3,02/03/2021,37.17,22/08/2020,27/02/2021,38,09/03/2021,5,0.4633,0.0000,0.5367,0,1,0
LREN3,03/03/2021,37.37,25/08/2020,02/03/2021,36.88,10/03/2021,5,0.4720,0.0000,0.5280,1,0,0
LREN3,04/03/2021,37.48,26/08/2020,03/03/2021,41.82,16/03/2021,8,0.4808,0.0000,0.5192,-1,-1,-1
LREN3,05/03/2021,39.33,27/08/2020,04/03/2021,40.7,17/03/2021,8,0.4888,0.0000,0.5112,-1,-1,-1
LREN3,06/03/2021,39.56,28/08/2020,05/03/2021,41.62,18/03/2021,8,0.4880,0.0000,0.5120,-1,-1,-1
LREN3,09/03/2021,38,29/08/2020,06/03/2021,41.11,19/03/2021,8,0.4971,0.0000,0.5029,-1,-1,-1
LREN3,10/03/2021,36.88,01/09/2020,09/03/2021,42.47,20/03/2021,8,0.4789,0.0000,0.5211,-1,-1,-1
LREN3,11/03/2021,38.32,02/09/2020,10/03/2021,41.55,23/03/2021,8,0.4709,0.0000,0.5291,0,0,0
LREN3,12/03/2021,40.42,03/09/2020,11/03/2021,41.65,24/03/2021,8,0.4800,0.0000,0.5200,-1,-1,-1
LREN3,13/03/2021,41.56,04/09/2020,12/03/2021,40.91,25/03/2021,8,0.4800,0.0000,0.5200,-1,-1,-1
