Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
MRFG3,05/01/2021,14.3,02/07/2020,31/12/2020,13.84,08/01/2021,3,0.5001,0.0081,0.4919,-1,-1,-1
MRFG3,06/01/2021,14.21,03/07/2020,05/01/2021,14.21,13/01/2021,5,0.4961,0.0081,0.4958,-1,-1,-1
MRFG3,07/01/2021,13.8,04/07/2020,06/01/2021,14.19,14/01/2021,5,0.4881,0.0081,0.5038,-1,-1,-1
MRFG3,08/01/2021,13.84,07/07/2020,07/01/2021,14.09,15/01/2021,5,0.4801,0.0081,0.5118,-1,-1,-1
MRFG3,09/01/2021,14.01,08/07/2020,08/01/2021,14.19,14/01/2021,3,0.4920,0.0079,0.5001,-1,-1,-1
MRFG3,12/01/2021,13.96,09/07/2020,09/01/2021,14.09,15/01/2021,3,0.5000,0.0079,0.4921,-1,-1,-1
MRFG3,13/01/2021,14.21,10/07/2020,12/01/2021,13.67,20/01/2021,5,0.4881,0.0081,0.5038,-1,-1,-1
MRFG3,14/01/2021,14.19,11/07/2020,13/01/2021,13.88,19/01/2021,3,0.5000,0.0079,0.4921,-1,-1,-1
MRFG3,15/01/2021,14.09,14/07/2020,14/01/2021,13.67,20/01/2021,3,0.4921,0.0081,0.4999,-1,-1,-1
MRFG3,16/01/2021,13.97,15/07/2020,15/01/2021,13.19,23/01/2021,5,0.4881,0.0081,0.5038,-1,-1,-1
MRFG3,19/01/2021,13.88,16/07/2020,16/01/2021,12.8,27/01/2021,5,0.4801,0.0081,0.5118,-1,-1,-1
MRFG3,20/01/2021,13.67,17/07/2020,19/01/2021,13.07,28/01/2021,5,0.4721,0.0081,0.5198,-1,-1,-1
MRFG3,21/01/2021,13.53,18/07/2020,20/01/2021,13.28,29/01/2021,5,0.4641,0.0081,0.5278,1,1,1
MRFG3,22/01/2021,13.33,21/07/2020,21/01/2021,14.07,04/02/2021,8,0.4561,0.0081,0.5358,0,0,0
MRFG3,23/01/2021,13.19,22/07/2020,22/01/2021,14.28,05/02/2021,8,0.4481,0.0081,0.5437,0,0,0
MRFG3,27/01/2021,12.8,23/07/2020,23/01/2021,13.55,03/02/2021,5,0.4440,0.0081,0.5480,0,0,0
MRFG3,28/01/2021,13.07,24/07/2020,27/01/2021,14.07,04/02/2021,5,0.4440,0.0081,0.5480,0,0,0
MRFG3,29/01/2021,13.28,25/07/2020,28/01/2021,14.28,05/02/2021,5,0.4560,0.0080,0.5360,0,0,0
MRFG3,30/01/2021,13.29,28/07/2020,29/01/2021,14.31,06/02/2021,5,0.4560,0.0080,0.5360,0,0,0
MRFG3,02/02/2021,13.31,29/07/2020,30/01/2021,14.28,05/02/2021,3,0.4601,0.0079,0.5320,0,0,0
MRFG3,03/02/2021,13.55,30/07/2020,02/02/2021,14.58,10/02/2021,5,0.4640,0.0080,0.5280,0,0,0
MRFG3,04/02/2021,14.07,31/07/2020,03/02/2021,14.37,11/02/2021,5,0.4683,0.0079,0.5238,0,0,0
MRFG3,05/02/2021,14.28,01/08/2020,04/02/2021,14.67,12/02/2021,5,0.4720,0.0080,0.5200,-1,-1,-1
MRFG3,06/02/2021,14.31,04/08/2020,05/02/2021,14.61,13/02/2021,5,0.4764,0.0079,0.5157,-1,-1,-1
MRFG3,09/02/2021,14.43,05/08/2020,06/02/2021,13.88,23/02/2021,8,0.4844,0.0079,0.5076,-1,-1,-1
MRFG3,10/02/2021,14.58,06/08/2020,09/02/2021,14.82,19/02/2021,5,0.4924,0.0079,0.4996,-1,-1,-1
MRFG3,11/02/2021,14.37,07/08/2020,10/02/2021,14.36,20/02/2021,5,0.5004,0.0079,0.4916,-1,-1,-1
MRFG3,12/02/2021,14.67,08/08/2020,11/02/2021,14.25,26/02/2021,8,0.4872,0.0081,0.5046,-1,-1,-1
MRFG3,13/02/2021,14.61,11/08/2020,12/02/2021,14.2,24/02/2021,5,0.5004,0.0079,0.4916,-1,-1,-1
MRFG3,18/02/2021,15.22,12/08/2020,13/02/2021,14.31,02/03/2021,8,0.4872,0.0081,0.5046,-1,-1,-1
MRFG3,19/02/2021,14.82,13/08/2020,18/02/2021,14.25,26/02/2021,5,0.4960,0.0080,0.4960,-1,-1,-1
MRFG3,20/02/2021,14.36,14/08/2020,19/02/2021,13.9,27/02/2021,5,0.4795,0.0081,0.5123,-1,-1,-1
MRFG3,23/02/2021,13.88,15/08/2020,20/02/2021,14.31,02/03/2021,5,0.4715,0.0081,0.5203,-1,-1,-1
MRFG3,24/02/2021,14.2,18/08/2020,23/02/2021,14.68,03/03/2021,5,0.4636,0.0081,0.5283,0,0,0
MRFG3,25/02/2021,14.79,19/08/2020,24/02/2021,14.81,04/03/2021,5,0.4720,0.0080,0.5200,-1,-1,-1
MRFG3,26/02/2021,14.25,20/08/2020,25/02/2021,14.67,05/03/2021,5,0.4720,0.0080,0.5200,-1,-1,-1
MRFG3,27/02/2021,13.9,21/08/2020,26/02/2021,14.98,06/03/2021,5,0.4559,0.0081,0.5360,0,0,0
MRFG3,02/03/2021,14.31,22/08/2020,27/02/2021,15.64,09/03/2021,5,0.4479,0.0081,0.5440,0,0,0
MRFG3,03/03/2021,14.68,25/08/2020,02/03/2021,15.93,10/03/2021,5,0.4560,0.0080,0.5360,0,0,0
MRFG3,04/03/2021,14.81,26/08/2020,03/03/2021,15.16,11/03/2021,5,0.4560,0.0080,0.5360,0,0,0
MRFG3,05/03/2021,14.67,27/08/2020,04/03/2021,15.93,10/03/2021,3,0.4601,0.0079,0.5320,0,0,0
MRFG3,06/03/2021,14.98,28/08/2020,05/03/2021,15.37,13/03/2021,5,0.4520,0.0081,0.5400,0,0,0
MRFG3,09/03/2021,15.64,29/08/2020,06/03/2021,15.87,16/03/2021,5,0.4640,0.0080,0.5280,0,0,0
MRFG3,10/03/2021,15.93,01/09/2020,09/03/2021,15.94,17/03/2021,5,0.4681,0.0079,0.5239,0,1,1
MRFG3,11/03/2021,15.16,02/09/2020,10/03/2021,15.88,18/03/2021,5,0.4720,0.0080,0.5200,-1,-1,-1
MRFG3,12/03/2021,15.51,03/09/2020,11/03/2021,15.94,17/03/2021,3,0.4598,0.0081,0.5321,0,0,0
MRFG3,13/03/2021,15.37,04/09/2020,12/03/2021,15.88,18/03/2021,3,0.4761,0.0079,0.5159,-1,-1,-1
MRFG3,16/03/2021,15.87,05/09/2020,13/03/2021,16.35,23/03/2021,5,0.4679,0.0081,0.5240,0,0,0
MRFG3,17/03/2021,15.94,09/09/2020,16/03/2021,15.96,20/03/2021,3,0.4840,0.0079,0.5081,-1,-1,-1
MRFG3,18/03/2021,15.88,10/09/2020,17/03/2021,17.15,25/03/2021,5,0.4880,0.0080,0.5040,-1,-1,-1
MRFG3,19/03/2021,15.7,11/09/2020,18/03/2021,17,24/03/2021,3,0.4759,0.0081,0.5160,-1,-1,-1
MRFG3,20/03/2021,15.96,12/09/2020,19/03/2021,17.61,01/04/2021,8,0.4718,0.0081,0.5201,-1,-1,-1
MRFG3,23/03/2021,16.35,15/09/2020,20/03/2021,17.55,30/03/2021,5,0.4800,0.0080,0.5120,-1,-1,-1
MRFG3,24/03/2021,17,16/09/2020,23/03/2021,16.83,27/03/2021,3,0.4841,0.0079,0.5079,-1,-1,-1
MRFG3,25/03/2021,17.15,17/09/2020,24/03/2021,17.55,30/03/2021,3,0.4921,0.0079,0.4999,-1,-1,-1
MRFG3,26/03/2021,17.22,18/09/2020,25/03/2021,17.4,31/03/2021,3,0.5001,0.0079,0.4919,-1,-1,-1
MRFG3,27/03/2021,16.83,19/09/2020,26/03/2021,17.52,06/04/2021,5,0.5040,0.0080,0.4880,-1,-1,-1
