Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
RENT3,05/01/2021,67.78,02/07/2020,31/12/2020,73.93,15/01/2021,8,0.5680,0.0000,0.4320,1,1,1
RENT3,06/01/2021,67.38,03/07/2020,05/01/2021,70.71,16/01/2021,8,0.5536,0.0000,0.4464,1,1,1
RENT3,07/01/2021,63.71,04/07/2020,06/01/2021,67.51,23/01/2021,12,0.5456,0.0000,0.4544,1,1,1
RENT3,08/01/2021,66.51,07/07/2020,07/01/2021,65.96,27/01/2021,12,0.5375,0.0000,0.4625,0,0,1
RENT3,09/01/2021,71,08/07/2020,08/01/2021,69.57,21/01/2021,8,0.5440,0.0000,0.4560,0,0,0
RENT3,12/01/2021,69.62,09/07/2020,09/01/2021,67.24,29/01/2021,12,0.5504,0.0000,0.4496,0,0,0
RENT3,13/01/2021,71.08,10/07/2020,12/01/2021,63.88,30/01/2021,12,0.5375,0.0000,0.4625,0,0,0
RENT3,14/01/2021,71.05,11/07/2020,13/01/2021,63.95,02/02/2021,12,0.5504,0.0000,0.4496,0,0,0
RENT3,15/01/2021,73.93,14/07/2020,14/01/2021,67.51,03/02/2021,12,0.5375,0.0000,0.4625,0,0,0
RENT3,16/01/2021,70.71,15/07/2020,15/01/2021,67.24,29/01/2021,8,0.5440,0.0000,0.4560,0,0,0
RENT3,19/01/2021,70.69,16/07/2020,16/01/2021,63.88,30/01/2021,8,0.5360,0.0000,0.4640,0,0,0
RENT3,20/01/2021,68.8,17/07/2020,19/01/2021,63.95,02/02/2021,8,0.5295,0.0000,0.4705,0,0,0
RENT3,21/01/2021,69.57,18/07/2020,20/01/2021,67.51,03/02/2021,8,0.5215,0.0000,0.4785,-1,-1,-1
RENT3,22/01/2021,67.91,21/07/2020,21/01/2021,68.8,04/02/2021,8,0.5280,0.0000,0.4720,1,1,1
RENT3,23/01/2021,67.51,22/07/2020,22/01/2021,69.6,05/02/2021,8,0.5200,0.0000,0.4800,-1,-1,-1
RENT3,27/01/2021,65.96,23/07/2020,23/01/2021,68.87,06/02/2021,8,0.5200,0.0000,0.4800,-1,-1,-1
RENT3,28/01/2021,64.88,24/07/2020,27/01/2021,69.26,09/02/2021,8,0.5200,0.0000,0.4800,-1,-1,-1
RENT3,29/01/2021,67.24,25/07/2020,28/01/2021,68.52,10/02/2021,8,0.5135,0.0000,0.4865,-1,-1,-1
RENT3,30/01/2021,63.88,28/07/2020,29/01/2021,67.35,11/02/2021,8,0.5265,0.0000,0.4735,1,1,1
RENT3,02/02/2021,63.95,29/07/2020,30/01/2021,66.96,12/02/2021,8,0.5135,0.0000,0.4865,-1,-1,-1
RENT3,03/02/2021,67.51,30/07/2020,02/02/2021,66.9,13/02/2021,8,0.5200,0.0000,0.4800,-1,-1,-1
RENT3,04/02/2021,68.8,31/07/2020,03/02/2021,65.91,18/02/2021,8,0.5200,0.0000,0.4800,-1,-1,-1
RENT3,05/02/2021,69.6,01/08/2020,04/02/2021,64.61,19/02/2021,8,0.5265,0.0000,0.4735,0,0,0
RENT3,06/02/2021,68.87,04/08/2020,05/02/2021,65.1,20/02/2021,8,0.5345,0.0000,0.4655,0,0,0
RENT3,09/02/2021,69.26,05/08/2020,06/02/2021,61.09,23/02/2021,8,0.5215,0.0000,0.4785,-1,-1,-1
RENT3,10/02/2021,68.52,06/08/2020,09/02/2021,61.3,24/02/2021,8,0.5280,0.0000,0.4720,0,0,0
RENT3,11/02/2021,67.35,07/08/2020,10/02/2021,60.54,25/02/2021,8,0.5200,0.0000,0.4800,-1,-1,-1
RENT3,12/02/2021,66.96,08/08/2020,11/02/2021,59.86,26/02/2021,8,0.5135,0.0000,0.4865,-1,-1,-1
RENT3,13/02/2021,66.9,11/08/2020,12/02/2021,58,27/02/2021,8,0.5120,0.0000,0.4880,-1,-1,-1
RENT3,18/02/2021,65.91,12/08/2020,13/02/2021,59.16,02/03/2021,8,0.5120,0.0000,0.4880,-1,-1,-1
RENT3,19/02/2021,64.61,13/08/2020,18/02/2021,58.6,03/03/2021,8,0.5120,0.0000,0.4880,-1,-1,-1
RENT3,20/02/2021,65.1,14/08/2020,19/02/2021,58.82,04/03/2021,8,0.5053,0.0000,0.4947,-1,-1,-1
RENT3,23/02/2021,61.09,15/08/2020,20/02/2021,60.92,05/03/2021,8,0.5187,0.0000,0.4813,-1,-1,-1
RENT3,24/02/2021,61.3,18/08/2020,23/02/2021,60.83,06/03/2021,8,0.5053,0.0000,0.4947,-1,-1,-1
RENT3,25/02/2021,60.54,19/08/2020,24/02/2021,55.12,09/03/2021,8,0.5187,0.0000,0.4813,-1,-1,-1
RENT3,26/02/2021,59.86,20/08/2020,25/02/2021,55.58,10/03/2021,8,0.5053,0.0000,0.4947,-1,-1,-1
RENT3,27/02/2021,58,21/08/2020,26/02/2021,56.54,11/03/2021,8,0.5040,0.0000,0.4960,-1,-1,-1
RENT3,02/03/2021,59.16,22/08/2020,27/02/2021,59.78,18/03/2021,12,0.4972,0.0000,0.5028,-1,-1,-1
RENT3,03/03/2021,58.6,25/08/2020,02/03/2021,59.5,13/03/2021,8,0.5040,0.0000,0.4960,-1,-1,-1
RENT3,04/03/2021,58.82,26/08/2020,03/03/2021,59.34,16/03/2021,8,0.4960,0.0000,0.5040,-1,-1,-1
RENT3,05/03/2021,60.92,27/08/2020,04/03/2021,58,17/03/2021,8,0.5040,0.0000,0.4960,-1,-1,-1
RENT3,06/03/2021,60.83,28/08/2020,05/03/2021,59.78,18/03/2021,8,0.5040,0.0000,0.4960,-1,-1,-1
RENT3,09/03/2021,55.12,29/08/2020,06/03/2021,57.75,19/03/2021,8,0.4960,0.0000,0.5040,-1,-1,-1
RENT3,10/03/2021,55.58,01/09/2020,09/03/2021,56.8,26/03/2021,12,0.4892,0.0000,0.5108,-1,-1,-1
RENT3,11/03/2021,56.54,02/09/2020,10/03/2021,57.84,23/03/2021,8,0.4960,0.0000,0.5040,-1,-1,-1
RENT3,12/03/2021,59.55,03/09/2020,11/03/2021,57.55,30/03/2021,12,0.5028,0.0000,0.4972,-1,-1,-1
RENT3,13/03/2021,59.5,04/09/2020,12/03/2021,55.13,25/03/2021,8,0.5040,0.0000,0.4960,-1,-1,-1
RENT3,16/03/2021,59.34,05/09/2020,13/03/2021,59.73,01/04/2021,12,0.4892,0.0000,0.5108,-1,-1,-1
RENT3,17/03/2021,58,09/09/2020,16/03/2021,57.43,27/03/2021,8,0.4812,0.0000,0.5188,-1,-1,-1
RENT3,18/03/2021,59.78,10/09/2020,17/03/2021,57.55,30/03/2021,8,0.4800,0.0000,0.5200,-1,-1,-1
RENT3,19/03/2021,57.75,11/09/2020,18/03/2021,59.8,31/03/2021,8,0.4948,0.0000,0.5052,-1,-1,-1
RENT3,20/03/2021,59.3,12/09/2020,19/03/2021,59.73,01/04/2021,8,0.4812,0.0000,0.5188,-1,-1,-1
RENT3,23/03/2021,57.84,15/09/2020,20/03/2021,60.04,02/04/2021,8,0.4948,0.0000,0.5052,-1,-1,-1
RENT3,24/03/2021,56.55,16/09/2020,23/03/2021,61.53,06/04/2021,8,0.4880,0.0000,0.5120,-1,-1,-1
RENT3,25/03/2021,55.13,17/09/2020,24/03/2021,62.36,07/04/2021,8,0.4812,0.0000,0.5188,-1,-1,-1
RENT3,26/03/2021,56.8,18/09/2020,25/03/2021,62.4,08/04/2021,8,0.4800,0.0000,0.5200,-1,-1,-1
RENT3,27/03/2021,57.43,19/09/2020,26/03/2021,63.6,09/04/2021,8,0.4948,0.0000,0.5052,-1,-1,-1
RENT3,30/03/2021,57.55,22/09/2020,27/03/2021,62.99,10/04/2021,8,0.4960,0.0000,0.5040,-1,-1,-1
RENT3,31/03/2021,59.8,23/09/2020,30/03/2021,62.98,13/04/2021,8,0.4960,0.0000,0.5040,-1,-1,-1
RENT3,01/04/2021,59.73,24/09/2020,31/03/2021,63.2,14/04/2021,8,0.5030,0.0000,0.4970,-1,-1,-1
RENT3,02/04/2021,60.04,25/09/2020,01/04/2021,63.65,15/04/2021,8,0.4890,0.0000,0.5110,-1,-1,-1
RENT3,06/04/2021,61.53,26/09/2020,02/04/2021,63.6,16/04/2021,8,0.5030,0.0000,0.4970,-1,-1,-1
RENT3,07/04/2021,62.36,29/09/2020,06/04/2021,64.18,17/04/2021,8,0.5040,0.0000,0.4960,-1,-1,-1
RENT3,08/04/2021,62.4,30/09/2020,07/04/2021,62.44,20/04/2021,8,0.5112,0.0000,0.4888,-1,-1,-1
RENT3,09/04/2021,63.6,01/10/2020,08/04/2021,63.6,16/04/2021,5,0.5120,0.0000,0.4880,-1,-1,-1
RENT3,10/04/2021,62.99,02/10/2020,09/04/2021,60.87,23/04/2021,8,0.5195,0.0000,0.4805,-1,-1,-1
RENT3,13/04/2021,62.98,03/10/2020,10/04/2021,61.7,24/04/2021,8,0.5045,0.0000,0.4955,-1,-1,-1
RENT3,14/04/2021,63.2,06/10/2020,13/04/2021,61.92,27/04/2021,8,0.4965,0.0000,0.5035,-1,-1,-1
RENT3,15/04/2021,63.65,07/10/2020,14/04/2021,61.04,28/04/2021,8,0.5115,0.0000,0.4885,-1,-1,-1
