Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
SMTO3,05/01/2021,27.25,02/07/2020,31/12/2020,31.2,12/01/2021,5,0.5332,0.0162,0.4506,1,1,1
SMTO3,06/01/2021,27.3,03/07/2020,05/01/2021,31.85,13/01/2021,5,0.5227,0.0158,0.4615,1,1,1
SMTO3,07/01/2021,28.67,04/07/2020,06/01/2021,31.35,14/01/2021,5,0.5306,0.0161,0.4533,1,1,1
SMTO3,08/01/2021,30.08,07/07/2020,07/01/2021,31.59,15/01/2021,5,0.5306,0.0161,0.4533,1,1,1
SMTO3,09/01/2021,31.09,08/07/2020,08/01/2021,31.08,16/01/2021,5,0.5306,0.0161,0.4533,0,1,1
SMTO3,12/01/2021,31.2,09/07/2020,09/01/2021,31.65,19/01/2021,5,0.5332,0.0162,0.4506,1,1,1
SMTO3,13/01/2021,31.85,10/07/2020,12/01/2021,32.08,20/01/2021,5,0.5412,0.0162,0.4426,1,0,0
SMTO3,14/01/2021,31.35,11/07/2020,13/01/2021,30.43,27/01/2021,8,0.5492,0.0162,0.4347,0,0,0
SMTO3,15/01/2021,31.59,14/07/2020,14/01/2021,30.62,22/01/2021,5,0.5387,0.0158,0.4454,0,0,0
SMTO3,16/01/2021,31.08,15/07/2020,15/01/2021,30.31,23/01/2021,5,0.5466,0.0161,0.4373,0,0,0
SMTO3,19/01/2021,31.65,16/07/2020,16/01/2021,29.79,30/01/2021,8,0.5334,0.0159,0.4506,0,0,0
SMTO3,20/01/2021,32.08,17/07/2020,19/01/2021,30.01,28/01/2021,5,0.5466,0.0161,0.4373,0,0,0
SMTO3,21/01/2021,31.26,18/07/2020,20/01/2021,30.4,29/01/2021,5,0.5466,0.0161,0.4373,0,0,0
SMTO3,22/01/2021,30.62,21/07/2020,21/01/2021,29.79,30/01/2021,5,0.5309,0.0158,0.4533,0,1,0
SMTO3,23/01/2021,30.31,22/07/2020,22/01/2021,30.84,02/02/2021,5,0.5254,0.0159,0.4587,1,1,1
SMTO3,27/01/2021,30.43,23/07/2020,23/01/2021,30.48,03/02/2021,5,0.5254,0.0159,0.4587,1,0,0
SMTO3,28/01/2021,30.01,24/07/2020,27/01/2021,33.36,09/02/2021,8,0.5410,0.0162,0.4428,1,1,1
SMTO3,29/01/2021,30.4,25/07/2020,28/01/2021,30.21,05/02/2021,5,0.5309,0.0158,0.4533,0,1,1
SMTO3,30/01/2021,29.79,28/07/2020,29/01/2021,30.6,06/02/2021,5,0.5385,0.0161,0.4454,1,1,1
SMTO3,02/02/2021,30.84,29/07/2020,30/01/2021,33.36,09/02/2021,5,0.5255,0.0159,0.4586,1,1,1
SMTO3,03/02/2021,30.48,30/07/2020,02/02/2021,32.7,10/02/2021,5,0.5385,0.0161,0.4454,1,1,1
